Time	Hip_Z_1	Hip_X_1	Hip_Y_1	Knee_Z_1	Knee_X_1	Knee_Y_1	Ankle_Z_1	Ankle_X_1	Ankle_Y_1	Hip_Z_2	Hip_X_2	Hip_Y_2	Knee_Z_2	Knee_X_2	Knee_Y_2	Ankle_Z_2	Ankle_X_2	Ankle_Y_2	Hip_Z_3	Hip_X_3	Hip_Y_3	Knee_Z_3	Knee_X_3	Knee_Y_3	Ankle_Z_3	Ankle_X_3	Ankle_Y_3	Hip_Z_4	Hip_X_4	Hip_Y_4	Knee_Z_4	Knee_X_4	Knee_Y_4	Ankle_Z_4	Ankle_X_4	Ankle_Y_4	Hip_Z_5	Hip_X_5	Hip_Y_5	Knee_Z_5	Knee_X_5	Knee_Y_5	Ankle_Z_5	Ankle_X_5	Ankle_Y_5	Hip_Z_6	Hip_X_6	Hip_Y_6	Knee_Z_6	Knee_X_6	Knee_Y_6	Ankle_Z_6	Ankle_X_6	Ankle_Y_6	Hip_Z_7	Hip_X_7	Hip_Y_7	Knee_Z_7	Knee_X_7	Knee_Y_7	Ankle_Z_7	Ankle_X_7	Ankle_Y_7	Hip_Z_8	Hip_X_8	Hip_Y_8	Knee_Z_8	Knee_X_8	Knee_Y_8	Ankle_Z_8	Ankle_X_8	Ankle_Y_8	Hip_Z_9	Hip_X_9	Hip_Y_9	Knee_Z_9	Knee_X_9	Knee_Y_9	Ankle_Z_9	Ankle_X_9	Ankle_Y_9	Hip_Z_10	Hip_X_10	Hip_Y_10	Knee_Z_10	Knee_X_10	Knee_Y_10	Ankle_Z_10	Ankle_X_10	Ankle_Y_10	Hip_Z_11	Hip_X_11	Hip_Y_11	Knee_Z_11	Knee_X_11	Knee_Y_11	Ankle_Z_11	Ankle_X_11	Ankle_Y_11	Hip_Z_12	Hip_X_12	Hip_Y_12	Knee_Z_12	Knee_X_12	Knee_Y_12	Ankle_Z_12	Ankle_X_12	Ankle_Y_12	Hip_Z_13	Hip_X_13	Hip_Y_13	Knee_Z_13	Knee_X_13	Knee_Y_13	Ankle_Z_13	Ankle_X_13	Ankle_Y_13
0	-22.257866	-3.799512	-1.428074	5.938496	-0.31489	21.042639	-2.227003	-6.654704	-16.921169	-22.054699	-2.689996	3.000615	3.822205	-1.479504	19.719329	-0.892216	-9.263157	-18.53862	-22.869963	-2.393487	-0.266082	6.961031	-0.200328	21.167559	-2.19479	-5.372981	-17.560329	-23.135182	-1.880306	1.156687	6.125431	-0.489068	19.707878	-0.634906	-5.228574	-17.390206	-22.036626	-2.527295	0.756883	8.10584	-0.265937	20.03202	2.059839	-8.436281	-15.44045	-22.481544	-2.61532	1.224288	7.878962	-0.033209	20.154908	-2.17179	-6.126949	-17.7815	-25.761888	-3.351525	-1.00913	8.583311	0.468667	20.443227	-1.189241	-5.321072	-17.223744	-23.228992	-1.931021	0.600634	6.739561	-0.334901	20.612767	-0.930765	-7.482377	-18.012346	-22.785071	-3.368893	0.004096	6.978485	-0.342994	21.971726	0.376657	-10.583435	-17.90091	-23.005503	-1.718822	1.596346	9.097771	0.354839	18.845207	1.481474	-7.596795	-17.102836	-22.188846	-0.975787	2.968631	9.059704	0.537877	18.281949	-1.995642	-7.356262	-18.466394	-24.032704	-3.18648	1.663228	8.04718	-0.178051	20.162567	-2.524326	-7.616331	-18.239285	-26.82429	-3.321562	4.076281	8.871653	-0.742899	13.104513	-1.973066	-7.35105	-20.007784
1	-21.993211	-4.053772	-2.345157	7.376705	0.292363	21.308399	-0.606237	-4.921387	-15.608154	-21.793247	-2.842785	2.030703	5.031035	-0.848344	20.332635	-0.44021	-8.929153	-17.740684	-22.556008	-2.579355	-1.218785	8.102253	0.241927	21.802067	-0.73985	-3.664152	-16.753514	-22.896895	-1.973418	0.307287	7.561698	0.081544	20.552423	0.816557	-3.375793	-16.316117	-21.878736	-2.665623	-0.149841	9.991349	0.301297	20.35547	2.608298	-6.376546	-14.512852	-22.221167	-2.76514	0.058242	9.072647	0.60742	21.066614	-1.325725	-5.060548	-16.903121	-25.453787	-3.517599	-2.17189	9.700102	1.084559	20.861419	0.262583	-3.554102	-15.919473	-22.940319	-2.107218	-0.266912	7.833485	0.240963	21.467649	-0.100291	-6.705841	-17.395739	-22.62472	-3.608148	-0.949733	8.523242	0.302415	22.417979	1.05546	-9.605969	-17.583033	-22.797699	-1.823334	0.535528	10.781994	0.903301	19.449107	1.980531	-5.749844	-16.397448	-21.840545	-1.075531	1.959131	10.278774	1.101934	19.144952	-1.06577	-6.14319	-17.550883	-23.771562	-3.329046	0.511581	9.114835	0.441549	20.718398	-1.308682	-6.464813	-17.368774	-26.47739	-3.384151	3.893414	8.273356	-0.822493	13.204171	-1.455487	-7.576896	-19.791708
2	-21.80178	-4.289803	-3.154422	9.158445	0.765039	21.203918	1.051859	-2.382353	-14.060501	-21.559457	-2.962792	1.034078	6.50637	-0.148085	20.947153	0.267331	-8.118915	-16.986487	-22.302376	-2.790519	-2.096446	9.672413	0.62778	22.051156	0.513978	-1.317327	-15.702729	-22.748955	-2.108195	-0.427065	9.482994	0.59387	20.964338	1.825024	-0.829065	-15.130581	-21.78304	-2.803351	-1.02082	12.362354	0.698039	20.174951	2.461948	-3.362222	-13.37164	-21.973638	-2.91667	-1.079999	10.588451	1.272164	21.79315	-0.368267	-3.399043	-15.885462	-25.181899	-3.681533	-3.294248	11.255912	1.583017	20.781385	1.348761	-1.127919	-14.269229	-22.653625	-2.303157	-1.072719	9.249055	0.845575	22.033219	0.839509	-5.161254	-16.644592	-22.478719	-3.832186	-1.795657	10.426542	0.853293	22.372911	1.70159	-7.437083	-17.053046	-22.72855	-2.023342	-0.395072	13.014665	1.302459	19.532713	1.764668	-3.189356	-15.507785	-21.56166	-1.186112	0.955461	11.888619	1.642418	19.732118	-0.267005	-4.213244	-16.626068	-23.534379	-3.456569	-0.607465	10.511606	1.016091	21.07215	0.084165	-4.630104	-16.338484	-26.165845	-3.316407	3.177068	8.163762	-0.640261	13.872341	-0.81954	-7.960068	-19.179659
3	-21.751315	-4.495298	-3.842494	11.406544	0.966695	20.651165	1.927269	0.522107	-12.326399	-21.364827	-3.062793	0.068604	8.261896	0.515632	21.355805	1.090331	-6.393874	-16.204718	-22.161019	-3.022044	-2.879499	11.770226	0.870366	21.795628	0.928689	1.221101	-14.351075	-22.749142	-2.285735	-1.020024	11.986917	0.960421	20.823619	1.770417	1.883883	-13.811041	-21.788037	-2.95533	-1.817991	15.246994	0.820512	19.513473	1.308234	0.108157	-11.82077	-21.756058	-3.081498	-2.093107	12.485255	1.830203	22.06706	0.238319	-1.133072	-14.623712	-24.993807	-3.854996	-4.339799	13.327199	1.840134	20.116365	1.496055	1.519247	-12.236598	-22.391276	-2.510816	-1.771936	11.059467	1.346975	22.072858	1.380088	-2.831257	-15.603951	-22.366395	-4.04799	-2.484243	12.766147	1.122218	21.615979	1.701908	-4.245046	-16.016677	-22.977638	-2.47694	-0.996409	15.839614	1.484748	19.02305	0.584853	-0.451092	-14.261486	-21.383872	-1.320151	0.046102	13.98476	2.011848	19.774072	-0.191007	-1.731391	-15.606913	-23.331653	-3.57115	-1.610096	12.29769	1.400499	21.007423	1.057906	-2.154957	-15.031092	-25.886923	-3.192638	2.134694	8.561074	-0.238218	14.887865	-0.15515	-8.367538	-18.37203
4	-21.934718	-4.670975	-4.452747	14.211062	0.907855	19.868478	1.566338	3.274472	-10.584584	-21.242032	-3.156927	-0.817701	10.389842	0.971173	21.278396	1.509347	-3.641557	-15.146997	-22.19829	-3.286852	-3.57232	14.446754	0.988405	21.152161	0.246964	3.513984	-12.798529	-22.948624	-2.516291	-1.509549	15.060597	1.222466	20.286926	0.554089	4.228924	-12.430225	-21.932655	-3.154086	-2.523415	18.52158	0.812873	18.794882	-0.652122	3.298758	-10.154208	-21.61459	-3.270388	-2.903005	14.873814	2.141856	21.662829	-0.044509	1.385336	-13.053931	-24.972432	-4.072024	-5.282852	15.921974	1.882344	19.058123	0.593121	3.902219	-10.00331	-22.199341	-2.724081	-2.349306	13.372205	1.621119	21.454234	0.950752	-0.130268	-14.130144	-22.319192	-4.271808	-3.016194	15.555384	1.014108	20.249002	0.675771	-0.674565	-14.329137	-23.938366	-3.585832	-0.854663	19.121639	1.618465	18.265929	-1.273697	1.903441	-12.837633	-21.334022	-1.486042	-0.724434	16.614798	2.118825	19.205259	-1.135851	0.802371	-14.331459	-23.206198	-3.685019	-2.455453	14.554864	1.48434	20.420025	1.064615	0.589728	-13.367833	-25.624045	-3.054969	0.9345	9.429206	0.312087	16.044136	0.573052	-8.570565	-17.51631
5	-22.422809	-4.847457	-5.052279	17.511326	0.858414	19.299442	0.131958	5.517929	-9.138255	-21.24342	-3.256863	-1.628939	12.994872	1.062135	20.592269	0.997255	-0.305047	-13.53094	-22.455776	-3.61255	-4.201852	17.591624	1.159273	20.469772	-1.275043	5.33321	-11.345671	-23.354614	-2.825858	-1.957105	18.49539	1.56045	19.667358	-1.44667	5.920297	-11.17505	-22.214384	-3.447455	-3.107242	21.926109	1.027523	18.45899	-2.913893	5.707463	-8.972839	-21.600044	-3.486947	-3.503028	17.767352	2.183435	20.700433	-1.314521	3.670976	-11.313946	-25.182782	-4.38653	-6.093098	18.891714	1.963191	18.046315	-0.996151	5.726818	-8.021065	-22.142025	-2.955011	-2.816082	16.179867	1.686325	20.393556	-0.515991	2.317235	-12.355745	-22.376983	-4.5336	-3.446625	18.624947	0.738082	18.849931	-1.132736	2.493574	-12.357019	-26.5773	-6.322613	1.067342	22.659787	2.033499	17.630109	-3.328495	3.595729	-11.598505	-21.423653	-1.690926	-1.381114	19.639771	2.073697	18.350582	-2.881453	2.864951	-12.875025	-23.221438	-3.822281	-3.142124	17.278463	1.32448	19.512062	0.048749	3.112408	-11.506937	-25.366208	-2.921534	-0.30737	10.718633	0.910881	17.132312	1.405687	-8.218685	-16.668299
6	-23.190916	-5.086075	-5.632033	21.098408	1.146778	19.104786	-1.888085	7.055793	-8.196229	-21.433887	-3.383483	-2.442372	16.045162	0.867206	19.651007	-0.464486	2.850591	-11.496053	-22.903106	-4.030225	-4.771685	20.954348	1.57355	19.962792	-3.196225	6.577296	-10.241514	-23.901977	-3.250003	-2.341473	21.99132	2.110461	19.025841	-3.761219	6.895224	-10.12967	-22.57284	-3.881271	-3.488672	25.229677	1.654686	18.351337	-5.139875	7.220969	-8.388519	-21.736409	-3.742163	-3.944215	20.980332	2.155877	19.656139	-3.184675	5.418354	-9.802577	-25.60519	-4.844766	-6.724155	21.991837	2.354152	17.317782	-2.848586	6.896281	-6.623556	-22.264826	-3.253731	-3.171465	19.286126	1.77511	19.352273	-2.566739	4.096944	-10.734701	-22.556992	-4.888786	-3.814463	21.719736	0.697581	17.90741	-3.202432	4.787962	-10.680391	-33.307589	-12.724746	6.802869	26.555435	2.826553	16.990209	-5.337032	4.594499	-10.564852	-21.63709	-1.96673	-1.952483	22.77472	2.134229	17.587726	-4.96186	4.227444	-11.530678	-23.424755	-4.025927	-3.68593	20.31494	1.197945	18.705458	-1.615425	5.081681	-9.863645	-25.122484	-2.802217	-1.500822	12.434565	1.416231	17.885613	2.11365	-6.932751	-15.787051
7	-24.074033	-5.431369	-6.080867	24.709675	1.776646	18.896503	-4.079581	7.892021	-7.595206	-21.855606	-3.584835	-3.323618	19.341317	0.776795	19.072346	-2.447393	5.242255	-9.675809	-23.427357	-4.555086	-5.210474	24.283991	2.204505	19.430727	-5.235719	7.231719	-9.428916	-24.452944	-3.803223	-2.516513	25.320182	2.783219	18.067713	-6.097027	7.239669	-9.163191	-22.906046	-4.466952	-3.551561	28.322836	2.519409	17.872469	-7.288528	7.947845	-7.961001	-21.992871	-4.06872	-4.25179	24.238481	2.314371	18.823608	-5.211951	6.555006	-8.792683	-26.124968	-5.445785	-7.125245	25.009311	3.038733	16.644038	-4.753615	7.463908	-5.690031	-22.544359	-3.695838	-3.355896	22.439247	2.108128	18.467664	-4.729045	5.126712	-9.548164	-22.827848	-5.399905	-4.058753	24.687875	1.053987	17.208841	-5.249743	6.144512	-9.438717	-48.81625	-24.881169	16.671968	31.813601	3.518135	15.964506	-7.301259	5.016179	-9.529382	-21.921716	-2.379143	-2.353916	25.790164	2.423153	16.841195	-7.039363	4.968401	-10.399207	-23.801649	-4.344786	-4.07533	23.445444	1.364237	18.160042	-3.524986	6.394315	-8.71196	-24.920421	-2.711903	-2.563039	14.64824	1.649583	18.015536	2.155783	-4.60314	-14.711629
8	-24.818082	-5.877336	-6.258905	28.096093	2.438731	18.194002	-6.249432	8.203949	-6.989867	-22.482104	-3.932498	-4.188229	22.677582	1.133588	18.936534	-4.575025	6.682167	-8.471849	-23.861995	-5.160131	-5.404971	27.396026	2.817891	18.537952	-7.30392	7.411468	-8.698547	-24.826868	-4.446428	-2.323699	28.335057	3.350434	16.556738	-8.334143	7.144262	-8.145618	-23.102516	-5.158658	-3.236848	31.151538	3.29437	16.655745	-9.400286	8.096965	-7.310196	-22.2773	-4.498478	-4.365436	27.346286	2.67297	17.984754	-7.207418	7.163027	-8.089005	-26.576143	-6.120864	-7.279982	27.791903	3.751936	15.720792	-6.653898	7.603591	-4.912106	-22.876716	-4.318691	-3.27663	25.469177	2.628724	17.412275	-6.800899	5.537482	-8.650188	-23.108676	-6.074234	-4.06341	27.487575	1.607574	16.210146	-7.262165	6.73251	-8.386634	-72.420291	-38.529559	23.563422	39.406894	3.499919	14.390082	-9.227524	5.094196	-8.437907	-22.185672	-2.979364	-2.392365	28.590468	2.827605	15.7383	-9.035379	5.263621	-9.364769	-24.256539	-4.795743	-4.240076	26.49314	1.782546	17.564022	-5.483457	7.109032	-7.903082	-24.807827	-2.688029	-3.425333	17.38055	1.511895	17.471493	1.154635	-1.62216	-13.301476
9	-25.209912	-6.408106	-6.049312	31.044377	2.884092	16.871411	-8.338114	8.207635	-6.2366	-23.196635	-4.472345	-4.804828	25.939412	1.858385	18.629392	-6.738915	7.275191	-7.660968	-24.03076	-5.780481	-5.275784	30.122933	3.18341	17.199922	-9.346198	7.322026	-7.927601	-24.862673	-5.104379	-1.728042	30.896908	3.640679	14.599658	-10.390118	6.845795	-7.08684	-23.074153	-5.861228	-2.593888	33.642276	3.718518	14.791643	-11.447842	7.929894	-6.330193	-22.470821	-5.020897	-4.194566	30.197501	3.043465	16.817149	-9.176456	7.392097	-7.37335	-26.799239	-6.763991	-7.21747	30.198795	4.246801	14.539167	-8.499884	7.537194	-4.135018	-23.113267	-5.065766	-2.888603	28.254875	3.104208	15.932374	-8.755976	5.546172	-7.85337	-23.278851	-6.821734	-3.792954	30.051426	2.07	14.723717	-9.241703	6.826129	-7.336145	-89.139814	-46.018632	24.280972	46.049101	2.985306	12.511276	-11.055812	5.079657	-7.342265	-22.307922	-3.731164	-1.946966	31.106432	3.167897	14.12479	-10.974596	5.275687	-8.37119	-24.63615	-5.346262	-4.098245	29.313676	2.205846	16.574222	-7.430507	7.380206	-7.153188	-24.845446	-2.798986	-4.048859	20.45266	1.177237	16.658129	-0.662006	1.32224	-11.776554
