hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
	-3.799512	-1.428074	-22.257866	-0.314890	21.042639	5.938496	-6.654704	-16.921169	-2.227003	-2.689996	3.000615	-22.054699	-1.479504	19.719329	3.822205	-9.263157	-18.538620	-0.892216	-2.393487	-0.266082	-22.869963	-0.200328	21.167559	6.961031	-5.372981	-17.560329	-2.194790	-1.880306	1.156687	-23.135182	-0.489068	19.707878	6.125431	-5.228574	-17.390206	-0.634906	-2.527295	0.756883	-22.036626	-0.265937	20.032020	8.105840	-8.436281	-15.440450	2.059839	-2.615320	1.224288	-22.481544	-0.033209	20.154908	7.878962	-6.126949	-17.781500	-2.171790	-3.351525	-1.009130	-25.761888	0.468667	20.443227	8.583311	-5.321072	-17.223744	-1.189241	-1.931021	0.600634	-23.228992	-0.334901	20.612767	6.739561	-7.482377	-18.012346	-0.930765	-3.368893	0.004096	-22.785071	-0.342994	21.971726	6.978485	-10.583435	-17.900910	0.376657	-1.718822	1.596346	-23.005503	0.354839	18.845207	9.097771	-7.596795	-17.102836	1.481474	-0.975787	2.968631	-22.188846	0.537877	18.281949	9.059704	-7.356262	-18.466394	-1.995642	-3.186480	1.663228	-24.032704	-0.178051	20.162567	8.047180	-7.616331	-18.239285	-2.524326	-3.321562	4.076281	-26.824290	-0.742899	13.104513	8.871653	-7.351050	-20.007784	-1.973066
	-4.053772	-2.345157	-21.993211	0.292363	21.308399	7.376705	-4.921387	-15.608154	-0.606237	-2.842785	2.030703	-21.793247	-0.848344	20.332635	5.031035	-8.929153	-17.740684	-0.440210	-2.579355	-1.218785	-22.556008	0.241927	21.802067	8.102253	-3.664152	-16.753514	-0.739850	-1.973418	0.307287	-22.896895	0.081544	20.552423	7.561698	-3.375793	-16.316117	0.816557	-2.665623	-0.149841	-21.878736	0.301297	20.355470	9.991349	-6.376546	-14.512852	2.608298	-2.765140	0.058242	-22.221167	0.607420	21.066614	9.072647	-5.060548	-16.903121	-1.325725	-3.517599	-2.171890	-25.453787	1.084559	20.861419	9.700102	-3.554102	-15.919473	0.262583	-2.107218	-0.266912	-22.940319	0.240963	21.467649	7.833485	-6.705841	-17.395739	-0.100291	-3.608148	-0.949733	-22.624720	0.302415	22.417979	8.523242	-9.605969	-17.583033	1.055460	-1.823334	0.535528	-22.797699	0.903301	19.449107	10.781994	-5.749844	-16.397448	1.980531	-1.075531	1.959131	-21.840545	1.101934	19.144952	10.278774	-6.143190	-17.550883	-1.065770	-3.329046	0.511581	-23.771562	0.441549	20.718398	9.114835	-6.464813	-17.368774	-1.308682	-3.384151	3.893414	-26.477390	-0.822493	13.204171	8.273356	-7.576896	-19.791708	-1.455487
	-4.289803	-3.154422	-21.801780	0.765039	21.203918	9.158445	-2.382353	-14.060501	1.051859	-2.962792	1.034078	-21.559457	-0.148085	20.947153	6.506370	-8.118915	-16.986487	0.267331	-2.790519	-2.096446	-22.302376	0.627780	22.051156	9.672413	-1.317327	-15.702729	0.513978	-2.108195	-0.427065	-22.748955	0.593870	20.964338	9.482994	-0.829065	-15.130581	1.825024	-2.803351	-1.020820	-21.783040	0.698039	20.174951	12.362354	-3.362222	-13.371640	2.461948	-2.916670	-1.079999	-21.973638	1.272164	21.793150	10.588451	-3.399043	-15.885462	-0.368267	-3.681533	-3.294248	-25.181899	1.583017	20.781385	11.255912	-1.127919	-14.269229	1.348761	-2.303157	-1.072719	-22.653625	0.845575	22.033219	9.249055	-5.161254	-16.644592	0.839509	-3.832186	-1.795657	-22.478719	0.853293	22.372911	10.426542	-7.437083	-17.053046	1.701590	-2.023342	-0.395072	-22.728550	1.302459	19.532713	13.014665	-3.189356	-15.507785	1.764668	-1.186112	0.955461	-21.561660	1.642418	19.732118	11.888619	-4.213244	-16.626068	-0.267005	-3.456569	-0.607465	-23.534379	1.016091	21.072150	10.511606	-4.630104	-16.338484	0.084165	-3.316407	3.177068	-26.165845	-0.640261	13.872341	8.163762	-7.960068	-19.179659	-0.819540
	-4.495298	-3.842494	-21.751315	0.966695	20.651165	11.406544	0.522107	-12.326399	1.927269	-3.062793	0.068604	-21.364827	0.515632	21.355805	8.261896	-6.393874	-16.204718	1.090331	-3.022044	-2.879499	-22.161019	0.870366	21.795628	11.770226	1.221101	-14.351075	0.928689	-2.285735	-1.020024	-22.749142	0.960421	20.823619	11.986917	1.883883	-13.811041	1.770417	-2.955330	-1.817991	-21.788037	0.820512	19.513473	15.246994	0.108157	-11.820770	1.308234	-3.081498	-2.093107	-21.756058	1.830203	22.067060	12.485255	-1.133072	-14.623712	0.238319	-3.854996	-4.339799	-24.993807	1.840134	20.116365	13.327199	1.519247	-12.236598	1.496055	-2.510816	-1.771936	-22.391276	1.346975	22.072858	11.059467	-2.831257	-15.603951	1.380088	-4.047990	-2.484243	-22.366395	1.122218	21.615979	12.766147	-4.245046	-16.016677	1.701908	-2.476940	-0.996409	-22.977638	1.484748	19.023050	15.839614	-0.451092	-14.261486	0.584853	-1.320151	0.046102	-21.383872	2.011848	19.774072	13.984760	-1.731391	-15.606913	-0.191007	-3.571150	-1.610096	-23.331653	1.400499	21.007423	12.297690	-2.154957	-15.031092	1.057906	-3.192638	2.134694	-25.886923	-0.238218	14.887865	8.561074	-8.367538	-18.372030	-0.155150
	-4.670975	-4.452747	-21.934718	0.907855	19.868478	14.211062	3.274472	-10.584584	1.566338	-3.156927	-0.817701	-21.242032	0.971173	21.278396	10.389842	-3.641557	-15.146997	1.509347	-3.286852	-3.572320	-22.198290	0.988405	21.152161	14.446754	3.513984	-12.798529	0.246964	-2.516291	-1.509549	-22.948624	1.222466	20.286926	15.060597	4.228924	-12.430225	0.554089	-3.154086	-2.523415	-21.932655	0.812873	18.794882	18.521580	3.298758	-10.154208	-0.652122	-3.270388	-2.903005	-21.614590	2.141856	21.662829	14.873814	1.385336	-13.053931	-0.044509	-4.072024	-5.282852	-24.972432	1.882344	19.058123	15.921974	3.902219	-10.003310	0.593121	-2.724081	-2.349306	-22.199341	1.621119	21.454234	13.372205	-0.130268	-14.130144	0.950752	-4.271808	-3.016194	-22.319192	1.014108	20.249002	15.555384	-0.674565	-14.329137	0.675771	-3.585832	-0.854663	-23.938366	1.618465	18.265929	19.121639	1.903441	-12.837633	-1.273697	-1.486042	-0.724434	-21.334022	2.118825	19.205259	16.614798	0.802371	-14.331459	-1.135851	-3.685019	-2.455453	-23.206198	1.484340	20.420025	14.554864	0.589728	-13.367833	1.064615	-3.054969	0.934500	-25.624045	0.312087	16.044136	9.429206	-8.570565	-17.516310	0.573052
	-4.847457	-5.052279	-22.422809	0.858414	19.299442	17.511326	5.517929	-9.138255	0.131958	-3.256863	-1.628939	-21.243420	1.062135	20.592269	12.994872	-0.305047	-13.530940	0.997255	-3.612550	-4.201852	-22.455776	1.159273	20.469772	17.591624	5.333210	-11.345671	-1.275043	-2.825858	-1.957105	-23.354614	1.560450	19.667358	18.495390	5.920297	-11.175050	-1.446670	-3.447455	-3.107242	-22.214384	1.027523	18.458990	21.926109	5.707463	-8.972839	-2.913893	-3.486947	-3.503028	-21.600044	2.183435	20.700433	17.767352	3.670976	-11.313946	-1.314521	-4.386530	-6.093098	-25.182782	1.963191	18.046315	18.891714	5.726818	-8.021065	-0.996151	-2.955011	-2.816082	-22.142025	1.686325	20.393556	16.179867	2.317235	-12.355745	-0.515991	-4.533600	-3.446625	-22.376983	0.738082	18.849931	18.624947	2.493574	-12.357019	-1.132736	-6.322613	1.067342	-26.577300	2.033499	17.630109	22.659787	3.595729	-11.598505	-3.328495	-1.690926	-1.381114	-21.423653	2.073697	18.350582	19.639771	2.864951	-12.875025	-2.881453	-3.822281	-3.142124	-23.221438	1.324480	19.512062	17.278463	3.112408	-11.506937	0.048749	-2.921534	-0.307370	-25.366208	0.910881	17.132312	10.718633	-8.218685	-16.668299	1.405687
	-5.086075	-5.632033	-23.190916	1.146778	19.104786	21.098408	7.055793	-8.196229	-1.888085	-3.383483	-2.442372	-21.433887	0.867206	19.651007	16.045162	2.850591	-11.496053	-0.464486	-4.030225	-4.771685	-22.903106	1.573550	19.962792	20.954348	6.577296	-10.241514	-3.196225	-3.250003	-2.341473	-23.901977	2.110461	19.025841	21.991320	6.895224	-10.129670	-3.761219	-3.881271	-3.488672	-22.572840	1.654686	18.351337	25.229677	7.220969	-8.388519	-5.139875	-3.742163	-3.944215	-21.736409	2.155877	19.656139	20.980332	5.418354	-9.802577	-3.184675	-4.844766	-6.724155	-25.605190	2.354152	17.317782	21.991837	6.896281	-6.623556	-2.848586	-3.253731	-3.171465	-22.264826	1.775110	19.352273	19.286126	4.096944	-10.734701	-2.566739	-4.888786	-3.814463	-22.556992	0.697581	17.907410	21.719736	4.787962	-10.680391	-3.202432	-12.724746	6.802869	-33.307589	2.826553	16.990209	26.555435	4.594499	-10.564852	-5.337032	-1.966730	-1.952483	-21.637090	2.134229	17.587726	22.774720	4.227444	-11.530678	-4.961860	-4.025927	-3.685930	-23.424755	1.197945	18.705458	20.314940	5.081681	-9.863645	-1.615425	-2.802217	-1.500822	-25.122484	1.416231	17.885613	12.434565	-6.932751	-15.787051	2.113650
	-5.431369	-6.080867	-24.074033	1.776646	18.896503	24.709675	7.892021	-7.595206	-4.079581	-3.584835	-3.323618	-21.855606	0.776795	19.072346	19.341317	5.242255	-9.675809	-2.447393	-4.555086	-5.210474	-23.427357	2.204505	19.430727	24.283991	7.231719	-9.428916	-5.235719	-3.803223	-2.516513	-24.452944	2.783219	18.067713	25.320182	7.239669	-9.163191	-6.097027	-4.466952	-3.551561	-22.906046	2.519409	17.872469	28.322836	7.947845	-7.961001	-7.288528	-4.068720	-4.251790	-21.992871	2.314371	18.823608	24.238481	6.555006	-8.792683	-5.211951	-5.445785	-7.125245	-26.124968	3.038733	16.644038	25.009311	7.463908	-5.690031	-4.753615	-3.695838	-3.355896	-22.544359	2.108128	18.467664	22.439247	5.126712	-9.548164	-4.729045	-5.399905	-4.058753	-22.827848	1.053987	17.208841	24.687875	6.144512	-9.438717	-5.249743	-24.881169	16.671968	-48.816250	3.518135	15.964506	31.813601	5.016179	-9.529382	-7.301259	-2.379143	-2.353916	-21.921716	2.423153	16.841195	25.790164	4.968401	-10.399207	-7.039363	-4.344786	-4.075330	-23.801649	1.364237	18.160042	23.445444	6.394315	-8.711960	-3.524986	-2.711903	-2.563039	-24.920421	1.649583	18.015536	14.648240	-4.603140	-14.711629	2.155783
	-5.877336	-6.258905	-24.818082	2.438731	18.194002	28.096093	8.203949	-6.989867	-6.249432	-3.932498	-4.188229	-22.482104	1.133588	18.936534	22.677582	6.682167	-8.471849	-4.575025	-5.160131	-5.404971	-23.861995	2.817891	18.537952	27.396026	7.411468	-8.698547	-7.303920	-4.446428	-2.323699	-24.826868	3.350434	16.556738	28.335057	7.144262	-8.145618	-8.334143	-5.158658	-3.236848	-23.102516	3.294370	16.655745	31.151538	8.096965	-7.310196	-9.400286	-4.498478	-4.365436	-22.277300	2.672970	17.984754	27.346286	7.163027	-8.089005	-7.207418	-6.120864	-7.279982	-26.576143	3.751936	15.720792	27.791903	7.603591	-4.912106	-6.653898	-4.318691	-3.276630	-22.876716	2.628724	17.412275	25.469177	5.537482	-8.650188	-6.800899	-6.074234	-4.063410	-23.108676	1.607574	16.210146	27.487575	6.732510	-8.386634	-7.262165	-38.529559	23.563422	-72.420291	3.499919	14.390082	39.406894	5.094196	-8.437907	-9.227524	-2.979364	-2.392365	-22.185672	2.827605	15.738300	28.590468	5.263621	-9.364769	-9.035379	-4.795743	-4.240076	-24.256539	1.782546	17.564022	26.493140	7.109032	-7.903082	-5.483457	-2.688029	-3.425333	-24.807827	1.511895	17.471493	17.380550	-1.622160	-13.301476	1.154635
	-6.408106	-6.049312	-25.209912	2.884092	16.871411	31.044377	8.207635	-6.236600	-8.338114	-4.472345	-4.804828	-23.196635	1.858385	18.629392	25.939412	7.275191	-7.660968	-6.738915	-5.780481	-5.275784	-24.030760	3.183410	17.199922	30.122933	7.322026	-7.927601	-9.346198	-5.104379	-1.728042	-24.862673	3.640679	14.599658	30.896908	6.845795	-7.086840	-10.390118	-5.861228	-2.593888	-23.074153	3.718518	14.791643	33.642276	7.929894	-6.330193	-11.447842	-5.020897	-4.194566	-22.470821	3.043465	16.817149	30.197501	7.392097	-7.373350	-9.176456	-6.763991	-7.217470	-26.799239	4.246801	14.539167	30.198795	7.537194	-4.135018	-8.499884	-5.065766	-2.888603	-23.113267	3.104208	15.932374	28.254875	5.546172	-7.853370	-8.755976	-6.821734	-3.792954	-23.278851	2.070000	14.723717	30.051426	6.826129	-7.336145	-9.241703	-46.018632	24.280972	-89.139814	2.985306	12.511276	46.049101	5.079657	-7.342265	-11.055812	-3.731164	-1.946966	-22.307922	3.167897	14.124790	31.106432	5.275687	-8.371190	-10.974596	-5.346262	-4.098245	-24.636150	2.205846	16.574222	29.313676	7.380206	-7.153188	-7.430507	-2.798986	-4.048859	-24.845446	1.177237	16.658129	20.452660	1.322240	-11.776554	-0.662006
