hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
	0.906248	-3.715489	-30.970533	0.883330	22.471111	9.764387	-3.257321	-10.827755	-8.253696
	0.879149	-4.668587	-30.268812	1.341819	23.219337	11.099667	-3.090854	-10.409542	-7.556224
	0.870643	-5.535168	-29.450883	1.778660	23.913946	12.634159	-2.468791	-9.923284	-6.631897
	0.753399	-6.225407	-28.865714	2.035388	24.038168	14.446370	-1.584522	-9.525193	-5.539569
	0.631552	-6.908334	-28.407797	2.026848	23.812522	16.478923	-0.204469	-8.751068	-4.316268
	0.514083	-7.334354	-28.058596	1.943597	23.577386	18.639988	1.225427	-7.896213	-3.774813
	0.358815	-7.848821	-27.973067	1.789682	23.142801	21.386394	2.767634	-6.870147	-4.291428
	0.183235	-8.181697	-28.040942	1.749153	22.574470	24.434567	4.055641	-5.889304	-5.043357
	-0.275015	-8.310870	-28.275785	1.777656	21.780599	27.795021	4.964632	-4.903489	-6.804419
	-0.893360	-8.130839	-28.486015	2.010398	20.739946	31.070276	5.299038	-3.890707	-8.835867
	-1.481621	-7.761655	-28.649876	2.165293	19.378044	34.049873	5.585785	-3.090047	-10.872164
	-2.581220	-7.023446	-28.475550	2.358577	17.658399	36.417726	5.523364	-2.318143	-12.873888
	-3.752739	-6.054192	-28.204817	2.504837	15.917592	38.101742	5.405839	-1.734048	-14.722270
	-4.768847	-5.186377	-27.461986	2.663208	14.596143	39.397802	5.403475	-1.282403	-16.380748
	-5.723667	-4.645433	-26.580581	2.746765	13.736124	40.087028	5.426821	-0.922404	-17.805194
	-6.070801	-4.323213	-25.605766	2.753392	13.525914	40.674062	5.454123	-0.730145	-19.116128
	-6.036131	-4.398766	-24.545787	2.676907	13.981925	40.798942	5.527173	-0.643693	-20.400710
	-5.755073	-4.821142	-23.382678	2.488841	14.906397	40.678735	5.672238	-0.640125	-21.538026
	-5.277016	-5.447511	-22.087990	2.170611	16.196271	40.286349	5.883015	-0.762299	-22.518035
	-4.606678	-6.165897	-20.753313	1.844044	17.399117	39.749660	6.044147	-0.970693	-23.344645
	-4.057927	-6.856277	-19.247705	1.467103	18.497402	38.950789	6.121073	-1.170564	-24.032545
	-3.667152	-7.486878	-17.560735	1.177823	19.179811	37.941628	6.227810	-1.419646	-24.541283
	-3.506432	-7.953301	-15.796189	0.959206	19.594403	36.705495	5.928777	-1.703082	-24.783082
	-3.480153	-8.325379	-13.954440	0.878383	19.643624	35.341430	5.560873	-2.140734	-24.878642
	-3.500153	-8.506744	-12.140264	0.909177	19.451723	33.801589	5.005446	-2.652789	-24.753232
	-3.502522	-8.418966	-10.233368	1.026269	18.959944	31.954854	4.481683	-3.138721	-24.319804
	-3.526705	-8.173730	-8.343952	1.181829	18.496216	29.885298	3.885547	-3.565021	-23.404782
	-3.555769	-7.536946	-6.412074	1.377121	17.789673	27.898675	3.181787	-4.211805	-22.485352
	-3.453874	-6.772222	-4.454889	1.546807	17.133914	25.857945	2.511422	-4.749888	-20.960428
	-3.245150	-5.881122	-2.525472	1.703211	16.542383	23.823762	1.828717	-5.395971	-19.137891
	-2.985901	-4.753064	-0.727201	1.803724	15.830841	21.736357	1.233285	-5.983994	-17.233191
	-2.509745	-3.497173	1.185486	1.880726	15.494096	19.741043	0.710395	-6.694442	-14.950081
	-1.933784	-2.332725	2.929097	1.945121	15.281977	18.272241	0.155154	-7.542448	-12.576162
	-1.343829	-1.110621	4.387837	2.051802	15.113119	16.870301	-0.413235	-8.481587	-9.866372
	-0.695707	-0.098487	5.614992	2.150418	15.126963	15.251705	-0.946388	-9.526379	-7.039388
	-0.075352	0.829631	6.575867	2.292549	15.209124	14.006960	-1.164863	-10.839568	-4.283908
	0.414101	1.693394	7.344825	2.402798	15.393053	13.236590	-1.339362	-11.977399	-1.587289
