Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.MT2X	R.MT2Y	R.MT2Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.MT2X	L.MT2Y	L.MT2Z
0	854.787	1060.78	1336.97	876.649	1067.35	1126.37	694.932	1097.75	1257.82	698.819	1098.94	1181.11	791.373	1135.61	1358.43	815.204	1135.02	1089.48	725.083	761.839	1398.59	733.186	651.234	1396.27	676.568	760.432	1347.82	679.089	650.411	1345.51	698.094	271.262	1410.61	701.949	190.514	1400.71	658.464	273.775	1373.56	660.616	194.136	1364.75	638.924	90.7194	1359.63	627.521	42.5461	1360.1	658.378	58.9224	1403.29	740.453	786.202	1040	742.729	675.52	1042.93	695.517	788.823	1092.82	689.622	678.143	1093.52	708.811	271.358	1031.31	713.415	191.551	1043.47	665.472	274.681	1063.14	670.447	190.623	1071.85	641.814	90.5066	1088.82	633.301	43.0174	1085.1	663.427	60.358	1046.78	760.924	966.675	1384.43	733.721	553.32	1386.73	730.469	540.055	1270.55	730.911	491.56	1397.47	780.427	462.711	1343.65	702.005	110.468	1397.34	720.024	116.637	1314.73	850.199	64.4241	1319.65	829.722	56.381	1427.11	855.09	73.1965	1362.04	799.197	965.541	1056.4	751.828	550.544	1051.96	732.002	539.827	1161.95	734.144	490.426	1039.74	785.856	461.608	1091.69	705.063	108.774	1050.91	725.535	119.273	1129	854.934	62.8218	1133.48	827.108	56.5722	1026.69	861.022	69.6669	1088.65
0.007	854.805	1060.78	1336.98	876.686	1067.34	1126.39	694.962	1097.75	1257.83	698.857	1098.95	1181.1	791.396	1135.62	1358.43	815.27	1135.03	1089.49	725.089	761.828	1398.58	733.181	651.232	1396.27	676.584	760.433	1347.81	679.096	650.412	1345.5	698.102	271.262	1410.6	701.951	190.514	1400.71	658.469	273.782	1373.56	660.62	194.144	1364.73	638.916	90.7215	1359.63	627.515	42.552	1360.09	658.382	58.9247	1403.29	740.506	786.201	1039.99	742.768	675.513	1042.94	695.562	788.822	1092.82	689.666	678.139	1093.51	708.817	271.355	1031.3	713.428	191.555	1043.47	665.483	274.692	1063.13	670.455	190.632	1071.84	641.814	90.4991	1088.82	633.306	43.0146	1085.1	663.427	60.3617	1046.78	760.93	966.675	1384.43	733.722	553.321	1386.73	730.488	540.051	1270.54	730.916	491.567	1397.45	780.445	462.713	1343.65	701.994	110.475	1397.33	720.025	116.625	1314.72	850.204	64.4246	1319.65	829.715	56.38	1427.12	855.089	73.1868	1362.02	799.233	965.532	1056.4	751.872	550.55	1051.96	732.029	539.821	1161.96	734.179	490.419	1039.74	785.881	461.601	1091.7	705.067	108.767	1050.91	725.53	119.267	1129.01	854.93	62.8178	1133.48	827.112	56.5688	1026.69	861.015	69.6647	1088.65
0.013	854.812	1060.78	1336.99	876.737	1067.35	1126.41	694.99	1097.75	1257.8	698.891	1098.94	1181.09	791.406	1135.62	1358.43	815.349	1135.05	1089.52	725.094	761.833	1398.58	733.185	651.227	1396.27	676.593	760.429	1347.79	679.105	650.413	1345.49	698.097	271.267	1410.6	701.951	190.512	1400.7	658.47	273.778	1373.55	660.613	194.146	1364.72	638.92	90.7172	1359.63	627.515	42.5414	1360.1	658.374	58.9238	1403.29	740.552	786.202	1039.99	742.824	675.509	1042.94	695.611	788.818	1092.8	689.703	678.144	1093.5	708.831	271.349	1031.3	713.433	191.555	1043.47	665.491	274.691	1063.13	670.461	190.631	1071.84	641.809	90.5008	1088.82	633.304	43.006	1085.1	663.429	60.3593	1046.78	760.932	966.669	1384.43	733.737	553.323	1386.73	730.507	540.045	1270.54	730.928	491.562	1397.45	780.458	462.725	1343.64	701.997	110.468	1397.32	720.012	116.627	1314.71	850.195	64.4264	1319.64	829.719	56.3837	1427.12	855.092	73.1899	1362.03	799.294	965.52	1056.42	751.901	550.536	1051.96	732.038	539.824	1161.96	734.205	490.421	1039.75	785.895	461.604	1091.7	705.065	108.771	1050.9	725.533	119.267	1129.01	854.925	62.8258	1133.47	827.104	56.5732	1026.68	861.028	69.6635	1088.65
0.02	854.827	1060.78	1336.99	876.78	1067.35	1126.43	695.008	1097.75	1257.78	698.926	1098.94	1181.07	791.417	1135.6	1358.41	815.416	1135.06	1089.54	725.094	761.823	1398.58	733.191	651.232	1396.26	676.613	760.425	1347.79	679.123	650.412	1345.47	698.103	271.261	1410.59	701.945	190.516	1400.7	658.478	273.783	1373.55	660.62	194.141	1364.72	638.917	90.7135	1359.63	627.516	42.5507	1360.09	658.382	58.931	1403.29	740.607	786.197	1039.99	742.868	675.508	1042.94	695.65	788.818	1092.79	689.747	678.14	1093.5	708.852	271.356	1031.3	713.443	191.548	1043.47	665.501	274.697	1063.13	670.465	190.64	1071.84	641.812	90.5074	1088.82	633.302	43.0155	1085.1	663.426	60.3629	1046.77	760.943	966.664	1384.43	733.749	553.332	1386.72	730.543	540.044	1270.54	730.936	491.561	1397.44	780.471	462.722	1343.63	701.996	110.47	1397.32	720.018	116.618	1314.71	850.196	64.4291	1319.66	829.716	56.3765	1427.11	855.092	73.1934	1362.03	799.34	965.526	1056.42	751.942	550.533	1051.98	732.05	539.817	1161.97	734.223	490.418	1039.74	785.927	461.608	1091.71	705.067	108.771	1050.91	725.536	119.268	1129	854.939	62.8229	1133.48	827.105	56.5755	1026.69	861.021	69.657	1088.64
0.027	854.841	1060.78	1337.01	876.821	1067.35	1126.44	695.034	1097.75	1257.77	698.959	1098.94	1181.06	791.434	1135.63	1358.43	815.477	1135.07	1089.56	725.104	761.825	1398.57	733.196	651.228	1396.26	676.621	760.424	1347.77	679.129	650.407	1345.46	698.109	271.264	1410.59	701.953	190.515	1400.7	658.48	273.784	1373.54	660.62	194.153	1364.72	638.915	90.7073	1359.63	627.514	42.5484	1360.09	658.374	58.9282	1403.29	740.66	786.187	1039.99	742.904	675.508	1042.94	695.698	788.815	1092.79	689.793	678.13	1093.49	708.867	271.347	1031.3	713.447	191.554	1043.47	665.516	274.699	1063.12	670.475	190.636	1071.83	641.81	90.5035	1088.82	633.301	43.0139	1085.1	663.418	60.3607	1046.77	760.941	966.672	1384.43	733.761	553.323	1386.73	730.558	540.036	1270.54	730.952	491.574	1397.44	780.486	462.709	1343.63	702	110.465	1397.32	720.017	116.629	1314.71	850.19	64.4267	1319.65	829.714	56.3788	1427.11	855.094	73.1926	1362.03	799.391	965.523	1056.43	751.973	550.546	1051.99	732.07	539.827	1161.96	734.249	490.424	1039.74	785.956	461.614	1091.7	705.061	108.771	1050.91	725.534	119.268	1129	854.931	62.8234	1133.48	827.112	56.5772	1026.7	861.021	69.6679	1088.64
0.033	854.856	1060.78	1337.01	876.876	1067.35	1126.46	695.065	1097.75	1257.76	698.986	1098.93	1181.05	791.438	1135.6	1358.41	815.539	1135.08	1089.57	725.111	761.819	1398.57	733.208	651.227	1396.25	676.64	760.422	1347.76	679.145	650.406	1345.44	698.12	271.261	1410.59	701.955	190.511	1400.7	658.482	273.791	1373.53	660.631	194.147	1364.71	638.919	90.7114	1359.63	627.517	42.545	1360.1	658.372	58.9336	1403.28	740.711	786.187	1039.99	742.957	675.51	1042.94	695.746	788.816	1092.77	689.821	678.137	1093.48	708.883	271.356	1031.3	713.466	191.546	1043.47	665.524	274.703	1063.12	670.476	190.635	1071.82	641.811	90.5048	1088.83	633.3	43.0134	1085.09	663.422	60.358	1046.78	760.954	966.666	1384.43	733.776	553.318	1386.73	730.578	540.041	1270.54	730.968	491.563	1397.44	780.497	462.709	1343.64	701.996	110.466	1397.32	720.019	116.624	1314.71	850.199	64.429	1319.66	829.715	56.3846	1427.12	855.092	73.1919	1362.03	799.437	965.51	1056.44	751.994	550.535	1051.99	732.085	539.82	1161.96	734.281	490.416	1039.75	785.971	461.602	1091.71	705.072	108.773	1050.9	725.539	119.258	1129	854.935	62.8212	1133.49	827.106	56.5691	1026.7	861.027	69.6594	1088.65
0.04	854.868	1060.77	1337.03	876.913	1067.36	1126.48	695.088	1097.74	1257.75	699.025	1098.93	1181.04	791.451	1135.61	1358.42	815.595	1135.09	1089.59	725.127	761.816	1398.56	733.218	651.227	1396.26	676.66	760.416	1347.76	679.163	650.396	1345.43	698.124	271.26	1410.58	701.956	190.508	1400.7	658.491	273.791	1373.53	660.633	194.148	1364.7	638.92	90.7087	1359.63	627.515	42.5441	1360.09	658.37	58.932	1403.29	740.763	786.176	1039.98	743	675.509	1042.93	695.792	788.813	1092.77	689.867	678.136	1093.48	708.887	271.356	1031.3	713.464	191.55	1043.47	665.541	274.704	1063.1	670.492	190.644	1071.82	641.819	90.5034	1088.82	633.302	43.015	1085.1	663.425	60.3584	1046.78	760.956	966.667	1384.43	733.797	553.315	1386.73	730.598	540.037	1270.54	730.986	491.563	1397.44	780.513	462.707	1343.65	702.005	110.465	1397.32	720.018	116.618	1314.72	850.193	64.4195	1319.65	829.719	56.3773	1427.12	855.087	73.183	1362.04	799.493	965.514	1056.44	752.021	550.528	1051.98	732.102	539.823	1161.96	734.306	490.42	1039.74	785.999	461.604	1091.71	705.073	108.769	1050.91	725.533	119.272	1129.02	854.934	62.8242	1133.49	827.103	56.5738	1026.69	861.028	69.6546	1088.66
0.047	854.883	1060.78	1337.03	876.955	1067.36	1126.49	695.111	1097.74	1257.74	699.059	1098.93	1181.03	791.471	1135.61	1358.41	815.655	1135.1	1089.6	725.137	761.814	1398.57	733.233	651.217	1396.24	676.678	760.405	1347.75	679.184	650.39	1345.42	698.126	271.267	1410.58	701.955	190.507	1400.7	658.497	273.795	1373.53	660.635	194.152	1364.7	638.919	90.7151	1359.63	627.52	42.542	1360.09	658.372	58.9259	1403.28	740.801	786.184	1039.97	743.041	675.507	1042.93	695.833	788.818	1092.76	689.903	678.136	1093.45	708.894	271.357	1031.29	713.477	191.55	1043.47	665.546	274.706	1063.1	670.498	190.634	1071.83	641.814	90.506	1088.83	633.302	43.0129	1085.12	663.423	60.3524	1046.79	760.965	966.662	1384.43	733.813	553.309	1386.71	730.614	540.029	1270.54	731.007	491.567	1397.43	780.527	462.707	1343.64	702.005	110.462	1397.33	720.019	116.626	1314.71	850.195	64.4248	1319.66	829.719	56.3895	1427.12	855.09	73.183	1362.05	799.536	965.507	1056.45	752.043	550.54	1051.99	732.116	539.824	1161.96	734.33	490.407	1039.75	786.016	461.593	1091.71	705.072	108.77	1050.91	725.542	119.27	1129.02	854.934	62.8214	1133.49	827.112	56.569	1026.7	861.023	69.6535	1088.65
0.053	854.904	1060.77	1337.03	876.997	1067.36	1126.5	695.139	1097.74	1257.74	699.091	1098.92	1181.01	791.492	1135.6	1358.42	815.706	1135.11	1089.61	725.148	761.806	1398.56	733.25	651.209	1396.25	676.699	760.404	1347.74	679.196	650.391	1345.41	698.138	271.271	1410.59	701.961	190.516	1400.7	658.507	273.789	1373.53	660.636	194.156	1364.7	638.914	90.7144	1359.62	627.509	42.543	1360.09	658.374	58.9279	1403.28	740.846	786.182	1039.97	743.081	675.514	1042.92	695.887	788.806	1092.75	689.949	678.133	1093.44	708.915	271.363	1031.3	713.474	191.554	1043.47	665.559	274.717	1063.09	670.505	190.651	1071.81	641.812	90.5055	1088.83	633.302	43.0143	1085.11	663.423	60.3548	1046.78	760.971	966.667	1384.43	733.83	553.31	1386.72	730.635	540.028	1270.53	731.024	491.562	1397.43	780.555	462.705	1343.63	702.001	110.46	1397.32	720.03	116.62	1314.72	850.199	64.4197	1319.66	829.717	56.3801	1427.12	855.091	73.1907	1362.04	799.588	965.501	1056.45	752.064	550.524	1051.97	732.125	539.839	1161.95	734.363	490.419	1039.74	786.044	461.591	1091.73	705.067	108.782	1050.91	725.549	119.276	1129.02	854.938	62.8204	1133.49	827.107	56.5657	1026.69	861.03	69.6579	1088.65
0.06	854.926	1060.77	1337.04	877.03	1067.36	1126.52	695.163	1097.74	1257.73	699.123	1098.92	1181	791.518	1135.61	1358.45	815.754	1135.13	1089.64	725.166	761.803	1398.56	733.264	651.217	1396.25	676.723	760.398	1347.74	679.219	650.383	1345.4	698.156	271.264	1410.59	701.978	190.505	1400.7	658.516	273.791	1373.52	660.648	194.156	1364.7	638.919	90.7216	1359.63	627.516	42.5455	1360.1	658.375	58.9294	1403.29	740.888	786.178	1039.96	743.132	675.508	1042.91	695.931	788.813	1092.73	689.983	678.127	1093.44	708.922	271.365	1031.29	713.489	191.554	1043.47	665.565	274.718	1063.09	670.505	190.666	1071.81	641.816	90.5096	1088.83	633.303	43.0125	1085.11	663.43	60.3569	1046.79	760.994	966.657	1384.42	733.857	553.311	1386.72	730.664	540.028	1270.54	731.048	491.561	1397.43	780.568	462.686	1343.64	702.002	110.462	1397.33	720.022	116.618	1314.71	850.198	64.4187	1319.67	829.722	56.3857	1427.13	855.098	73.1848	1362.05	799.626	965.494	1056.45	752.099	550.518	1051.97	732.157	539.828	1161.96	734.383	490.415	1039.74	786.061	461.59	1091.71	705.077	108.771	1050.91	725.549	119.268	1129.01	854.939	62.8089	1133.49	827.115	56.5647	1026.7	861.032	69.6521	1088.66
