Time	L.ASISX	L.ASISY	L.ASISZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.PSISX	L.PSISY	L.PSISZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	R.ASISX	R.ASISY	R.ASISZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.PSISX	R.PSISY	R.PSISZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ
0.0	2420.26	992.218	963.925	2248.017	36.936	1112.201	2269.7	54.549	1068.701	2260.437	83.4	1115.907	2359.488	1050.856	933.803	2478.431	44.532	1114.677	2424.946	47.93	1016.781	2253.726	1026.273	1048.6	2363.526	163.191	1037.409	2322.745	180.976	1063.015	2381.952	237.127	1009.386	2341.94	259.276	1037.721	2421.594	598.38	950.747	2377.955	588.611	1009.424	2370.088	694.2	932.033	2329.579	685.857	987.148	2428.555	966.182	1175.666	1909.182	495.394	1138.246	1921.447	466.961	1184.315	1956.58	484.002	1143.7	2380.616	1041.556	1210.094	1916.528	297.092	1210.075	1935.311	272.989	1104.49	2262.562	1019.2	1122.966	2057.945	432.939	1196.581	2055.391	472.908	1160.329	2136.615	450.048	1208.505	2133.488	489.289	1171.738	2390.466	543.565	1220.158	2340.022	534.566	1166.274	2355.98	648.042	1231.687	2306.586	637.987	1182.76
0.007	2418.855	990.269	964.057	2224.397	37.268	1111.627	2246.146	54.658	1068.012	2236.889	83.594	1115.158	2356.676	1048.338	934.112	2454.688	44.171	1114.18	2400.64	47.838	1015.818	2252.197	1025.132	1049.437	2343.525	162.582	1036.314	2302.772	181.486	1061.121	2364.733	235.664	1008.512	2324.743	258.944	1035.826	2414.077	595.242	949.953	2369.808	585.931	1007.965	2364.582	692.199	931.529	2323.686	684.418	986.345	2427.458	964.619	1175.015	1923.538	492.772	1140.313	1937.278	465.218	1186.385	1971.161	482.244	1144.94	2377.468	1039.503	1210.97	1935.576	295.524	1214.322	1952.628	270.517	1108.362	2260.623	1017.431	1123.747	2073.937	431.691	1197.939	2071.067	471.816	1161.888	2152.599	449.04	1209.662	2149.244	488.489	1173.161	2403.573	543.311	1221.253	2352.636	532.309	1168.092	2365.203	646.439	1233.347	2315.817	634.595	1184.834
0.013	2418.054	988.939	964.259	2200.811	37.668	1111.174	2222.61	54.926	1067.612	2213.396	84.03	1114.756	2353.99	1046.637	934.715	2430.858	43.932	1113.85	2377.036	47.675	1015.433	2251.027	1024.501	1049.805	2322.781	162.122	1035.421	2282.385	182.351	1060.237	2346.171	234.332	1007.587	2306.728	258.912	1034.814	2405.936	592.348	948.998	2360.743	583.595	1006.543	2358.523	690.546	930.869	2317.139	683.221	985.18	2425.188	963.097	1175.694	1937.602	488.983	1142.418	1953.014	462.209	1188.502	1985.576	479.436	1146.328	2374.866	1038.247	1211.663	1956.216	292.292	1216.861	1970.659	267.118	1111.816	2258.949	1016.317	1124.153	2089.835	429.935	1199.331	2086.487	470.735	1163.308	2168.45	447.859	1210.62	2164.511	487.63	1174.551	2416.75	544.553	1222.161	2366.122	531.614	1169.939	2374.555	646.22	1234.858	2324.991	632.331	1187.102
0.02	2416.767	987.159	965.015	2177.301	38.305	1111.021	2199.178	55.536	1067.508	2190.177	84.668	1114.685	2352.024	1045.396	935.274	2407.228	43.647	1113.61	2353.592	47.462	1015.372	2250.008	1024.381	1049.928	2301.649	162.004	1034.793	2261.852	183.196	1059.534	2327.036	233.356	1006.845	2288.301	258.891	1033.982	2396.531	590.04	947.896	2350.673	581.969	1004.937	2351.791	689.492	930.142	2309.795	682.923	984.084	2423.168	962.464	1176.537	1951.338	483.921	1144.444	1968.557	458.381	1190.938	1999.634	475.468	1147.697	2372.398	1037.743	1212.372	1976.84	288.369	1220.014	1989.297	262.751	1114.865	2257.342	1016.061	1124.297	2105.678	427.498	1200.781	2101.591	468.309	1164.615	2184.035	446.572	1211.53	2179.313	486.587	1175.842	2429.775	547.417	1222.914	2379.002	532.384	1171.364	2383.882	647.272	1236.181	2333.871	631.13	1189.6
0.027	2415.681	985.92	965.523	2153.893	38.982	1110.989	2175.719	56.226	1067.397	2166.902	85.404	1114.645	2350.654	1044.816	935.76	2383.418	43.386	1113.453	2329.943	47.302	1015.148	2249.246	1024.923	1049.856	2280.616	162.09	1034.491	2240.931	184.239	1059.299	2307.355	232.852	1006.366	2269.225	259.637	1033.439	2386.375	588.376	946.802	2339.715	581.101	1003.536	2344.492	689.062	929.377	2301.574	683.407	982.876	2421.449	962.43	1177.35	1964.879	477.616	1147.041	1983.819	452.8	1192.959	2013.295	470.455	1149.06	2370.204	1037.836	1213.14	1998.12	283.491	1223.168	2008.531	257.438	1117.642	2256.239	1016.568	1124.219	2121.365	425.026	1201.428	2116.341	465.53	1165.859	2199.397	445.217	1212.309	2193.676	485.365	1176.925	2442.38	551.684	1223.487	2391.377	534.347	1172.849	2392.568	649.903	1237.175	2342.278	631.113	1192.028
0.033	2415.373	985.154	966.183	2130.44	39.906	1111.034	2152.334	57.153	1067.347	2143.683	86.284	1114.665	2350.115	1044.933	936.24	2359.589	43.235	1113.258	2306.401	47.111	1015.088	2249.029	1026.003	1049.695	2258.403	162.557	1034.134	2219.515	185.778	1058.646	2287.018	232.836	1006.119	2249.498	260.376	1033.142	2375.188	587.217	946.635	2327.691	581.17	1002.436	2336.347	689.079	928.77	2293.175	684.636	982.147	2420.232	962.96	1178.039	1978.272	470.105	1149.089	1998.868	445.943	1194.569	2027.144	465.56	1149.219	2368.524	1038.469	1213.759	2019.055	277.464	1225.264	2028.262	251.199	1118.962	2255.383	1017.866	1123.985	2136.656	421.529	1202.276	2130.575	462.334	1166.864	2214.433	443.747	1212.828	2207.506	484.047	1177.757	2454.276	557.235	1223.969	2403.3	537.554	1174.255	2400.901	653.561	1237.752	2350.347	632.305	1194.141
0.04	2415.4	984.841	966.763	2106.935	41.591	1111.118	2128.894	58.426	1067.22	2120.495	87.784	1114.503	2350.286	1045.914	936.615	2335.763	43.066	1113.023	2282.605	47.13	1014.99	2249.057	1027.833	1049.41	2236.415	163.557	1033.947	2197.829	187.347	1058.637	2266.219	233.308	1005.966	2229.284	261.509	1033.116	2363.204	586.703	946.305	2315.27	582.04	1001.992	2327.773	689.764	928.553	2284.479	686.712	981.982	2419.335	964.125	1178.456	1991.219	460.937	1150.453	2013.592	437.802	1195.934	2040.653	458.102	1149.889	2367.383	1039.786	1214.244	2040.32	269.959	1226.376	2048.878	244.107	1120.836	2254.996	1019.713	1123.77	2151.786	417.523	1202.848	2144.454	458.497	1167.726	2228.963	442.264	1213.144	2220.668	482.525	1178.349	2465.451	563.877	1224.534	2414.39	541.863	1175.543	2408.564	658.235	1238.432	2357.93	634.53	1195.859
0.047	2415.405	985.256	967.209	2083.475	44.048	1110.723	2105.652	60.444	1066.715	2097.54	90.177	1113.885	2350.648	1047.613	936.822	2311.785	43.043	1112.893	2258.948	46.97	1014.969	2249.432	1030.196	1049.148	2214.211	164.896	1033.725	2176.181	189.283	1058.423	2245.179	234.271	1005.96	2208.96	262.673	1033.36	2350.491	586.966	946.355	2302.318	583.92	1002.025	2318.821	691.179	928.791	2275.613	689.577	982.265	2419.066	965.987	1178.602	2004.058	450.896	1151.409	2027.904	428.69	1197.064	2053.384	449.803	1150.241	2366.808	1041.751	1214.612	2062.126	262.611	1228.405	2070.246	236.321	1122.401	2254.906	1022.212	1123.569	2166.767	413.15	1203.127	2157.868	454.015	1168.261	2243.135	440.592	1213.268	2233.329	480.695	1178.597	2475.723	571.332	1224.69	2425.257	547.195	1176.588	2415.483	663.599	1238.842	2365.252	637.476	1197.238
0.053	2415.581	986.131	967.378	2060.082	47.326	1110.255	2082.543	62.854	1066.157	2074.713	93.124	1113.026	2352.374	1050.116	936.988	2287.569	43.069	1112.596	2235.338	46.866	1014.944	2249.883	1033.121	1048.963	2192.207	167.065	1033.349	2154.198	191.976	1057.9	2224.077	236.086	1005.85	2187.265	265.58	1032.681	2337.345	588.069	946.922	2289.171	586.815	1002.599	2309.552	693.343	929.37	2266.736	693.339	983.21	2419.677	968.512	1178.114	2017.077	439.428	1152.355	2042.073	418.665	1197.595	2066.089	440.495	1150.23	2366.663	1044.463	1214.718	2084.159	254.041	1229.313	2092.887	227.352	1124.349	2255.122	1025.42	1123.507	2181.65	408.334	1203.106	2171.008	448.764	1168.347	2256.926	438.637	1213.113	2245.329	478.412	1178.568	2485.303	579.387	1224.808	2435.206	553.198	1177.462	2423.429	669.622	1238.356	2372.439	641.707	1198.07
0.06	2415.939	987.63	967.325	2036.949	51.319	1109.766	2059.515	66.051	1065.429	2052.272	96.952	1111.802	2354.465	1053.253	937.091	2263.904	43.284	1112.62	2211.595	46.962	1014.748	2250.87	1036.692	1048.851	2170.103	170.063	1032.879	2132.229	195.028	1057.714	2202.753	238.8	1005.637	2167.041	268.241	1032.814	2324.042	590.06	947.808	2275.96	590.933	1003.648	2300.328	696.279	930.132	2257.574	698.166	984.251	2419.063	971.837	1178.497	2030.246	427.001	1152.786	2056.703	408.336	1198.071	2079.094	430.033	1150.264	2367.402	1047.958	1214.713	2106.405	244.912	1229.858	2114.731	218.812	1123.874	2255.881	1029.12	1123.435	2196.364	402.954	1202.934	2183.862	443.066	1168.141	2270.306	436.491	1212.712	2256.913	475.766	1178.396	2494.302	587.745	1224.665	2444.634	559.769	1177.974	2429.9	676.185	1238.383	2379.605	647.004	1198.265
