Time	Fx	Fy	Fz	COPx	COPy	COPz	Ty
1	-128.78	1718.29	-74.77	2117.64	0.0	1552.29	13298.91
2	-105.74	1748.81	-76.68	2104.63	0.0	1552.08	19883.12
3	-104.6	1761.02	-64.47	2099.89	0.0	1552.42	20350.88
4	-69.73	1767.88	-71.56	2091.01	0.0	1552.56	15951.65
5	-67.75	1778.41	-79.42	2085.01	0.0	1552.54	15124.41
6	-60.65	1787.11	-69.2	2080.05	0.0	1553.19	17960.42
7	-43.87	1777.8	-73.55	2067.17	0.0	1552.53	19156.65
8	-40.74	1789.25	-86.44	2069.6	0.0	1551.21	20550.22
9	-38.76	1758.12	-65.0	2054.85	0.0	1554.96	17220.84
10	-19.0	1763.31	-63.1	2055.69	0.0	1552.88	19200.56
11	-23.65	1719.36	-65.0	2045.39	0.0	1553.27	17615.96
12	-6.18	1717.68	-64.93	2043.62	0.0	1553.3	19408.73
13	-10.45	1700.13	-59.43	2035.41	0.0	1553.98	17623.22
14	-6.56	1652.98	-67.83	2024.72	0.0	1555.38	13153.15
15	10.22	1657.41	-80.49	2034.29	0.0	1552.89	16509.94
16	-2.75	1578.52	-70.88	2012.71	0.0	1555.88	18754.29
17	29.83	1578.37	-72.94	2022.06	0.0	1555.38	12458.95
18	13.05	1502.99	-79.27	2000.72	0.0	1555.98	12777.24
19	38.38	1484.99	-76.29	2009.77	0.0	1554.77	14454.54
20	26.78	1427.61	-70.27	1996.52	0.0	1555.6	11998.66
21	38.68	1392.67	-70.11	1992.62	0.0	1556.31	15218.99
22	47.3	1357.88	-69.96	1985.52	0.0	1557.4	7997.02
23	58.52	1328.74	-60.96	1979.66	0.0	1555.08	12301.19
24	79.04	1288.3	-60.04	1976.01	0.0	1554.59	13206.41
25	92.09	1245.88	-64.85	1964.96	0.0	1554.89	11801.23
26	104.22	1212.62	-44.48	1959.89	0.0	1556.36	14468.64
27	111.16	1178.89	-44.71	1949.25	0.0	1552.62	7771.78
28	126.27	1129.0	-45.01	1942.23	0.0	1554.36	8851.51
29	131.15	1092.07	-32.81	1942.38	0.0	1553.4	15503.49
30	132.98	1040.19	-23.19	1924.76	0.0	1553.97	5329.81
31	151.44	1012.12	-28.46	1928.22	0.0	1552.62	6811.08
32	143.74	939.18	-26.09	1905.2	0.0	1552.84	13154.43
33	154.57	913.39	-15.18	1916.96	0.0	1552.25	5129.87
34	154.42	859.07	-15.95	1906.33	0.0	1550.87	6871.03
35	156.78	800.63	-17.4	1892.3	0.0	1550.28	10228.9
36	157.09	775.45	-4.65	1889.74	0.0	1552.72	2844.59
37	152.59	706.94	-3.13	1877.66	0.0	1551.07	6583.26
38	158.84	675.05	-13.43	1890.5	0.0	1546.44	10567.63
39	140.76	605.62	1.75	1832.99	0.0	1554.93	331.42
40	155.49	587.46	0.15	1881.75	0.0	1547.86	5085.6
41	145.26	516.05	-9.69	1845.06	0.0	1542.61	8707.26
42	142.29	496.98	-6.03	1856.79	0.0	1545.87	8824.55
43	124.89	441.74	6.18	1811.44	0.0	1555.63	-355.81
44	135.04	410.16	-4.58	1849.77	0.0	1546.05	5053.87
45	121.46	372.01	-7.25	1851.44	0.0	1540.03	7697.14
46	111.24	330.05	5.49	1804.77	0.0	1552.22	5139.1
47	98.11	298.61	0.15	1791.89	0.0	1555.28	2195.64
48	95.98	253.14	-10.3	1807.31	0.0	1541.88	4706.88
49	83.39	242.0	-5.19	1847.36	0.0	1539.72	7752.38
50	65.08	187.84	1.83	1776.7	0.0	1556.73	4325.23
51	76.98	183.72	-5.57	1832.03	0.0	1538.39	6506.11
52	46.46	146.03	-3.28	1777.07	0.0	1547.97	4270.92
53	46.69	138.55	-3.28	1859.34	0.0	1536.54	3350.68
54	36.47	100.86	1.83	1738.54	0.0	1556.17	5604.29
55	34.1	102.39	-3.89	1893.04	0.0	1541.96	5438.73
56	32.73	77.36	-6.26	1880.2	0.0	1518.14	3997.26
57	15.72	62.1	-4.96	1677.37	0.0	1533.05	3138.66
58	24.72	56.76	2.21	1866.28	0.0	1574.2	5361.78
59	18.62	41.05	-2.21	1847.62	0.0	1518.3	6553.45
60	12.51	40.89	-5.19	1859.56	0.0	1496.91	1496.56
61	16.1	32.35	-1.3	1713.07	0.0	1550.08	2622.96
62	9.77	35.71	-0.84	1940.28	0.0	1525.66	6700.56
63	7.25	26.25	-2.9	2160.12	0.0	1454.14	424.27
64	5.95	19.84	-0.46	1419.65	0.0	1458.35	5867.24
65	-1.68	26.4	-0.76	2163.65	0.0	1526.19	3329.33
66	-2.75	11.9	-4.73	1584.0	0.0	1375.82	-179.58
67	12.59	25.79	-0.69	2217.27	0.0	1479.01	7109.4
68	-11.98	11.75	0.08	1503.84	0.0	1504.25	2575.42
69	13.28	24.11	-4.35	2249.66	0.0	1457.58	1057.25
70	-6.56	16.94	-2.59	1524.27	0.0	1481.18	5971.82
71	4.81	21.82	2.9	2253.7	0.0	1555.1	1026.58
72	-1.37	12.05	-5.57	1348.56	0.0	1360.0	6779.15
73	3.74	19.68	-4.35	2287.51	0.0	1375.93	2892.37
74	-3.2	7.78	-3.05	740.86	0.0	1423.41	3688.29
75	7.1	25.48	-0.23	2220.84	0.0	1510.96	5514.09
76	-7.93	8.39	-5.19	1322.09	0.0	1353.97	4191.45
77	10.3	26.86	-3.89	1954.75	0.0	1403.97	1186.0
78	-3.74	10.99	1.22	1799.45	0.0	1689.53	4201.36
79	-0.46	24.11	-8.01	1947.45	0.0	1401.5	3907.75
80	0.46	11.14	-2.06	1983.86	0.0	1462.78	1406.42
81	-0.15	23.5	-2.98	2085.27	0.0	1425.96	4731.76
82	-0.53	19.84	-3.81	2005.52	0.0	1517.35	1833.7
83	6.1	15.72	-1.45	2047.06	0.0	1420.91	2613.85
84	0.76	20.45	-2.06	2204.78	0.0	1492.64	4970.89
85	-7.1	15.87	-3.81	1680.75	0.0	1438.27	462.5
86	-8.39	31.13	-2.67	1990.05	0.0	1405.94	2194.2
87	-1.37	98.27	-10.15	2227.67	0.0	1410.96	6200.96
88	67.83	72.94	-18.31	2267.13	0.0	1400.54	1892.2
89	22.43	131.68	-9.0	2105.32	0.0	1407.85	3067.36
90	44.86	187.53	2.06	2206.21	0.0	1421.03	7857.9
91	62.79	222.93	3.81	2196.69	0.0	1391.37	1140.62
92	31.2	324.71	17.09	2208.71	0.0	1409.21	12074.89
93	45.47	373.38	20.22	2170.16	0.0	1421.1	10644.33
94	43.87	478.36	-20.9	2206.29	0.0	1398.95	-2578.28
95	6.79	617.22	-15.34	2209.36	0.0	1402.52	10850.32
96	21.36	873.26	-15.11	2206.07	0.0	1406.54	6645.51
97	-81.94	942.08	29.37	2197.74	0.0	1402.84	-429.1
98	-90.18	1216.58	42.72	2206.72	0.0	1403.1	2922.53
99	-170.75	1278.69	79.42	2200.41	0.0	1409.63	14244.29
100	-142.97	1362.76	80.34	2195.05	0.0	1406.43	11728.46
101	-78.28	1355.59	19.99	2210.58	0.0	1410.66	5656.89
102	-98.34	1397.55	-20.68	2188.83	0.0	1407.3	7263.12
103	-77.29	1371.46	6.94	2198.76	0.0	1410.91	-2200.09
104	-106.89	1448.82	-14.72	2187.25	0.0	1409.65	3658.54
105	-119.25	1395.26	-22.66	2186.56	0.0	1407.44	17598.98
106	-116.73	1465.3	-0.0	2178.68	0.0	1412.65	-2880.98
107	-129.55	1431.43	3.36	2176.33	0.0	1408.82	3632.12
108	-136.95	1455.08	-3.66	2175.61	0.0	1405.89	11411.76
109	-144.96	1452.79	42.5	2169.76	0.0	1410.4	-1304.53
110	-143.59	1482.85	56.76	2164.44	0.0	1406.36	13189.75
111	-140.53	1506.35	50.35	2163.73	0.0	1404.05	11119.54
112	-157.17	1526.79	70.65	2152.83	0.0	1405.98	1383.81
113	-158.39	1611.02	100.56	2150.2	0.0	1402.81	16353.11
114	-159.91	1605.99	98.65	2139.48	0.0	1401.95	7113.51
115	-131.45	1692.2	96.89	2139.88	0.0	1403.02	12385.22
116	-133.36	1680.91	126.72	2121.38	0.0	1400.94	13172.16
117	-95.9	1739.96	107.42	2125.35	0.0	1402.27	7867.13
118	-97.96	1752.93	88.42	2122.53	0.0	1398.65	14826.06
119	-90.56	1759.19	124.05	2105.54	0.0	1400.28	14422.84
120	-65.31	1791.99	114.52	2105.81	0.0	1402.01	6374.16
121	-75.45	1756.59	91.86	2096.17	0.0	1396.42	11653.4
122	-43.49	1801.91	107.42	2095.11	0.0	1398.37	12637.03
123	-41.5	1765.29	118.18	2075.82	0.0	1399.72	3773.68
124	-30.21	1777.65	97.66	2083.29	0.0	1396.88	18341.59
125	-19.3	1755.83	105.59	2074.49	0.0	1397.23	8214.89
126	-12.97	1733.09	114.52	2063.47	0.0	1397.2	6955.07
127	-7.02	1710.05	101.24	2055.29	0.0	1397.08	13037.12
128	10.91	1673.28	98.88	2053.84	0.0	1396.98	8334.94
129	14.65	1643.98	104.37	2057.75	0.0	1395.59	10687.54
130	15.34	1599.58	99.18	2034.49	0.0	1396.79	10363.22
131	23.88	1561.28	94.6	2032.11	0.0	1397.18	6573.28
132	29.53	1507.26	102.69	2043.95	0.0	1393.16	11788.55
133	25.25	1467.29	99.79	2031.45	0.0	1394.07	11992.77
134	32.81	1396.33	98.34	2030.99	0.0	1394.71	14755.72
