Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.KneeX	R.KneeY	R.KneeZ	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.MT2X	R.MT2Y	R.MT2Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.MT2X	L.MT2Y	L.MT2Z	R.ASYX	R.ASYY	R.ASYZ
0.0	2290.487	1053.733	1586.76	2299.921	1030.218	1366.613	2117.098	1100.606	1518.25	2129.421	1099.212	1415.004	2218.219	1126.393	1633.479	2267.861	1126.472	1331.498	2301.563	771.815	1651.012	2357.535	679.083	1641.826	2247.496	745.13	1620.111	2300.898	649.442	1606.987	2424.633	270.855	1612.918	2445.881	194.484	1596.986	2385.984	268.34	1575.307	2406.167	192.404	1558.208	2424.202	70.554	1524.173	2430.221	27.466	1514.174	2450.623	39.907	1569.857	2126.656	776.579	1309.324	2111.701	667.806	1318.83	2080.734	789.516	1358.801	2060.43	681.354	1366.626	1800.661	564.38	1370.853	1720.859	558.19	1386.46	1807.041	597.705	1411.788	1723.866	592.166	1424.654	1650.088	616.453	1456.731	1618.28	645.485	1472.521	1607.486	618.968	1423.859																			2639.235	115.462	1521.902	2600.312	75.373	1618.211																									1520.277	441.085	1497.995	1506.717	494.005	1403.274				2582.981	128.545	1565.827
0.007	2289.548	1049.207	1588.397	2299.095	1025.048	1367.567	2115.427	1094.453	1517.864	2127.85	1092.568	1414.889	2216.298	1120.343	1634.248	2266.463	1120.195	1331.35	2300.021	766.378	1651.964	2355.815	674.22	1641.054	2245.406	739.57	1621.845	2298.666	644.162	1607.608	2410.753	265.292	1614.553	2429.044	188.018	1598.202	2371.425	264.187	1577.688	2388.405	187.463	1560.349	2401.016	70.88	1525.855	2402.707	28.312	1515.112	2423.803	37.221	1571.374	2131.234	767.968	1309.84	2119.86	658.913	1318.551	2085.48	778.987	1360.028	2069.385	670.115	1367.719	1817.511	567.891	1369.206	1738.239	564.706	1385.461	1825.985	600.265	1410.579	1742.818	598.451	1423.624	1669.026	625.166	1456.631	1638.543	656.341	1471.788	1626.547	631.026	1421.945																			2617.747	98.195	1520.809	2576.0	59.413	1617.97																									1533.077	455.234	1495.269	1522.629	509.152	1400.682				2563.725	115.095	1565.787
0.013	2288.104	1044.392	1589.647	2298.008	1019.439	1368.403	2113.325	1088.297	1517.739	2125.942	1085.613	1414.747	2215.317	1114.766	1634.917	2264.893	1113.544	1331.256	2297.175	760.363	1653.767	2353.564	668.524	1641.812	2242.391	733.317	1624.025	2296.244	638.547	1607.99	2397.36	260.401	1616.133	2413.55	182.731	1599.021	2357.142	260.464	1580.214	2371.189	183.302	1562.743	2377.755	71.902	1528.208	2375.685	29.911	1516.512	2397.691	35.173	1572.695	2135.823	759.396	1310.651	2128.189	650.078	1318.09	2090.058	768.538	1360.806	2078.174	659.08	1368.519	1836.02	569.594	1368.097	1756.669	569.625	1384.523	1845.577	601.51	1409.32	1762.448	603.121	1422.339	1689.502	633.063	1456.173	1659.611	664.269	1471.157	1647.508	640.402	1420.707																			2595.984	81.704	1518.689	2553.052	47.29	1617.822																									1547.482	466.966	1492.313	1540.029	521.716	1397.758				2544.11	102.239	1564.663
0.02	2285.873	1039.375	1590.172	2296.466	1013.473	1369.158	2110.35	1082.462	1517.967	2123.687	1078.208	1415.122	2214.009	1108.505	1635.671	2262.901	1106.534	1331.195	2292.928	755.001	1655.113	2349.801	663.611	1643.717	2238.658	728.439	1624.347	2292.879	633.719	1608.965	2385.266	256.589	1617.107	2396.244	177.398	1601.009	2343.729	257.924	1582.706	2354.82	180.268	1564.979	2353.206	73.084	1529.94	2348.389	31.422	1518.511	2371.469	35.338	1574.202	2140.539	750.91	1310.523	2136.686	641.34	1317.552	2094.515	758.252	1360.938	2086.875	648.329	1368.487	1855.243	569.918	1366.697	1776.019	572.51	1382.951	1865.804	601.283	1408.046	1782.957	605.754	1421.558	1710.802	638.328	1455.475	1681.708	670.502	1470.145	1669.16	647.445	1419.258																			2572.656	66.667	1513.727	2530.145	45.133	1618.705																									1563.42	476.291	1489.076	1558.88	531.844	1394.674				2522.373	95.158	1561.646
0.027	2282.875	1034.577	1589.66	2294.295	1007.107	1369.887	2105.98	1076.798	1518.637	2119.671	1071.831	1414.825	2212.759	1101.995	1636.819	2260.752	1099.386	1331.086	2288.499	752.49	1656.639	2345.369	660.389	1645.735	2235.235	726.407	1623.828	2289.061	631.239	1609.565	2374.258	254.415	1616.331	2383.832	177.65	1597.223	2331.253	258.742	1584.23	2337.369	180.978	1565.465	2326.563	74.682	1527.857	2320.261	32.348	1518.271	2344.038	38.298	1573.606	2145.577	743.249	1310.342	2145.756	633.336	1316.769	2099.118	748.394	1360.729	2095.384	638.27	1367.461	1875.178	569.18	1365.145	1796.131	573.922	1381.093	1887.406	599.671	1406.52	1804.069	606.762	1420.219	1732.754	641.377	1454.256	1704.321	674.221	1469.335	1692.015	651.45	1418.538																			2545.495	60.455	1509.389	2502.048	47.94	1615.264																									1580.723	483.249	1485.887	1578.777	539.394	1391.8				2496.505	92.578	1556.375
0.033	2278.384	1030.224	1588.385	2290.979	1000.798	1370.893	2100.51	1070.946	1519.516	2114.808	1065.365	1415.068	2211.622	1095.441	1637.897	2258.068	1092.196	1330.531	2285.687	751.68	1657.93	2342.683	659.331	1647.555	2232.757	725.666	1624.408	2286.875	630.578	1610.284	2362.482	256.277	1613.608	2364.387	178.407	1593.229	2319.238	265.438	1583.831	2318.202	187.137	1563.381	2299.59	77.396	1524.525	2292.052	34.426	1516.721	2316.119	42.467	1571.638	2151.151	736.241	1309.97	2155.554	626.603	1315.504	2105.099	739.425	1360.08	2104.289	629.164	1365.522	1895.837	567.069	1363.278	1816.779	573.813	1379.16	1908.613	596.953	1404.993	1825.023	606.256	1417.715	1755.091	642.563	1452.696	1727.267	676.007	1467.665	1714.648	653.863	1416.545																			2518.263	57.56	1507.069	2474.224	48.291	1613.184																									1599.209	487.673	1483.024	1599.397	544.07	1389.128				2470.698	92.192	1553.026
0.04	2274.9	1026.679	1587.937	2287.406	994.952	1372.03	2095.351	1065.4	1519.444	2109.807	1059.143	1415.851	2210.039	1089.518	1638.686	2255.061	1085.156	1330.207	2282.865	750.167	1660.776	2342.113	659.475	1648.789	2230.231	723.248	1627.314	2286.588	629.539	1611.948	2349.983	261.44	1611.225	2344.953	182.83	1591.772	2305.75	272.223	1582.183	2299.547	194.708	1561.53	2272.845	80.002	1520.9	2263.957	36.725	1514.817	2288.908	46.445	1569.072	2157.661	730.832	1309.635	2165.675	621.524	1313.907	2110.818	731.789	1359.181	2113.642	621.425	1362.829	1916.711	563.672	1361.07	1837.896	572.415	1376.838	1930.372	593.534	1402.707	1846.751	604.637	1415.481	1777.204	641.909	1450.302	1749.871	675.939	1465.209	1737.191	653.59	1414.151																			2491.471	56.675	1506.785	2446.134	47.997	1612.463																									1618.86	489.464	1480.521	1620.452	545.655	1386.496				2444.863	91.869	1551.5
0.047				2283.066	989.888	1373.073	2090.928	1061.446	1518.517	2105.352	1054.335	1416.863	2208.724	1083.841	1639.167	2251.397	1078.543	1328.923	2278.571	748.268	1662.797	2339.477	658.403	1652.062	2226.338	720.273	1629.521	2284.695	627.295	1615.084	2331.312	263.227	1610.1	2323.349	185.164	1589.515	2287.803	275.826	1580.788	2278.7	198.762	1559.778	2245.388	81.635	1517.609	2235.467	38.152	1513.464	2260.416	49.879	1567.271	2164.874	726.847	1309.275	2177.447	617.556	1311.981	2117.374	724.985	1357.99	2123.859	614.71	1359.755	1938.086	559.932	1358.772	1859.055	570.319	1374.284	1952.183	589.549	1400.467	1868.587	602.035	1413.083	1798.729	639.821	1447.238	1771.74	674.164	1461.974	1758.863	651.749	1410.975																			2464.208	55.88	1506.163	2417.602	48.465	1611.25																									1639.509	488.659	1478.762	1641.581	543.972	1384.181				2418.061	90.798	1548.423
0.053	2268.016	1019.5	1591.414	2278.449	985.835	1374.01	2087.189	1058.263	1517.646	2102.098	1051.7	1418.142	2204.215	1079.618	1639.523	2246.547	1072.522	1327.499	2272.519	745.782	1663.652	2333.391	655.227	1653.986	2220.006	717.382	1630.437	2278.423	624.202	1617.627	2309.052	263.007	1609.574	2298.536	185.308	1588.134	2267.521	277.585	1578.343	2255.45	200.932	1556.824	2216.847	82.518	1515.885	2206.261	38.797	1512.507	2231.383	51.72	1566.234	2173.044	723.436	1308.966	2190.224	614.722	1310.206	2124.946	718.824	1356.889	2136.797	608.838	1356.595	1959.679	555.813	1356.543	1880.335	566.941	1371.742	1973.782	585.384	1398.497	1890.735	598.376	1411.098	1819.181	636.702	1443.896	1791.998	671.067	1457.963	1779.303	647.939	1407.386																			2435.749	55.125	1505.931	2388.272	48.613	1610.887																									1660.844	485.084	1477.638	1662.664	539.098	1382.259				2389.571	90.392	1547.871
0.06	2263.385	1016.928	1594.1	2274.312	982.818	1374.624	2083.925	1055.588	1516.844	2098.776	1049.623	1419.113	2196.791	1077.077	1639.633	2240.604	1068.108	1326.193	2264.088	741.468	1664.132	2323.357	650.247	1654.77	2211.683	714.442	1629.718	2268.556	620.394	1616.793	2285.861	262.878	1608.663	2271.599	185.334	1588.259	2246.064	279.009	1576.091	2230.61	202.836	1555.316	2187.279	82.875	1515.648	2176.419	39.29	1512.621	2201.543	52.206	1566.113	2181.455	721.71	1308.036				2133.903	713.393	1355.824				1981.192	551.712	1354.242	1902.152	562.349	1369.178	1994.997	581.366	1396.228	1912.399	594.157	1408.503	1838.302	632.533	1440.119	1810.486	666.697	1453.448	1798.24	642.311	1403.421																			2406.16	54.721	1506.204	2358.232	48.407	1611.219																2203.823	613.788	1308.129							1682.722	478.905	1477.306	1683.366	530.864	1380.629				2359.898	89.5	1547.873
