hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
	0.528361	-3.040063	-26.941394	2.619594	17.680235	15.357055	-10.285428	-8.878809	5.444461
	0.310366	-3.560761	-26.794336	2.890146	17.719747	16.774929	-10.263825	-8.758879	5.353972
	0.109121	-4.115497	-26.608214	3.042294	17.610257	18.481990	-9.092538	-8.490941	4.797591
	-0.169088	-4.578399	-26.423766	2.956438	16.882058	20.790618	-7.426877	-7.735234	3.548770
	-0.503863	-5.143767	-26.186875	2.737479	15.768126	23.403427	-5.140960	-6.832641	1.365807
	-0.977234	-5.411546	-26.017644	2.547349	14.724618	26.183170	-2.902961	-5.978644	-1.704984
	-1.594338	-5.538072	-25.739436	2.456136	14.086942	28.863347	-1.002246	-5.481578	-4.763466
	-2.350624	-5.634720	-25.352149	2.601266	13.561442	31.232464	0.418705	-4.910178	-7.279800
	-3.203594	-5.675393	-24.980767	2.989252	12.731792	33.479007	1.381955	-4.330964	-9.327248
	-4.025607	-5.697724	-24.599515	3.164815	11.764930	35.682643	2.052398	-3.729776	-11.249328
	-4.692171	-5.823899	-24.327712	3.055812	10.651711	37.605856	2.281468	-2.834705	-12.998600
	-5.253611	-6.089554	-24.102315	2.567184	9.694842	39.277232	2.605307	-1.489972	-14.626964
	-5.724848	-6.277478	-23.804705	2.036235	9.257278	40.606140	2.833481	-0.364310	-16.161954
	-5.883755	-6.470351	-23.508011	1.719141	8.916468	41.730746	3.027546	0.437767	-17.529135
	-5.932169	-6.607397	-23.027584	1.470686	8.680296	42.466908	3.302161	1.046791	-18.849243
	-5.931875	-6.351137	-22.374524	1.345170	8.508663	42.834478	3.609817	1.145504	-20.022090
	-5.869922	-5.884405	-21.455935	1.240260	8.607982	43.012833	3.967392	1.118268	-20.954311
	-5.706957	-5.405755	-20.297247	1.160363	8.688883	42.937260	4.269849	1.013125	-21.732319
	-5.493764	-5.110465	-19.009732	1.047715	8.451700	42.600851	4.501730	1.034998	-22.360981
	-5.295628	-4.987901	-17.663835	0.957579	8.422490	42.134791	4.640487	0.901530	-22.935234
	-5.136496	-5.006868	-16.241532	0.867752	8.445854	41.267420	4.656714	0.696415	-23.255175
	-5.033605	-4.842353	-14.663676	0.866252	8.513593	40.068913	4.669389	0.438461	-23.135286
	-4.942740	-4.811428	-13.017438	0.917606	8.567550	38.690743	4.626250	0.193203	-22.711147
	-4.857304	-5.052257	-11.327958	1.012644	8.556295	37.172623	4.494829	-0.068067	-22.029521
	-4.642835	-5.537240	-9.642999	1.142632	8.753442	35.549484	4.304884	-0.447442	-20.955278
	-4.395908	-5.923412	-7.928261	1.283170	9.270793	33.825847	4.056647	-0.967339	-19.662024
	-4.013322	-6.124843	-6.221343	1.426227	9.880709	32.032251	3.767586	-1.611384	-18.233284
	-3.577775	-6.354230	-4.564488	1.530976	10.527473	30.219356	3.460469	-2.413421	-16.460424
	-3.110471	-6.475182	-3.005756	1.697467	11.233241	28.490685	3.109098	-3.321080	-14.408624
	-2.680717	-6.452560	-1.428194	1.781685	11.979941	26.676599	2.642526	-4.370684	-12.094764
	-2.284692	-6.121940	0.103842	1.887263	12.797154	24.978643	2.195530	-5.481087	-9.453116
	-1.966570	-5.677583	1.642918	2.035155	13.646821	23.426590	1.680513	-6.710408	-6.456471
	-1.559355	-5.235390	3.109697	2.222435	14.340617	22.014468	0.904173	-7.881767	-3.263471
	-1.177734	-4.831070	4.341543	2.428804	14.930765	20.722621	-0.002784	-8.929953	0.007248
	-0.904363	-4.143079	5.433591	2.670763	15.616216	19.557616	-0.933247	-9.843150	3.280401
	-0.665737	-3.596541	6.354719	2.917301	16.109741	18.515178	-1.897664	-10.501119	6.441484
	-0.489305	-3.044360	7.147151	3.192853	16.340613	17.723388	-2.924364	-11.114381	9.535753
	-0.500561	-2.433609	7.830415	3.453481	16.483996	17.125025	-4.003139	-11.575054	12.476720
	-0.614448	-2.001221	8.284013	3.771424	16.582574	16.844087	-5.081050	-11.780948	15.202527
	-0.817210	-1.695574	8.583102	4.212219	16.762177	16.839678	-6.096566	-11.826697	17.638290
	-1.003092	-1.541945	8.792647	4.716396	17.085754	16.984614	-7.004774	-11.666818	19.649512
	-1.280464	-1.552700	8.884760	5.359583	17.218769	17.643383	-7.962593	-11.601932	21.356784
	-1.624934	-1.754292	8.799985	6.064837	17.464774	18.497973	-8.562907	-11.505955	22.663152
	-1.978722	-1.893048	8.588214	6.803648	17.618232	19.940208	-8.862949	-11.587008	23.481453
	-2.281726	-2.089523	8.230980	7.483287	17.355694	21.857369	-8.843131	-11.856544	23.733480
	-2.521535	-2.361667	7.779324	8.167544	16.888117	24.162195	-8.460674	-11.926184	23.522277
	-2.695182	-2.597043	7.203927	8.632958	16.178799	26.788831	-7.873521	-12.017895	22.620147
	-2.771949	-2.729898	6.559480	9.020267	15.423018	29.626281	-7.247170	-12.210156	21.540120
	-2.731902	-2.609148	5.926243	9.302201	14.554829	32.642559	-6.495623	-12.285227	20.218549
	-2.589372	-2.197070	5.225711	9.567640	13.525794	35.679365	-5.821450	-12.365189	18.906595
	-2.265062	-1.704510	4.482328	9.852726	12.441478	38.858812	-5.384535	-12.523941	17.606693
	-1.880654	-0.963220	3.705784	10.171368	11.283746	41.962791	-5.216445	-12.722664	16.393972
	-1.337260	0.012737	2.847196	10.576527	10.096619	45.243780	-5.303472	-12.838246	15.193223
	-0.770368	1.170581	1.875016	11.017716	8.931920	48.517857	-5.571620	-13.114725	14.002312
	-0.188536	2.274064	0.832790	11.520636	7.782819	51.811607	-5.843801	-13.231830	12.888186
	0.352430	3.156583	-0.295768	11.971058	6.984312	55.008555	-6.172950	-13.245407	11.740947
	0.856887	3.795367	-1.501223	12.340753	5.886279	58.178269	-6.329781	-12.935746	10.659586
	1.271666	4.292370	-2.829752	12.533720	4.927523	61.421329	-6.268134	-12.579614	9.468183
	1.654239	4.657378	-4.257201	12.505946	4.138457	64.649632	-6.036121	-12.178674	8.140372
	2.020172	4.821654	-5.641651	12.419915	3.556107	67.777273	-5.562627	-11.504495	6.966501
	2.432854	4.793247	-7.096687	12.227061	3.130972	70.747851	-4.878117	-10.806110	5.926108
	2.901665	4.481501	-8.554255	12.122538	2.905766	73.478051	-4.106404	-10.192424	4.804244
	3.459894	4.200095	-10.166643	11.921350	2.724095	76.025847	-3.306333	-9.487922	3.697191
	4.003518	3.936319	-12.007354	11.678133	2.562112	78.327658	-2.599021	-8.671254	2.575078
	4.450785	3.612724	-13.928443	11.574278	2.399602	80.511572	-1.941445	-7.887381	1.477900
	4.815009	3.263996	-15.964178	11.464916	2.479356	82.407500	-1.144120	-7.122180	0.389265
	5.133893	2.709937	-18.062353	11.423137	2.565340	84.047110	-0.579447	-6.544930	-0.697587
	5.347559	2.015684	-20.175103	11.193002	2.920197	85.347193	-0.084249	-6.149123	-1.740775
	5.550645	1.376296	-22.272006	11.096315	3.364166	86.201839	0.461447	-5.901028	-2.667019
	5.703858	0.861552	-24.329413	11.096750	3.949420	86.675569	1.131909	-5.688480	-3.444690
	5.787645	0.521668	-26.319672	11.166828	4.417777	86.772392	1.635359	-5.572000	-4.086077
	5.834363	0.390004	-28.236683	11.204175	4.870842	86.548295	1.880143	-5.576706	-4.629000
	5.820777	0.331180	-29.995132	11.318437	5.347106	86.081114	2.058736	-5.514067	-5.132947
	5.757379	0.447503	-31.668955	11.190361	5.943409	85.191064	2.188277	-5.454303	-5.574089
	5.645198	0.671579	-33.156530	11.373296	6.336059	84.004828	2.224196	-5.398818	-5.944304
	5.386421	1.119771	-34.462297	11.466443	6.823046	82.531630	2.219135	-5.333670	-6.298497
	4.993791	1.397897	-35.441345	11.598348	7.484121	80.718427	2.179135	-5.351214	-6.646991
	4.577817	1.497265	-36.226705	11.706954	8.019327	78.486261	2.061526	-5.448094	-6.909057
	4.128492	1.408825	-36.898861	11.842532	8.702349	75.961617	1.959075	-5.445600	-7.048566
