Time	Hip_Z_1	Hip_X_1	Hip_Y_1	Knee_Z_1	Knee_X_1	Knee_Y_1	Ankle_Z_1	Ankle_X_1	Ankle_Y_1	Hip_Z_2	Hip_X_2	Hip_Y_2	Knee_Z_2	Knee_X_2	Knee_Y_2	Ankle_Z_2	Ankle_X_2	Ankle_Y_2	Hip_Z_3	Hip_X_3	Hip_Y_3	Knee_Z_3	Knee_X_3	Knee_Y_3	Ankle_Z_3	Ankle_X_3	Ankle_Y_3	Hip_Z_4	Hip_X_4	Hip_Y_4	Knee_Z_4	Knee_X_4	Knee_Y_4	Ankle_Z_4	Ankle_X_4	Ankle_Y_4	Hip_Z_5	Hip_X_5	Hip_Y_5	Knee_Z_5	Knee_X_5	Knee_Y_5	Ankle_Z_5	Ankle_X_5	Ankle_Y_5	Hip_Z_6	Hip_X_6	Hip_Y_6	Knee_Z_6	Knee_X_6	Knee_Y_6	Ankle_Z_6	Ankle_X_6	Ankle_Y_6	Hip_Z_7	Hip_X_7	Hip_Y_7	Knee_Z_7	Knee_X_7	Knee_Y_7	Ankle_Z_7	Ankle_X_7	Ankle_Y_7	Hip_Z_8	Hip_X_8	Hip_Y_8	Knee_Z_8	Knee_X_8	Knee_Y_8	Ankle_Z_8	Ankle_X_8	Ankle_Y_8	Hip_Z_9	Hip_X_9	Hip_Y_9	Knee_Z_9	Knee_X_9	Knee_Y_9	Ankle_Z_9	Ankle_X_9	Ankle_Y_9	Hip_Z_10	Hip_X_10	Hip_Y_10	Knee_Z_10	Knee_X_10	Knee_Y_10	Ankle_Z_10	Ankle_X_10	Ankle_Y_10	Hip_Z_11	Hip_X_11	Hip_Y_11	Knee_Z_11	Knee_X_11	Knee_Y_11	Ankle_Z_11	Ankle_X_11	Ankle_Y_11	Hip_Z_12	Hip_X_12	Hip_Y_12	Knee_Z_12	Knee_X_12	Knee_Y_12	Ankle_Z_12	Ankle_X_12	Ankle_Y_12	Hip_Z_13	Hip_X_13	Hip_Y_13	Knee_Z_13	Knee_X_13	Knee_Y_13	Ankle_Z_13	Ankle_X_13	Ankle_Y_13	Hip_Z_14	Hip_X_14	Hip_Y_14	Knee_Z_14	Knee_X_14	Knee_Y_14	Ankle_Z_14	Ankle_X_14	Ankle_Y_14	Hip_Z_15	Hip_X_15	Hip_Y_15	Knee_Z_15	Knee_X_15	Knee_Y_15	Ankle_Z_15	Ankle_X_15	Ankle_Y_15	Hip_Z_16	Hip_X_16	Hip_Y_16	Knee_Z_16	Knee_X_16	Knee_Y_16	Ankle_Z_16	Ankle_X_16	Ankle_Y_16	Hip_Z_17	Hip_X_17	Hip_Y_17	Knee_Z_17	Knee_X_17	Knee_Y_17	Ankle_Z_17	Ankle_X_17	Ankle_Y_17	Hip_Z_18	Hip_X_18	Hip_Y_18	Knee_Z_18	Knee_X_18	Knee_Y_18	Ankle_Z_18	Ankle_X_18	Ankle_Y_18	Hip_Z_19	Hip_X_19	Hip_Y_19	Knee_Z_19	Knee_X_19	Knee_Y_19	Ankle_Z_19	Ankle_X_19	Ankle_Y_19	Hip_Z_20	Hip_X_20	Hip_Y_20	Knee_Z_20	Knee_X_20	Knee_Y_20	Ankle_Z_20	Ankle_X_20	Ankle_Y_20	Hip_Z_21	Hip_X_21	Hip_Y_21	Knee_Z_21	Knee_X_21	Knee_Y_21	Ankle_Z_21	Ankle_X_21	Ankle_Y_21	Hip_Z_22	Hip_X_22	Hip_Y_22	Knee_Z_22	Knee_X_22	Knee_Y_22	Ankle_Z_22	Ankle_X_22	Ankle_Y_22	Hip_Z_23	Hip_X_23	Hip_Y_23	Knee_Z_23	Knee_X_23	Knee_Y_23	Ankle_Z_23	Ankle_X_23	Ankle_Y_23	Hip_Z_24	Hip_X_24	Hip_Y_24	Knee_Z_24	Knee_X_24	Knee_Y_24	Ankle_Z_24	Ankle_X_24	Ankle_Y_24
0	-21.16986	3.927254	1.686874	2.437872	-0.996209	11.473646	-15.599451	-6.670196	2.937162	-21.278578	2.011317	-0.155855	-0.27318	-1.937545	15.7636	-13.951529	-6.96908	3.662912	-24.618744	2.357484	-3.171629	3.186117	-1.067082	16.140789	-6.338236	-1.940845	0.349824	-21.089708	1.996583	-0.815556	4.331905	-0.340955	16.339775	-13.472815	-7.438652	1.372337	-21.081509	4.675695	-3.918412	2.127939	0.096126	11.839787	-15.351864	-6.680307	4.211986	-21.872452	1.88325	0.532172	5.95219	-0.776946	15.851746	-14.805746	-5.675804	0.493378	-21.736419	4.782156	1.679568	2.168578	-0.632724	13.732212	-13.703279	-5.547431	3.60462	-21.786333	2.903588	1.514055	3.462166	-1.198201	13.002936	-13.899206	-5.9863	1.307307	-20.922321	1.226951	-1.664057	2.296947	-1.737121	17.088891	-12.467164	-6.981241	-0.000223	-24.961271	2.125855	-4.524896	4.20489	-0.777113	12.568242	-13.974893	-8.620997	-1.039035	-22.124157	3.155376	-2.843857	2.682476	-1.250558	14.071575	-14.704234	-6.495181	2.024372	-21.032255	3.982329	1.198211	3.733159	-0.391669	13.534714	-14.903114	-6.915308	2.180431	-22.416832	6.10206	1.149189	2.364521	0.157874	10.905459	-13.50929	-6.983475	1.723503	-22.707179	3.720109	-0.001509	8.943586	0.290953	13.710751	-12.560037	-3.644917	0.548449	-22.367332	4.957986	1.25109	6.035775	0.706941	11.279916	-13.811572	-5.772646	2.56472	-21.326432	2.569456	-0.600061	2.956155	-0.998331	11.614511	-14.281622	-6.240929	1.975204	-23.317674	4.585712	-2.01113	2.468145	-0.214688	12.561635	-15.378951	-5.14138	3.424227	-23.081835	2.252485	-2.121373	2.878676	-0.657541	15.624907	-14.142632	-9.107605	-1.345227	-21.464846	3.698937	-3.142336	4.498268	0.17728	12.480263	-14.35778	-6.493947	0.18374	-23.392708	3.992666	-1.555693	4.458076	-0.129281	14.60337	-15.271251	-5.498501	1.392396	-23.074224	3.869465	-4.34542	3.868873	0.447402	13.04265	-11.046998	-3.853932	1.604642	-22.641269	3.485096	-3.794386	1.871919	-0.571573	14.21434	-14.62833	-7.282178	2.277631	-19.418706	4.528556	-1.42321	0.449367	-0.473505	15.020881	-13.029182	-8.740403	2.135374	-21.87052	4.346001	-3.437686	2.286355	-0.653	11.847003	-15.108981	-6.820898	3.61481
1	-20.822644	3.198228	2.155198	3.997382	-1.028199	10.525723	-14.341334	-5.629868	2.188534	-21.153849	1.351066	0.300881	1.510242	-1.902789	15.502388	-12.861205	-5.436641	3.707875	-24.740349	1.795567	-2.848604	5.536923	-1.005781	15.348764	-3.558333	0.177707	-0.439667	-20.851309	1.616252	-1.087357	5.652082	-0.340284	15.903925	-11.891356	-5.906557	0.71081	-20.763373	4.371776	-3.700763	3.374378	-0.107789	11.133934	-13.964387	-6.269149	3.405579	-21.236159	1.388413	0.486493	6.915058	-0.806608	14.535059	-13.436909	-4.065827	0.241744	-21.464593	4.190467	2.019199	3.762313	-0.599052	12.950745	-11.961736	-3.925395	2.943304	-21.546667	2.46536	1.349338	4.937448	-1.243327	12.370308	-12.29695	-4.552389	0.758103	-20.834059	0.917388	-1.883092	4.034169	-1.531248	16.611544	-11.087736	-5.059956	-0.159732	-24.837243	1.575476	-4.242128	5.831755	-0.858594	11.823325	-12.187279	-6.748462	-1.450095	-21.956968	2.756253	-2.364204	4.153294	-1.269881	13.423832	-13.16896	-4.823622	1.588237	-20.69586	3.711369	1.171433	5.052491	-0.377573	12.722879	-13.704658	-6.221717	1.545225	-22.294155	5.561659	0.752591	4.422195	0.113907	10.715957	-11.485986	-5.799984	1.015258	-22.385137	3.095793	-0.198146	10.545752	0.258976	12.445981	-10.532043	-2.162601	0.451318	-21.823073	4.471275	0.930459	7.242226	0.581902	10.801542	-12.054435	-4.701431	2.095853	-20.984625	2.087242	-0.656601	4.406924	-0.951976	11.043298	-12.616901	-4.8123	1.290471	-22.893892	3.899133	-1.214629	3.685929	-0.487559	11.815129	-13.798633	-4.360485	2.211456	-22.633532	1.609471	-1.954868	4.154479	-0.745464	14.841123	-12.913847	-7.816105	-1.979967	-21.09416	3.020862	-2.959478	5.948773	0.002939	11.559465	-12.144892	-5.040524	-0.341698	-23.18678	3.266759	-0.880238	6.149274	-0.247393	13.866195	-13.592772	-3.630809	0.67795	-22.641139	3.363247	-4.259886	4.983894	0.281879	12.451586	-8.480059	-2.594373	1.168319	-22.504694	3.163348	-3.399341	3.70706	-0.593979	13.34006	-13.69377	-6.203032	1.752846	-19.277536	4.042657	-1.96025	2.291474	-0.385621	14.979763	-11.975567	-7.590018	1.311891	-21.511873	3.768132	-2.709987	3.713958	-0.812535	11.130733	-13.597189	-5.975428	3.05286
2	-20.546853	2.466338	2.264912	5.866572	-1.001946	9.98956	-12.550533	-4.201569	1.44992	-21.154423	0.665977	0.509158	3.748425	-1.72422	15.332247	-11.255516	-3.492463	3.837638	-24.999399	1.182025	-2.705708	8.540105	-0.862527	14.64354	-0.98953	2.111127	-1.077793	-20.676294	1.195165	-1.558141	7.345953	-0.301429	15.579736	-9.810629	-3.990236	0.009566	-20.517579	3.880989	-3.381735	4.993253	-0.266667	10.403709	-11.90273	-5.448455	2.485571	-20.688764	0.883251	0.174581	8.243138	-0.835946	13.413666	-11.594217	-2.145079	0.050726	-21.285746	3.543673	2.079824	5.812056	-0.511494	12.414366	-9.73339	-2.073826	2.203654	-21.406287	2.001508	0.910538	6.848735	-1.245616	12.002487	-10.221917	-2.727606	0.258183	-20.857927	0.608895	-2.226544	6.23823	-1.288337	16.213145	-9.209747	-2.767582	-0.17443	-24.791541	1.002554	-4.089186	7.944143	-0.898351	11.205935	-9.988713	-4.51472	-1.741925	-21.868678	2.209933	-2.033842	6.07912	-1.221023	12.928339	-11.181115	-2.736282	1.167948	-20.408011	3.332528	0.983025	6.652268	-0.357303	12.026821	-11.874339	-5.074682	0.91216	-22.303674	4.958538	0.260049	6.936885	0.15524	10.389973	-9.037884	-4.403041	0.612026	-22.164338	2.460739	-0.547974	12.630438	0.197632	11.340706	-8.386721	-0.77923	0.521111	-21.349199	3.899545	0.391203	8.818265	0.496928	10.47236	-9.711552	-3.420721	1.56328	-20.691393	1.503378	-0.84361	6.196116	-0.902469	10.704903	-10.27781	-3.006889	0.453359	-22.522766	3.084007	-0.563593	5.279665	-0.657837	11.183098	-11.524706	-3.198308	0.750232	-22.277744	0.928848	-1.995442	5.84289	-0.79239	14.190775	-11.090834	-5.955776	-2.503987	-20.872139	2.250191	-2.842865	7.840277	-0.11696	10.791071	-9.537747	-3.431713	-0.7053	-23.074483	2.499463	-0.404975	8.227642	-0.273902	13.230776	-11.400507	-1.525781	0.050198	-22.347424	2.735461	-4.106068	6.601404	0.156489	11.807929	-5.531693	-1.198029	0.663256	-22.412229	2.665827	-3.063324	5.85725	-0.565905	12.49642	-12.082284	-4.674905	1.23063	-19.177019	3.459821	-2.421819	4.450373	-0.241266	14.637569	-10.275562	-5.888134	0.577563	-21.196117	3.070309	-2.019088	5.412744	-0.911402	10.539415	-11.437641	-4.75764	2.422545
3	-20.333417	1.778893	1.992064	7.973355	-0.940701	9.820337	-10.277911	-2.495493	0.845314	-21.244223	-0.010326	0.425128	6.349866	-1.452487	15.208791	-9.263358	-1.331927	4.171991	-25.383337	0.561389	-2.77381	12.090257	-0.684733	14.008152	0.998348	3.699208	-1.36411	-20.565263	0.761211	-2.199153	9.404417	-0.241837	15.287304	-7.466765	-1.899184	-0.534177	-20.335343	3.222725	-2.989592	6.918241	-0.37745	9.661448	-9.236495	-4.280305	1.598779	-20.255572	0.386102	-0.438023	9.918297	-0.85656	12.571881	-9.42586	-0.096084	0.052679	-21.20619	2.876868	1.828123	8.259007	-0.390809	12.08865	-7.236552	-0.212194	1.584726	-21.348303	1.509827	0.20217	9.135906	-1.200277	11.860882	-7.866564	-0.728258	-0.053085	-20.992661	0.310526	-2.66749	8.857568	-1.055015	15.86539	-7.035269	-0.365896	0.000529	-24.836523	0.436139	-4.118525	10.495841	-0.904556	10.728823	-7.567023	-2.169671	-1.818098	-21.84886	1.559652	-1.895239	8.426877	-1.118093	12.61113	-8.956896	-0.458347	0.890083	-20.17062	2.878742	0.638672	8.4952	-0.348726	11.458227	-9.47357	-3.567123	0.378443	-22.462135	4.297835	-0.330343	9.856806	0.234564	9.852245	-6.446171	-3.001924	0.684102	-22.04795	1.832036	-1.041976	15.139394	0.088831	10.441151	-6.409024	0.386835	0.795229	-20.978498	3.263614	-0.362779	10.74475	0.433125	10.193281	-7.019786	-2.080649	1.20148	-20.442135	0.845738	-1.140151	8.268355	-0.857256	10.535635	-7.461067	-1.020282	-0.365806	-22.208292	2.213067	-0.191402	7.164651	-0.726739	10.719696	-8.688409	-1.794668	-0.660501	-22.02529	0.240173	-2.268843	7.86527	-0.818876	13.630048	-8.731422	-3.657665	-2.766202	-20.814918	1.437576	-2.874714	10.159882	-0.181492	10.213483	-6.870017	-1.834442	-0.82008	-23.059075	1.741382	-0.20855	10.653705	-0.246003	12.661937	-8.882227	0.571635	-0.323513	-22.196647	2.020848	-3.947388	8.699704	0.077149	11.122428	-2.524766	0.171376	0.221959	-22.342621	2.033044	-2.860082	8.228959	-0.506705	11.688689	-9.866361	-2.819884	0.8921	-19.121852	2.806129	-2.800183	6.880659	-0.081906	13.941592	-8.018576	-3.83236	0.110787	-20.909741	2.304621	-1.479508	7.323443	-0.957866	10.052697	-8.740786	-3.231745	1.92795
4	-20.195612	1.17603	1.351475	10.302996	-0.896708	9.92236	-7.705007	-0.696653	0.463593	-21.402502	-0.640664	0.003439	9.259876	-1.164101	15.12324	-7.140617	0.790369	4.727079	-25.873239	-0.020794	-3.036693	16.073027	-0.560838	13.412358	2.07407	4.852907	-1.1635	-20.537431	0.335101	-2.957149	11.847959	-0.189462	14.939969	-5.250986	0.107644	-0.68442	-20.20443	2.436626	-2.587407	9.113787	-0.458122	8.957993	-6.213726	-2.893825	0.930256	-19.978112	-0.084015	-1.364094	11.963192	-0.867919	12.088323	-7.231778	1.846599	0.349059	-21.2453	2.225255	1.260304	11.069593	-0.284102	11.916851	-4.804981	1.425272	1.288783	-21.37435	0.985825	-0.746862	11.779628	-1.115265	11.888872	-5.585559	1.170875	-0.040213	-21.23904	0.021397	-3.166449	11.869656	-0.884792	15.532303	-4.920402	1.837314	0.390873	-25.000686	-0.101369	-4.383061	13.456278	-0.899942	10.408302	-5.214699	-0.014158	-1.609786	-21.906626	0.85746	-1.967581	11.177938	-0.987738	12.4692	-6.801196	1.735158	0.830537	-19.988654	2.382816	0.140422	10.579058	-0.365878	11.05548	-6.765251	-1.878603	0.035583	-22.794425	3.605389	-1.054478	13.173217	0.266799	9.128457	-4.123583	-1.800735	1.291752	-22.047121	1.214025	-1.632796	18.032212	-0.092735	9.776199	-4.927564	1.2507	1.26603	-20.757281	2.586659	-1.301441	13.047833	0.34516	9.886789	-4.378431	-0.843962	1.234258	-20.257749	0.143465	-1.527704	10.615154	-0.832004	10.454719	-4.554577	0.90114	-0.961449	-21.978791	1.358154	-0.208741	9.302457	-0.728968	10.435016	-5.635439	-0.342195	-1.580245	-21.891889	-0.431769	-2.791841	10.168302	-0.85803	13.112899	-6.035394	-1.155911	-2.639563	-20.940878	0.638648	-3.12953	12.929463	-0.224414	9.840824	-4.56894	-0.407623	-0.62421	-23.156039	1.035166	-0.333682	13.423912	-0.239817	12.113952	-6.382838	2.395036	-0.304008	-22.213787	1.259977	-3.87273	11.3081	0.012541	10.410508	-0.006303	1.359001	0.127001	-22.285578	1.319707	-2.845971	10.777628	-0.455047	10.947244	-7.301724	-0.835615	0.852345	-19.13237	2.119254	-3.139182	9.572971	0.047111	12.961345	-5.496713	-1.698755	0.04632	-20.65855	1.52234	-1.225135	9.439624	-0.979854	9.660237	-5.765227	-1.545437	1.720385
5	-20.171532	0.681803	0.431156	12.887172	-0.932431	10.187799	-5.251405	0.951322	0.347389	-21.626371	-1.193836	-0.728691	12.457688	-0.954627	15.079796	-5.261521	2.612867	5.422289	-26.415204	-0.544283	-3.376146	20.304011	-0.579985	12.840679	2.136751	5.623042	-0.511039	-20.630535	-0.083121	-3.747885	14.697254	-0.180764	14.480407	-3.642179	1.805026	-0.311287	-20.128786	1.592122	-2.281313	11.566054	-0.548001	8.378842	-3.33764	-1.475317	0.627783	-19.884645	-0.517306	-2.507185	14.372164	-0.877138	11.938168	-5.405744	3.493241	0.885234	-21.420215	1.615156	0.479185	14.207619	-0.257092	11.820962	-2.851048	2.686885	1.39817	-21.506417	0.433901	-1.83316	14.767184	-1.021991	11.996636	-3.841141	2.739328	0.337819	-21.585751	-0.278791	-3.648234	15.219281	-0.817768	15.161907	-3.315239	3.627164	1.032288	-25.290744	-0.60191	-4.834804	16.738598	-0.919069	10.219218	-3.311177	1.742669	-1.129263	-22.073378	0.158725	-2.231275	14.311599	-0.864508	12.457994	-5.053848	3.571926	0.971439	-19.881501	1.87464	-0.49312	12.961222	-0.43153	10.872767	-4.264159	-0.224683	-0.022396	-23.287988	2.918434	-1.916334	16.847945	0.175268	8.389858	-2.504597	-0.904002	2.274273	-22.155755	0.601766	-2.200972	21.229834	-0.353659	9.326933	-4.195571	1.832286	1.848609	-20.755367	1.892317	-2.34114	15.803727	0.173209	9.553616	-2.338396	0.163603	1.743216	-20.174004	-0.573774	-1.959937	13.238047	-0.859252	10.363949	-2.122949	2.560704	-1.159196	-21.883858	0.575076	-0.632618	11.715818	-0.741657	10.295372	-2.922507	0.997244	-1.725012	-21.904436	-1.072053	-3.542497	12.7381	-0.954601	12.609862	-3.441859	1.252962	-2.043795	-21.24747	-0.099452	-3.602365	16.133257	-0.310302	9.637365	-3.062519	0.742988	-0.132743	-23.373641	0.397227	-0.71956	16.528429	-0.338995	11.573631	-4.39199	3.76847	0.114387	-22.403911	0.503001	-3.92898	14.361124	-0.106536	9.721969	1.579839	2.323873	0.514801	-22.259164	0.596429	-3.0399	13.523299	-0.468011	10.332023	-4.86965	1.030236	1.119036	-19.257948	1.438883	-3.521866	12.562037	0.110603	11.899833	-3.247036	0.221445	0.430693	-20.477556	0.771374	-1.36425	11.818235	-1.024369	9.388048	-3.005283	0.070556	1.846899
6	-20.305166	0.289593	-0.645288	15.790513	-1.06529	10.562278	-3.377478	2.288597	0.47378	-21.92372	-1.670092	-1.643406	15.93642	-0.865809	15.087376	-3.953148	3.999681	6.1824	-26.956733	-1.024464	-3.646742	24.608838	-0.763516	12.299612	1.269784	6.089069	0.417376	-20.862771	-0.514349	-4.479919	17.93056	-0.237263	13.914059	-2.926462	3.114287	0.520015	-20.144058	0.746079	-2.160804	14.306795	-0.672184	7.998013	-1.102973	-0.166421	0.719971	-19.993846	-0.913944	-3.733341	17.15687	-0.891179	12.055216	-4.254672	4.758133	1.57276	-21.723171	1.048363	-0.356108	17.637749	-0.342434	11.763659	-1.653937	3.55166	1.812012	-21.764333	-0.142699	-2.925179	18.087362	-0.94164	12.123183	-2.906711	3.894706	0.96523	-22.020713	-0.620504	-4.007475	18.858826	-0.857186	14.730253	-2.538501	4.939696	1.917315	-25.6947	-1.074444	-5.366379	20.286572	-0.977682	10.128242	-2.176969	3.028899	-0.42953	-22.357795	-0.510674	-2.598153	17.763912	-0.767685	12.507302	-3.941264	4.935252	1.223615	-19.877041	1.369411	-1.185303	15.693365	-0.55367	10.904256	-2.495961	1.250726	0.218277	-23.902766	2.258915	-2.835447	20.819959	-0.051151	7.824453	-1.819115	-0.308236	3.36059	-22.351123	-0.010674	-2.62157	24.648799	-0.673949	9.062143	-4.311599	2.21338	2.469544	-20.984808	1.196885	-3.32672	18.994325	-0.100159	9.263971	-1.253947	0.927397	2.539139	-20.215311	-1.291325	-2.366219	16.164285	-0.961479	10.217203	-0.604158	3.88583	-0.91131	-21.957607	-0.116486	-1.357918	14.458526	-0.831289	10.268544	-1.02495	2.14817	-1.191488	-22.088154	-1.68231	-4.424574	15.593367	-1.129887	12.119772	-1.454765	3.369684	-1.025715	-21.707102	-0.76305	-4.192224	19.706386	-0.474582	9.556834	-2.552197	1.590704	0.548617	-23.691072	-0.186033	-1.223159	19.931846	-0.565911	11.080478	-3.272678	4.688837	0.843752	-22.764473	-0.220815	-4.099113	17.805184	-0.327751	9.126519	2.030979	3.05634	1.309936	-22.312666	-0.078045	-3.400318	16.530248	-0.563372	9.918739	-3.057358	2.596405	1.56254	-19.548866	0.788334	-3.993082	15.88213	0.111319	10.978562	-1.756048	1.785845	1.161938	-20.424508	0.072583	-1.892057	14.545163	-1.112936	9.295259	-0.962549	1.43396	2.231173
7	-20.624426	-0.030763	-1.714978	19.07969	-1.271546	11.014767	-2.458535	3.243021	0.762277	-22.303499	-2.093473	-2.572805	19.692797	-0.872417	15.171726	-3.475168	4.906553	6.942441	-27.442227	-1.491384	-3.70313	28.777364	-1.086281	11.79434	-0.344454	6.328009	1.395154	-21.22837	-0.985922	-5.04209	21.504436	-0.361517	13.269707	-3.221595	4.027112	1.66462	-20.299749	-0.063627	-2.266934	17.407677	-0.819665	7.892226	0.094821	0.918273	1.118263	-20.30911	-1.287985	-4.852305	20.335916	-0.908124	12.343497	-4.065355	5.604664	2.352301	-22.124567	0.511794	-1.073955	21.312771	-0.541446	11.735797	-1.369428	4.056428	2.355765	-22.146414	-0.748918	-3.871342	21.708736	-0.883522	12.222328	-2.900668	4.633632	1.686157	-22.516173	-1.042719	-4.105559	22.731267	-0.971364	14.236365	-2.754018	5.758176	2.891687	-26.181462	-1.544749	-5.821716	24.034552	-1.074142	10.085876	-2.064789	3.835515	0.383449	-22.737355	-1.155214	-2.947752	21.461615	-0.701587	12.549865	-3.630136	5.818065	1.543847	-20.008179	0.859746	-1.820589	18.824581	-0.717299	11.11108	-1.810406	2.473013	0.708167	-24.574141	1.637011	-3.646162	24.973951	-0.379466	7.552643	-2.136662	0.04608	4.26639	-22.591372	-0.626497	-2.787029	28.169242	-1.012735	8.95281	-5.264914	2.482702	3.075382	-21.414846	0.501188	-4.087783	22.560795	-0.441399	9.090677	-1.272132	1.466733	3.383183	-20.401408	-2.004172	-2.652817	19.427628	-1.13523	10.022049	-0.297596	4.848698	-0.275077	-22.217447	-0.718434	-2.231214	17.590567	-1.02298	10.351012	-0.279523	3.069149	-0.168527	-22.45955	-2.268844	-5.315076	18.781877	-1.369334	11.678092	-0.462582	5.089602	0.287372	-22.269031	-1.358768	-4.753963	23.53933	-0.711562	9.561782	-3.060687	2.14752	1.274437	-24.063758	-0.741097	-1.672409	23.559608	-0.892628	10.68534	-3.219031	5.227699	1.764922	-23.267609	-0.89665	-4.304035	21.556162	-0.654999	8.729947	1.285319	3.533272	2.253919	-22.498164	-0.675651	-3.852396	19.884092	-0.713933	9.783923	-2.219511	3.764061	2.033043	-20.03564	0.173821	-4.524434	19.557803	0.076658	10.338828	-1.319772	2.941742	2.082722	-20.558109	-0.577241	-2.727959	17.706278	-1.220495	9.462754	-0.00574	2.435841	2.745287
8	-21.107461	-0.338894	-2.506287	22.748171	-1.499932	11.455225	-2.729851	3.829726	1.099855	-22.750732	-2.504432	-3.285382	23.661228	-0.88929	15.345592	-4.008026	5.360866	7.585063	-27.796224	-1.966357	-3.461664	32.531598	-1.475956	11.338814	-2.382249	6.460475	2.260699	-21.692617	-1.524915	-5.275957	25.298613	-0.530401	12.591553	-4.489533	4.568447	2.877563	-20.636213	-0.807493	-2.553983	20.923624	-0.935585	8.122693	-0.003169	1.657995	1.592051	-20.759605	-1.677425	-5.638389	23.809618	-0.921024	12.630401	-4.856865	6.102852	3.164931	-22.563491	-0.013152	-1.475466	25.101122	-0.841363	11.698977	-2.033744	4.305256	2.891488	-22.600514	-1.392667	-4.466361	25.493228	-0.87729	12.192647	-3.802264	5.032632	2.395703	-22.991374	-1.575714	-3.825481	26.675441	-1.090274	13.688371	-3.841601	6.132019	3.640779	-26.679893	-2.041206	-6.050206	27.809914	-1.195468	10.011105	-2.87938	4.277233	1.168332	-23.153838	-1.78963	-3.132222	25.261409	-0.676037	12.49821	-4.190747	6.296876	1.905517	-20.28249	0.317111	-2.22816	22.334216	-0.883399	11.399913	-2.321838	3.393828	1.299072	-25.194927	1.049347	-4.127148	29.058275	-0.746893	7.530991	-3.269789	0.299175	4.836461	-22.798197	-1.237135	-2.655383	31.569839	-1.319786	8.951467	-6.827735	2.727465	3.600649	-21.964808	-0.199498	-4.452856	26.34927	-0.774516	9.06234	-2.317565	1.83384	4.023211	-20.719519	-2.705588	-2.736821	22.950456	-1.342459	9.830601	-1.177341	5.464039	0.543447	-22.651914	-1.257047	-3.024153	21.128386	-1.288752	10.544917	-0.860296	3.715449	1.040036	-22.986298	-2.845479	-6.046202	22.300873	-1.610232	11.348906	-0.697437	6.354592	1.680974	-22.834127	-1.902889	-5.106429	27.394285	-0.993647	9.576987	-4.413164	2.477945	1.895123	-24.409171	-1.298432	-1.875094	27.219947	-1.265448	10.396098	-4.19676	5.499045	2.72124	-23.815684	-1.530502	-4.426004	25.380004	-1.007506	8.580793	-0.304284	3.799769	2.989178	-22.839326	-1.198217	-4.254605	23.613406	-0.863918	9.948287	-2.561051	4.512489	2.40038	-20.692392	-0.41801	-4.992254	23.521545	0.042031	10.005685	-2.023071	3.680562	2.991444	-20.914314	-1.196989	-3.679314	21.317621	-1.27815	9.944598	-0.365702	3.01689	3.218387
9	-21.649164	-0.693697	-2.819563	26.575877	-1.71599	11.730679	-3.938244	4.200017	1.434592	-23.186693	-2.941297	-3.613886	27.613877	-0.843211	15.509213	-5.3322	5.535772	8.046759	-27.9647	-2.432443	-3.003288	35.710617	-1.831894	11.003579	-4.514156	6.580917	2.927211	-22.167105	-2.119453	-5.135788	29.054645	-0.710807	11.921433	-6.348407	4.874119	3.911479	-21.101142	-1.481254	-2.870312	24.692158	-0.99569	8.561264	-1.117426	2.080032	1.947171	-21.239559	-2.113382	-5.961192	27.373487	-0.945983	12.74988	-6.380253	6.367086	3.955157	-22.957864	-0.534337	-1.507348	28.77123	-1.209068	11.595024	-3.351874	4.46283	3.399596	-23.020288	-2.057169	-4.641293	29.171454	-0.957504	11.958224	-5.290532	5.271601	3.106942	-23.356948	-2.194375	-3.201533	30.444975	-1.166015	13.105335	-5.4558	6.214404	4.041473	-27.113604	-2.563292	-6.022107	31.401436	-1.317975	9.880448	-4.289376	4.502671	1.808808	-23.523894	-2.417059	-3.08131	28.922783	-0.7323	12.270342	-5.403152	6.538968	2.288171	-20.639069	-0.292246	-2.222154	26.037806	-1.023814	11.602894	-3.820287	4.012339	1.816527	-25.676529	0.494354	-4.197352	32.809196	-1.075521	7.634142	-4.836069	0.58594	5.091371	-22.89903	-1.816778	-2.316892	34.63306	-1.566709	9.021416	-8.654555	3.003955	4.009334	-22.50528	-0.89655	-4.334255	30.063714	-1.01243	9.125774	-4.077669	2.112411	4.328935	-21.09268	-3.375618	-2.611669	26.496089	-1.567706	9.661575	-2.833662	5.825797	1.341937	-23.168666	-1.783358	-3.525597	24.871735	-1.563727	10.765978	-2.389925	4.125653	2.062264	-23.550201	-3.425145	-6.47144	25.952719	-1.787459	11.125474	-1.952207	7.210149	2.933297	-23.291138	-2.40981	-5.179625	30.966609	-1.295429	9.525272	-6.168038	2.718971	2.362794	-24.642148	-1.861164	-1.786416	30.644334	-1.644743	10.155758	-5.759394	5.661352	3.582849	-24.306595	-2.121036	-4.392179	29.014872	-1.317766	8.645248	-2.365902	3.94058	3.371846	-23.270596	-1.679087	-4.429964	27.530326	-0.980616	10.267859	-3.901978	4.96115	2.65668	-21.39691	-1.011757	-5.22891	27.504002	0.008076	9.816481	-3.565551	4.100929	3.766598	-21.419804	-1.804665	-4.4712	25.128627	-1.262608	10.583293	-1.750352	3.287647	3.563157
