hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
	3.927254	1.686874	-21.169860	-0.996209	11.473646	2.437872	-6.670196	2.937162	-15.599451	2.011317	-0.155855	-21.278578	-1.937545	15.763600	-0.273180	-6.969080	3.662912	-13.951529	2.357484	-3.171629	-24.618744	-1.067082	16.140789	3.186117	-1.940845	0.349824	-6.338236	1.996583	-0.815556	-21.089708	-0.340955	16.339775	4.331905	-7.438652	1.372337	-13.472815	4.675695	-3.918412	-21.081509	0.096126	11.839787	2.127939	-6.680307	4.211986	-15.351864	1.883250	0.532172	-21.872452	-0.776946	15.851746	5.952190	-5.675804	0.493378	-14.805746	4.782156	1.679568	-21.736419	-0.632724	13.732212	2.168578	-5.547431	3.604620	-13.703279	2.903588	1.514055	-21.786333	-1.198201	13.002936	3.462166	-5.986300	1.307307	-13.899206	1.226951	-1.664057	-20.922321	-1.737121	17.088891	2.296947	-6.981241	-0.000223	-12.467164	2.125855	-4.524896	-24.961271	-0.777113	12.568242	4.204890	-8.620997	-1.039035	-13.974893	3.155376	-2.843857	-22.124157	-1.250558	14.071575	2.682476	-6.495181	2.024372	-14.704234	3.982329	1.198211	-21.032255	-0.391669	13.534714	3.733159	-6.915308	2.180431	-14.903114	6.102060	1.149189	-22.416832	0.157874	10.905459	2.364521	-6.983475	1.723503	-13.509290	3.720109	-0.001509	-22.707179	0.290953	13.710751	8.943586	-3.644917	0.548449	-12.560037	4.957986	1.251090	-22.367332	0.706941	11.279916	6.035775	-5.772646	2.564720	-13.811572	2.569456	-0.600061	-21.326432	-0.998331	11.614511	2.956155	-6.240929	1.975204	-14.281622	4.585712	-2.011130	-23.317674	-0.214688	12.561635	2.468145	-5.141380	3.424227	-15.378951	2.252485	-2.121373	-23.081835	-0.657541	15.624907	2.878676	-9.107605	-1.345227	-14.142632	3.698937	-3.142336	-21.464846	0.177280	12.480263	4.498268	-6.493947	0.183740	-14.357780	3.992666	-1.555693	-23.392708	-0.129281	14.603370	4.458076	-5.498501	1.392396	-15.271251	3.869465	-4.345420	-23.074224	0.447402	13.042650	3.868873	-3.853932	1.604642	-11.046998	3.485096	-3.794386	-22.641269	-0.571573	14.214340	1.871919	-7.282178	2.277631	-14.628330	4.528556	-1.423210	-19.418706	-0.473505	15.020881	0.449367	-8.740403	2.135374	-13.029182	4.346001	-3.437686	-21.870520	-0.653000	11.847003	2.286355	-6.820898	3.614810	-15.108981
	3.198228	2.155198	-20.822644	-1.028199	10.525723	3.997382	-5.629868	2.188534	-14.341334	1.351066	0.300881	-21.153849	-1.902789	15.502388	1.510242	-5.436641	3.707875	-12.861205	1.795567	-2.848604	-24.740349	-1.005781	15.348764	5.536923	0.177707	-0.439667	-3.558333	1.616252	-1.087357	-20.851309	-0.340284	15.903925	5.652082	-5.906557	0.710810	-11.891356	4.371776	-3.700763	-20.763373	-0.107789	11.133934	3.374378	-6.269149	3.405579	-13.964387	1.388413	0.486493	-21.236159	-0.806608	14.535059	6.915058	-4.065827	0.241744	-13.436909	4.190467	2.019199	-21.464593	-0.599052	12.950745	3.762313	-3.925395	2.943304	-11.961736	2.465360	1.349338	-21.546667	-1.243327	12.370308	4.937448	-4.552389	0.758103	-12.296950	0.917388	-1.883092	-20.834059	-1.531248	16.611544	4.034169	-5.059956	-0.159732	-11.087736	1.575476	-4.242128	-24.837243	-0.858594	11.823325	5.831755	-6.748462	-1.450095	-12.187279	2.756253	-2.364204	-21.956968	-1.269881	13.423832	4.153294	-4.823622	1.588237	-13.168960	3.711369	1.171433	-20.695860	-0.377573	12.722879	5.052491	-6.221717	1.545225	-13.704658	5.561659	0.752591	-22.294155	0.113907	10.715957	4.422195	-5.799984	1.015258	-11.485986	3.095793	-0.198146	-22.385137	0.258976	12.445981	10.545752	-2.162601	0.451318	-10.532043	4.471275	0.930459	-21.823073	0.581902	10.801542	7.242226	-4.701431	2.095853	-12.054435	2.087242	-0.656601	-20.984625	-0.951976	11.043298	4.406924	-4.812300	1.290471	-12.616901	3.899133	-1.214629	-22.893892	-0.487559	11.815129	3.685929	-4.360485	2.211456	-13.798633	1.609471	-1.954868	-22.633532	-0.745464	14.841123	4.154479	-7.816105	-1.979967	-12.913847	3.020862	-2.959478	-21.094160	0.002939	11.559465	5.948773	-5.040524	-0.341698	-12.144892	3.266759	-0.880238	-23.186780	-0.247393	13.866195	6.149274	-3.630809	0.677950	-13.592772	3.363247	-4.259886	-22.641139	0.281879	12.451586	4.983894	-2.594373	1.168319	-8.480059	3.163348	-3.399341	-22.504694	-0.593979	13.340060	3.707060	-6.203032	1.752846	-13.693770	4.042657	-1.960250	-19.277536	-0.385621	14.979763	2.291474	-7.590018	1.311891	-11.975567	3.768132	-2.709987	-21.511873	-0.812535	11.130733	3.713958	-5.975428	3.052860	-13.597189
	2.466338	2.264912	-20.546853	-1.001946	9.989560	5.866572	-4.201569	1.449920	-12.550533	0.665977	0.509158	-21.154423	-1.724220	15.332247	3.748425	-3.492463	3.837638	-11.255516	1.182025	-2.705708	-24.999399	-0.862527	14.643540	8.540105	2.111127	-1.077793	-0.989530	1.195165	-1.558141	-20.676294	-0.301429	15.579736	7.345953	-3.990236	0.009566	-9.810629	3.880989	-3.381735	-20.517579	-0.266667	10.403709	4.993253	-5.448455	2.485571	-11.902730	0.883251	0.174581	-20.688764	-0.835946	13.413666	8.243138	-2.145079	0.050726	-11.594217	3.543673	2.079824	-21.285746	-0.511494	12.414366	5.812056	-2.073826	2.203654	-9.733390	2.001508	0.910538	-21.406287	-1.245616	12.002487	6.848735	-2.727606	0.258183	-10.221917	0.608895	-2.226544	-20.857927	-1.288337	16.213145	6.238230	-2.767582	-0.174430	-9.209747	1.002554	-4.089186	-24.791541	-0.898351	11.205935	7.944143	-4.514720	-1.741925	-9.988713	2.209933	-2.033842	-21.868678	-1.221023	12.928339	6.079120	-2.736282	1.167948	-11.181115	3.332528	0.983025	-20.408011	-0.357303	12.026821	6.652268	-5.074682	0.912160	-11.874339	4.958538	0.260049	-22.303674	0.155240	10.389973	6.936885	-4.403041	0.612026	-9.037884	2.460739	-0.547974	-22.164338	0.197632	11.340706	12.630438	-0.779230	0.521111	-8.386721	3.899545	0.391203	-21.349199	0.496928	10.472360	8.818265	-3.420721	1.563280	-9.711552	1.503378	-0.843610	-20.691393	-0.902469	10.704903	6.196116	-3.006889	0.453359	-10.277810	3.084007	-0.563593	-22.522766	-0.657837	11.183098	5.279665	-3.198308	0.750232	-11.524706	0.928848	-1.995442	-22.277744	-0.792390	14.190775	5.842890	-5.955776	-2.503987	-11.090834	2.250191	-2.842865	-20.872139	-0.116960	10.791071	7.840277	-3.431713	-0.705300	-9.537747	2.499463	-0.404975	-23.074483	-0.273902	13.230776	8.227642	-1.525781	0.050198	-11.400507	2.735461	-4.106068	-22.347424	0.156489	11.807929	6.601404	-1.198029	0.663256	-5.531693	2.665827	-3.063324	-22.412229	-0.565905	12.496420	5.857250	-4.674905	1.230630	-12.082284	3.459821	-2.421819	-19.177019	-0.241266	14.637569	4.450373	-5.888134	0.577563	-10.275562	3.070309	-2.019088	-21.196117	-0.911402	10.539415	5.412744	-4.757640	2.422545	-11.437641
	1.778893	1.992064	-20.333417	-0.940701	9.820337	7.973355	-2.495493	0.845314	-10.277911	-0.010326	0.425128	-21.244223	-1.452487	15.208791	6.349866	-1.331927	4.171991	-9.263358	0.561389	-2.773810	-25.383337	-0.684733	14.008152	12.090257	3.699208	-1.364110	0.998348	0.761211	-2.199153	-20.565263	-0.241837	15.287304	9.404417	-1.899184	-0.534177	-7.466765	3.222725	-2.989592	-20.335343	-0.377450	9.661448	6.918241	-4.280305	1.598779	-9.236495	0.386102	-0.438023	-20.255572	-0.856560	12.571881	9.918297	-0.096084	0.052679	-9.425860	2.876868	1.828123	-21.206190	-0.390809	12.088650	8.259007	-0.212194	1.584726	-7.236552	1.509827	0.202170	-21.348303	-1.200277	11.860882	9.135906	-0.728258	-0.053085	-7.866564	0.310526	-2.667490	-20.992661	-1.055015	15.865390	8.857568	-0.365896	0.000529	-7.035269	0.436139	-4.118525	-24.836523	-0.904556	10.728823	10.495841	-2.169671	-1.818098	-7.567023	1.559652	-1.895239	-21.848860	-1.118093	12.611130	8.426877	-0.458347	0.890083	-8.956896	2.878742	0.638672	-20.170620	-0.348726	11.458227	8.495200	-3.567123	0.378443	-9.473570	4.297835	-0.330343	-22.462135	0.234564	9.852245	9.856806	-3.001924	0.684102	-6.446171	1.832036	-1.041976	-22.047950	0.088831	10.441151	15.139394	0.386835	0.795229	-6.409024	3.263614	-0.362779	-20.978498	0.433125	10.193281	10.744750	-2.080649	1.201480	-7.019786	0.845738	-1.140151	-20.442135	-0.857256	10.535635	8.268355	-1.020282	-0.365806	-7.461067	2.213067	-0.191402	-22.208292	-0.726739	10.719696	7.164651	-1.794668	-0.660501	-8.688409	0.240173	-2.268843	-22.025290	-0.818876	13.630048	7.865270	-3.657665	-2.766202	-8.731422	1.437576	-2.874714	-20.814918	-0.181492	10.213483	10.159882	-1.834442	-0.820080	-6.870017	1.741382	-0.208550	-23.059075	-0.246003	12.661937	10.653705	0.571635	-0.323513	-8.882227	2.020848	-3.947388	-22.196647	0.077149	11.122428	8.699704	0.171376	0.221959	-2.524766	2.033044	-2.860082	-22.342621	-0.506705	11.688689	8.228959	-2.819884	0.892100	-9.866361	2.806129	-2.800183	-19.121852	-0.081906	13.941592	6.880659	-3.832360	0.110787	-8.018576	2.304621	-1.479508	-20.909741	-0.957866	10.052697	7.323443	-3.231745	1.927950	-8.740786
	1.176030	1.351475	-20.195612	-0.896708	9.922360	10.302996	-0.696653	0.463593	-7.705007	-0.640664	0.003439	-21.402502	-1.164101	15.123240	9.259876	0.790369	4.727079	-7.140617	-0.020794	-3.036693	-25.873239	-0.560838	13.412358	16.073027	4.852907	-1.163500	2.074070	0.335101	-2.957149	-20.537431	-0.189462	14.939969	11.847959	0.107644	-0.684420	-5.250986	2.436626	-2.587407	-20.204430	-0.458122	8.957993	9.113787	-2.893825	0.930256	-6.213726	-0.084015	-1.364094	-19.978112	-0.867919	12.088323	11.963192	1.846599	0.349059	-7.231778	2.225255	1.260304	-21.245300	-0.284102	11.916851	11.069593	1.425272	1.288783	-4.804981	0.985825	-0.746862	-21.374350	-1.115265	11.888872	11.779628	1.170875	-0.040213	-5.585559	0.021397	-3.166449	-21.239040	-0.884792	15.532303	11.869656	1.837314	0.390873	-4.920402	-0.101369	-4.383061	-25.000686	-0.899942	10.408302	13.456278	-0.014158	-1.609786	-5.214699	0.857460	-1.967581	-21.906626	-0.987738	12.469200	11.177938	1.735158	0.830537	-6.801196	2.382816	0.140422	-19.988654	-0.365878	11.055480	10.579058	-1.878603	0.035583	-6.765251	3.605389	-1.054478	-22.794425	0.266799	9.128457	13.173217	-1.800735	1.291752	-4.123583	1.214025	-1.632796	-22.047121	-0.092735	9.776199	18.032212	1.250700	1.266030	-4.927564	2.586659	-1.301441	-20.757281	0.345160	9.886789	13.047833	-0.843962	1.234258	-4.378431	0.143465	-1.527704	-20.257749	-0.832004	10.454719	10.615154	0.901140	-0.961449	-4.554577	1.358154	-0.208741	-21.978791	-0.728968	10.435016	9.302457	-0.342195	-1.580245	-5.635439	-0.431769	-2.791841	-21.891889	-0.858030	13.112899	10.168302	-1.155911	-2.639563	-6.035394	0.638648	-3.129530	-20.940878	-0.224414	9.840824	12.929463	-0.407623	-0.624210	-4.568940	1.035166	-0.333682	-23.156039	-0.239817	12.113952	13.423912	2.395036	-0.304008	-6.382838	1.259977	-3.872730	-22.213787	0.012541	10.410508	11.308100	1.359001	0.127001	-0.006303	1.319707	-2.845971	-22.285578	-0.455047	10.947244	10.777628	-0.835615	0.852345	-7.301724	2.119254	-3.139182	-19.132370	0.047111	12.961345	9.572971	-1.698755	0.046320	-5.496713	1.522340	-1.225135	-20.658550	-0.979854	9.660237	9.439624	-1.545437	1.720385	-5.765227
	0.681803	0.431156	-20.171532	-0.932431	10.187799	12.887172	0.951322	0.347389	-5.251405	-1.193836	-0.728691	-21.626371	-0.954627	15.079796	12.457688	2.612867	5.422289	-5.261521	-0.544283	-3.376146	-26.415204	-0.579985	12.840679	20.304011	5.623042	-0.511039	2.136751	-0.083121	-3.747885	-20.630535	-0.180764	14.480407	14.697254	1.805026	-0.311287	-3.642179	1.592122	-2.281313	-20.128786	-0.548001	8.378842	11.566054	-1.475317	0.627783	-3.337640	-0.517306	-2.507185	-19.884645	-0.877138	11.938168	14.372164	3.493241	0.885234	-5.405744	1.615156	0.479185	-21.420215	-0.257092	11.820962	14.207619	2.686885	1.398170	-2.851048	0.433901	-1.833160	-21.506417	-1.021991	11.996636	14.767184	2.739328	0.337819	-3.841141	-0.278791	-3.648234	-21.585751	-0.817768	15.161907	15.219281	3.627164	1.032288	-3.315239	-0.601910	-4.834804	-25.290744	-0.919069	10.219218	16.738598	1.742669	-1.129263	-3.311177	0.158725	-2.231275	-22.073378	-0.864508	12.457994	14.311599	3.571926	0.971439	-5.053848	1.874640	-0.493120	-19.881501	-0.431530	10.872767	12.961222	-0.224683	-0.022396	-4.264159	2.918434	-1.916334	-23.287988	0.175268	8.389858	16.847945	-0.904002	2.274273	-2.504597	0.601766	-2.200972	-22.155755	-0.353659	9.326933	21.229834	1.832286	1.848609	-4.195571	1.892317	-2.341140	-20.755367	0.173209	9.553616	15.803727	0.163603	1.743216	-2.338396	-0.573774	-1.959937	-20.174004	-0.859252	10.363949	13.238047	2.560704	-1.159196	-2.122949	0.575076	-0.632618	-21.883858	-0.741657	10.295372	11.715818	0.997244	-1.725012	-2.922507	-1.072053	-3.542497	-21.904436	-0.954601	12.609862	12.738100	1.252962	-2.043795	-3.441859	-0.099452	-3.602365	-21.247470	-0.310302	9.637365	16.133257	0.742988	-0.132743	-3.062519	0.397227	-0.719560	-23.373641	-0.338995	11.573631	16.528429	3.768470	0.114387	-4.391990	0.503001	-3.928980	-22.403911	-0.106536	9.721969	14.361124	2.323873	0.514801	1.579839	0.596429	-3.039900	-22.259164	-0.468011	10.332023	13.523299	1.030236	1.119036	-4.869650	1.438883	-3.521866	-19.257948	0.110603	11.899833	12.562037	0.221445	0.430693	-3.247036	0.771374	-1.364250	-20.477556	-1.024369	9.388048	11.818235	0.070556	1.846899	-3.005283
	0.289593	-0.645288	-20.305166	-1.065290	10.562278	15.790513	2.288597	0.473780	-3.377478	-1.670092	-1.643406	-21.923720	-0.865809	15.087376	15.936420	3.999681	6.182400	-3.953148	-1.024464	-3.646742	-26.956733	-0.763516	12.299612	24.608838	6.089069	0.417376	1.269784	-0.514349	-4.479919	-20.862771	-0.237263	13.914059	17.930560	3.114287	0.520015	-2.926462	0.746079	-2.160804	-20.144058	-0.672184	7.998013	14.306795	-0.166421	0.719971	-1.102973	-0.913944	-3.733341	-19.993846	-0.891179	12.055216	17.156870	4.758133	1.572760	-4.254672	1.048363	-0.356108	-21.723171	-0.342434	11.763659	17.637749	3.551660	1.812012	-1.653937	-0.142699	-2.925179	-21.764333	-0.941640	12.123183	18.087362	3.894706	0.965230	-2.906711	-0.620504	-4.007475	-22.020713	-0.857186	14.730253	18.858826	4.939696	1.917315	-2.538501	-1.074444	-5.366379	-25.694700	-0.977682	10.128242	20.286572	3.028899	-0.429530	-2.176969	-0.510674	-2.598153	-22.357795	-0.767685	12.507302	17.763912	4.935252	1.223615	-3.941264	1.369411	-1.185303	-19.877041	-0.553670	10.904256	15.693365	1.250726	0.218277	-2.495961	2.258915	-2.835447	-23.902766	-0.051151	7.824453	20.819959	-0.308236	3.360590	-1.819115	-0.010674	-2.621570	-22.351123	-0.673949	9.062143	24.648799	2.213380	2.469544	-4.311599	1.196885	-3.326720	-20.984808	-0.100159	9.263971	18.994325	0.927397	2.539139	-1.253947	-1.291325	-2.366219	-20.215311	-0.961479	10.217203	16.164285	3.885830	-0.911310	-0.604158	-0.116486	-1.357918	-21.957607	-0.831289	10.268544	14.458526	2.148170	-1.191488	-1.024950	-1.682310	-4.424574	-22.088154	-1.129887	12.119772	15.593367	3.369684	-1.025715	-1.454765	-0.763050	-4.192224	-21.707102	-0.474582	9.556834	19.706386	1.590704	0.548617	-2.552197	-0.186033	-1.223159	-23.691072	-0.565911	11.080478	19.931846	4.688837	0.843752	-3.272678	-0.220815	-4.099113	-22.764473	-0.327751	9.126519	17.805184	3.056340	1.309936	2.030979	-0.078045	-3.400318	-22.312666	-0.563372	9.918739	16.530248	2.596405	1.562540	-3.057358	0.788334	-3.993082	-19.548866	0.111319	10.978562	15.882130	1.785845	1.161938	-1.756048	0.072583	-1.892057	-20.424508	-1.112936	9.295259	14.545163	1.433960	2.231173	-0.962549
	-0.030763	-1.714978	-20.624426	-1.271546	11.014767	19.079690	3.243021	0.762277	-2.458535	-2.093473	-2.572805	-22.303499	-0.872417	15.171726	19.692797	4.906553	6.942441	-3.475168	-1.491384	-3.703130	-27.442227	-1.086281	11.794340	28.777364	6.328009	1.395154	-0.344454	-0.985922	-5.042090	-21.228370	-0.361517	13.269707	21.504436	4.027112	1.664620	-3.221595	-0.063627	-2.266934	-20.299749	-0.819665	7.892226	17.407677	0.918273	1.118263	0.094821	-1.287985	-4.852305	-20.309110	-0.908124	12.343497	20.335916	5.604664	2.352301	-4.065355	0.511794	-1.073955	-22.124567	-0.541446	11.735797	21.312771	4.056428	2.355765	-1.369428	-0.748918	-3.871342	-22.146414	-0.883522	12.222328	21.708736	4.633632	1.686157	-2.900668	-1.042719	-4.105559	-22.516173	-0.971364	14.236365	22.731267	5.758176	2.891687	-2.754018	-1.544749	-5.821716	-26.181462	-1.074142	10.085876	24.034552	3.835515	0.383449	-2.064789	-1.155214	-2.947752	-22.737355	-0.701587	12.549865	21.461615	5.818065	1.543847	-3.630136	0.859746	-1.820589	-20.008179	-0.717299	11.111080	18.824581	2.473013	0.708167	-1.810406	1.637011	-3.646162	-24.574141	-0.379466	7.552643	24.973951	0.046080	4.266390	-2.136662	-0.626497	-2.787029	-22.591372	-1.012735	8.952810	28.169242	2.482702	3.075382	-5.264914	0.501188	-4.087783	-21.414846	-0.441399	9.090677	22.560795	1.466733	3.383183	-1.272132	-2.004172	-2.652817	-20.401408	-1.135230	10.022049	19.427628	4.848698	-0.275077	-0.297596	-0.718434	-2.231214	-22.217447	-1.022980	10.351012	17.590567	3.069149	-0.168527	-0.279523	-2.268844	-5.315076	-22.459550	-1.369334	11.678092	18.781877	5.089602	0.287372	-0.462582	-1.358768	-4.753963	-22.269031	-0.711562	9.561782	23.539330	2.147520	1.274437	-3.060687	-0.741097	-1.672409	-24.063758	-0.892628	10.685340	23.559608	5.227699	1.764922	-3.219031	-0.896650	-4.304035	-23.267609	-0.654999	8.729947	21.556162	3.533272	2.253919	1.285319	-0.675651	-3.852396	-22.498164	-0.713933	9.783923	19.884092	3.764061	2.033043	-2.219511	0.173821	-4.524434	-20.035640	0.076658	10.338828	19.557803	2.941742	2.082722	-1.319772	-0.577241	-2.727959	-20.558109	-1.220495	9.462754	17.706278	2.435841	2.745287	-0.005740
	-0.338894	-2.506287	-21.107461	-1.499932	11.455225	22.748171	3.829726	1.099855	-2.729851	-2.504432	-3.285382	-22.750732	-0.889290	15.345592	23.661228	5.360866	7.585063	-4.008026	-1.966357	-3.461664	-27.796224	-1.475956	11.338814	32.531598	6.460475	2.260699	-2.382249	-1.524915	-5.275957	-21.692617	-0.530401	12.591553	25.298613	4.568447	2.877563	-4.489533	-0.807493	-2.553983	-20.636213	-0.935585	8.122693	20.923624	1.657995	1.592051	-0.003169	-1.677425	-5.638389	-20.759605	-0.921024	12.630401	23.809618	6.102852	3.164931	-4.856865	-0.013152	-1.475466	-22.563491	-0.841363	11.698977	25.101122	4.305256	2.891488	-2.033744	-1.392667	-4.466361	-22.600514	-0.877290	12.192647	25.493228	5.032632	2.395703	-3.802264	-1.575714	-3.825481	-22.991374	-1.090274	13.688371	26.675441	6.132019	3.640779	-3.841601	-2.041206	-6.050206	-26.679893	-1.195468	10.011105	27.809914	4.277233	1.168332	-2.879380	-1.789630	-3.132222	-23.153838	-0.676037	12.498210	25.261409	6.296876	1.905517	-4.190747	0.317111	-2.228160	-20.282490	-0.883399	11.399913	22.334216	3.393828	1.299072	-2.321838	1.049347	-4.127148	-25.194927	-0.746893	7.530991	29.058275	0.299175	4.836461	-3.269789	-1.237135	-2.655383	-22.798197	-1.319786	8.951467	31.569839	2.727465	3.600649	-6.827735	-0.199498	-4.452856	-21.964808	-0.774516	9.062340	26.349270	1.833840	4.023211	-2.317565	-2.705588	-2.736821	-20.719519	-1.342459	9.830601	22.950456	5.464039	0.543447	-1.177341	-1.257047	-3.024153	-22.651914	-1.288752	10.544917	21.128386	3.715449	1.040036	-0.860296	-2.845479	-6.046202	-22.986298	-1.610232	11.348906	22.300873	6.354592	1.680974	-0.697437	-1.902889	-5.106429	-22.834127	-0.993647	9.576987	27.394285	2.477945	1.895123	-4.413164	-1.298432	-1.875094	-24.409171	-1.265448	10.396098	27.219947	5.499045	2.721240	-4.196760	-1.530502	-4.426004	-23.815684	-1.007506	8.580793	25.380004	3.799769	2.989178	-0.304284	-1.198217	-4.254605	-22.839326	-0.863918	9.948287	23.613406	4.512489	2.400380	-2.561051	-0.418010	-4.992254	-20.692392	0.042031	10.005685	23.521545	3.680562	2.991444	-2.023071	-1.196989	-3.679314	-20.914314	-1.278150	9.944598	21.317621	3.016890	3.218387	-0.365702
	-0.693697	-2.819563	-21.649164	-1.715990	11.730679	26.575877	4.200017	1.434592	-3.938244	-2.941297	-3.613886	-23.186693	-0.843211	15.509213	27.613877	5.535772	8.046759	-5.332200	-2.432443	-3.003288	-27.964700	-1.831894	11.003579	35.710617	6.580917	2.927211	-4.514156	-2.119453	-5.135788	-22.167105	-0.710807	11.921433	29.054645	4.874119	3.911479	-6.348407	-1.481254	-2.870312	-21.101142	-0.995690	8.561264	24.692158	2.080032	1.947171	-1.117426	-2.113382	-5.961192	-21.239559	-0.945983	12.749880	27.373487	6.367086	3.955157	-6.380253	-0.534337	-1.507348	-22.957864	-1.209068	11.595024	28.771230	4.462830	3.399596	-3.351874	-2.057169	-4.641293	-23.020288	-0.957504	11.958224	29.171454	5.271601	3.106942	-5.290532	-2.194375	-3.201533	-23.356948	-1.166015	13.105335	30.444975	6.214404	4.041473	-5.455800	-2.563292	-6.022107	-27.113604	-1.317975	9.880448	31.401436	4.502671	1.808808	-4.289376	-2.417059	-3.081310	-23.523894	-0.732300	12.270342	28.922783	6.538968	2.288171	-5.403152	-0.292246	-2.222154	-20.639069	-1.023814	11.602894	26.037806	4.012339	1.816527	-3.820287	0.494354	-4.197352	-25.676529	-1.075521	7.634142	32.809196	0.585940	5.091371	-4.836069	-1.816778	-2.316892	-22.899030	-1.566709	9.021416	34.633060	3.003955	4.009334	-8.654555	-0.896550	-4.334255	-22.505280	-1.012430	9.125774	30.063714	2.112411	4.328935	-4.077669	-3.375618	-2.611669	-21.092680	-1.567706	9.661575	26.496089	5.825797	1.341937	-2.833662	-1.783358	-3.525597	-23.168666	-1.563727	10.765978	24.871735	4.125653	2.062264	-2.389925	-3.425145	-6.471440	-23.550201	-1.787459	11.125474	25.952719	7.210149	2.933297	-1.952207	-2.409810	-5.179625	-23.291138	-1.295429	9.525272	30.966609	2.718971	2.362794	-6.168038	-1.861164	-1.786416	-24.642148	-1.644743	10.155758	30.644334	5.661352	3.582849	-5.759394	-2.121036	-4.392179	-24.306595	-1.317766	8.645248	29.014872	3.940580	3.371846	-2.365902	-1.679087	-4.429964	-23.270596	-0.980616	10.267859	27.530326	4.961150	2.656680	-3.901978	-1.011757	-5.228910	-21.396910	0.008076	9.816481	27.504002	4.100929	3.766598	-3.565551	-1.804665	-4.471200	-21.419804	-1.262608	10.583293	25.128627	3.287647	3.563157	-1.750352
