hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
	7.692124	-2.237488	-28.545675	1.759077	31.596391	5.095091	-4.651604	-17.241347	-8.508056	6.056940	-1.604430	-29.578395	1.241088	31.356816	4.824495	-4.749571	-16.393756	-9.562435	7.767945	-1.303835	-29.722918	2.403299	31.388052	5.696431	-4.180200	-15.949485	-9.541249	5.774223	1.529431	-29.717233	0.619489	29.969922	3.348606	-7.063615	-17.517786	-10.282212	6.734968	-3.021749	-27.650506	0.487794	28.876565	4.144760	-4.455559	-16.234582	-8.376576	8.238810	-2.307326	-27.286363	1.642964	30.851261	4.875329	-6.108480	-17.144231	-8.237638	6.692928	-1.456475	-31.142202	1.786067	30.448136	5.961944	-5.546338	-17.209119	-8.510482	6.128741	-1.772630	-29.207052	0.995138	30.145184	4.849823	-4.053311	-16.288027	-8.303680	8.390878	-1.633260	-28.426649	1.631154	29.712929	4.680010	-6.338679	-17.144105	-10.249336	6.792833	0.869343	-31.317107	1.480492	31.969908	3.968951	-6.826574	-17.234139	-10.802458	7.851810	-1.491973	-28.250108	1.916952	30.953878	4.738130	-5.063359	-16.036509	-10.436758	5.539222	-4.798613	-28.618218	0.934142	31.333187	4.695734	-6.972707	-17.971792	-10.270912	5.866149	-1.134438	-29.640159	0.983715	30.351345	5.035090	-6.444284	-17.462555	-9.149088	6.691784	-2.741516	-28.311539	0.888001	30.675157	4.821107	-6.572215	-18.391945	-9.136008	8.060593	-1.613948	-28.411377	0.757103	30.808887	3.325431	-6.761027	-17.800590	-8.993258	7.998650	-3.754282	-30.943742	1.437058	32.952926	4.071353	-7.168465	-18.108996	-9.450925	7.649047	-1.829476	-28.713616	1.695682	32.840415	4.554477	-8.507520	-19.107396	-10.331994	7.234384	-1.413576	-27.787982	1.225536	31.128824	4.059354	-7.214041	-17.794159	-9.076575	6.725697	-1.195449	-29.211282	0.774680	31.555905	4.007158	-5.789827	-17.043983	-8.912052	7.194624	-2.610427	-28.772942	0.908767	31.166741	3.915545	-5.227343	-16.857196	-7.634887	7.126835	-2.417895	-26.800444	0.728872	30.969945	3.679062	-5.188803	-17.002824	-7.999333
	7.780911	-2.347139	-29.089033	2.379430	30.813614	7.086860	-2.389416	-15.904185	-7.019668	6.386782	-2.104421	-29.934490	1.856898	30.808888	6.799129	-2.902024	-15.114685	-8.162790	8.018851	-1.549657	-30.081103	3.025052	30.877717	7.582124	-2.474366	-14.663760	-8.193980	6.020067	0.909650	-30.059331	1.279514	29.481878	5.180703	-5.477033	-16.435460	-9.299024	6.992564	-3.425884	-28.122153	1.140606	28.261607	6.287841	-2.630181	-15.168612	-6.967205	8.361302	-2.564627	-27.762287	2.243951	30.178212	6.927360	-3.933099	-15.598100	-6.970216	6.808368	-1.848350	-31.443118	2.363059	29.635343	7.992984	-3.479479	-15.917330	-7.133942	6.377710	-2.299865	-29.619964	1.629118	29.510389	6.941695	-2.109215	-15.062391	-6.701139	8.560790	-1.890036	-28.796091	2.190194	28.964215	6.512174	-4.904772	-15.975957	-8.937212	7.089122	0.511629	-31.612505	2.092359	31.205377	5.706670	-5.622972	-16.288482	-10.003653	7.926652	-1.714686	-28.534296	2.544133	30.254351	6.476623	-3.742526	-14.903468	-9.466055	5.672661	-5.007154	-28.929547	1.512106	30.571148	6.482966	-5.414497	-16.852804	-8.979826	6.067453	-1.618484	-29.920494	1.584694	29.729013	6.995774	-4.343107	-15.986849	-7.975957	6.760298	-2.982237	-28.589962	1.486398	30.096107	6.624336	-4.538596	-17.245626	-7.899581	8.288653	-2.008061	-28.858111	1.395855	30.328223	5.327230	-4.805326	-16.550519	-7.695270	8.049269	-3.701855	-31.091118	2.046286	32.039559	5.942269	-5.214180	-16.804619	-8.209532	7.733127	-1.868320	-28.976763	2.334343	32.114810	6.242910	-7.039451	-18.111116	-9.650214	7.293794	-1.693247	-28.146516	1.872390	30.414358	5.958282	-5.556959	-16.770110	-8.002760	6.853017	-1.603637	-29.723462	1.445376	30.780309	6.191709	-3.530416	-15.732696	-7.552757	7.239429	-2.787932	-29.274985	1.544862	30.346982	6.015146	-2.965940	-15.524804	-6.199525	7.065541	-2.476447	-27.280124	1.362413	30.060791	5.637365	-3.067939	-15.677525	-6.616967
	7.799717	-2.523160	-29.759486	3.042001	29.960762	9.400165	0.156865	-14.487421	-5.394688	6.615423	-2.625272	-30.371518	2.479290	30.125101	9.059754	-0.735268	-13.714042	-6.537234	8.181361	-1.865073	-30.542232	3.696059	30.276149	9.795132	-0.544312	-13.284599	-6.663312	6.204838	0.185298	-30.509408	1.958332	28.982235	7.302854	-3.433900	-15.127805	-7.942058	7.154024	-3.864375	-28.740914	1.801871	27.609776	8.720044	-0.393811	-13.942064	-5.365389	8.386944	-2.848161	-28.386459	2.861367	29.447910	9.253993	-1.395842	-13.984293	-5.512106	6.822752	-2.316515	-31.837733	2.964470	28.731681	10.334659	-1.106398	-14.443065	-5.644225	6.532147	-2.872689	-30.158062	2.279266	28.776469	9.385025	0.159845	-13.681833	-5.004461	8.638323	-2.162850	-29.292366	2.765666	28.150353	8.647411	-3.133461	-14.662432	-7.307519	7.335944	0.103745	-31.895985	2.688415	30.410383	7.683866	-4.027539	-15.181268	-8.759816	7.931109	-2.025270	-28.955233	3.192767	29.493709	8.537584	-2.112348	-13.620635	-8.193822	5.735186	-5.212526	-29.356634	2.068616	29.619375	8.529859	-3.393980	-15.504729	-7.294924	6.191404	-2.180332	-30.299530	2.189603	29.081698	9.218699	-1.824553	-14.363878	-6.515315	6.776322	-3.313249	-28.972705	2.117365	29.434563	8.695867	-2.104208	-15.912210	-6.416544	8.407138	-2.423573	-29.420225	2.050492	29.759725	7.610456	-2.403919	-15.132981	-6.115111	8.002888	-3.740453	-31.313392	2.696292	31.017930	8.124460	-2.853405	-15.322815	-6.725644	7.741773	-1.969803	-29.281782	3.004452	31.344068	8.177230	-5.160050	-17.005197	-8.591687	7.281718	-2.056102	-28.611415	2.551337	29.637797	8.146565	-3.518937	-15.594230	-6.632766	6.882135	-2.089184	-30.364037	2.145511	29.929877	8.713589	-0.845234	-14.283226	-5.969258	7.186182	-3.045264	-29.897596	2.219981	29.466456	8.425310	-0.382735	-14.084158	-4.604301	6.932106	-2.636747	-27.898730	2.050424	29.104587	7.927997	-0.643828	-14.259854	-5.061875
	7.693756	-2.776500	-30.597937	3.744897	29.017230	12.052647	2.820292	-13.041896	-3.854196	6.672378	-3.145896	-30.951341	3.097632	29.272187	11.631670	1.629040	-12.267841	-4.901031	8.203229	-2.256073	-31.151826	4.411614	29.534851	12.378018	1.493521	-11.859566	-5.167778	6.277895	-0.625873	-31.121960	2.628961	28.403361	9.737203	-0.951115	-13.611856	-6.324052	7.154475	-4.328818	-29.561975	2.472952	26.892977	11.469435	2.140427	-12.606262	-3.789642	8.251331	-3.165373	-29.205361	3.500238	28.623685	11.871954	1.383113	-12.371903	-4.055707	6.688287	-2.868432	-32.386244	3.597446	27.736417	13.018175	1.400754	-12.858282	-4.277036	6.521351	-3.476929	-30.895070	2.947469	27.907638	12.228737	2.606044	-12.211948	-3.484291	8.568036	-2.447054	-29.971077	3.343038	27.251247	11.115333	-1.050374	-13.274980	-5.510524	7.473108	-0.357789	-32.183886	3.238099	29.543102	9.903923	-1.995294	-13.913507	-7.115718	7.822485	-2.429553	-29.560168	3.826671	28.637796	10.951652	-0.191362	-12.209838	-6.762536	5.674231	-5.413253	-29.972964	2.561615	28.409274	10.872833	-0.902872	-13.952407	-5.356885	6.179208	-2.813285	-30.842890	2.801197	28.376146	11.735890	0.991944	-12.674894	-4.949044	6.689144	-3.740988	-29.510050	2.759232	28.633994	11.065820	0.645566	-14.402842	-4.843009	8.340427	-2.839475	-30.151797	2.710367	29.031465	10.197889	0.381492	-13.603751	-4.422952	7.820272	-3.909934	-31.689843	3.377009	29.890573	10.671155	-0.196260	-13.735253	-5.183561	7.624272	-2.154296	-29.646440	3.663769	30.459771	10.355414	-2.839137	-15.756737	-7.192726	7.162395	-2.521086	-29.229850	3.239404	28.742051	10.659103	-1.157070	-14.259778	-5.136334	6.748205	-2.653255	-31.190117	2.879000	28.981222	11.589492	2.094426	-12.771119	-4.396310	6.992879	-3.408244	-30.710256	2.951378	28.547077	11.174324	2.310679	-12.634429	-3.091058	6.688460	-2.931712	-28.699322	2.794761	28.106200	10.576999	1.915662	-12.813077	-3.568869
	7.456231	-3.096608	-31.580390	4.498486	28.024640	14.938460	5.352139	-11.633382	-2.597276	6.559935	-3.660248	-31.695486	3.734245	28.315745	14.437028	3.949285	-10.878062	-3.496088	8.088218	-2.706193	-31.906557	5.167892	28.687486	15.231973	3.445232	-10.461090	-3.929674	6.222422	-1.489118	-31.905139	3.299304	27.746796	12.420891	1.702692	-12.031770	-4.720432	6.994938	-4.820927	-30.557476	3.193712	26.153663	14.450977	4.668947	-11.284240	-2.470605	7.959227	-3.518923	-30.180434	4.186371	27.734531	14.691551	4.118898	-10.831880	-2.812568	6.412695	-3.488891	-33.103144	4.290270	26.717161	15.955157	3.783678	-11.300151	-3.226139	6.351104	-4.102082	-31.816762	3.666769	26.969011	15.351002	4.960750	-10.776128	-2.320688	8.360107	-2.754212	-30.813188	3.934147	26.317886	13.814098	1.130243	-11.930297	-3.812830	7.479580	-0.872193	-32.521221	3.756415	28.615424	12.302698	0.276115	-12.582685	-5.362118	7.587079	-2.909940	-30.334802	4.450945	27.720117	13.647991	1.828310	-10.777301	-5.428930	5.485559	-5.638692	-30.789646	3.011295	27.032815	13.446314	1.783148	-12.335007	-3.474015	6.020622	-3.498308	-31.565362	3.459190	27.630200	14.486745	3.785501	-11.047513	-3.544545	6.492524	-4.243857	-30.193092	3.414839	27.734948	13.653653	3.425839	-12.823030	-3.412661	8.090935	-3.252542	-31.036795	3.396866	28.181726	12.999028	3.243831	-12.090045	-2.874579	7.511069	-4.194707	-32.256597	4.098648	28.725073	13.497470	2.463045	-12.173511	-3.819164	7.371863	-2.423997	-30.092518	4.295593	29.452683	12.715012	-0.281287	-14.402034	-5.686700	6.936417	-3.073054	-30.003697	3.930008	27.738437	13.430736	1.282562	-12.837644	-3.788327	6.446455	-3.278794	-32.189861	3.681035	27.984043	14.715653	4.937698	-11.315648	-3.095123	6.668373	-3.867685	-31.718459	3.771866	27.648391	14.180189	4.819341	-11.296224	-1.891827	6.329544	-3.352809	-29.665545	3.608827	27.116261	13.499288	4.340671	-11.431856	-2.375928
	7.035198	-3.504114	-32.725372	5.360899	27.021135	18.055118	7.479685	-10.348375	-1.884227	6.223900	-4.171841	-32.676248	4.453018	27.293549	17.510427	5.976116	-9.652448	-2.612383	7.786238	-3.223568	-32.846163	6.000909	27.750355	18.365311	5.095737	-9.174501	-3.217294	5.994865	-2.406220	-32.896933	4.025599	27.041285	15.373232	4.253261	-10.527907	-3.402330	6.624464	-5.363321	-31.750174	4.056201	25.437429	17.684089	6.882009	-10.098762	-1.704182	7.450811	-3.935743	-31.326277	4.999573	26.804779	17.732762	6.487806	-9.465075	-2.070292	5.963491	-4.187714	-34.035460	5.117106	25.737745	19.141437	5.784796	-9.908011	-2.720972	5.960397	-4.754732	-32.962679	4.527050	26.000050	18.761873	6.934223	-9.506147	-1.795214	7.970520	-3.132799	-31.855475	4.597178	25.427042	16.758100	3.200894	-10.763331	-2.519936	7.300140	-1.470001	-32.993167	4.293386	27.661046	14.903009	2.595246	-11.287587	-3.778852	7.190145	-3.467842	-31.284001	5.116004	26.792299	16.621842	3.736158	-9.443091	-4.430127	5.121381	-5.958516	-31.882839	3.479993	25.590900	16.288141	4.395202	-10.785455	-1.975050	5.663059	-4.237635	-32.517773	4.247032	26.860733	17.501256	6.234368	-9.613081	-2.592120	6.134547	-4.842337	-31.072997	4.135743	26.771797	16.499023	5.933084	-11.262826	-2.424592	7.582494	-3.678183	-32.112106	4.188235	27.236027	16.038139	5.861467	-10.728615	-1.787607	7.031804	-4.612129	-33.113763	4.927351	27.582249	16.626859	4.824143	-10.778167	-2.900473	6.949851	-2.812068	-30.674266	4.920954	28.334691	15.266901	2.298377	-12.987545	-4.302452	6.569413	-3.724757	-30.973388	4.650861	26.643002	16.492222	3.556277	-11.392899	-2.884579	5.926569	-3.973779	-33.380253	4.640483	26.978873	18.083011	7.340595	-10.036563	-2.353160	6.179105	-4.434055	-32.967423	4.760269	26.810707	17.455837	6.858417	-10.196340	-1.271605	5.824062	-3.915873	-30.810494	4.548244	26.184620	16.695107	6.373826	-10.219168	-1.731275
	6.452492	-3.982280	-33.971425	6.347878	26.030229	21.317276	9.126687	-9.221637	-1.733732	5.693981	-4.680563	-33.844664	5.289035	26.241853	20.790424	7.609590	-8.615915	-2.300040	7.312718	-3.782405	-33.916283	6.923761	26.765999	21.676926	6.372812	-8.042012	-3.054992	5.597148	-3.372568	-34.062146	4.877932	26.329370	18.556204	6.434006	-9.208750	-2.579151	6.076664	-5.945738	-33.071142	5.087845	24.744662	21.097061	8.638654	-9.089682	-1.540242	6.767761	-4.408890	-32.565201	5.960599	25.866516	20.922257	8.371609	-8.285844	-1.858890	5.365137	-4.941525	-35.128686	6.106564	24.818139	22.486958	7.321273	-8.752898	-2.769847	5.386432	-5.417665	-34.247713	5.540514	25.016086	22.343094	8.468719	-8.427876	-1.857056	7.440874	-3.606738	-33.025142	5.375440	24.635905	19.863172	5.010821	-9.811100	-1.732240	6.940347	-2.161484	-33.648132	4.926565	26.738339	17.687121	4.721223	-10.121456	-2.599800	6.625390	-4.081046	-32.360759	5.886687	25.889763	19.825710	5.333569	-8.305126	-3.928352	4.604458	-6.408754	-33.198263	4.052301	24.226840	19.341315	6.691231	-9.410254	-1.021694	5.115621	-4.996461	-33.649845	5.202880	26.062940	20.729379	8.172046	-8.416878	-2.211210	5.637170	-5.506816	-32.101804	4.957556	25.803166	19.540575	8.013699	-9.802113	-1.956174	6.860523	-4.129934	-33.312677	5.124763	26.255106	19.243547	8.049499	-9.565469	-1.245776	6.398578	-5.114640	-34.219767	5.897454	26.485304	19.966168	6.739478	-9.614452	-2.492606	6.369899	-3.329021	-31.404901	5.599441	27.185796	17.992564	4.634988	-11.610423	-3.265635	6.067541	-4.451667	-32.098102	5.441343	25.504411	19.788013	5.477486	-10.009806	-2.550508	5.212377	-4.713772	-34.691525	5.784310	25.970153	21.611150	9.173040	-8.968018	-2.228801	5.539757	-5.064247	-34.395449	5.926542	26.003264	20.922298	8.365638	-9.352757	-1.259233	5.178203	-4.583327	-32.081077	5.635576	25.307658	20.096131	7.906488	-9.219123	-1.700115
	5.687930	-4.516223	-35.266026	7.474830	25.034648	24.676274	10.162211	-8.312656	-2.268677	4.937265	-5.159383	-35.165709	6.272733	25.133444	24.256172	8.718415	-7.820271	-2.699319	6.631660	-4.352167	-35.078316	7.956797	25.727864	25.108767	7.168559	-7.136179	-3.556403	5.015804	-4.371110	-35.364704	5.905358	25.598865	21.959792	8.052412	-8.130576	-2.439322	5.332485	-6.529951	-34.467688	6.304660	24.015272	24.656115	9.783088	-8.294307	-2.127550	5.888485	-4.926235	-33.840713	7.104002	24.904039	24.232999	9.568500	-7.364683	-2.348929	4.613842	-5.713921	-36.328827	7.266716	23.927582	25.926708	8.323915	-7.899354	-3.422369	4.594318	-6.043634	-35.610890	6.723732	23.976311	26.018183	9.435675	-7.610444	-2.612491	6.758277	-4.220559	-34.278256	6.342760	23.985964	23.112535	6.357098	-9.147853	-1.690087	6.373607	-2.963553	-34.526999	5.745676	25.879382	20.684696	6.427149	-9.167323	-2.076805	5.883552	-4.710277	-33.507943	6.797711	24.983112	23.225927	6.513111	-7.407171	-4.022748	3.915353	-7.020632	-34.706683	4.823562	23.044638	22.602425	8.419319	-8.330332	-0.856014	4.350547	-5.709971	-34.918760	6.341360	25.170377	24.149354	9.458295	-7.500147	-2.542192	4.968712	-6.203781	-33.270790	5.929963	24.837432	22.794685	9.436025	-8.537584	-2.233360	5.898210	-4.613996	-34.600823	6.265856	25.232059	22.606403	9.550313	-8.674065	-1.481834	5.577932	-5.657369	-35.540850	7.048472	25.404049	23.475508	8.040589	-8.774326	-2.744637	5.630422	-3.984838	-32.283851	6.399377	26.074632	20.904539	6.504595	-10.367879	-2.791626	5.407828	-5.226868	-33.347487	6.334902	24.309685	23.311376	6.879908	-8.750068	-2.937350	4.301330	-5.463306	-36.062045	7.097147	24.882145	25.264904	10.339098	-8.107172	-2.820250	4.733293	-5.708073	-35.940965	7.258501	25.144710	24.520699	9.278750	-8.784544	-1.926260	4.385221	-5.306255	-33.417684	6.863289	24.425861	23.651863	8.879337	-8.453520	-2.332049
	4.795590	-5.048745	-36.521266	8.667351	23.994966	28.025973	10.727274	-7.590045	-3.317921	4.002907	-5.562829	-36.518448	7.345985	23.940679	27.774441	9.406376	-7.228756	-3.637856	5.789538	-4.885650	-36.247856	9.054240	24.624799	28.539000	7.603476	-6.435779	-4.544865	4.272242	-5.337499	-36.714471	7.070271	24.790405	25.498689	9.109986	-7.272026	-2.973462	4.442774	-7.043373	-35.833249	7.604949	23.172777	28.236299	10.450681	-7.652885	-3.279353	4.885180	-5.431785	-35.073912	8.338433	23.884243	27.562800	10.262100	-6.642236	-3.339947	3.751064	-6.432583	-37.526997	8.503952	22.986359	29.349041	8.924396	-7.287723	-4.529632	3.653712	-6.583532	-36.935553	7.980939	22.853726	29.643433	10.010490	-6.993081	-3.815121	5.978859	-4.924375	-35.526004	7.446760	23.395479	26.415772	7.300847	-8.678210	-2.240572	5.627577	-3.834283	-35.558628	6.754044	25.044100	23.848258	7.657903	-8.418579	-2.224448	4.973685	-5.279028	-34.640597	7.824240	23.989472	26.740300	7.282312	-6.743323	-4.701811	3.098245	-7.715120	-36.270757	5.768282	22.005861	25.960097	9.608885	-7.524309	-1.360621	3.403657	-6.297936	-36.217101	7.572241	24.116130	27.644584	10.206779	-6.808917	-3.458418	4.176184	-6.855636	-34.490485	6.993034	23.843199	26.157866	10.340973	-7.459105	-3.086531	4.787223	-5.095722	-35.884319	7.530146	24.143964	26.024794	10.495993	-7.980304	-2.312744	4.604987	-6.161086	-36.919358	8.307533	24.262911	27.029906	8.857119	-8.202855	-3.517118	4.761272	-4.726069	-33.255501	7.340502	25.019768	23.972765	7.831539	-9.320029	-2.951988	4.612685	-5.981249	-34.632080	7.285747	23.007846	26.971436	7.806251	-7.602091	-3.943240	3.261893	-6.162881	-37.389515	8.436623	23.622207	28.961820	11.001205	-7.341411	-3.986083	3.790647	-6.291682	-37.469727	8.643189	24.140831	28.123978	9.746588	-8.406352	-3.115914	3.471213	-5.992462	-34.718972	8.134215	23.428853	27.258475	9.397783	-7.858301	-3.508794
	3.807864	-5.508108	-37.631027	9.851564	22.876599	31.240953	10.852681	-7.079329	-4.826452	2.900988	-5.810862	-37.769728	8.454616	22.621841	31.188473	9.682152	-6.867696	-5.057687	4.801448	-5.322360	-37.341634	10.171144	23.425044	31.840216	7.723473	-5.969126	-5.955007	3.388596	-6.181773	-38.007891	8.300720	23.841309	29.048893	9.669676	-6.621434	-4.094307	3.421923	-7.386892	-37.034831	8.890292	22.137177	31.685106	10.672807	-7.157732	-4.922981	3.789188	-5.842711	-36.158547	9.578214	22.751873	30.787468	10.470440	-6.140418	-4.797841	2.808921	-7.011435	-38.613182	9.720163	21.926857	32.634858	9.195953	-6.878651	-6.007380	2.593005	-6.952541	-38.077457	9.234250	21.613483	33.037790	10.205881	-6.593944	-5.403560	5.120783	-5.657131	-36.671580	8.629536	22.754582	29.688174	7.789298	-8.359672	-3.423618	4.701783	-4.704194	-36.658902	7.911350	24.137197	27.121775	8.385775	-7.858445	-3.056768	3.931076	-5.710046	-35.682854	8.901094	22.845525	30.249549	7.731987	-6.280650	-5.847042	2.166847	-8.395944	-37.740979	6.843376	21.048624	29.287600	10.227071	-7.012392	-2.521225	2.298992	-6.672549	-37.432188	8.800681	22.844512	31.077423	10.483210	-6.329011	-4.870361	3.256565	-7.338543	-35.666547	8.083900	22.761792	29.519577	10.716229	-6.633703	-4.513348	3.569011	-5.503161	-37.052748	8.841133	22.932516	29.381038	10.856876	-7.499379	-3.732860	3.487864	-6.536431	-38.210847	9.594423	22.978727	30.504130	9.233719	-7.896099	-4.775706	3.789409	-5.463935	-34.251352	8.383868	23.969832	27.147767	8.634844	-8.484429	-3.736266	3.694604	-6.626155	-35.852562	8.214982	21.539881	30.661014	8.284493	-6.564045	-5.504483	2.154206	-6.743780	-38.562687	9.655417	22.136583	32.599839	11.249627	-6.601675	-5.646653	2.734288	-6.736017	-38.834592	9.966900	22.925774	31.591879	9.852789	-8.171351	-4.731245	2.472926	-6.548414	-35.883769	9.331480	22.233362	30.802845	9.569693	-7.367151	-5.112964
