Time	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
0	0.713389	-14.744863	3.054053	-4.271335	32.749660	8.006950	-7.235564	-17.037089	-1.893762	-0.581920	-15.231319	3.924829	-4.155194	33.895188	6.767605	-6.917581	-17.125318	-4.035749	0.329737	-14.628455	3.869833	-3.606510	33.561189	8.803550	-5.692104	-16.945148	-2.631557	-0.355043	-15.413535	2.637315	-3.006340	30.674164	11.989801	-4.604000	-16.529985	-1.846043	0.784215	-15.153433	3.199225	-2.917250	33.089824	10.447289	-4.932200	-16.476332	-1.974896	1.200221	-14.693607	1.829600	-2.935959	32.468143	10.247059	-5.955352	-16.990256	-2.047007	1.147821	-13.873287	2.835745	-4.325358	33.370741	9.633867	-5.124740	-16.494063	-0.698919	-0.281174	-15.231449	1.428444	-3.262551	31.623113	11.107084	-4.704909	-16.148174	-1.637198	-0.061210	-14.154405	2.132289	-3.587931	32.767596	12.773523	0.671441	-16.668609	0.424181	-1.323528	-14.809456	1.538452	-4.362551	31.335414	11.381002	-1.072197	-16.518917	-0.214678	-0.113648	-14.916328	3.066685	-3.961535	34.437180	9.610568	-3.581463	-17.475988	-0.127201	-0.643200	-14.304824	3.169504	-3.842268	33.702743	9.680444	-3.516526	-17.390512	-1.205426	-0.028004	-14.678477	2.877394	-3.862909	34.376197	10.080680	-2.709625	-17.524915	-0.342708	0.380985	-13.874745	3.087894	-4.393177	34.650964	8.303180	-5.058168	-16.474161	-1.048810	1.178201	-13.605269	3.131132	-3.671454	33.320740	10.034384	-3.603823	-16.068889	-0.906616	-1.301867	-15.419732	1.424812	-3.096733	34.195907	10.741412	-3.870048	-17.192098	-1.798376	0.391354	-14.683356	3.791534	-3.499389	31.734310	9.203713	-6.021924	-16.861175	-1.192619	-0.229352	-15.341288	0.268128	-2.997906	32.801308	13.117343	-1.788419	-15.962854	-0.512014	-0.331098	-14.147175	3.825913	-3.939634	34.506586	8.660367	-4.781851	-17.063384	-1.812414	0.583300	-13.567899	1.444206	-4.054857	34.442214	9.428329	-3.223346	-15.925887	-1.647635	0.860956	-13.486676	2.538940	-4.052480	34.659420	9.671859	-3.767511	-15.616354	-0.939527	-0.486739	-14.782424	1.969158	-4.267945	33.173200	9.792230	-2.719798	-15.767518	-1.065089
1	0.606806	-14.485491	2.377265	-4.031717	31.402632	10.451347	-5.288778	-16.003348	-1.084280	-0.656516	-14.982090	3.492797	-3.815080	32.841768	8.924978	-5.489953	-16.373116	-2.885312	0.220977	-14.369017	3.128896	-3.332170	32.166626	11.276531	-3.584280	-16.132863	-1.687450	-0.354477	-15.029300	1.884026	-2.904375	29.207003	14.798467	-2.511770	-15.523864	-1.725458	0.663453	-14.899636	2.503802	-2.622107	31.750753	13.067107	-2.936232	-15.640469	-1.429478	1.057099	-14.589197	1.272267	-2.568144	31.291131	12.792011	-4.277443	-16.138127	-1.561197	1.144095	-13.356867	2.002235	-4.112313	31.825703	12.476284	-2.765373	-15.582733	-0.491296	-0.292912	-14.806708	0.559787	-2.907316	30.280862	14.054987	-2.646298	-15.266498	-1.460577	-0.095143	-13.633974	0.963843	-3.304812	31.101327	15.896068	3.124402	-15.546291	-0.102093	-1.336475	-14.538615	0.545691	-4.227462	29.768222	14.394054	1.500428	-15.235766	-0.526165	-0.211191	-14.593669	2.359874	-3.724978	32.842133	12.301917	-1.178350	-16.471406	0.176363	-0.714488	-13.938546	2.516375	-3.720021	32.076226	12.183736	-1.009800	-16.377305	-0.888172	-0.117355	-14.343223	1.999206	-3.513875	32.983275	12.837277	-0.225360	-16.503950	-0.125841	0.254115	-13.707651	2.351171	-4.056636	33.026021	10.929694	-2.718292	-15.256452	-0.557340	1.019173	-13.373770	2.161602	-3.358260	31.798497	12.904735	-1.117568	-15.015448	-0.607279	-1.451560	-15.189290	0.680285	-2.746484	32.769421	13.216023	-1.627572	-16.227863	-1.401408	0.208721	-14.493948	3.157378	-3.171220	30.249304	11.670881	-4.184359	-15.911773	-0.608098	-0.267549	-14.968497	-0.742801	-2.666932	31.348003	16.235654	0.598175	-14.962161	-0.967295	-0.463770	-13.971976	3.097813	-3.650405	32.927875	11.147559	-2.567833	-15.972703	-0.965812	0.479628	-13.227119	0.702319	-3.793864	32.761355	12.069583	-0.674052	-14.843326	-0.991208	0.737094	-13.292086	1.632344	-3.759454	33.178135	12.439930	-1.280347	-14.589764	-0.409133	-0.508503	-14.309141	1.055908	-4.123209	31.607602	12.578421	-0.017633	-14.653887	-0.638373
2	0.512131	-14.124199	1.485333	-3.883773	29.856083	13.211759	-2.876222	-14.866109	-0.688396	-0.693737	-14.585284	2.883754	-3.552813	31.436096	11.396322	-3.468663	-15.424026	-1.982899	0.119176	-14.004684	2.169249	-3.131684	30.553618	14.079681	-1.039884	-15.143749	-1.185101	-0.365916	-14.557131	0.882374	-2.859266	27.588393	17.897325	-0.176601	-14.323151	-2.157423	0.543176	-14.500711	1.568517	-2.355558	30.203365	16.022917	-0.622216	-14.668674	-1.398637	0.924737	-14.336759	0.500369	-2.252306	29.824254	15.677764	-2.239627	-15.098389	-1.567828	1.134037	-12.707248	0.924208	-3.963122	30.091024	15.625608	-0.120206	-14.528313	-0.825619	-0.290011	-14.269376	-0.539688	-2.583749	28.783813	17.307797	-0.334090	-14.280841	-1.815851	-0.167667	-13.043910	-0.423503	-3.014066	29.314271	19.238795	5.386766	-14.211741	-1.162865	-1.346279	-14.193851	-0.692291	-4.122656	28.158446	17.679808	4.036166	-13.778092	-1.379848	-0.305350	-14.180901	1.419865	-3.587987	30.987937	15.321230	1.499183	-15.158388	-0.049112	-0.785654	-13.511451	1.634332	-3.658482	30.236499	15.027238	1.824159	-15.064111	-1.081767	-0.229152	-13.933197	0.873914	-3.185140	31.393096	15.920985	2.368681	-15.287363	-0.476733	0.131280	-13.455488	1.379290	-3.789937	31.221022	13.914628	-0.058731	-13.879636	-0.591181	0.856556	-13.040525	0.959870	-3.089377	30.112794	16.089665	1.530637	-13.804413	-0.867737	-1.578297	-14.837798	-0.292056	-2.400923	31.125901	16.053349	0.903770	-15.051186	-1.490116	0.045260	-14.200617	2.300805	-2.915224	28.600306	14.466661	-1.958175	-14.789263	-0.467022	-0.328200	-14.480439	-1.951514	-2.329023	29.780602	19.605429	2.942287	-13.830052	-1.935023	-0.578981	-13.696066	2.153544	-3.452613	31.086277	14.008040	0.046396	-14.650443	-0.599201	0.360283	-12.805660	-0.303934	-3.551267	30.956372	15.047941	2.085852	-13.635186	-0.851942	0.578227	-12.999786	0.472035	-3.508839	31.530178	15.537200	1.429195	-13.440699	-0.435702	-0.539342	-13.731232	-0.088677	-4.037841	29.929617	15.671993	2.921031	-13.442109	-0.741122
3	0.418269	-13.712467	0.345974	-3.825853	28.296893	16.266767	-0.215389	-13.690129	-0.877497	-0.695729	-14.085734	2.026932	-3.421936	29.797044	14.205005	-0.957726	-14.316493	-1.607138	0.011375	-13.575191	0.956341	-3.014841	28.877714	17.204166	1.700830	-13.999090	-1.355104	-0.419525	-14.043619	-0.370867	-2.812994	26.000955	21.200246	2.109434	-13.021674	-3.176477	0.401660	-13.996508	0.370495	-2.093257	28.593789	19.267993	1.758059	-13.596180	-2.017683	0.791327	-13.971493	-0.532693	-1.995418	28.207638	18.861381	-0.058074	-13.900861	-2.212475	1.084359	-11.980682	-0.411771	-3.822750	28.385347	19.007220	2.466948	-13.415672	-1.764627	-0.296415	-13.687076	-1.885032	-2.254685	27.302128	20.784656	1.945745	-13.239370	-2.786946	-0.304037	-12.431302	-1.987683	-2.640373	27.593950	22.670927	7.144350	-12.810442	-2.716994	-1.384485	-13.804176	-2.160175	-3.960464	26.698027	21.119877	6.181210	-12.301647	-2.764988	-0.413576	-13.730700	0.208888	-3.542510	29.068580	18.607591	4.125149	-13.572834	-0.918432	-0.878796	-13.068244	0.493419	-3.628471	28.394429	18.154198	4.634716	-13.529118	-1.894915	-0.380265	-13.479510	-0.505078	-2.846412	29.759362	19.265131	4.727925	-13.935854	-1.473202	-0.002799	-13.143786	0.139581	-3.572124	29.456742	17.223235	2.613018	-12.434751	-1.305298	0.673374	-12.643911	-0.478331	-2.805692	28.463159	19.529485	4.000473	-12.520722	-1.780043	-1.693076	-14.401974	-1.524469	-2.054956	29.423767	19.220063	3.440753	-13.717979	-2.213358	-0.113067	-13.859499	1.154033	-2.723142	26.971761	17.572222	0.448042	-13.555884	-0.962345	-0.429258	-13.893452	-3.326713	-1.916141	28.243703	23.100427	4.910260	-12.679046	-3.395315	-0.686297	-13.355846	0.952579	-3.361525	29.165952	17.220258	2.800016	-13.140973	-0.931983	0.203138	-12.343969	-1.608292	-3.274656	29.229884	18.331868	4.709845	-12.380702	-1.396302	0.359676	-12.632139	-0.958174	-3.241994	29.907379	18.916853	4.009488	-12.248225	-1.161436	-0.608353	-13.084797	-1.475124	-3.943601	28.343700	19.011381	5.721430	-12.217989	-1.495796
4	0.307040	-13.308595	-0.995591	-3.772497	26.919418	19.511987	2.344211	-12.560080	-1.620202	-0.687316	-13.568735	0.946764	-3.377122	28.165117	17.255202	1.681427	-13.144300	-1.794603	-0.118879	-13.138889	-0.438048	-2.905161	27.322581	20.515788	4.284070	-12.796759	-2.113603	-0.527441	-13.530153	-1.784612	-2.660887	24.598600	24.558111	4.059144	-11.781168	-4.628517	0.225096	-13.453734	-1.015549	-1.764485	27.089820	22.661968	3.902729	-12.515470	-3.177825	0.643982	-13.562075	-1.770534	-1.736522	26.647290	22.193135	1.966939	-12.661885	-3.369693	0.976145	-11.246799	-1.914022	-3.573121	26.893942	22.463620	4.657411	-12.392556	-3.141725	-0.333455	-13.126644	-3.381502	-1.843897	25.976968	24.320670	3.913995	-12.242395	-4.201054	-0.498974	-11.840884	-3.608474	-2.128197	26.057011	26.039322	8.308924	-11.508979	-4.574932	-1.470412	-13.398146	-3.744784	-3.642768	25.483465	24.547221	7.755050	-10.983981	-4.497524	-0.545695	-13.296252	-1.196597	-3.483932	27.307428	21.999292	6.385432	-11.908620	-2.273312	-1.010617	-12.649191	-0.834147	-3.527272	26.757707	21.406240	7.068150	-11.972530	-3.185084	-0.571536	-13.016201	-2.034616	-2.424726	28.233355	22.706375	6.610817	-12.599128	-2.929019	-0.161857	-12.811542	-1.284796	-3.299968	27.919572	20.690997	4.969919	-11.067420	-2.540784	0.458363	-12.236373	-2.068417	-2.400227	27.017721	23.077507	6.013999	-11.309009	-3.202812	-1.817376	-13.945421	-2.945182	-1.658879	27.842818	22.557638	5.688809	-12.362814	-3.450597	-0.287369	-13.536330	-0.220488	-2.507154	25.542777	20.844143	2.712573	-12.337331	-1.980361	-0.570911	-13.254096	-4.765961	-1.367238	26.834033	26.559581	6.345389	-11.641316	-5.159679	-0.807145	-13.009862	-0.438585	-3.284915	27.396673	20.620848	5.339120	-11.595514	-1.848363	-0.002001	-11.888166	-3.126758	-2.873823	27.734416	21.782316	6.898577	-11.197430	-2.517688	0.081062	-12.230171	-2.552599	-2.849817	28.468856	22.416931	6.164937	-11.149597	-2.415046	-0.733483	-12.422226	-3.008566	-3.720769	26.987771	22.443977	8.066889	-11.093848	-2.757999
5	0.162908	-12.939990	-2.478472	-3.592862	25.848158	22.845933	4.483076	-11.581792	-2.853521	-0.698242	-13.098707	-0.367542	-3.315441	26.764542	20.508597	4.076494	-12.009078	-2.637737	-0.289806	-12.728920	-1.961246	-2.675167	26.040714	23.918465	6.360190	-11.653414	-3.462517	-0.691020	-13.041182	-3.253903	-2.309055	23.446596	27.840713	5.481478	-10.734863	-6.381572	0.008683	-12.918698	-2.511504	-1.276038	25.804166	26.079621	5.562242	-11.535340	-4.783970	0.474389	-13.146562	-3.156330	-1.377659	25.300076	25.546151	3.563302	-11.525804	-4.945003	0.798181	-10.551517	-3.490565	-3.083610	25.716026	25.858309	6.172922	-11.603040	-4.851875	-0.416687	-12.628165	-4.936159	-1.266030	24.891599	27.773373	5.324947	-11.399809	-5.963105	-0.734328	-11.308415	-5.155147	-1.474628	24.746136	29.212978	8.872881	-10.400933	-6.602112	-1.613494	-12.990363	-5.325307	-3.112438	24.522023	27.819867	8.670773	-9.938973	-6.443536	-0.708489	-12.911230	-2.730807	-3.274526	25.875688	25.366065	8.000948	-10.365710	-4.031874	-1.198331	-12.280415	-2.277856	-3.220326	25.462915	24.655623	8.833122	-10.583658	-4.860145	-0.800623	-12.556365	-3.620070	-1.833173	26.900372	26.111894	7.802793	-11.421162	-4.745934	-0.361947	-12.470976	-2.829377	-2.822369	26.744689	24.194058	6.692756	-9.946044	-4.237986	0.207797	-11.852082	-3.715887	-1.774604	25.849510	26.600841	7.378695	-10.289788	-5.024936	-1.970958	-13.516010	-4.481586	-1.134370	26.509587	25.930281	7.397501	-11.119347	-5.116391	-0.495008	-13.269861	-1.778898	-2.135120	24.468221	24.175790	4.515907	-11.280440	-3.484515	-0.745669	-12.603779	-6.164435	-0.659696	25.584560	29.849697	7.150665	-10.797668	-7.109597	-0.965554	-12.697356	-1.980440	-3.068654	25.983393	24.092243	7.307334	-10.198351	-3.319606	-0.260692	-11.465334	-4.770810	-2.245850	26.551365	25.277879	8.406205	-10.199538	-4.148152	-0.261214	-11.813405	-4.221449	-2.200193	27.309189	25.903297	7.615540	-10.291453	-4.129754	-0.932351	-11.782241	-4.597875	-3.234978	25.936962	25.839334	9.680104	-10.183104	-4.462033
6	-0.018148	-12.603258	-4.008198	-3.160927	25.106652	26.150587	5.956274	-10.858265	-4.491577	-0.750023	-12.701044	-1.836504	-3.097449	25.692795	23.859662	5.957881	-11.030362	-3.997715	-0.496569	-12.351102	-3.502406	-2.246128	25.022555	27.284968	7.814270	-10.656179	-5.221426	-0.899570	-12.599489	-4.649892	-1.733004	22.532632	30.922227	6.301478	-9.944534	-8.320356	-0.235038	-12.425466	-4.010644	-0.589872	24.751448	29.393752	6.623556	-10.722296	-6.703408	0.284382	-12.748306	-4.590567	-0.858869	24.205249	28.796772	4.611228	-10.595405	-6.786348	0.566489	-9.923433	-5.018357	-2.338345	24.797030	29.071096	6.972727	-11.078768	-6.754285	-0.534682	-12.203426	-6.424425	-0.539946	24.002355	31.030345	6.166595	-10.733474	-7.917544	-0.972364	-10.855458	-6.487035	-0.758723	23.650583	32.086193	8.959182	-9.498798	-8.676745	-1.804154	-12.591259	-6.763373	-2.411843	23.741489	30.818441	8.997832	-9.176763	-8.474489	-0.895179	-12.585737	-4.275344	-2.852346	24.777055	28.594149	8.950816	-9.064165	-6.034803	-1.440314	-11.971736	-3.730642	-2.653034	24.488399	27.790170	9.865766	-9.457287	-6.783266	-1.045884	-12.104898	-5.140753	-1.083287	25.729815	29.367851	8.352681	-10.450714	-6.764647	-0.599634	-12.126859	-4.377855	-2.093642	25.855203	27.605440	7.751738	-9.109068	-6.216727	-0.063732	-11.511976	-5.296325	-0.934540	24.911061	29.969317	8.077662	-9.491695	-7.105682	-2.156576	-13.143709	-6.019420	-0.460791	25.427395	29.205869	8.495194	-10.055247	-7.063970	-0.730832	-13.057157	-3.396534	-1.554878	23.705421	27.444364	5.759046	-10.447388	-5.297925	-0.926486	-11.988783	-7.410574	0.121783	24.465203	32.880199	7.423548	-10.125134	-9.125337	-1.164124	-12.429908	-3.571129	-2.613879	24.932538	27.503824	8.606421	-9.065821	-5.155747	-0.555508	-11.087204	-6.402908	-1.393100	25.620652	28.682985	9.212664	-9.415033	-6.129627	-0.639210	-11.403652	-5.836452	-1.319242	26.350101	29.247983	8.408168	-9.669692	-6.114451	-1.190656	-11.197789	-6.117252	-2.490390	25.114270	29.076661	10.575491	-9.489589	-6.444991
7	-0.220116	-12.276219	-5.461712	-2.493392	24.560237	29.313581	6.807752	-10.371756	-6.358272	-0.852983	-12.375133	-3.362921	-2.604038	24.961025	27.195169	7.115794	-10.316105	-5.773805	-0.723583	-12.007255	-4.930977	-1.611167	24.204808	30.479260	8.593308	-9.837900	-7.259527	-1.121648	-12.218599	-5.861646	-1.035811	21.773064	33.738080	6.678335	-9.343432	-10.317826	-0.476131	-11.990750	-5.395383	0.211084	23.855609	32.504184	7.172637	-10.045511	-8.775407	0.087382	-12.384040	-5.956364	-0.217471	23.310145	31.840405	5.139997	-9.875100	-8.755720	0.315643	-9.377849	-6.364969	-1.449460	24.019215	32.003743	7.185831	-10.746142	-8.722076	-0.657208	-11.860246	-7.709023	0.224099	23.241817	33.988034	6.518634	-10.197340	-9.943884	-1.170506	-10.476208	-7.502402	-0.096011	22.735013	34.610945	8.778560	-8.759480	-10.706928	-2.014359	-12.207973	-7.941470	-1.664271	23.052589	33.475874	8.940191	-8.616774	-10.483209	-1.089396	-12.318120	-5.689533	-2.237315	23.959279	31.572813	9.307708	-8.047294	-8.151753	-1.715241	-11.722120	-5.068738	-1.881729	23.729989	30.718588	10.265554	-8.583452	-8.827438	-1.274887	-11.667321	-6.464119	-0.265478	24.673539	32.363765	8.386739	-9.676418	-8.857459	-0.860365	-11.785090	-5.796017	-1.158230	25.134604	30.793361	8.166239	-8.523808	-8.352521	-0.324856	-11.222595	-6.687084	-0.008723	24.097683	33.087453	8.285161	-8.847520	-9.286304	-2.355791	-12.842589	-7.428417	0.288568	24.526085	32.274123	9.047783	-9.150679	-9.149921	-0.973346	-12.883205	-4.919933	-0.804512	23.160139	30.518146	6.406481	-9.834812	-7.294618	-1.075850	-11.443004	-8.400361	0.837742	23.448734	35.587198	7.340635	-9.554850	-11.117373	-1.392373	-12.209157	-5.087691	-1.898976	24.186983	30.726633	9.196669	-8.249180	-7.227114	-0.851330	-10.759832	-7.869566	-0.432380	24.832768	31.867928	9.451907	-8.790814	-8.289857	-1.012402	-11.029847	-7.248359	-0.322050	25.506846	32.310146	8.628766	-9.212610	-8.232514	-1.475775	-10.698302	-7.420322	-1.592419	24.420102	32.036554	10.861475	-8.955703	-8.564128
8	-0.421649	-11.945919	-6.661311	-1.662653	24.095965	32.165391	7.041232	-10.090404	-8.343144	-0.992494	-12.092529	-4.810939	-1.876373	24.424495	30.390488	7.607644	-9.841305	-7.788561	-0.941478	-11.697538	-6.127942	-0.887249	23.484537	33.399995	8.860844	-9.145629	-9.412722	-1.316455	-11.927742	-6.715827	-0.345321	21.157448	36.142926	6.705507	-8.881531	-12.282592	-0.671237	-11.628845	-6.514163	0.978250	23.068334	35.280922	7.293685	-9.451101	-10.879561	-0.090754	-12.068204	-7.120007	0.430045	22.556183	34.571925	5.245863	-9.310313	-10.749606	0.088327	-8.925804	-7.384893	-0.591216	23.297294	34.556401	6.984970	-10.498727	-10.661610	-0.744185	-11.591253	-8.669681	0.871670	22.559068	36.577006	6.540005	-9.712178	-11.949597	-1.287858	-10.162619	-8.064453	0.392939	22.011842	36.686462	8.476198	-8.165349	-12.620062	-2.212715	-11.846821	-8.708644	-1.007216	22.419382	35.675204	8.647590	-8.194862	-12.387094	-1.266878	-12.087446	-6.834453	-1.524947	23.346122	34.215057	9.244326	-7.293294	-10.269360	-1.986187	-11.523516	-6.151590	-1.029826	23.097852	33.345710	10.178606	-7.915224	-10.893139	-1.450816	-11.247645	-7.472532	0.487070	23.706856	35.012039	8.102384	-9.051812	-10.919649	-1.112274	-11.457200	-6.966389	-0.176823	24.461492	33.672522	8.137579	-8.067848	-10.516197	-0.532676	-10.989254	-7.730020	0.838235	23.365604	35.823053	8.140928	-8.300669	-11.447090	-2.532599	-12.619128	-8.565739	0.977567	23.748524	35.023798	9.163882	-8.355060	-11.258290	-1.186128	-12.723559	-6.198903	-0.036168	22.701518	33.304665	6.610543	-9.351672	-9.336971	-1.155398	-10.981381	-9.030275	1.350035	22.542661	37.898291	7.058340	-9.032537	-13.025672	-1.620388	-12.019752	-6.403175	-1.046500	23.613432	33.672150	9.256692	-7.675599	-9.385504	-1.101574	-10.488373	-9.008966	0.467837	24.121914	34.699557	9.290169	-8.257296	-10.485052	-1.333692	-10.715734	-8.350856	0.616441	24.719360	35.012668	8.500646	-8.805083	-10.355298	-1.740627	-10.292782	-8.379228	-0.705305	23.781129	34.632531	10.732809	-8.500287	-10.691500
9	-0.598770	-11.608297	-7.541004	-0.853276	23.607003	34.676740	6.955116	-9.871600	-10.317979	-1.138914	-11.827456	-6.024876	-1.063618	23.934167	33.311959	7.586477	-9.517806	-9.881785	-1.116892	-11.424181	-6.976751	-0.220346	22.813423	35.950557	8.804599	-8.521365	-11.552094	-1.457503	-11.702418	-7.205220	0.220077	20.643456	38.167813	6.601494	-8.464564	-14.159049	-0.795984	-11.317693	-7.313961	1.577099	22.344734	37.714987	7.207723	-8.871722	-12.917751	-0.223606	-11.794208	-8.001237	0.953330	21.887612	36.968319	5.132571	-8.809292	-12.690804	-0.084081	-8.548485	-8.026039	0.084886	22.587864	36.727695	6.615577	-10.229570	-12.518720	-0.766547	-11.365193	-9.238686	1.279719	21.931248	38.774100	6.406876	-9.214366	-13.873673	-1.328989	-9.882998	-8.218052	0.677027	21.438781	38.363342	8.180118	-7.664089	-14.397304	-2.379304	-11.503921	-9.080367	-0.519149	21.820615	37.459850	8.301134	-7.822792	-14.159954	-1.406176	-11.860347	-7.615007	-0.842274	22.864857	36.476485	8.972694	-6.737763	-12.302497	-2.212922	-11.347107	-6.911394	-0.256552	22.513226	35.650788	9.861202	-7.354710	-12.901609	-1.548737	-10.841138	-8.098010	1.059944	22.832688	37.267349	7.703855	-8.525992	-12.879284	-1.317798	-11.153137	-7.775517	0.676528	23.784816	36.162293	7.863562	-7.637562	-12.609653	-0.669669	-10.785639	-8.404072	1.490099	22.686471	38.181004	7.869038	-7.784547	-13.509694	-2.652654	-12.448661	-9.368023	1.485423	23.048676	37.425206	9.054527	-7.609388	-13.297601	-1.328748	-12.551612	-7.093660	0.578114	22.251840	35.717476	6.537165	-8.913519	-11.318442	-1.156966	-10.583297	-9.301785	1.607661	21.746709	39.831731	6.732870	-8.521096	-14.826505	-1.810198	-11.837136	-7.382512	-0.221405	23.121682	36.251378	8.983235	-7.263459	-11.515028	-1.274571	-10.254680	-9.761723	1.173661	23.455739	37.145705	8.959410	-7.746133	-12.607203	-1.559449	-10.470159	-9.053875	1.338696	23.981779	37.290156	8.216056	-8.366212	-12.392165	-1.944768	-9.966791	-8.928530	0.020144	23.167069	36.828796	10.408001	-8.054959	-12.730905
