Time	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
0	-0.361255	-2.536045	-33.420989	6.374639	27.222361	13.523580	-5.030227	-17.201136	-6.399650	0.148193	-2.473179	-33.632585	6.326333	28.357353	12.482469	-1.095319	-16.858458	-3.352125	2.042208	-2.847879	-32.908641	7.840551	26.098661	17.442461	-0.989665	-16.420175	-0.123943	0.242665	0.130362	-31.062430	5.982962	29.327035	10.635047	-0.333474	-16.958878	-1.586998	1.038174	-1.736134	-33.656361	6.439761	29.551319	12.580671	-1.516871	-16.703503	-3.027951	0.700686	-0.208954	-33.211294	6.139215	30.179142	11.009597	-1.124774	-16.834271	-3.042020	1.426471	1.103323	-31.039194	6.246611	28.934863	11.112666	-0.728589	-16.966719	-0.870779	1.641294	0.849445	-31.210828	6.031683	28.635079	11.489606	-1.890426	-17.193243	-2.084845	-1.020357	-1.170407	-30.849155	5.358805	29.105872	11.117007	-2.149502	-16.523654	-3.652663	0.410417	-1.823070	-31.665606	6.468662	29.747284	12.657286	-3.097163	-17.274597	-3.413716	0.480287	-1.099015	-30.430401	5.429592	31.316399	9.262094	-3.375546	-17.666827	-4.309357	-0.004036	-2.576736	-31.757277	6.458756	28.238839	12.557435	-2.305222	-17.394109	-3.493255	0.046895	-1.274070	-31.693496	6.782270	30.431823	12.458816	0.779828	-15.443562	-1.062161	-0.603931	-3.665474	-32.269613	6.773326	28.784657	13.989248	0.579073	-17.632781	-0.363446	0.094277	-1.155452	-29.745156	6.279883	30.755234	10.643735	-3.156431	-17.450095	-3.583812	1.286017	-0.404161	-30.820223	6.356549	29.194977	12.401068	-3.074876	-18.458555	-3.751368	-1.018771	-2.517893	-31.763005	6.156450	29.852450	11.269737	-3.217859	-18.206643	-4.092910	0.656157	-0.366823	-30.260120	6.126363	28.627044	11.336852	-0.640162	-17.167449	-1.527119	-1.037853	1.251296	-29.857880	4.817865	29.651836	8.912560	-2.679176	-15.424193	-4.855408	-1.441779	-1.320691	-33.229536	6.967000	29.751031	13.405133	-4.820046	-17.436825	-6.013547	0.807922	-1.049293	-32.111532	5.418369	27.951818	12.117861	-0.634690	-16.245423	-1.585127	-1.295276	-3.152914	-32.129890	5.938766	28.532203	12.628576	-0.876473	-17.204088	-3.113417	0.900663	0.731928	-30.100733	6.303765	29.265169	11.468462	-3.707337	-17.017084	-5.467547
1	-0.512544	-2.712041	-33.132356	6.657546	26.791580	14.712829	-2.478395	-15.636539	-4.607008	-0.071588	-2.591851	-33.536793	6.831194	28.395371	13.801746	1.033377	-16.009194	-1.515828	1.819941	-3.120772	-32.950688	8.532196	26.099528	19.460480	0.398547	-15.834878	0.749913	0.041842	-0.367335	-31.354441	6.704182	29.393466	12.506394	1.500341	-16.233041	0.002550	0.890338	-1.924684	-33.777485	7.037886	29.414625	14.251805	0.468003	-15.898600	-1.546624	0.597121	-0.895879	-33.207502	6.772919	30.224246	12.500221	0.774855	-15.960651	-1.408872	1.194140	0.658794	-31.060065	6.927029	28.763533	12.751995	1.106948	-16.095157	0.479619	1.455153	0.486980	-31.063596	6.666909	28.701089	13.011366	0.194702	-16.333229	-0.624141	-1.140227	-1.659613	-30.738767	5.849452	29.078216	12.521301	0.066615	-15.778283	-2.109463	0.182230	-1.937253	-31.469880	6.924376	29.488913	13.868973	-0.880885	-16.346348	-1.775715	0.227665	-1.173948	-30.194554	5.830375	31.125920	10.345679	-0.987457	-16.842897	-2.373910	-0.325933	-2.690300	-31.515614	6.921965	28.255685	13.720240	-0.062206	-16.824308	-1.924637	-0.109618	-1.634443	-31.778176	7.410132	30.284482	14.251353	2.630665	-14.917188	0.319663	-0.827649	-3.908534	-32.427764	7.485642	28.780269	15.861092	2.423886	-17.039496	0.648303	-0.061729	-1.350553	-29.632077	6.740544	30.630389	11.787047	-0.913839	-16.596600	-1.778174	0.974292	-0.639467	-30.523424	6.749828	29.212283	13.425350	-1.010119	-17.756805	-2.137081	-1.146048	-2.845772	-31.673254	6.680338	29.712591	12.680918	-0.832023	-17.293872	-2.376532	0.392524	-0.801772	-30.496514	6.883875	28.486829	13.269850	1.203627	-16.394588	-0.200491	-1.288540	1.137932	-29.897228	5.298756	29.484024	10.524869	-0.338785	-14.578666	-3.095281	-1.573923	-1.492619	-32.962904	7.298979	29.362707	14.480417	-2.575781	-16.545982	-4.652454	0.650432	-1.392816	-32.111461	6.070550	28.049871	13.717176	1.420832	-15.465182	0.126665	-1.464676	-3.631670	-32.299918	6.713744	28.553322	14.491080	0.982002	-16.551836	-1.797674	0.642921	0.553422	-29.920660	6.846635	29.079056	12.758309	-1.773594	-16.136321	-3.997104
2	-0.718578	-2.954919	-32.989804	7.017498	26.486597	16.222919	0.159730	-14.354773	-2.816816	-0.324038	-2.839445	-33.603936	7.457375	28.396287	15.552488	2.986702	-15.352388	-0.010190	1.504768	-3.375705	-33.126046	9.254152	25.820489	21.876993	1.519435	-15.228008	1.053349	-0.217520	-0.926219	-31.853583	7.541371	29.249022	14.828769	3.059912	-15.537038	1.133214	0.680961	-2.184568	-34.061956	7.766745	29.229192	16.332280	2.235561	-15.246141	-0.436399	0.450618	-1.668474	-33.382013	7.527272	30.184593	14.397341	2.433625	-15.213039	-0.060118	0.908478	0.095987	-31.236484	7.711209	28.523886	14.780322	2.641110	-15.321928	1.413256	1.230134	-0.032876	-31.078643	7.403517	28.720922	14.877200	2.063032	-15.628658	0.557578	-1.311660	-2.249097	-30.795941	6.448289	28.994131	14.286303	2.107461	-15.151458	-0.769814	-0.091274	-2.153199	-31.417478	7.487395	29.227521	15.421422	1.183666	-15.591729	-0.353440	-0.090080	-1.362729	-30.110653	6.352245	30.861538	11.790772	1.300769	-16.168331	-0.546576	-0.660312	-2.931754	-31.420060	7.484984	28.231838	15.282167	1.982570	-16.363864	-0.652185	-0.333184	-2.075199	-32.032697	8.135344	29.993191	16.473785	4.194193	-14.376715	1.240008	-1.094479	-4.203234	-32.721707	8.270987	28.615121	18.121689	3.957156	-16.424233	1.154586	-0.275066	-1.638950	-29.705373	7.314157	30.402205	13.341914	1.206387	-15.878915	-0.156552	0.604768	-0.977805	-30.392778	7.253786	29.147036	14.795633	0.932891	-17.184023	-0.709113	-1.318600	-3.263857	-31.761224	7.322802	29.525194	14.493793	1.396315	-16.497902	-0.897151	0.066436	-1.290755	-30.925904	7.763622	28.209802	15.633718	2.766984	-15.689440	0.657230	-1.587975	0.831238	-30.123607	5.924800	29.378222	12.490272	1.917578	-13.998648	-1.407210	-1.700811	-1.834157	-32.785266	7.665807	29.043952	15.830234	-0.297859	-15.790842	-3.311996	0.405954	-1.799620	-32.304566	6.851738	27.967382	15.756402	3.238282	-14.791490	1.421032	-1.674902	-4.133887	-32.619967	7.565099	28.399507	16.739002	2.556501	-15.935429	-0.874036	0.317130	0.331713	-29.874600	7.458750	28.753457	14.364613	0.070759	-15.407824	-2.628999
3	-1.001729	-3.290458	-33.049132	7.508417	26.307025	18.129246	2.622078	-13.461859	-1.341334	-0.615155	-3.217862	-33.856171	8.187932	28.270387	17.780235	4.615371	-14.782036	0.911669	1.092944	-3.555922	-33.409617	9.925893	25.169902	24.656753	2.299816	-14.504292	0.700238	-0.526402	-1.510687	-32.546286	8.442237	28.775902	17.651424	4.220546	-14.752542	1.563188	0.412833	-2.517321	-34.505693	8.602969	28.905613	18.846781	3.651709	-14.651283	0.097869	0.250769	-2.485480	-33.746928	8.356307	29.943413	16.749222	3.729690	-14.473681	0.750052	0.571552	-0.551904	-31.572735	8.549268	28.146033	17.212292	3.783588	-14.559125	1.735325	0.964777	-0.702852	-31.287461	8.218358	28.614350	17.128399	3.567810	-14.977510	1.227890	-1.551378	-2.885920	-31.040072	7.137910	28.785990	16.441968	3.826229	-14.582790	0.135880	-0.415614	-2.469523	-31.538826	8.140701	28.906945	17.368796	2.939534	-14.952222	0.597837	-0.480939	-1.687734	-30.229161	7.000756	30.487221	13.659239	3.288536	-15.591333	0.888132	-1.007406	-3.277554	-31.489045	8.123737	28.067767	17.290554	3.688402	-15.890430	0.101318	-0.640278	-2.540250	-32.440821	8.907614	29.460990	19.133967	5.369329	-13.710877	1.504740	-1.403597	-4.504624	-33.130358	9.063689	28.186185	20.759895	5.097212	-15.678590	1.046621	-0.557910	-2.028440	-30.003149	7.992793	30.015549	15.385088	3.012545	-15.227579	0.980626	0.180256	-1.426740	-30.480733	7.867954	28.931634	16.580902	2.594287	-16.657063	0.279611	-1.543353	-3.764697	-32.062513	8.074282	29.225998	16.760957	3.259409	-15.761922	0.073393	-0.333530	-1.761855	-31.535121	8.700906	27.674477	18.439088	3.935727	-14.948960	0.849337	-1.959892	0.337809	-30.557047	6.720129	29.264661	14.843588	3.890412	-13.631024	-0.080377	-1.837056	-2.366074	-32.734331	8.090430	28.794760	17.491133	1.831318	-15.168188	-2.203895	0.062026	-2.230505	-32.701408	7.715876	27.608474	18.275667	4.677947	-14.116533	2.045878	-1.926496	-4.599740	-33.067931	8.424448	27.983060	19.368362	3.768954	-15.267345	-0.496163	-0.075546	0.039900	-29.990339	8.125234	28.263669	16.320663	1.680617	-14.777555	-1.573598
4	-1.353683	-3.679753	-33.289837	8.122517	26.160721	20.393494	4.744734	-12.827499	-0.390051	-0.946705	-3.669540	-34.268189	8.959928	27.923140	20.447360	5.854829	-14.140713	1.132771	0.606275	-3.610167	-33.741045	10.466043	24.160355	27.675298	2.743034	-13.633560	-0.233854	-0.857184	-2.065040	-33.342920	9.316515	27.958622	20.879876	4.981728	-13.808649	1.283575	0.102813	-2.882328	-35.059664	9.468900	28.355857	21.742253	4.677953	-13.979785	-0.010605	-0.004628	-3.268670	-34.256030	9.171980	29.409592	19.511223	4.652079	-13.612484	0.913566	0.194625	-1.202283	-32.030663	9.360343	27.557182	19.995710	4.542222	-13.706846	1.402880	0.664240	-1.444256	-31.665392	9.050878	28.300434	19.735056	4.670455	-14.247221	1.288368	-1.862501	-3.488038	-31.451251	7.874220	28.379037	18.973207	5.148308	-13.976002	0.445048	-0.784653	-2.849782	-31.823629	8.841278	28.457252	19.706607	4.307076	-14.309016	0.920666	-0.934173	-2.113311	-30.544666	7.739300	29.967331	15.930100	4.885757	-14.996755	1.740343	-1.372284	-3.651066	-31.704881	8.779265	27.651881	19.733510	4.990486	-15.267037	0.212693	-1.024782	-2.942528	-32.940990	9.644937	28.629506	22.149931	6.145670	-12.858345	1.096674	-1.743559	-4.747422	-33.604540	9.769765	27.419422	23.713885	5.812881	-14.726238	0.316043	-0.899702	-2.478361	-30.489634	8.727304	29.439873	17.870970	4.432354	-14.519281	1.481640	-0.287983	-1.947478	-30.786899	8.553801	28.501224	18.791651	3.888250	-16.051775	0.663874	-1.812482	-4.297103	-32.545094	8.880103	28.749750	19.437648	4.685202	-14.981032	0.409492	-0.797289	-2.126008	-32.247870	9.589778	26.822661	21.579251	4.724042	-14.087106	0.407102	-2.401842	-0.248595	-31.145890	7.631935	29.040277	17.528058	5.493494	-13.312433	0.704288	-1.998495	-3.041687	-32.825397	8.590883	28.573406	19.456160	3.662364	-14.608891	-1.517306	-0.364603	-2.627494	-33.244402	8.579083	26.949660	21.198117	5.706425	-13.338321	1.951320	-2.207927	-4.959258	-33.589328	9.202148	27.260105	22.313895	4.609212	-14.480732	-0.712315	-0.521154	-0.320015	-30.260798	8.813492	27.607109	18.613882	2.978616	-14.140339	-0.993257
5	-1.780322	-4.058377	-33.725008	8.842801	25.914092	23.077704	6.354812	-12.318453	-0.229000	-1.316436	-4.106729	-34.784028	9.690053	27.292938	23.467735	6.712568	-13.328574	0.680393	0.084631	-3.523266	-34.054509	10.834860	22.909887	30.769598	2.930958	-12.670125	-1.570214	-1.185329	-2.527004	-34.150952	10.072936	26.829788	24.392293	5.364180	-12.710750	0.356864	-0.228059	-3.221664	-35.659784	10.268468	27.539559	24.921112	5.347981	-13.155959	-0.700925	-0.314835	-3.929466	-34.847881	9.879871	28.530526	22.608999	5.231988	-12.569387	0.430761	-0.207501	-1.765096	-32.550220	10.066963	26.721680	23.036112	4.974310	-12.724888	0.499845	0.333985	-2.154564	-32.166170	9.827152	27.713807	22.644562	5.378330	-13.360712	0.739730	-2.232371	-3.981084	-31.974752	8.595890	27.731720	21.806076	6.099279	-13.267434	0.162008	-1.187971	-3.235705	-32.233783	9.531714	27.820301	22.387161	5.280227	-13.570153	0.602348	-1.440102	-2.580315	-31.037193	8.517896	29.243744	18.597690	6.038117	-14.284957	1.880379	-1.756692	-3.966543	-32.017787	9.380712	26.933210	22.524510	5.916701	-14.433797	-0.273100	-1.462264	-3.206585	-33.459931	10.267943	27.506443	25.393308	6.575617	-11.840366	0.129754	-2.089428	-4.886252	-34.076647	10.318313	26.368751	26.833812	6.195262	-13.603521	-0.865332	-1.293215	-2.926844	-31.123729	9.459437	28.622117	20.779063	5.402557	-13.661716	1.238261	-0.786287	-2.470677	-31.267855	9.246800	27.807666	21.390625	4.802659	-15.281638	0.417489	-2.118305	-4.788695	-33.162463	9.663799	28.016469	22.487261	5.644882	-14.067240	0.054064	-1.306110	-2.306612	-32.978488	10.320911	25.642688	24.936802	5.168533	-13.077438	-0.586252	-2.903696	-0.832494	-31.842993	8.590658	28.601387	20.510277	6.664388	-12.906536	0.815775	-2.199226	-3.779278	-33.053916	9.166130	28.308395	21.719286	5.105967	-14.036872	-1.374531	-0.847916	-2.931718	-33.854576	9.355523	26.006263	24.410325	6.336327	-12.421091	1.201700	-2.498344	-5.171219	-34.113199	9.827942	26.276140	25.443764	5.158688	-13.578025	-1.411290	-1.002240	-0.719864	-30.656606	9.482291	26.795753	21.201767	3.950966	-13.418682	-0.951051
6	-2.264981	-4.346319	-34.293286	9.589043	25.454920	26.098800	7.473429	-11.782207	-0.803690	-1.719526	-4.419938	-35.334598	10.265805	26.315152	26.761816	7.165584	-12.299655	-0.446435	-0.424228	-3.266554	-34.270043	10.960279	21.536303	33.768333	2.920282	-11.691746	-3.220267	-1.485453	-2.836658	-34.876504	10.628717	25.484534	28.021526	5.426108	-11.541011	-1.093043	-0.559196	-3.465788	-36.231594	10.879471	26.430461	28.283580	5.669302	-12.153532	-1.940140	-0.677890	-4.360658	-35.445911	10.374011	27.284484	25.942973	5.497797	-11.358343	-0.670047	-0.617714	-2.131055	-33.058880	10.567827	25.613761	26.228652	5.107033	-11.629286	-0.918915	-0.019807	-2.711952	-32.732400	10.453518	26.799116	25.786547	5.695335	-12.303055	-0.391073	-2.651747	-4.255415	-32.556751	9.204292	26.760946	24.898545	6.644906	-12.414776	-0.776590	-1.617631	-3.540274	-32.726967	10.124135	26.917868	25.376068	5.821178	-12.681532	-0.383129	-1.983131	-3.002907	-31.653675	9.257891	28.255920	21.628761	6.718683	-13.395688	1.265241	-2.154482	-4.114762	-32.380114	9.817742	25.834020	25.612179	6.428633	-13.354390	-1.383548	-1.920833	-3.244893	-33.915268	10.675767	26.119183	28.727081	6.694792	-10.726377	-1.320731	-2.411061	-4.866501	-34.473271	10.616086	25.090340	29.976827	6.296012	-12.374531	-2.408948	-1.723532	-3.291224	-31.830032	10.113258	27.545465	24.015001	5.928151	-12.647749	0.297561	-1.300058	-2.892456	-31.872712	9.844756	26.768751	24.361757	5.297341	-14.286762	-0.503513	-2.451814	-5.144078	-33.844467	10.319753	26.962527	25.838322	6.145789	-12.981440	-0.969878	-1.822429	-2.257645	-33.630690	10.792524	24.201993	28.357464	5.336163	-11.958271	-2.014009	-3.434688	-1.320978	-32.583280	9.500244	27.888480	23.710924	7.409693	-12.338156	0.263756	-2.453882	-4.465768	-33.397597	9.784128	27.889855	24.289876	6.083093	-13.384083	-1.874904	-1.354768	-3.074904	-34.438727	9.944178	24.807789	27.780444	6.586410	-11.383164	-0.126128	-2.774086	-5.168208	-34.556301	10.196349	25.058200	28.639486	5.452629	-12.580530	-2.560510	-1.501762	-1.113115	-31.148002	10.068466	25.826326	24.061535	4.552599	-12.573567	-1.537805
7	-2.792576	-4.447388	-34.922481	10.250512	24.683103	29.361324	8.111809	-11.136065	-2.049788	-2.130694	-4.563792	-35.831624	10.642541	25.108358	30.124053	7.359142	-11.154843	-1.978934	-0.876857	-2.902842	-34.358240	10.892037	20.215998	36.553321	2.849503	-10.783349	-4.989147	-1.742589	-2.988181	-35.463633	10.977927	24.087719	31.578022	5.316184	-10.418226	-2.830465	-0.873161	-3.593751	-36.711255	11.270152	25.160143	31.645574	5.785555	-11.066358	-3.489444	-1.070583	-4.546747	-35.969185	10.644497	25.821349	29.314967	5.580126	-10.106783	-2.150175	-1.013054	-2.285844	-33.487837	10.852996	24.355171	29.393187	5.084935	-10.523198	-2.608984	-0.380637	-3.060967	-33.282721	10.891985	25.647901	28.993159	5.761320	-11.167623	-1.878655	-3.082933	-4.310997	-33.110206	9.643542	25.561296	28.070593	6.938664	-11.478753	-2.123249	-2.053251	-3.703618	-33.216624	10.558396	25.801897	28.497102	6.072897	-11.699886	-1.785884	-2.531276	-3.303131	-32.294857	9.877156	27.033895	24.871607	7.039134	-12.368578	0.094092	-2.541536	-4.076805	-32.717731	10.055318	24.497264	28.790081	6.682263	-12.156974	-2.855422	-2.358888	-3.082076	-34.256910	10.871079	24.632681	31.976641	6.663425	-9.641887	-3.018286	-2.685960	-4.696929	-34.745891	10.666438	23.739402	32.984724	6.258254	-11.155801	-4.138602	-2.166488	-3.501909	-32.512259	10.618784	26.264310	27.403749	6.115933	-11.556682	-1.141084	-1.804251	-3.146850	-32.491296	10.269698	25.466205	27.516187	5.511802	-13.148540	-1.858093	-2.794983	-5.308984	-34.500803	10.776779	25.653627	29.317622	6.327726	-11.788785	-2.443768	-2.298421	-2.022892	-34.145010	11.001259	22.677876	31.674141	5.364499	-10.825333	-3.678413	-3.952116	-1.653432	-33.294591	10.265085	26.921875	27.000190	7.826077	-11.616053	-0.788780	-2.754218	-5.001160	-33.782257	10.365947	27.251351	27.068970	6.695572	-12.627655	-2.868822	-1.841461	-3.054232	-34.920048	10.317189	23.488962	31.123102	6.609721	-10.316038	-1.783679	-3.017494	-4.977827	-34.868794	10.318099	23.747440	31.746532	5.615766	-11.567750	-3.970267	-1.991980	-1.445830	-31.656411	10.533990	24.760961	27.052458	4.891467	-11.658675	-2.576018
8	-3.330846	-4.321649	-35.520130	10.723540	23.616789	32.696336	8.397171	-10.376930	-3.751878	-2.522015	-4.491684	-36.185511	10.762176	23.777549	33.370517	7.371766	-9.993889	-3.788339	-1.233174	-2.472841	-34.279671	10.649614	19.089954	39.000844	2.795305	-10.017535	-6.773475	-1.934224	-2.951901	-35.832540	11.090665	22.797415	34.854171	5.138701	-9.465182	-4.727723	-1.155056	-3.577174	-37.028215	11.396830	23.846738	34.832056	5.774179	-9.990267	-5.232932	-1.471683	-4.439682	-36.323960	10.668263	24.281542	32.521816	5.557177	-8.965760	-3.890144	-1.367703	-2.195936	-33.764298	10.888365	23.052245	32.358921	4.995697	-9.508139	-4.443534	-0.730179	-3.122201	-33.729860	11.074822	24.337166	32.090663	5.659237	-10.058175	-3.607069	-3.493295	-4.126630	-33.557149	9.844990	24.208178	31.171494	7.058396	-10.517073	-3.763630	-2.471564	-3.654255	-33.615165	10.745944	24.511560	31.599696	6.110132	-10.689108	-3.490542	-3.040055	-3.373672	-32.853803	10.247946	25.596032	28.183165	7.050767	-11.266921	-1.551162	-2.888003	-3.827382	-32.963379	10.047379	23.042847	31.889443	6.760458	-10.953381	-4.558228	-2.739343	-2.724555	-34.426319	10.845972	23.196851	34.968620	6.576109	-8.703354	-4.842901	-2.901851	-4.406711	-34.868921	10.508933	22.452286	35.740116	6.183843	-10.039993	-5.933736	-2.595199	-3.481296	-33.066417	10.883670	24.836902	30.770966	6.058338	-10.481163	-2.947682	-2.268885	-3.155923	-33.025445	10.419794	23.965427	30.691681	5.526085	-11.950055	-3.529634	-3.124395	-5.201641	-35.029752	10.931798	24.164339	32.740796	6.270297	-10.589331	-4.255636	-2.671400	-1.629079	-34.443688	10.923279	21.268124	34.689260	5.348105	-9.792216	-5.476821	-4.411055	-1.771579	-33.903235	10.774300	25.735424	30.235752	7.980387	-10.772164	-2.234772	-3.094677	-5.253973	-34.131199	10.786577	26.287274	29.987054	6.981461	-11.738171	-4.311226	-2.258110	-2.850550	-35.212412	10.424362	22.189344	34.239371	6.500635	-9.328813	-3.639915	-3.214557	-4.627270	-35.009811	10.213947	22.470401	34.625359	5.724026	-10.614655	-5.528654	-2.441748	-1.652144	-32.103504	10.814009	23.644523	30.058642	5.019931	-10.735245	-4.000231
9	-3.835774	-3.972912	-35.998875	10.924138	22.346888	35.925984	8.457987	-9.537156	-5.713847	-2.867847	-4.246604	-36.356058	10.672925	22.487258	36.349948	7.320034	-8.927430	-5.699838	-1.480237	-2.028379	-34.029145	10.284817	18.235868	41.058866	2.806754	-9.421334	-8.492604	-2.072009	-2.791099	-36.007872	11.052393	21.695635	37.791185	4.996889	-8.698023	-6.635688	-1.402560	-3.440633	-37.167051	11.317451	22.626628	37.720669	5.733830	-9.019045	-7.031126	-1.855054	-4.122738	-36.492493	10.539404	22.836842	35.433082	5.529786	-8.034305	-5.708882	-1.667433	-1.915868	-33.867226	10.731474	21.832235	35.020187	4.926022	-8.653297	-6.287613	-1.054803	-2.948392	-34.032076	11.054922	23.020346	34.947966	5.521346	-9.066936	-5.402564	-3.852662	-3.747773	-33.840022	9.808117	22.842602	34.047363	7.104872	-9.607694	-5.545844	-2.848710	-3.406777	-33.864777	10.688840	23.171095	34.526909	6.062312	-9.732336	-5.320820	-3.480333	-3.235926	-33.270850	10.371715	24.089822	31.383129	6.937138	-10.198332	-3.412868	-3.168641	-3.405631	-33.066684	9.822520	21.642855	34.743005	6.770426	-9.863571	-6.339197	-3.049458	-2.248735	-34.422644	10.678441	21.943049	37.611078	6.516805	-7.970184	-6.668219	-3.045681	-4.031719	-34.808239	10.193150	21.378322	38.093795	6.147864	-9.131926	-7.691913	-2.987184	-3.261598	-33.450383	10.919653	23.388691	33.963873	5.926388	-9.494110	-4.902238	-2.672107	-2.940681	-33.408225	10.300494	22.426591	33.706905	5.475079	-10.802437	-5.335291	-3.420185	-4.890520	-35.396448	10.849957	22.676760	35.948413	6.141443	-9.493567	-6.182877	-2.936120	-1.176662	-34.555886	10.683183	20.099445	37.357603	5.366722	-8.917852	-7.288590	-4.794584	-1.719602	-34.384207	11.035518	24.473030	33.296945	8.016149	-9.895223	-3.864554	-3.446520	-5.223155	-34.379680	10.980176	25.060349	32.900420	7.102724	-10.756488	-5.995807	-2.587073	-2.531080	-35.316502	10.343442	21.048022	37.024666	6.383008	-8.497729	-5.524752	-3.357538	-4.169259	-34.953170	9.943535	21.361404	37.139296	5.840325	-9.797844	-7.131544	-2.830514	-1.710946	-32.426920	10.905010	22.553399	32.944018	5.050206	-9.876903	-5.643568
