Time	Hip_Z_1	Hip_X_1	Hip_Y_1	Knee_Z_1	Knee_X_1	Knee_Y_1	Ankle_Z_1	Ankle_X_1	Ankle_Y_1	Hip_Z_2	Hip_X_2	Hip_Y_2	Knee_Z_2	Knee_X_2	Knee_Y_2	Ankle_Z_2	Ankle_X_2	Ankle_Y_2	Hip_Z_3	Hip_X_3	Hip_Y_3	Knee_Z_3	Knee_X_3	Knee_Y_3	Ankle_Z_3	Ankle_X_3	Ankle_Y_3	Hip_Z_4	Hip_X_4	Hip_Y_4	Knee_Z_4	Knee_X_4	Knee_Y_4	Ankle_Z_4	Ankle_X_4	Ankle_Y_4	Hip_Z_5	Hip_X_5	Hip_Y_5	Knee_Z_5	Knee_X_5	Knee_Y_5	Ankle_Z_5	Ankle_X_5	Ankle_Y_5	Hip_Z_6	Hip_X_6	Hip_Y_6	Knee_Z_6	Knee_X_6	Knee_Y_6	Ankle_Z_6	Ankle_X_6	Ankle_Y_6	Hip_Z_7	Hip_X_7	Hip_Y_7	Knee_Z_7	Knee_X_7	Knee_Y_7	Ankle_Z_7	Ankle_X_7	Ankle_Y_7	Hip_Z_8	Hip_X_8	Hip_Y_8	Knee_Z_8	Knee_X_8	Knee_Y_8	Ankle_Z_8	Ankle_X_8	Ankle_Y_8	Hip_Z_9	Hip_X_9	Hip_Y_9	Knee_Z_9	Knee_X_9	Knee_Y_9	Ankle_Z_9	Ankle_X_9	Ankle_Y_9	Hip_Z_10	Hip_X_10	Hip_Y_10	Knee_Z_10	Knee_X_10	Knee_Y_10	Ankle_Z_10	Ankle_X_10	Ankle_Y_10	Hip_Z_11	Hip_X_11	Hip_Y_11	Knee_Z_11	Knee_X_11	Knee_Y_11	Ankle_Z_11	Ankle_X_11	Ankle_Y_11	Hip_Z_12	Hip_X_12	Hip_Y_12	Knee_Z_12	Knee_X_12	Knee_Y_12	Ankle_Z_12	Ankle_X_12	Ankle_Y_12	Hip_Z_13	Hip_X_13	Hip_Y_13	Knee_Z_13	Knee_X_13	Knee_Y_13	Ankle_Z_13	Ankle_X_13	Ankle_Y_13	Hip_Z_14	Hip_X_14	Hip_Y_14	Knee_Z_14	Knee_X_14	Knee_Y_14	Ankle_Z_14	Ankle_X_14	Ankle_Y_14	Hip_Z_15	Hip_X_15	Hip_Y_15	Knee_Z_15	Knee_X_15	Knee_Y_15	Ankle_Z_15	Ankle_X_15	Ankle_Y_15	Hip_Z_16	Hip_X_16	Hip_Y_16	Knee_Z_16	Knee_X_16	Knee_Y_16	Ankle_Z_16	Ankle_X_16	Ankle_Y_16	Hip_Z_17	Hip_X_17	Hip_Y_17	Knee_Z_17	Knee_X_17	Knee_Y_17	Ankle_Z_17	Ankle_X_17	Ankle_Y_17	Hip_Z_18	Hip_X_18	Hip_Y_18	Knee_Z_18	Knee_X_18	Knee_Y_18	Ankle_Z_18	Ankle_X_18	Ankle_Y_18	Hip_Z_19	Hip_X_19	Hip_Y_19	Knee_Z_19	Knee_X_19	Knee_Y_19	Ankle_Z_19	Ankle_X_19	Ankle_Y_19	Hip_Z_20	Hip_X_20	Hip_Y_20	Knee_Z_20	Knee_X_20	Knee_Y_20	Ankle_Z_20	Ankle_X_20	Ankle_Y_20	Hip_Z_21	Hip_X_21	Hip_Y_21	Knee_Z_21	Knee_X_21	Knee_Y_21	Ankle_Z_21	Ankle_X_21	Ankle_Y_21	Hip_Z_22	Hip_X_22	Hip_Y_22	Knee_Z_22	Knee_X_22	Knee_Y_22	Ankle_Z_22	Ankle_X_22	Ankle_Y_22
0	-23.894223	-0.233209	-13.662468	20.079174	3.380264	14.33865	-5.989205	-2.417388	-5.581032	-26.115757	1.254877	-13.685484	23.801302	3.977994	13.335231	-7.142064	-4.29943	-5.113649	-23.865297	1.063147	-13.285832	22.803068	3.38806	13.140751	-6.406233	-3.0141	-4.522329	-23.217722	2.86543	-12.740857	23.146576	3.731212	11.166512	-7.315739	-7.022978	-5.529337	-25.026366	2.466603	-14.03845	24.812251	3.700817	10.396475	-7.767301	-5.844181	-5.248093	-25.377657	-0.620935	-13.26108	25.404339	3.754428	13.603832	-7.528772	-2.631821	-5.111436	-23.940159	1.023471	-14.315577	22.205303	3.678149	13.707061	-7.881889	-4.741467	-6.529776	-23.768258	1.517665	-13.322379	21.924311	3.774969	13.609919	-8.361426	-5.146963	-5.497841	-28.644419	2.180652	-13.241312	29.030327	3.491291	11.130589	-6.818805	-2.825209	-4.170117	-25.07567	-0.273104	-13.476243	22.638638	3.93135	14.786268	-8.530217	-2.993616	-5.24712	-25.266693	1.364443	-12.532378	24.20418	3.630128	13.063587	-5.83286	-3.020039	-4.983444	-24.436562	2.50247	-13.4884	22.251402	3.848674	12.38099	-8.488179	-6.651382	-5.32521	-25.166165	1.926773	-13.180662	25.429245	3.860924	12.080256	-8.312235	-5.5468	-4.588779	-25.288731	0.014606	-12.867998	24.028812	3.788891	14.131395	-6.462548	-2.558961	-7.007022	-23.593155	-0.887083	-12.412053	20.696838	3.518599	14.321278	-6.4406	-2.517044	-6.586151	-25.419995	1.684567	-13.406396	25.326751	3.861786	13.182264	-7.802411	-4.314212	-5.150472	-25.702565	1.476098	-13.582335	25.813894	3.663934	12.275548	-6.098076	-3.541766	-6.570152	-24.010234	-0.248425	-12.973981	22.490796	3.672997	14.138847	-6.241572	-2.149871	-6.75026	-26.247043	1.257082	-13.116029	23.190697	3.572223	13.562056	-6.184361	-1.789591	-5.006358	-24.23191	2.383093	-14.513586	24.576448	3.848451	12.78089	-9.19501	-5.204014	-5.484011	-27.624826	1.686429	-14.250165	26.881911	3.874123	12.300714	-8.151018	-4.003964	-4.381714	-24.47682	0.358959	-14.415726	23.291813	3.786549	14.172416	-6.880292	-2.768364	-5.550271
1	-24.520784	-0.486699	-13.112637	23.017164	3.389425	13.554222	-5.167429	-1.084558	-5.18157	-26.647788	0.996178	-12.686962	26.740681	3.885819	12.30432	-6.461541	-3.051818	-4.639821	-24.296502	0.926135	-12.284982	25.741572	3.271383	12.19443	-5.791455	-1.442348	-3.96555	-23.825191	2.634362	-11.662641	26.330052	3.628887	10.082432	-6.59897	-5.950479	-5.207604	-25.621149	2.137784	-13.208284	27.656281	3.62854	9.408438	-6.896597	-4.819886	-4.902132	-25.892464	-0.813246	-12.368276	28.397411	3.631532	12.492811	-7.120468	-1.08375	-4.508497	-24.246778	0.756263	-13.460534	24.728771	3.525382	12.635412	-6.793329	-3.218208	-6.043532	-24.08653	1.378253	-12.458032	24.248895	3.682006	12.726423	-7.083594	-3.721623	-4.892655	-29.06614	1.743012	-12.2666	31.893816	3.377829	10.266721	-6.592135	-1.372621	-3.92343	-25.284121	-0.514746	-12.827944	24.977567	3.881734	13.934344	-7.144994	-1.034914	-4.370849	-26.028649	1.061698	-11.368652	27.553845	3.493599	11.74953	-5.634097	-1.750784	-4.478127	-24.894255	2.353441	-12.679445	24.937558	3.655934	11.296125	-7.197449	-5.394766	-4.599927	-25.594923	1.780131	-12.244678	28.049749	3.633408	11.02607	-7.370582	-4.234667	-4.044462	-25.79999	-0.388606	-11.855654	27.033357	3.722735	12.945531	-6.018528	-0.794587	-6.721919	-24.142464	-1.146796	-11.596364	23.670037	3.450092	13.297154	-5.587486	-0.711985	-5.921792	-25.930589	1.482471	-12.324311	28.222693	3.650002	12.074579	-7.307271	-2.932631	-4.644542	-26.171072	0.945295	-12.479774	28.781353	3.552629	10.931629	-5.821039	-2.230246	-6.279636	-24.679946	-0.457729	-12.285034	25.582608	3.594825	13.170133	-5.718548	-0.420737	-6.205831	-26.730906	0.864261	-12.25142	26.051087	3.566616	12.616228	-5.503355	-0.176135	-4.586187	-24.667446	2.233824	-13.638915	27.247787	3.714467	11.717848	-8.137145	-4.075866	-5.013397	-28.029102	1.333339	-13.245347	29.703115	3.715961	11.211689	-7.347754	-2.480585	-3.926461	-24.956066	0.066516	-13.619464	26.034694	3.703196	13.16741	-5.97177	-1.028919	-5.019362
2	-25.342234	-0.843359	-12.339586	26.485545	3.362544	12.519104	-5.085057	0.124171	-4.845224	-27.348794	0.600452	-11.455038	30.114793	3.737409	11.035154	-6.441438	-1.856581	-4.262399	-24.91899	0.66094	-11.019318	29.10165	3.108503	10.956478	-5.828567	0.009204	-3.497878	-24.634194	2.267815	-10.374004	29.932868	3.455938	8.729845	-6.554172	-4.86654	-4.952827	-26.389563	1.699378	-12.270891	30.885141	3.503545	8.233881	-6.676147	-3.808883	-4.602247	-26.545172	-1.145543	-11.216739	31.759554	3.464861	11.124885	-7.348792	0.311447	-3.968602	-24.769635	0.394037	-12.411342	27.732347	3.312973	11.336569	-6.320894	-1.728998	-5.591431	-24.630158	1.126162	-11.370468	27.018193	3.531577	11.60124	-6.279085	-2.266822	-4.373602	-29.618692	1.144361	-11.072753	35.109752	3.27496	9.165749	-7.031674	-0.072101	-3.795937	-25.698378	-0.826029	-12.024043	27.815783	3.802848	12.909465	-6.37949	0.789171	-3.623949	-26.94156	0.594521	-9.945546	31.262564	3.306145	10.158897	-6.107653	-0.598061	-4.03328	-25.570319	2.086146	-11.650507	28.068322	3.393831	10.018263	-6.492802	-4.113939	-4.008065	-26.20184	1.489406	-11.067283	31.056423	3.363752	9.747876	-7.033833	-2.943819	-3.618333	-26.458054	-0.909631	-10.63064	30.41308	3.619837	11.494053	-6.237234	0.808859	-6.416853	-24.916827	-1.510042	-10.539175	27.175967	3.333376	11.998581	-5.421774	0.938962	-5.293829	-26.603808	1.133288	-10.974108	31.51351	3.392059	10.697261	-7.483012	-1.653446	-4.224318	-26.76217	0.288803	-11.19536	32.077926	3.39158	9.36965	-6.203393	-1.041857	-5.985593	-25.517891	-0.775599	-11.342369	29.098547	3.483725	11.959392	-5.865649	1.142837	-5.675802	-27.365602	0.32676	-11.184505	29.29188	3.525672	11.401917	-5.478062	1.296553	-4.195306	-25.301748	1.959683	-12.509091	30.339138	3.523277	10.41325	-7.692866	-2.943723	-4.623994	-28.596803	0.802325	-11.98818	32.895004	3.522765	9.849263	-7.172754	-1.038259	-3.578164	-25.603209	-0.348468	-12.589682	29.217244	3.601528	11.934578	-5.745807	0.562686	-4.552099
3	-26.287954	-1.363272	-11.264209	30.380793	3.270125	11.170167	-5.881372	1.144198	-4.558116	-28.160537	0.033315	-9.985051	33.801975	3.519928	9.545027	-7.187171	-0.769372	-3.965443	-25.691282	0.217687	-9.476094	32.789168	2.910442	9.40322	-6.656853	1.234455	-3.091729	-25.564465	1.750371	-8.924504	33.799643	3.214922	7.179951	-7.286282	-3.835322	-4.745065	-27.273956	1.124988	-11.214025	34.412265	3.320387	6.902942	-7.259692	-2.856999	-4.340713	-27.27202	-1.662452	-9.780166	35.358584	3.253363	9.495262	-8.277418	1.470174	-3.49441	-25.493009	-0.098944	-11.152817	31.175379	3.044936	9.829415	-6.657786	-0.371527	-5.176373	-25.4028	0.708311	-10.028715	30.239021	3.323714	10.207562	-6.204282	-0.879835	-3.956223	-30.228678	0.346179	-9.630266	38.518764	3.184735	7.789464	-8.158332	0.99719	-3.747991	-26.313202	-1.258958	-10.990819	31.139664	3.696943	11.671668	-6.485794	2.327185	-3.036358	-27.908839	-0.056371	-8.306495	35.159386	3.079694	8.364216	-7.278907	0.376392	-3.643052	-26.437053	1.647015	-10.374237	31.596171	3.073681	8.564377	-6.613432	-2.878511	-3.581005	-26.955698	1.003423	-9.628018	34.383382	3.066158	8.254776	-7.466266	-1.743741	-3.316066	-27.202293	-1.559734	-9.210072	34.046692	3.447772	9.805014	-7.191172	2.163318	-6.039127	-25.856393	-2.01249	-9.211262	31.113293	3.159258	10.432691	-6.086265	2.324897	-4.7048	-27.367129	0.585403	-9.356069	35.053987	3.098132	9.056831	-8.398539	-0.554324	-3.866729	-27.393761	-0.483893	-9.761974	35.549461	3.157242	7.658153	-7.271494	-0.024392	-5.657563	-26.438625	-1.246211	-10.090992	32.90642	3.327126	10.469518	-6.765627	2.433928	-5.147007	-28.085734	-0.387882	-9.888967	32.827276	3.431311	9.90303	-6.226015	2.528273	-3.806273	-26.099799	1.50884	-11.066163	33.782389	3.268876	8.839896	-8.027186	-1.859072	-4.309466	-29.277987	0.06158	-10.478962	36.373453	3.304041	8.229582	-7.771723	0.228264	-3.31055	-26.357496	-0.936401	-11.275116	32.753675	3.486108	10.448602	-6.350505	1.895048	-4.141579
4	-27.213797	-2.023116	-9.952243	34.406047	3.107755	9.587234	-7.282446	2.006639	-4.271191	-28.960366	-0.651218	-8.3936	37.548142	3.246334	7.955115	-8.470148	0.203372	-3.681422	-26.488344	-0.368003	-7.766805	36.568794	2.692557	7.641286	-8.063192	2.225187	-2.686245	-26.461552	1.151575	-7.449195	37.655778	2.936223	5.595758	-8.545361	-2.890459	-4.528568	-28.146668	0.459483	-10.083102	38.013547	3.094087	5.510381	-8.424564	-1.975817	-4.078384	-27.9618	-2.319893	-8.164925	38.969514	3.005991	7.713927	-9.693674	2.409601	-3.045358	-26.300672	-0.700502	-9.756115	34.836681	2.748857	8.213364	-7.649415	0.819762	-4.771024	-26.298809	0.134832	-8.500155	33.742446	3.083038	8.613576	-6.794777	0.382282	-3.591109	-30.786561	-0.581045	-8.044992	41.892638	3.078886	6.236049	-9.708042	1.869013	-3.682174	-27.009309	-1.810809	-9.751027	34.715684	3.572299	10.254367	-7.276031	3.585378	-2.540641	-28.79984	-0.822902	-6.587715	39.000851	2.831897	6.515648	-8.917313	1.176977	-3.269501	-27.354453	1.068553	-8.95583	35.283702	2.73826	7.040906	-7.389602	-1.732137	-3.250342	-27.737735	0.363978	-8.04001	37.822456	2.761804	6.651174	-8.481907	-0.659551	-3.067715	-27.923369	-2.280636	-7.707597	37.706176	3.194468	8.015116	-8.642249	3.288987	-5.554838	-26.807374	-2.612217	-7.723444	35.180526	2.93883	8.733322	-7.332202	3.465585	-4.13049	-28.0903	-0.117167	-7.592038	38.597401	2.781878	7.269093	-9.810831	0.366001	-3.507758	-27.954646	-1.295288	-8.295518	38.969366	2.850596	5.940985	-8.790196	0.839324	-5.26297	-27.306436	-1.840366	-8.617554	36.751758	3.117689	8.77989	-8.185496	3.472962	-4.583684	-28.769436	-1.228268	-8.43438	36.445195	3.276913	8.219913	-7.549853	3.524854	-3.376903	-26.933813	0.914326	-9.40372	37.354159	2.967197	7.094037	-8.957055	-0.849034	-4.009785	-29.94992	-0.810364	-8.841453	39.921798	3.066928	6.486221	-8.929234	1.309779	-3.053124	-27.087482	-1.656145	-9.759455	36.399327	3.35565	8.794693	-7.550455	2.985395	-3.735598
5	-27.965621	-2.798381	-8.450574	38.300056	2.845473	7.824687	-9.16969	2.704601	-3.918645	-29.61585	-1.395603	-6.794455	41.127142	2.9116	6.378125	-10.187717	1.027134	-3.343307	-27.179351	-1.057077	-5.987502	40.219424	2.445259	5.76203	-9.942721	2.935232	-2.231188	-27.168458	0.533839	-6.05937	41.252683	2.621355	4.100463	-10.240643	-2.080478	-4.229093	-28.86633	-0.248604	-8.933248	41.476017	2.817631	4.151178	-10.097143	-1.196475	-3.76056	-28.489797	-3.058042	-6.490866	42.377829	2.720175	5.912989	-11.478043	3.11395	-2.581571	-27.066419	-1.379717	-8.288283	38.508438	2.438712	6.577162	-9.209075	1.795407	-4.341256	-27.203714	-0.584865	-6.836359	37.374013	2.822578	6.870151	-8.032215	1.456482	-3.229447	-31.166543	-1.558567	-6.440187	45.019543	2.90453	4.622064	-11.572385	2.524395	-3.496696	-27.665781	-2.497984	-8.274316	38.373897	3.408369	8.633785	-8.744698	4.50351	-2.082421	-29.484902	-1.6254	-4.923274	42.564843	2.562333	4.755031	-10.86944	1.789164	-2.867818	-28.168784	0.37619	-7.488172	38.910872	2.423158	5.549669	-8.782086	-0.743756	-2.963817	-28.412503	-0.387758	-6.412689	41.175559	2.458995	5.040283	-10.001988	0.257828	-2.808656	-28.507911	-3.009964	-6.225653	41.182587	2.825365	6.245413	-10.476853	4.159066	-4.910821	-27.615418	-3.270225	-6.1581	39.117838	2.651595	6.99093	-9.065489	4.325197	-3.526106	-28.62837	-0.9292	-5.794303	41.91458	2.437729	5.444245	-11.605186	1.072578	-3.084051	-28.333563	-2.057857	-6.919643	42.131153	2.460879	4.362373	-10.629183	1.535046	-4.756698	-27.971035	-2.525836	-7.001988	40.395125	2.822515	6.963815	-10.014552	4.239871	-3.930065	-29.282834	-2.129251	-6.897758	39.935467	3.037318	6.457435	-9.340697	4.264402	-2.855638	-27.663589	0.208185	-7.608563	40.845624	2.615515	5.27003	-10.412029	0.04058	-3.659039	-30.476558	-1.732327	-7.194341	43.333093	2.793968	4.748384	-10.575473	2.151831	-2.737065	-27.647853	-2.459159	-8.112687	39.93274	3.176389	7.040546	-9.264756	3.796127	-3.262166
6	-28.468153	-3.590847	-6.916261	41.868487	2.495747	6.047997	-11.280543	3.277426	-3.461667	-30.050219	-2.116236	-5.299218	44.392598	2.529825	4.916896	-12.141491	1.701266	-2.915295	-27.673983	-1.756233	-4.269206	43.568001	2.161829	3.922209	-12.065532	3.40803	-1.708664	-27.618509	-0.035768	-4.821398	44.471756	2.2797	2.769399	-12.161871	-1.405233	-3.807749	-29.353705	-0.915518	-7.858746	44.642728	2.506121	2.939553	-12.043809	-0.524606	-3.358097	-28.779265	-3.774914	-4.909561	45.433203	2.408954	4.259792	-13.454764	3.6135	-2.08215	-27.673478	-2.068244	-6.843452	41.977784	2.12197	5.016944	-11.117694	2.560947	-3.856728	-27.986408	-1.374402	-5.147086	40.918288	2.553389	5.099698	-9.718285	2.329032	-2.829355	-31.321097	-2.475231	-4.959431	47.804424	2.641612	3.119398	-13.572634	3.012522	-3.162572	-28.17271	-3.253695	-6.668271	41.899348	3.189365	6.912548	-10.604917	5.165799	-1.593118	-29.887573	-2.369564	-3.435593	45.70515	2.271633	3.211018	-12.966894	2.225567	-2.406296	-28.768857	-0.352152	-6.071951	42.28709	2.147895	4.169581	-10.536469	0.074218	-2.66397	-28.882085	-1.161722	-4.8631	44.278634	2.162014	3.534415	-11.816911	1.003116	-2.491662	-28.893962	-3.675526	-4.862052	44.34065	2.351359	4.619271	-12.50207	4.815341	-4.118002	-28.196106	-3.921199	-4.623625	42.742532	2.293372	5.301244	-11.049168	4.96496	-2.847436	-28.908019	-1.755612	-4.088465	44.872155	2.068881	3.717463	-13.58875	1.592629	-2.56915	-28.48141	-2.698718	-5.727351	44.922782	2.003002	3.024489	-12.623575	2.079883	-4.132284	-28.358717	-3.224661	-5.386867	43.678524	2.440124	5.164811	-12.048751	4.792057	-3.167185	-29.547802	-2.986329	-5.409474	43.122324	2.711381	4.775989	-11.398537	4.780883	-2.226517	-28.185978	-0.525314	-5.825826	44.079052	2.230915	3.512681	-12.182004	0.790871	-3.224107	-30.790602	-2.591485	-5.667408	46.465879	2.475698	3.154183	-12.492253	2.782776	-2.325876	-27.971821	-3.238952	-6.488833	43.184489	2.91957	5.323846	-11.251042	4.386868	-2.672801
7	-28.634629	-4.288667	-5.52155	44.899409	2.080605	4.459577	-13.459424	3.714418	-2.874551	-30.191199	-2.739059	-4.008148	47.204449	2.123345	3.674475	-14.203055	2.199983	-2.384606	-27.885887	-2.367947	-2.745923	46.439531	1.841714	2.299037	-14.271019	3.662262	-1.118111	-27.722211	-0.493563	-3.823553	47.161401	1.932961	1.718374	-14.192125	-0.894428	-3.239154	-29.508515	-1.440513	-6.993446	47.322573	2.183655	2.04986	-14.123132	0.004234	-2.853299	-28.777297	-4.373499	-3.551435	48.013506	2.097954	2.912201	-15.494074	3.923156	-1.551883	-28.026143	-2.691054	-5.516504	45.058514	1.802713	3.629948	-13.199961	3.116467	-3.293802	-28.5287	-2.136571	-3.556502	44.163258	2.284789	3.448635	-11.673804	2.983615	-2.363073	-31.186779	-3.22458	-3.737856	50.118424	2.28054	1.909749	-15.602621	3.339713	-2.670835	-28.393193	-3.991929	-5.077588	45.041535	2.89863	5.254285	-12.711996	5.567405	-1.024927	-29.981321	-2.977336	-2.215963	48.344014	1.970835	1.988136	-15.078473	2.506542	-1.880467	-29.033145	-1.047144	-4.794233	45.210912	1.927767	2.984997	-12.511031	0.678789	-2.31124	-29.054236	-1.869486	-3.50129	46.969308	1.881863	2.257705	-13.790298	1.550086	-2.090565	-29.016203	-4.20515	-3.723823	47.036377	1.801057	3.282281	-14.592367	5.261462	-3.200882	-28.453749	-4.504535	-3.222886	45.859371	1.861786	3.772309	-13.14984	5.387819	-2.05984	-28.863665	-2.501201	-2.601483	47.336981	1.688869	2.237002	-15.633528	1.932595	-1.958677	-28.365694	-3.163937	-4.787808	47.258121	1.506766	2.020635	-14.656814	2.47972	-3.409347	-28.403878	-3.860093	-3.902736	46.448422	1.984719	3.538491	-14.152097	5.147171	-2.298115	-29.515895	-3.695347	-4.107577	45.856072	2.313493	3.347337	-13.565834	5.097936	-1.498684	-28.407172	-1.20543	-4.190046	46.885533	1.83891	1.973083	-14.129239	1.366763	-2.694235	-30.816086	-3.278457	-4.391355	49.159994	2.106256	1.859619	-14.559524	3.185134	-1.79822	-27.982043	-3.882649	-5.055784	45.966753	2.553103	3.813398	-13.367987	4.760618	-1.921452
8	-28.501828	-4.822943	-4.379339	47.377468	1.66029	3.204274	-15.585275	4.033462	-2.205314	-30.044921	-3.227294	-2.965762	49.532762	1.731915	2.711537	-16.257737	2.534495	-1.787412	-27.802773	-2.829346	-1.490695	48.78254	1.509347	1.018152	-16.432738	3.751548	-0.496172	-27.505124	-0.822294	-3.077188	49.345487	1.61893	0.992697	-16.218265	-0.527684	-2.575487	-29.35296	-1.782656	-6.393052	49.498597	1.882283	1.546571	-16.194742	0.402717	-2.280217	-28.477709	-4.791242	-2.496	50.064483	1.818675	1.974044	-17.496442	4.070406	-1.015867	-28.078478	-3.185546	-4.386491	47.63726	1.493973	2.504881	-15.313099	3.475272	-2.656376	-28.765318	-2.785169	-2.16446	46.962955	2.031667	2.043493	-13.737464	3.420841	-1.828118	-30.799583	-3.772469	-2.807331	51.982926	1.862768	1.064073	-17.578055	3.552003	-2.08658	-28.327464	-4.62554	-3.663175	47.722553	2.571138	3.831384	-14.868753	5.785922	-0.397377	-29.75142	-3.385834	-1.346519	50.414256	1.682273	1.196127	-17.111103	2.647773	-1.310705	-28.968669	-1.656873	-3.691337	47.649529	1.755435	2.0252	-14.545273	1.09506	-1.90111	-28.919114	-2.446755	-2.388256	49.191978	1.633444	1.28753	-15.794562	1.913494	-1.619824	-28.873733	-4.570808	-2.862474	49.235161	1.237662	2.316937	-16.646508	5.533088	-2.232092	-28.409455	-4.989556	-2.002818	48.457253	1.395409	2.471711	-15.247355	5.645737	-1.196865	-28.519438	-3.098163	-1.408876	49.295276	1.325906	1.10074	-17.636792	2.130628	-1.293009	-27.985431	-3.437142	-4.12835	49.104367	1.020692	1.411054	-16.642037	2.747973	-2.641481	-28.134586	-4.381276	-2.630085	48.682977	1.509056	2.200069	-16.216644	5.343556	-1.382065	-29.187095	-4.191551	-3.0897	48.060322	1.880787	2.300445	-15.714506	5.253348	-0.713602	-28.320444	-1.776586	-2.784891	49.21422	1.472494	0.745571	-16.120185	1.77642	-2.100322	-30.58137	-3.760442	-3.395723	51.407048	1.711348	0.916947	-16.648663	3.408084	-1.197482	-27.714867	-4.343919	-3.8961	48.261728	2.102372	2.610059	-15.480212	4.973891	-1.046541
9	-28.076776	-5.131823	-3.61162	49.240634	1.30117	2.454694	-17.573169	4.239526	-1.516938	-29.626816	-3.555797	-2.212222	51.354516	1.39935	2.099703	-18.220805	2.72405	-1.178879	-27.414714	-3.100504	-0.560469	50.560797	1.210375	0.196369	-18.466161	3.717384	0.093562	-26.957157	-0.998821	-2.622264	50.986995	1.381637	0.685369	-18.156674	-0.300948	-1.878057	-28.886658	-1.916557	-6.100505	51.119128	1.632448	1.491177	-18.160167	0.677524	-1.677164	-27.914749	-5.013319	-1.771722	51.606733	1.597482	1.482959	-19.393874	4.101471	-0.506549	-27.8378	-3.519093	-3.5036	49.691221	1.221929	1.70996	-17.354623	3.671612	-1.984449	-28.692367	-3.271782	-1.02291	49.266483	1.814167	0.965663	-15.782712	3.668624	-1.253331	-30.163486	-4.08011	-2.228249	53.357748	1.441293	0.683531	-19.428801	3.674752	-1.479838	-27.935136	-5.062559	-2.6049	49.788617	2.249244	2.853494	-16.946008	5.837967	0.250736	-29.260938	-3.597494	-0.813698	51.989742	1.434178	0.840586	-19.019917	2.697116	-0.747102	-28.561531	-2.1209	-2.833881	49.529661	1.629262	1.376289	-16.52734	1.334056	-1.445692	-28.478818	-2.843812	-1.581778	50.905949	1.437511	0.702749	-17.734259	2.112849	-1.115189	-28.469663	-4.759055	-2.320719	50.909216	0.73264	1.801893	-18.591001	5.660691	-1.302504	-28.056599	-5.341332	-1.024562	50.478815	0.948637	1.512748	-17.259721	5.757458	-0.323519	-27.905653	-3.493356	-0.580933	50.73782	1.021328	0.410869	-19.524329	2.215903	-0.636668	-27.367728	-3.535838	-3.745643	50.483562	0.60159	1.21683	-18.517937	2.91051	-1.902229	-27.584593	-4.749988	-1.636404	50.371137	1.083072	1.264961	-18.16744	5.409686	-0.503466	-28.599768	-4.461687	-2.399849	49.739362	1.468028	1.701345	-17.753353	5.296839	0.061714	-27.935822	-2.194678	-1.688414	51.031485	1.169391	-0.075809	-18.054235	2.035403	-1.488694	-30.087012	-4.000725	-2.726713	53.149652	1.329839	0.41488	-18.665155	3.47829	-0.585038	-27.177785	-4.580148	-3.103307	50.004887	1.614506	1.851204	-17.489844	5.056597	-0.112537
