hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
	-0.233209	-13.662468	-23.894223	3.380264	14.338650	20.079174	-2.417388	-5.581032	-5.989205	1.254877	-13.685484	-26.115757	3.977994	13.335231	23.801302	-4.299430	-5.113649	-7.142064	1.063147	-13.285832	-23.865297	3.388060	13.140751	22.803068	-3.014100	-4.522329	-6.406233	2.865430	-12.740857	-23.217722	3.731212	11.166512	23.146576	-7.022978	-5.529337	-7.315739	2.466603	-14.038450	-25.026366	3.700817	10.396475	24.812251	-5.844181	-5.248093	-7.767301	-0.620935	-13.261080	-25.377657	3.754428	13.603832	25.404339	-2.631821	-5.111436	-7.528772	1.023471	-14.315577	-23.940159	3.678149	13.707061	22.205303	-4.741467	-6.529776	-7.881889	1.517665	-13.322379	-23.768258	3.774969	13.609919	21.924311	-5.146963	-5.497841	-8.361426	2.180652	-13.241312	-28.644419	3.491291	11.130589	29.030327	-2.825209	-4.170117	-6.818805	-0.273104	-13.476243	-25.075670	3.931350	14.786268	22.638638	-2.993616	-5.247120	-8.530217	1.364443	-12.532378	-25.266693	3.630128	13.063587	24.204180	-3.020039	-4.983444	-5.832860	2.502470	-13.488400	-24.436562	3.848674	12.380990	22.251402	-6.651382	-5.325210	-8.488179	1.926773	-13.180662	-25.166165	3.860924	12.080256	25.429245	-5.546800	-4.588779	-8.312235	0.014606	-12.867998	-25.288731	3.788891	14.131395	24.028812	-2.558961	-7.007022	-6.462548	-0.887083	-12.412053	-23.593155	3.518599	14.321278	20.696838	-2.517044	-6.586151	-6.440600	1.684567	-13.406396	-25.419995	3.861786	13.182264	25.326751	-4.314212	-5.150472	-7.802411	1.476098	-13.582335	-25.702565	3.663934	12.275548	25.813894	-3.541766	-6.570152	-6.098076	-0.248425	-12.973981	-24.010234	3.672997	14.138847	22.490796	-2.149871	-6.750260	-6.241572	1.257082	-13.116029	-26.247043	3.572223	13.562056	23.190697	-1.789591	-5.006358	-6.184361	2.383093	-14.513586	-24.231910	3.848451	12.780890	24.576448	-5.204014	-5.484011	-9.195010	1.686429	-14.250165	-27.624826	3.874123	12.300714	26.881911	-4.003964	-4.381714	-8.151018	0.358959	-14.415726	-24.476820	3.786549	14.172416	23.291813	-2.768364	-5.550271	-6.880292
	-0.486699	-13.112637	-24.520784	3.389425	13.554222	23.017164	-1.084558	-5.181570	-5.167429	0.996178	-12.686962	-26.647788	3.885819	12.304320	26.740681	-3.051818	-4.639821	-6.461541	0.926135	-12.284982	-24.296502	3.271383	12.194430	25.741572	-1.442348	-3.965550	-5.791455	2.634362	-11.662641	-23.825191	3.628887	10.082432	26.330052	-5.950479	-5.207604	-6.598970	2.137784	-13.208284	-25.621149	3.628540	9.408438	27.656281	-4.819886	-4.902132	-6.896597	-0.813246	-12.368276	-25.892464	3.631532	12.492811	28.397411	-1.083750	-4.508497	-7.120468	0.756263	-13.460534	-24.246778	3.525382	12.635412	24.728771	-3.218208	-6.043532	-6.793329	1.378253	-12.458032	-24.086530	3.682006	12.726423	24.248895	-3.721623	-4.892655	-7.083594	1.743012	-12.266600	-29.066140	3.377829	10.266721	31.893816	-1.372621	-3.923430	-6.592135	-0.514746	-12.827944	-25.284121	3.881734	13.934344	24.977567	-1.034914	-4.370849	-7.144994	1.061698	-11.368652	-26.028649	3.493599	11.749530	27.553845	-1.750784	-4.478127	-5.634097	2.353441	-12.679445	-24.894255	3.655934	11.296125	24.937558	-5.394766	-4.599927	-7.197449	1.780131	-12.244678	-25.594923	3.633408	11.026070	28.049749	-4.234667	-4.044462	-7.370582	-0.388606	-11.855654	-25.799990	3.722735	12.945531	27.033357	-0.794587	-6.721919	-6.018528	-1.146796	-11.596364	-24.142464	3.450092	13.297154	23.670037	-0.711985	-5.921792	-5.587486	1.482471	-12.324311	-25.930589	3.650002	12.074579	28.222693	-2.932631	-4.644542	-7.307271	0.945295	-12.479774	-26.171072	3.552629	10.931629	28.781353	-2.230246	-6.279636	-5.821039	-0.457729	-12.285034	-24.679946	3.594825	13.170133	25.582608	-0.420737	-6.205831	-5.718548	0.864261	-12.251420	-26.730906	3.566616	12.616228	26.051087	-0.176135	-4.586187	-5.503355	2.233824	-13.638915	-24.667446	3.714467	11.717848	27.247787	-4.075866	-5.013397	-8.137145	1.333339	-13.245347	-28.029102	3.715961	11.211689	29.703115	-2.480585	-3.926461	-7.347754	0.066516	-13.619464	-24.956066	3.703196	13.167410	26.034694	-1.028919	-5.019362	-5.971770
	-0.843359	-12.339586	-25.342234	3.362544	12.519104	26.485545	0.124171	-4.845224	-5.085057	0.600452	-11.455038	-27.348794	3.737409	11.035154	30.114793	-1.856581	-4.262399	-6.441438	0.660940	-11.019318	-24.918990	3.108503	10.956478	29.101650	0.009204	-3.497878	-5.828567	2.267815	-10.374004	-24.634194	3.455938	8.729845	29.932868	-4.866540	-4.952827	-6.554172	1.699378	-12.270891	-26.389563	3.503545	8.233881	30.885141	-3.808883	-4.602247	-6.676147	-1.145543	-11.216739	-26.545172	3.464861	11.124885	31.759554	0.311447	-3.968602	-7.348792	0.394037	-12.411342	-24.769635	3.312973	11.336569	27.732347	-1.728998	-5.591431	-6.320894	1.126162	-11.370468	-24.630158	3.531577	11.601240	27.018193	-2.266822	-4.373602	-6.279085	1.144361	-11.072753	-29.618692	3.274960	9.165749	35.109752	-0.072101	-3.795937	-7.031674	-0.826029	-12.024043	-25.698378	3.802848	12.909465	27.815783	0.789171	-3.623949	-6.379490	0.594521	-9.945546	-26.941560	3.306145	10.158897	31.262564	-0.598061	-4.033280	-6.107653	2.086146	-11.650507	-25.570319	3.393831	10.018263	28.068322	-4.113939	-4.008065	-6.492802	1.489406	-11.067283	-26.201840	3.363752	9.747876	31.056423	-2.943819	-3.618333	-7.033833	-0.909631	-10.630640	-26.458054	3.619837	11.494053	30.413080	0.808859	-6.416853	-6.237234	-1.510042	-10.539175	-24.916827	3.333376	11.998581	27.175967	0.938962	-5.293829	-5.421774	1.133288	-10.974108	-26.603808	3.392059	10.697261	31.513510	-1.653446	-4.224318	-7.483012	0.288803	-11.195360	-26.762170	3.391580	9.369650	32.077926	-1.041857	-5.985593	-6.203393	-0.775599	-11.342369	-25.517891	3.483725	11.959392	29.098547	1.142837	-5.675802	-5.865649	0.326760	-11.184505	-27.365602	3.525672	11.401917	29.291880	1.296553	-4.195306	-5.478062	1.959683	-12.509091	-25.301748	3.523277	10.413250	30.339138	-2.943723	-4.623994	-7.692866	0.802325	-11.988180	-28.596803	3.522765	9.849263	32.895004	-1.038259	-3.578164	-7.172754	-0.348468	-12.589682	-25.603209	3.601528	11.934578	29.217244	0.562686	-4.552099	-5.745807
	-1.363272	-11.264209	-26.287954	3.270125	11.170167	30.380793	1.144198	-4.558116	-5.881372	0.033315	-9.985051	-28.160537	3.519928	9.545027	33.801975	-0.769372	-3.965443	-7.187171	0.217687	-9.476094	-25.691282	2.910442	9.403220	32.789168	1.234455	-3.091729	-6.656853	1.750371	-8.924504	-25.564465	3.214922	7.179951	33.799643	-3.835322	-4.745065	-7.286282	1.124988	-11.214025	-27.273956	3.320387	6.902942	34.412265	-2.856999	-4.340713	-7.259692	-1.662452	-9.780166	-27.272020	3.253363	9.495262	35.358584	1.470174	-3.494410	-8.277418	-0.098944	-11.152817	-25.493009	3.044936	9.829415	31.175379	-0.371527	-5.176373	-6.657786	0.708311	-10.028715	-25.402800	3.323714	10.207562	30.239021	-0.879835	-3.956223	-6.204282	0.346179	-9.630266	-30.228678	3.184735	7.789464	38.518764	0.997190	-3.747991	-8.158332	-1.258958	-10.990819	-26.313202	3.696943	11.671668	31.139664	2.327185	-3.036358	-6.485794	-0.056371	-8.306495	-27.908839	3.079694	8.364216	35.159386	0.376392	-3.643052	-7.278907	1.647015	-10.374237	-26.437053	3.073681	8.564377	31.596171	-2.878511	-3.581005	-6.613432	1.003423	-9.628018	-26.955698	3.066158	8.254776	34.383382	-1.743741	-3.316066	-7.466266	-1.559734	-9.210072	-27.202293	3.447772	9.805014	34.046692	2.163318	-6.039127	-7.191172	-2.012490	-9.211262	-25.856393	3.159258	10.432691	31.113293	2.324897	-4.704800	-6.086265	0.585403	-9.356069	-27.367129	3.098132	9.056831	35.053987	-0.554324	-3.866729	-8.398539	-0.483893	-9.761974	-27.393761	3.157242	7.658153	35.549461	-0.024392	-5.657563	-7.271494	-1.246211	-10.090992	-26.438625	3.327126	10.469518	32.906420	2.433928	-5.147007	-6.765627	-0.387882	-9.888967	-28.085734	3.431311	9.903030	32.827276	2.528273	-3.806273	-6.226015	1.508840	-11.066163	-26.099799	3.268876	8.839896	33.782389	-1.859072	-4.309466	-8.027186	0.061580	-10.478962	-29.277987	3.304041	8.229582	36.373453	0.228264	-3.310550	-7.771723	-0.936401	-11.275116	-26.357496	3.486108	10.448602	32.753675	1.895048	-4.141579	-6.350505
	-2.023116	-9.952243	-27.213797	3.107755	9.587234	34.406047	2.006639	-4.271191	-7.282446	-0.651218	-8.393600	-28.960366	3.246334	7.955115	37.548142	0.203372	-3.681422	-8.470148	-0.368003	-7.766805	-26.488344	2.692557	7.641286	36.568794	2.225187	-2.686245	-8.063192	1.151575	-7.449195	-26.461552	2.936223	5.595758	37.655778	-2.890459	-4.528568	-8.545361	0.459483	-10.083102	-28.146668	3.094087	5.510381	38.013547	-1.975817	-4.078384	-8.424564	-2.319893	-8.164925	-27.961800	3.005991	7.713927	38.969514	2.409601	-3.045358	-9.693674	-0.700502	-9.756115	-26.300672	2.748857	8.213364	34.836681	0.819762	-4.771024	-7.649415	0.134832	-8.500155	-26.298809	3.083038	8.613576	33.742446	0.382282	-3.591109	-6.794777	-0.581045	-8.044992	-30.786561	3.078886	6.236049	41.892638	1.869013	-3.682174	-9.708042	-1.810809	-9.751027	-27.009309	3.572299	10.254367	34.715684	3.585378	-2.540641	-7.276031	-0.822902	-6.587715	-28.799840	2.831897	6.515648	39.000851	1.176977	-3.269501	-8.917313	1.068553	-8.955830	-27.354453	2.738260	7.040906	35.283702	-1.732137	-3.250342	-7.389602	0.363978	-8.040010	-27.737735	2.761804	6.651174	37.822456	-0.659551	-3.067715	-8.481907	-2.280636	-7.707597	-27.923369	3.194468	8.015116	37.706176	3.288987	-5.554838	-8.642249	-2.612217	-7.723444	-26.807374	2.938830	8.733322	35.180526	3.465585	-4.130490	-7.332202	-0.117167	-7.592038	-28.090300	2.781878	7.269093	38.597401	0.366001	-3.507758	-9.810831	-1.295288	-8.295518	-27.954646	2.850596	5.940985	38.969366	0.839324	-5.262970	-8.790196	-1.840366	-8.617554	-27.306436	3.117689	8.779890	36.751758	3.472962	-4.583684	-8.185496	-1.228268	-8.434380	-28.769436	3.276913	8.219913	36.445195	3.524854	-3.376903	-7.549853	0.914326	-9.403720	-26.933813	2.967197	7.094037	37.354159	-0.849034	-4.009785	-8.957055	-0.810364	-8.841453	-29.949920	3.066928	6.486221	39.921798	1.309779	-3.053124	-8.929234	-1.656145	-9.759455	-27.087482	3.355650	8.794693	36.399327	2.985395	-3.735598	-7.550455
	-2.798381	-8.450574	-27.965621	2.845473	7.824687	38.300056	2.704601	-3.918645	-9.169690	-1.395603	-6.794455	-29.615850	2.911600	6.378125	41.127142	1.027134	-3.343307	-10.187717	-1.057077	-5.987502	-27.179351	2.445259	5.762030	40.219424	2.935232	-2.231188	-9.942721	0.533839	-6.059370	-27.168458	2.621355	4.100463	41.252683	-2.080478	-4.229093	-10.240643	-0.248604	-8.933248	-28.866330	2.817631	4.151178	41.476017	-1.196475	-3.760560	-10.097143	-3.058042	-6.490866	-28.489797	2.720175	5.912989	42.377829	3.113950	-2.581571	-11.478043	-1.379717	-8.288283	-27.066419	2.438712	6.577162	38.508438	1.795407	-4.341256	-9.209075	-0.584865	-6.836359	-27.203714	2.822578	6.870151	37.374013	1.456482	-3.229447	-8.032215	-1.558567	-6.440187	-31.166543	2.904530	4.622064	45.019543	2.524395	-3.496696	-11.572385	-2.497984	-8.274316	-27.665781	3.408369	8.633785	38.373897	4.503510	-2.082421	-8.744698	-1.625400	-4.923274	-29.484902	2.562333	4.755031	42.564843	1.789164	-2.867818	-10.869440	0.376190	-7.488172	-28.168784	2.423158	5.549669	38.910872	-0.743756	-2.963817	-8.782086	-0.387758	-6.412689	-28.412503	2.458995	5.040283	41.175559	0.257828	-2.808656	-10.001988	-3.009964	-6.225653	-28.507911	2.825365	6.245413	41.182587	4.159066	-4.910821	-10.476853	-3.270225	-6.158100	-27.615418	2.651595	6.990930	39.117838	4.325197	-3.526106	-9.065489	-0.929200	-5.794303	-28.628370	2.437729	5.444245	41.914580	1.072578	-3.084051	-11.605186	-2.057857	-6.919643	-28.333563	2.460879	4.362373	42.131153	1.535046	-4.756698	-10.629183	-2.525836	-7.001988	-27.971035	2.822515	6.963815	40.395125	4.239871	-3.930065	-10.014552	-2.129251	-6.897758	-29.282834	3.037318	6.457435	39.935467	4.264402	-2.855638	-9.340697	0.208185	-7.608563	-27.663589	2.615515	5.270030	40.845624	0.040580	-3.659039	-10.412029	-1.732327	-7.194341	-30.476558	2.793968	4.748384	43.333093	2.151831	-2.737065	-10.575473	-2.459159	-8.112687	-27.647853	3.176389	7.040546	39.932740	3.796127	-3.262166	-9.264756
	-3.590847	-6.916261	-28.468153	2.495747	6.047997	41.868487	3.277426	-3.461667	-11.280543	-2.116236	-5.299218	-30.050219	2.529825	4.916896	44.392598	1.701266	-2.915295	-12.141491	-1.756233	-4.269206	-27.673983	2.161829	3.922209	43.568001	3.408030	-1.708664	-12.065532	-0.035768	-4.821398	-27.618509	2.279700	2.769399	44.471756	-1.405233	-3.807749	-12.161871	-0.915518	-7.858746	-29.353705	2.506121	2.939553	44.642728	-0.524606	-3.358097	-12.043809	-3.774914	-4.909561	-28.779265	2.408954	4.259792	45.433203	3.613500	-2.082150	-13.454764	-2.068244	-6.843452	-27.673478	2.121970	5.016944	41.977784	2.560947	-3.856728	-11.117694	-1.374402	-5.147086	-27.986408	2.553389	5.099698	40.918288	2.329032	-2.829355	-9.718285	-2.475231	-4.959431	-31.321097	2.641612	3.119398	47.804424	3.012522	-3.162572	-13.572634	-3.253695	-6.668271	-28.172710	3.189365	6.912548	41.899348	5.165799	-1.593118	-10.604917	-2.369564	-3.435593	-29.887573	2.271633	3.211018	45.705150	2.225567	-2.406296	-12.966894	-0.352152	-6.071951	-28.768857	2.147895	4.169581	42.287090	0.074218	-2.663970	-10.536469	-1.161722	-4.863100	-28.882085	2.162014	3.534415	44.278634	1.003116	-2.491662	-11.816911	-3.675526	-4.862052	-28.893962	2.351359	4.619271	44.340650	4.815341	-4.118002	-12.502070	-3.921199	-4.623625	-28.196106	2.293372	5.301244	42.742532	4.964960	-2.847436	-11.049168	-1.755612	-4.088465	-28.908019	2.068881	3.717463	44.872155	1.592629	-2.569150	-13.588750	-2.698718	-5.727351	-28.481410	2.003002	3.024489	44.922782	2.079883	-4.132284	-12.623575	-3.224661	-5.386867	-28.358717	2.440124	5.164811	43.678524	4.792057	-3.167185	-12.048751	-2.986329	-5.409474	-29.547802	2.711381	4.775989	43.122324	4.780883	-2.226517	-11.398537	-0.525314	-5.825826	-28.185978	2.230915	3.512681	44.079052	0.790871	-3.224107	-12.182004	-2.591485	-5.667408	-30.790602	2.475698	3.154183	46.465879	2.782776	-2.325876	-12.492253	-3.238952	-6.488833	-27.971821	2.919570	5.323846	43.184489	4.386868	-2.672801	-11.251042
	-4.288667	-5.521550	-28.634629	2.080605	4.459577	44.899409	3.714418	-2.874551	-13.459424	-2.739059	-4.008148	-30.191199	2.123345	3.674475	47.204449	2.199983	-2.384606	-14.203055	-2.367947	-2.745923	-27.885887	1.841714	2.299037	46.439531	3.662262	-1.118111	-14.271019	-0.493563	-3.823553	-27.722211	1.932961	1.718374	47.161401	-0.894428	-3.239154	-14.192125	-1.440513	-6.993446	-29.508515	2.183655	2.049860	47.322573	0.004234	-2.853299	-14.123132	-4.373499	-3.551435	-28.777297	2.097954	2.912201	48.013506	3.923156	-1.551883	-15.494074	-2.691054	-5.516504	-28.026143	1.802713	3.629948	45.058514	3.116467	-3.293802	-13.199961	-2.136571	-3.556502	-28.528700	2.284789	3.448635	44.163258	2.983615	-2.363073	-11.673804	-3.224580	-3.737856	-31.186779	2.280540	1.909749	50.118424	3.339713	-2.670835	-15.602621	-3.991929	-5.077588	-28.393193	2.898630	5.254285	45.041535	5.567405	-1.024927	-12.711996	-2.977336	-2.215963	-29.981321	1.970835	1.988136	48.344014	2.506542	-1.880467	-15.078473	-1.047144	-4.794233	-29.033145	1.927767	2.984997	45.210912	0.678789	-2.311240	-12.511031	-1.869486	-3.501290	-29.054236	1.881863	2.257705	46.969308	1.550086	-2.090565	-13.790298	-4.205150	-3.723823	-29.016203	1.801057	3.282281	47.036377	5.261462	-3.200882	-14.592367	-4.504535	-3.222886	-28.453749	1.861786	3.772309	45.859371	5.387819	-2.059840	-13.149840	-2.501201	-2.601483	-28.863665	1.688869	2.237002	47.336981	1.932595	-1.958677	-15.633528	-3.163937	-4.787808	-28.365694	1.506766	2.020635	47.258121	2.479720	-3.409347	-14.656814	-3.860093	-3.902736	-28.403878	1.984719	3.538491	46.448422	5.147171	-2.298115	-14.152097	-3.695347	-4.107577	-29.515895	2.313493	3.347337	45.856072	5.097936	-1.498684	-13.565834	-1.205430	-4.190046	-28.407172	1.838910	1.973083	46.885533	1.366763	-2.694235	-14.129239	-3.278457	-4.391355	-30.816086	2.106256	1.859619	49.159994	3.185134	-1.798220	-14.559524	-3.882649	-5.055784	-27.982043	2.553103	3.813398	45.966753	4.760618	-1.921452	-13.367987
	-4.822943	-4.379339	-28.501828	1.660290	3.204274	47.377468	4.033462	-2.205314	-15.585275	-3.227294	-2.965762	-30.044921	1.731915	2.711537	49.532762	2.534495	-1.787412	-16.257737	-2.829346	-1.490695	-27.802773	1.509347	1.018152	48.782540	3.751548	-0.496172	-16.432738	-0.822294	-3.077188	-27.505124	1.618930	0.992697	49.345487	-0.527684	-2.575487	-16.218265	-1.782656	-6.393052	-29.352960	1.882283	1.546571	49.498597	0.402717	-2.280217	-16.194742	-4.791242	-2.496000	-28.477709	1.818675	1.974044	50.064483	4.070406	-1.015867	-17.496442	-3.185546	-4.386491	-28.078478	1.493973	2.504881	47.637260	3.475272	-2.656376	-15.313099	-2.785169	-2.164460	-28.765318	2.031667	2.043493	46.962955	3.420841	-1.828118	-13.737464	-3.772469	-2.807331	-30.799583	1.862768	1.064073	51.982926	3.552003	-2.086580	-17.578055	-4.625540	-3.663175	-28.327464	2.571138	3.831384	47.722553	5.785922	-0.397377	-14.868753	-3.385834	-1.346519	-29.751420	1.682273	1.196127	50.414256	2.647773	-1.310705	-17.111103	-1.656873	-3.691337	-28.968669	1.755435	2.025200	47.649529	1.095060	-1.901110	-14.545273	-2.446755	-2.388256	-28.919114	1.633444	1.287530	49.191978	1.913494	-1.619824	-15.794562	-4.570808	-2.862474	-28.873733	1.237662	2.316937	49.235161	5.533088	-2.232092	-16.646508	-4.989556	-2.002818	-28.409455	1.395409	2.471711	48.457253	5.645737	-1.196865	-15.247355	-3.098163	-1.408876	-28.519438	1.325906	1.100740	49.295276	2.130628	-1.293009	-17.636792	-3.437142	-4.128350	-27.985431	1.020692	1.411054	49.104367	2.747973	-2.641481	-16.642037	-4.381276	-2.630085	-28.134586	1.509056	2.200069	48.682977	5.343556	-1.382065	-16.216644	-4.191551	-3.089700	-29.187095	1.880787	2.300445	48.060322	5.253348	-0.713602	-15.714506	-1.776586	-2.784891	-28.320444	1.472494	0.745571	49.214220	1.776420	-2.100322	-16.120185	-3.760442	-3.395723	-30.581370	1.711348	0.916947	51.407048	3.408084	-1.197482	-16.648663	-4.343919	-3.896100	-27.714867	2.102372	2.610059	48.261728	4.973891	-1.046541	-15.480212
	-5.131823	-3.611620	-28.076776	1.301170	2.454694	49.240634	4.239526	-1.516938	-17.573169	-3.555797	-2.212222	-29.626816	1.399350	2.099703	51.354516	2.724050	-1.178879	-18.220805	-3.100504	-0.560469	-27.414714	1.210375	0.196369	50.560797	3.717384	0.093562	-18.466161	-0.998821	-2.622264	-26.957157	1.381637	0.685369	50.986995	-0.300948	-1.878057	-18.156674	-1.916557	-6.100505	-28.886658	1.632448	1.491177	51.119128	0.677524	-1.677164	-18.160167	-5.013319	-1.771722	-27.914749	1.597482	1.482959	51.606733	4.101471	-0.506549	-19.393874	-3.519093	-3.503600	-27.837800	1.221929	1.709960	49.691221	3.671612	-1.984449	-17.354623	-3.271782	-1.022910	-28.692367	1.814167	0.965663	49.266483	3.668624	-1.253331	-15.782712	-4.080110	-2.228249	-30.163486	1.441293	0.683531	53.357748	3.674752	-1.479838	-19.428801	-5.062559	-2.604900	-27.935136	2.249244	2.853494	49.788617	5.837967	0.250736	-16.946008	-3.597494	-0.813698	-29.260938	1.434178	0.840586	51.989742	2.697116	-0.747102	-19.019917	-2.120900	-2.833881	-28.561531	1.629262	1.376289	49.529661	1.334056	-1.445692	-16.527340	-2.843812	-1.581778	-28.478818	1.437511	0.702749	50.905949	2.112849	-1.115189	-17.734259	-4.759055	-2.320719	-28.469663	0.732640	1.801893	50.909216	5.660691	-1.302504	-18.591001	-5.341332	-1.024562	-28.056599	0.948637	1.512748	50.478815	5.757458	-0.323519	-17.259721	-3.493356	-0.580933	-27.905653	1.021328	0.410869	50.737820	2.215903	-0.636668	-19.524329	-3.535838	-3.745643	-27.367728	0.601590	1.216830	50.483562	2.910510	-1.902229	-18.517937	-4.749988	-1.636404	-27.584593	1.083072	1.264961	50.371137	5.409686	-0.503466	-18.167440	-4.461687	-2.399849	-28.599768	1.468028	1.701345	49.739362	5.296839	0.061714	-17.753353	-2.194678	-1.688414	-27.935822	1.169391	-0.075809	51.031485	2.035403	-1.488694	-18.054235	-4.000725	-2.726713	-30.087012	1.329839	0.414880	53.149652	3.478290	-0.585038	-18.665155	-4.580148	-3.103307	-27.177785	1.614506	1.851204	50.004887	5.056597	-0.112537	-17.489844
