Time	Hip_Z_1	Hip_X_1	Hip_Y_1	Knee_Z_1	Knee_X_1	Knee_Y_1	Ankle_Z_1	Ankle_X_1	Ankle_Y_1	Hip_Z_2	Hip_X_2	Hip_Y_2	Knee_Z_2	Knee_X_2	Knee_Y_2	Ankle_Z_2	Ankle_X_2	Ankle_Y_2	Hip_Z_3	Hip_X_3	Hip_Y_3	Knee_Z_3	Knee_X_3	Knee_Y_3	Ankle_Z_3	Ankle_X_3	Ankle_Y_3	Hip_Z_4	Hip_X_4	Hip_Y_4	Knee_Z_4	Knee_X_4	Knee_Y_4	Ankle_Z_4	Ankle_X_4	Ankle_Y_4	Hip_Z_5	Hip_X_5	Hip_Y_5	Knee_Z_5	Knee_X_5	Knee_Y_5	Ankle_Z_5	Ankle_X_5	Ankle_Y_5	Hip_Z_6	Hip_X_6	Hip_Y_6	Knee_Z_6	Knee_X_6	Knee_Y_6	Ankle_Z_6	Ankle_X_6	Ankle_Y_6	Hip_Z_7	Hip_X_7	Hip_Y_7	Knee_Z_7	Knee_X_7	Knee_Y_7	Ankle_Z_7	Ankle_X_7	Ankle_Y_7	Hip_Z_8	Hip_X_8	Hip_Y_8	Knee_Z_8	Knee_X_8	Knee_Y_8	Ankle_Z_8	Ankle_X_8	Ankle_Y_8	Hip_Z_9	Hip_X_9	Hip_Y_9	Knee_Z_9	Knee_X_9	Knee_Y_9	Ankle_Z_9	Ankle_X_9	Ankle_Y_9	Hip_Z_10	Hip_X_10	Hip_Y_10	Knee_Z_10	Knee_X_10	Knee_Y_10	Ankle_Z_10	Ankle_X_10	Ankle_Y_10	Hip_Z_11	Hip_X_11	Hip_Y_11	Knee_Z_11	Knee_X_11	Knee_Y_11	Ankle_Z_11	Ankle_X_11	Ankle_Y_11	Hip_Z_12	Hip_X_12	Hip_Y_12	Knee_Z_12	Knee_X_12	Knee_Y_12	Ankle_Z_12	Ankle_X_12	Ankle_Y_12	Hip_Z_13	Hip_X_13	Hip_Y_13	Knee_Z_13	Knee_X_13	Knee_Y_13	Ankle_Z_13	Ankle_X_13	Ankle_Y_13	Hip_Z_14	Hip_X_14	Hip_Y_14	Knee_Z_14	Knee_X_14	Knee_Y_14	Ankle_Z_14	Ankle_X_14	Ankle_Y_14	Hip_Z_15	Hip_X_15	Hip_Y_15	Knee_Z_15	Knee_X_15	Knee_Y_15	Ankle_Z_15	Ankle_X_15	Ankle_Y_15	Hip_Z_16	Hip_X_16	Hip_Y_16	Knee_Z_16	Knee_X_16	Knee_Y_16	Ankle_Z_16	Ankle_X_16	Ankle_Y_16	Hip_Z_17	Hip_X_17	Hip_Y_17	Knee_Z_17	Knee_X_17	Knee_Y_17	Ankle_Z_17	Ankle_X_17	Ankle_Y_17	Hip_Z_18	Hip_X_18	Hip_Y_18	Knee_Z_18	Knee_X_18	Knee_Y_18	Ankle_Z_18	Ankle_X_18	Ankle_Y_18	Hip_Z_19	Hip_X_19	Hip_Y_19	Knee_Z_19	Knee_X_19	Knee_Y_19	Ankle_Z_19	Ankle_X_19	Ankle_Y_19	Hip_Z_20	Hip_X_20	Hip_Y_20	Knee_Z_20	Knee_X_20	Knee_Y_20	Ankle_Z_20	Ankle_X_20	Ankle_Y_20	Hip_Z_21	Hip_X_21	Hip_Y_21	Knee_Z_21	Knee_X_21	Knee_Y_21	Ankle_Z_21	Ankle_X_21	Ankle_Y_21	Hip_Z_22	Hip_X_22	Hip_Y_22	Knee_Z_22	Knee_X_22	Knee_Y_22	Ankle_Z_22	Ankle_X_22	Ankle_Y_22	Hip_Z_23	Hip_X_23	Hip_Y_23	Knee_Z_23	Knee_X_23	Knee_Y_23	Ankle_Z_23	Ankle_X_23	Ankle_Y_23
0	-12.042447	3.986449	-19.629305	2.111343	-0.264859	43.791513	-0.021927	-1.773668	-18.463695	-13.453067	2.481695	-18.488165	2.265588	-0.414858	44.727497	-1.491858	-2.745663	-17.984512	-12.342233	3.346581	-16.481207	1.32759	-1.757212	43.38703	-2.720812	-3.79225	-18.705105	-12.674604	4.096635	-17.000955	2.570303	-0.394574	42.78401	-1.254604	-3.503458	-18.108136	-13.557724	4.745013	-18.482979	2.961691	-0.687398	43.212442	2.196695	-1.066176	-18.100397	-12.546343	5.309883	-17.351526	1.5366	-0.810392	44.050745	-1.349788	-2.446669	-16.532107	-13.329248	3.704352	-18.17181	2.652454	-0.449432	44.529611	-0.310208	-0.774373	-17.609258	-14.542195	6.004659	-17.012093	2.16435	-0.008254	44.381947	-1.981179	-1.957868	-17.165859	-12.584379	3.464553	-20.202961	3.708056	0.682557	43.607706	-2.203008	-1.234206	-17.674311	-12.883292	2.800085	-21.65089	3.689069	0.846562	44.346592	-0.310763	1.048775	-16.236274	-13.072149	3.815576	-19.924428	4.752877	1.330993	43.903317	0.245281	1.566529	-17.725925	-12.641032	5.913176	-19.456195	1.944348	-0.546244	43.942382	-0.198167	-1.937247	-17.167136	-15.302778	6.333551	-21.557414	5.784926	2.893497	43.094141	-0.487552	-1.499962	-16.606749	-16.590336	3.488496	-20.851666	6.226688	2.147555	43.333476	1.824054	2.640397	-17.310019	-16.156941	3.674691	-22.181166	2.970432	0.065652	44.484502	3.108977	1.50506	-17.544872	-14.530873	2.700458	-19.396018	2.064176	-1.018598	45.190231	0.023846	-2.104213	-18.209436	-13.368918	3.393033	-17.44893	2.035974	-0.25268	43.991627	0.135753	-0.889433	-18.807361	-13.116247	3.60633	-17.320333	1.658125	-1.029497	44.037743	-3.722437	-4.748991	-17.67668	-12.09184	3.590598	-17.635381	2.394686	-0.352087	44.771077	0.318242	-0.26947	-18.188567	-14.090999	1.853554	-19.149747	2.361972	-0.486984	43.807256	-2.190744	-2.775391	-18.140131	-13.878305	3.793033	-21.258111	3.73795	0.530471	44.404092	0.541122	-0.348537	-16.79442	-16.908188	6.933631	-19.339348	4.729516	1.224998	45.184615	1.061657	-0.771459	-18.18579	-15.077852	3.654929	-20.244576	4.420929	0.875394	46.0577	1.521401	-0.212688	-19.151312
1	-12.227712	3.373163	-19.960218	3.568355	0.588289	43.746425	0.852035	0.078014	-17.921778	-13.483562	1.871335	-18.775906	3.473176	0.270215	44.674863	-0.590868	-0.779845	-17.599805	-12.18871	2.811293	-16.85345	2.210746	-1.222663	43.079704	-1.732265	-1.982558	-18.45842	-12.629669	3.867286	-18.066854	3.897728	0.193488	42.78518	-0.395179	-1.704518	-17.572638	-13.850993	4.472936	-19.326018	4.700317	0.198161	43.22251	2.83523	0.536579	-17.667459	-12.523972	5.087606	-17.787909	2.761142	-0.101044	44.104964	-0.297096	-0.762018	-15.957507	-13.435269	3.318828	-18.941652	4.063722	0.3753	44.588194	0.505685	0.970315	-17.16907	-14.459865	5.689155	-18.038878	3.253479	0.658483	44.47401	-0.842498	-0.355119	-16.758045	-12.650209	3.064216	-21.220917	4.99561	1.404435	43.712768	-1.336512	0.505059	-17.141594	-13.129059	2.359901	-22.360271	5.323538	1.749847	44.044838	0.340862	2.574711	-15.348769	-13.427176	3.308646	-20.587888	6.427274	2.234584	43.704421	0.570267	3.11074	-17.024255	-12.686441	5.588286	-20.255855	3.392979	0.258905	43.950087	0.953466	-0.541157	-16.670688	-15.346409	5.90454	-22.190401	7.318475	3.65391	43.176007	0.339276	-0.365651	-16.19953	-16.931901	3.085377	-21.638294	8.175846	3.119111	43.109081	2.333647	4.119126	-16.820504	-16.589302	3.123418	-22.584619	4.848323	1.116886	44.058349	3.749411	3.100379	-16.927889	-14.573208	2.22699	-20.208592	3.35126	-0.285876	44.7082	1.260253	-0.092266	-17.628152	-13.620241	2.980501	-18.399033	3.449049	0.728488	44.093486	0.93925	0.521399	-18.516082	-12.947304	3.165559	-17.829279	2.598583	-0.515587	43.82006	-2.734862	-3.276011	-17.370754	-12.25235	3.077944	-18.357922	3.817392	0.535068	44.921268	1.201337	1.173438	-17.905839	-14.09761	1.381011	-19.987239	3.618808	0.311259	43.613599	-1.043402	-0.915324	-17.659088	-14.017711	3.29476	-21.796935	5.268406	1.233508	44.254193	1.216421	1.07651	-16.238252	-17.151466	6.571459	-19.600902	6.625657	2.089626	45.000347	1.654664	0.685178	-17.67298	-15.273113	3.160915	-20.62563	6.140722	1.82999	45.894021	2.226675	1.427616	-18.827694
2	-12.591119	2.754965	-20.357538	5.391054	1.668562	43.581973	1.37794	1.772309	-17.344414	-13.69549	1.28397	-19.229156	5.021649	1.183059	44.477203	0.105091	1.169064	-17.134226	-12.21485	2.324746	-17.399072	3.440351	-0.497606	42.688477	-0.773352	-0.079654	-18.077893	-12.756118	3.620557	-19.153231	5.560153	0.939196	42.722061	0.24277	0.125995	-16.940163	-14.351616	4.178734	-20.144457	6.853474	1.311614	43.086868	2.972343	1.94375	-17.111109	-12.642992	4.862051	-18.211605	4.307721	0.761674	43.992489	0.613276	0.972127	-15.31101	-13.694583	2.907194	-19.717319	5.796576	1.376359	44.49943	0.991522	2.573685	-16.601427	-14.517595	5.324935	-19.14543	4.638154	1.481077	44.485886	0.191303	1.220937	-16.208205	-12.89494	2.661963	-22.201357	6.615118	2.28653	43.685331	-0.715968	2.140652	-16.485461	-13.562191	1.910317	-23.08579	7.332909	2.843639	43.632915	0.543793	3.87058	-14.331616	-13.960831	2.811981	-21.286568	8.481822	3.336582	43.351175	0.423212	4.372754	-16.128254	-12.927903	5.228581	-21.076034	5.205084	1.240211	43.847379	1.797099	0.794484	-16.076847	-15.592008	5.447045	-22.82054	9.239086	4.609368	43.088022	0.706232	0.597988	-15.691739	-17.463969	2.663695	-22.375167	10.530868	4.274753	42.673584	2.228988	5.260395	-16.100358	-17.186996	2.554408	-23.012362	7.095436	2.369075	43.460343	3.843671	4.442973	-16.187333	-14.774637	1.755562	-21.067429	5.003447	0.611615	44.173892	2.163964	1.822049	-16.934295	-14.062251	2.56681	-19.483142	5.232692	1.936558	44.059855	1.415734	1.745703	-18.002643	-12.892015	2.709458	-18.413008	3.804509	0.139227	43.495823	-1.61264	-1.618194	-17.009974	-12.597329	2.544945	-19.135447	5.600496	1.622504	44.917305	1.709169	2.444787	-17.454603	-14.282015	0.897397	-20.918985	5.190102	1.285698	43.289462	-0.100883	0.873121	-17.009545	-14.356644	2.748236	-22.368026	7.201854	2.158221	43.946254	1.412312	2.372318	-15.52573	-17.529591	6.136895	-19.842048	8.839751	3.128526	44.560743	1.741642	1.936674	-17.028347	-15.689235	2.67088	-21.047272	8.279831	2.99898	45.502862	2.47248	2.839388	-18.32278
3	-13.163621	2.143365	-20.77239	7.600667	2.969924	43.248508	1.346528	3.148009	-16.716735	-14.135588	0.732094	-19.84341	6.961163	2.342149	44.123128	0.378014	2.885235	-16.548271	-12.477043	1.897655	-18.12624	5.078656	0.428549	42.234458	-0.076616	1.737173	-17.51509	-13.091023	3.337077	-20.170506	7.571286	1.860007	42.546395	0.430713	1.824917	-16.180159	-15.067893	3.840974	-20.835299	9.391602	2.644007	42.720182	2.474751	3.011232	-16.415587	-12.939474	4.621992	-18.568488	6.215203	1.783206	43.683647	1.122803	2.590831	-14.590686	-14.140706	2.463786	-20.417121	7.874585	2.542432	44.183806	0.931956	3.867302	-15.837562	-14.752133	4.90697	-20.239895	6.355536	2.449605	44.342652	0.885417	2.635286	-15.463333	-13.348404	2.256408	-23.053707	8.59917	3.321703	43.444766	-0.535696	3.522884	-15.676313	-14.177294	1.440723	-23.752666	9.711579	4.106831	43.103419	0.145734	4.810823	-13.216596	-14.644979	2.317403	-21.924928	10.871205	4.585739	42.789089	-0.28399	5.24051	-15.053655	-13.405151	4.820283	-21.849246	7.408361	2.402813	43.573062	2.081532	1.936661	-15.351972	-16.059213	4.954279	-23.360292	11.533302	5.738245	42.744654	0.450847	1.30497	-15.047494	-18.176787	2.205806	-22.943388	13.23951	5.560796	41.958202	1.412258	5.966092	-15.146504	-17.94692	1.972902	-23.411082	9.692512	3.787644	42.689211	3.263846	5.413134	-15.313286	-15.157934	1.275224	-21.898397	7.03758	1.661277	43.588596	2.509173	3.47152	-16.108468	-14.707135	2.166245	-20.621939	7.414419	3.327559	43.801062	1.367166	2.671557	-17.199606	-13.008233	2.247773	-19.056649	5.334322	0.943683	43.056146	-0.59308	0.077322	-16.546864	-13.146257	2.000653	-19.871278	7.768198	2.876711	44.660148	1.646913	3.440485	-16.769485	-14.669299	0.416701	-21.893919	7.113522	2.41813	42.847	0.39581	2.41314	-16.148428	-14.911462	2.148002	-22.891942	9.5271	3.3036	43.446571	0.970758	3.401924	-14.667648	-18.04324	5.612807	-20.016217	11.322744	4.31829	43.822213	1.220535	2.871333	-16.224298	-16.333353	2.178022	-21.442157	10.844393	4.345579	44.794983	2.089209	3.899281	-17.562182
4	-13.903247	1.542083	-21.136893	10.097859	4.420124	42.742555	0.761753	4.162106	-16.038851	-14.767674	0.213931	-20.534283	9.21288	3.68595	43.65172	0.188607	4.2615	-15.863596	-12.953796	1.5197	-18.974974	7.063163	1.514408	41.767585	0.219848	3.322893	-16.79872	-13.60966	3.002537	-21.02615	9.839374	2.935211	42.252012	0.114436	3.261126	-15.336966	-15.930686	3.443969	-21.319628	12.160385	4.119015	42.111588	1.442505	3.709529	-15.632638	-13.399111	4.353889	-18.823398	8.417481	2.936437	43.214302	1.124909	3.960814	-13.827019	-14.74006	1.988723	-20.970292	10.211946	3.807564	43.63645	0.336114	4.799667	-14.904496	-15.160605	4.438036	-21.220441	8.376963	3.525848	44.010947	1.098245	3.791602	-14.538244	-13.974284	1.841413	-23.713705	10.888515	4.46059	42.97234	-0.84347	4.585023	-14.740074	-14.909933	0.940042	-24.282412	12.340555	5.475343	42.479047	-0.790523	5.387211	-12.0919	-15.395858	1.812735	-22.414749	13.438131	5.883786	42.048527	-1.423398	5.751845	-13.910405	-14.078135	4.357346	-22.503901	9.911575	3.702648	43.121808	1.770616	2.820547	-14.523864	-16.687002	4.41963	-23.73443	14.06125	6.963902	42.148135	-0.340715	1.761038	-14.302162	-18.97212	1.697098	-23.272508	16.10564	6.875108	41.017706	0.080296	6.31042	-14.085158	-18.800844	1.384884	-23.719364	12.509326	5.287257	41.794988	2.116314	6.011247	-14.363618	-15.697247	0.773785	-22.621288	9.378397	2.821067	42.960905	2.237879	4.759656	-15.181079	-15.504305	1.785249	-21.701891	9.913814	4.797531	43.30429	0.787246	3.293049	-16.157508	-13.305848	1.791423	-19.724018	7.16604	1.870488	42.545831	0.094317	1.645049	-15.974435	-13.850095	1.450987	-20.466772	10.234766	4.214905	44.133529	1.024576	4.145697	-15.883196	-15.229464	-0.050933	-22.829965	9.347885	3.655755	42.336916	0.333675	3.600498	-15.125439	-15.62292	1.498705	-23.287303	12.102546	4.609566	42.788636	-0.021111	4.118524	-13.756068	-18.647413	5.005764	-20.092028	13.942781	5.598378	42.849293	0.191324	3.468828	-15.317003	-17.132909	1.670174	-21.724012	13.711767	5.774622	43.779333	1.131212	4.596359	-16.578798
5	-14.757769	0.948385	-21.374262	12.792958	5.95771	42.050077	-0.350817	4.780234	-15.32656	-15.571857	-0.270362	-21.200334	11.75073	5.190618	43.063285	-0.532985	5.178776	-15.124382	-13.639211	1.185552	-19.872501	9.373951	2.751027	41.325645	-0.019864	4.5379	-15.97156	-14.288806	2.594384	-21.59747	12.287344	4.160691	41.814983	-0.72689	4.314478	-14.489465	-16.851967	2.974093	-21.528304	15.011198	5.654767	41.266408	-0.004012	4.047643	-14.82876	-14.008794	4.038797	-18.922827	10.86238	4.209992	42.593599	0.56003	4.957557	-13.074001	-15.454373	1.472156	-21.280226	12.746681	5.11611	42.835059	-0.786847	5.314425	-13.865792	-15.72346	3.916657	-21.995505	10.6646	4.674663	43.474493	0.771108	4.628661	-13.486524	-14.722074	1.40307	-24.108996	13.426452	5.655759	42.252222	-1.64655	5.290091	-13.72381	-15.686528	0.394751	-24.586385	15.09322	6.895033	41.77366	-2.165968	5.62104	-11.063825	-16.130778	1.285685	-22.66614	16.040693	7.154089	41.175221	-2.887348	5.950137	-12.825239	-14.900248	3.825474	-22.950656	12.631802	5.109671	42.488055	0.864316	3.390526	-13.651766	-17.406678	3.826524	-23.856484	16.692317	8.221919	41.303322	-1.57697	1.9758	-13.520987	-19.739958	1.1177	-23.279531	18.946118	8.135098	39.919604	-1.622388	6.346249	-13.062099	-19.66197	0.793797	-23.868447	15.41016	6.786928	40.826416	0.533585	6.266825	-13.428287	-16.346689	0.238735	-23.156987	11.93417	4.050675	42.287236	1.382773	5.644219	-14.21006	-16.389674	1.420855	-22.610382	12.639523	6.254582	42.590659	-0.275689	3.625471	-14.975311	-13.810167	1.346609	-20.366495	9.32806	2.921546	41.995009	0.224851	2.937183	-15.289714	-14.644015	0.892791	-20.827311	12.901843	5.565855	43.350509	-0.099721	4.557945	-14.877281	-15.911603	-0.505385	-23.62281	11.832081	4.948194	41.786703	-0.306937	4.39106	-14.034664	-16.414399	0.802473	-23.473998	14.780046	6.016992	42.004541	-1.43779	4.513863	-12.898453	-19.280618	4.332043	-20.049661	16.561691	6.913265	41.746236	-1.202861	3.752611	-14.410216	-17.999003	1.131044	-21.798548	16.744076	7.200434	42.499946	-0.305104	4.943156	-15.467927
6	-15.64021	0.356179	-21.411249	15.563399	7.501916	41.173476	-1.887043	5.032014	-14.619813	-16.465534	-0.733799	-21.717861	14.471886	6.787053	42.357195	-1.702647	5.666665	-14.405818	-14.475931	0.879673	-20.697774	11.92789	4.104865	40.911382	-0.800552	5.332751	-15.118218	-15.068228	2.091476	-21.766158	14.814335	5.504897	41.190896	-2.025205	4.935615	-13.73554	-17.721098	2.427565	-21.406979	17.799882	7.151453	40.204208	-1.747826	4.071358	-14.06454	-14.720514	3.657559	-18.80307	13.455798	5.578271	41.82226	-0.524913	5.519479	-12.410029	-16.203197	0.9075	-21.279165	15.36956	6.39923	41.804837	-2.311349	5.459949	-12.834194	-16.413756	3.331572	-22.443286	13.184009	5.863466	42.704794	-0.139037	5.087392	-12.395781	-15.517791	0.918335	-24.149947	16.132329	6.855405	41.276491	-2.912098	5.635056	-12.706351	-16.412939	-0.207716	-24.570907	17.822184	8.307824	40.992874	-3.860152	5.568354	-10.241003	-16.763924	0.726841	-22.619448	18.537828	8.338554	40.233534	-4.558448	5.918173	-11.913538	-15.786489	3.214122	-23.104926	15.442737	6.578115	41.685579	-0.536973	3.642132	-12.831122	-18.122182	3.164499	-23.669254	19.281752	9.443434	40.248939	-3.124395	1.995171	-12.783311	-20.370564	0.470605	-22.959083	21.595019	9.281215	38.772548	-3.521681	6.179928	-12.201638	-20.4252	0.205675	-23.793325	18.246365	8.203532	39.836046	-1.343528	6.242568	-12.607479	-17.041159	-0.348031	-23.389433	14.605802	5.304605	41.537839	-0.013	6.090846	-13.27908	-17.27533	1.058753	-23.231705	15.465022	7.620945	41.71715	-1.733361	3.704342	-13.804193	-14.498225	0.906694	-20.909249	11.790173	4.089152	41.412065	-0.27646	3.873405	-14.526929	-15.442434	0.317356	-20.854811	15.642442	6.863527	42.345519	-1.635376	4.69336	-13.872388	-16.647843	-0.958382	-24.112666	14.491917	6.242425	41.179696	-1.52765	4.752748	-12.993276	-17.189546	0.065248	-23.376572	17.409343	7.449584	41.111508	-3.149629	4.620193	-12.185891	-19.863741	3.612715	-19.868201	19.033602	8.205775	40.620476	-2.84773	3.750324	-13.621091	-18.818226	0.546019	-21.57565	19.771118	8.544809	41.043404	-2.093528	4.981869	-14.37535
7	-16.451566	-0.237237	-21.21625	18.280428	8.962049	40.141805	-3.6863	5.023919	-13.950698	-17.344947	-1.194809	-21.946652	17.267041	8.383067	41.491945	-3.23121	5.795507	-13.765083	-15.37516	0.57659	-21.297174	14.613127	5.517528	40.467255	-2.045149	5.731736	-14.326508	-15.851205	1.489924	-21.486246	17.311663	6.887989	40.339495	-3.632113	5.191404	-13.130718	-18.447099	1.829694	-20.999668	20.425719	8.521547	39.003235	-3.637946	3.908326	-13.367751	-15.449446	3.202156	-18.425775	16.068289	6.985185	40.904469	-1.982127	5.706698	-11.884565	-16.892073	0.295077	-20.92656	17.956094	7.587866	40.590506	-4.088069	5.337348	-11.911355	-17.151522	2.688611	-22.53792	15.813378	7.044547	41.744278	-1.464571	5.257192	-11.376838	-16.269096	0.374026	-23.830826	18.870926	8.010921	40.105933	-4.482557	5.7248	-11.774077	-17.008345	-0.85939	-24.236477	20.400102	9.653205	40.151304	-5.702662	5.361824	-9.64712	-17.233105	0.133439	-22.280754	20.82831	9.40588	39.280249	-6.323427	5.764265	-11.22264	-16.629217	2.527435	-22.929624	18.196924	8.04163	40.745442	-2.24933	3.646494	-12.142663	-18.739021	2.445006	-23.19178	21.710417	10.569614	39.061271	-4.833403	1.895024	-12.137723	-20.782487	-0.219846	-22.363105	23.937872	10.274874	37.677433	-5.482646	5.914763	-11.561088	-21.020909	-0.366962	-23.506884	20.90686	9.484448	38.874301	-3.344302	6.067285	-11.939657	-17.687734	-0.986354	-23.295785	17.255344	6.521105	40.693424	-1.733551	6.223801	-12.455253	-18.073147	0.678747	-23.532383	18.238212	8.86616	40.776747	-3.414759	3.63185	-12.781694	-15.30878	0.451192	-21.241147	14.478391	5.350902	40.759822	-1.363761	4.430024	-13.753744	-16.159863	-0.27937	-20.54524	18.316221	8.065527	41.200051	-3.407298	4.64461	-12.970782	-17.343024	-1.4306	-24.230279	17.180882	7.481734	40.489484	-3.126594	4.812699	-12.090838	-17.861117	-0.691904	-23.006623	19.885157	8.821035	40.138648	-4.999052	4.551773	-11.632602	-20.334723	2.887084	-19.580281	21.279638	9.424219	39.561807	-4.592618	3.58076	-12.992012	-19.493341	-0.07698	-21.072386	22.635818	9.767915	39.545538	-4.045269	4.832669	-13.42141
8	-17.080848	-0.827373	-20.751248	20.811451	10.227174	38.969629	-5.647092	4.830547	-13.335127	-18.097176	-1.672341	-21.788189	20.015248	9.863207	40.424881	-5.005743	5.689962	-13.214907	-16.230058	0.240774	-21.498133	17.307685	6.903829	39.886111	-3.662066	5.78855	-13.666189	-16.518978	0.784927	-20.678234	19.663363	8.194763	39.195258	-5.44898	5.137231	-12.706226	-18.904405	1.204647	-20.296299	22.75025	9.643888	37.725923	-5.586351	3.634176	-12.768617	-16.091385	2.662662	-17.725268	18.561182	8.342123	39.813778	-3.71421	5.570977	-11.540337	-17.421282	-0.355377	-20.198688	20.37471	8.612661	39.242507	-5.993594	5.04817	-11.169618	-17.845784	1.97708	-22.153448	18.433615	8.15865	40.577917	-3.141376	5.174014	-10.548607	-16.852993	-0.255213	-23.053598	21.484542	9.055249	38.754835	-6.27292	5.610968	-11.030238	-17.35623	-1.55182	-23.526539	22.66497	10.835524	39.253078	-7.591606	5.090911	-9.326	-17.45871	-0.49961	-21.634223	22.796001	10.308404	38.351437	-8.108601	5.561445	-10.79034	-17.303537	1.768497	-22.359281	20.736583	9.412485	39.67189	-4.150091	3.460166	-11.648268	-19.155369	1.690729	-22.444157	23.853465	11.530937	37.814926	-6.612718	1.723883	-11.614705	-20.915402	-0.915866	-21.562262	25.887887	11.078547	36.717769	-7.415685	5.623997	-11.151743	-21.346599	-0.894667	-22.998532	23.245229	10.545207	38.001782	-5.368955	5.813579	-11.460621	-18.166667	-1.678309	-22.781652	19.73505	7.613308	39.710196	-3.670571	6.093916	-11.806089	-18.669323	0.253267	-23.400181	20.78907	9.941352	39.818936	-5.234172	3.471118	-12.043098	-16.150519	-0.051125	-21.207306	17.288912	6.65694	39.955741	-2.949927	4.617434	-13.05136	-16.685605	-0.900569	-19.830644	20.761147	9.101942	39.955712	-5.322472	4.46083	-12.267043	-17.878673	-1.950459	-23.826734	19.74039	8.582255	39.653873	-5.001255	4.631375	-11.419614	-18.313477	-1.441439	-22.325031	22.078707	10.018388	39.09946	-6.900033	4.37808	-11.261389	-20.608387	2.197196	-19.203981	23.178038	10.489976	38.655114	-6.356376	3.306502	-12.560836	-19.894437	-0.716006	-20.292682	25.147142	10.805138	38.145828	-6.042661	4.561793	-12.715201
9	-17.49676	-1.404527	-20.099329	23.099999	11.266352	37.735258	-7.642278	4.5693	-12.757901	-18.628329	-2.175238	-21.235388	22.599233	11.120751	39.159925	-6.901341	5.491385	-12.726182	-16.941196	-0.155617	-21.261523	19.882766	8.174796	39.105707	-5.476416	5.648716	-13.145968	-16.997082	0.024799	-19.487291	21.808207	9.332636	37.840455	-7.330756	4.933475	-12.406808	-19.099011	0.591504	-19.428677	24.769108	10.520558	36.479841	-7.502986	3.348942	-12.250151	-16.57487	2.070781	-16.781029	20.844661	9.56375	38.606028	-5.550971	5.274025	-11.340113	-17.74209	-1.013001	-19.195044	22.546323	9.45228	37.852347	-7.906376	4.71248	-10.602398	-18.408853	1.216846	-21.357242	20.918855	9.165847	39.269517	-4.990833	4.965119	-9.932195	-17.219002	-0.947287	-21.93845	23.872549	9.966029	37.315405	-8.126357	5.418177	-10.466955	-17.462369	-2.250125	-22.576648	24.604894	11.831198	38.343459	-9.437995	4.841888	-9.182227	-17.454912	-1.159979	-20.783524	24.44835	11.051776	37.462284	-9.854054	5.371404	-10.541117	-17.754254	0.978917	-21.495132	23.000039	10.630372	38.525103	-6.094387	3.194712	-11.306738	-19.358208	0.946479	-21.564605	25.70372	12.322681	36.616136	-8.379729	1.537263	-11.186004	-20.799443	-1.578233	-20.676118	27.476364	11.701328	35.919721	-9.270421	5.355019	-10.901673	-21.432605	-1.368587	-22.370454	25.267999	11.40863	37.238432	-7.340932	5.554467	-11.104523	-18.423236	-2.391416	-21.933847	21.966036	8.536518	38.61584	-5.665544	5.838827	-11.308766	-19.050198	-0.21855	-22.926716	23.062884	10.871498	38.874345	-7.079358	3.301264	-11.551485	-16.909194	-0.617584	-20.755751	20.068481	7.921621	38.95412	-4.822259	4.563217	-12.462081	-17.002828	-1.527989	-18.84688	22.928813	9.972708	38.697745	-7.256074	4.234367	-11.7354	-18.19693	-2.518767	-22.98199	22.059801	9.505444	38.678139	-6.969885	4.35042	-10.946526	-18.536818	-2.15382	-21.440713	23.995481	11.010161	38.045154	-8.773483	4.191247	-11.006488	-20.681463	1.570566	-18.798937	24.745286	11.377357	37.917545	-8.075987	3.010948	-12.266737	-20.032781	-1.327589	-19.394196	27.294381	11.673812	36.936888	-7.987605	4.265243	-12.216465
