hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z	hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
	3.986449	-19.629305	-12.042447	-0.264859	43.791513	2.111343	-1.773668	-18.463695	-0.021927	2.481695	-18.488165	-13.453067	-0.414858	44.727497	2.265588	-2.745663	-17.984512	-1.491858	3.346581	-16.481207	-12.342233	-1.757212	43.387030	1.327590	-3.792250	-18.705105	-2.720812	4.096635	-17.000955	-12.674604	-0.394574	42.784010	2.570303	-3.503458	-18.108136	-1.254604	4.745013	-18.482979	-13.557724	-0.687398	43.212442	2.961691	-1.066176	-18.100397	2.196695	5.309883	-17.351526	-12.546343	-0.810392	44.050745	1.536600	-2.446669	-16.532107	-1.349788	3.704352	-18.171810	-13.329248	-0.449432	44.529611	2.652454	-0.774373	-17.609258	-0.310208	6.004659	-17.012093	-14.542195	-0.008254	44.381947	2.164350	-1.957868	-17.165859	-1.981179	3.464553	-20.202961	-12.584379	0.682557	43.607706	3.708056	-1.234206	-17.674311	-2.203008	2.800085	-21.650890	-12.883292	0.846562	44.346592	3.689069	1.048775	-16.236274	-0.310763	3.815576	-19.924428	-13.072149	1.330993	43.903317	4.752877	1.566529	-17.725925	0.245281	5.913176	-19.456195	-12.641032	-0.546244	43.942382	1.944348	-1.937247	-17.167136	-0.198167	6.333551	-21.557414	-15.302778	2.893497	43.094141	5.784926	-1.499962	-16.606749	-0.487552	3.488496	-20.851666	-16.590336	2.147555	43.333476	6.226688	2.640397	-17.310019	1.824054	3.674691	-22.181166	-16.156941	0.065652	44.484502	2.970432	1.505060	-17.544872	3.108977	2.700458	-19.396018	-14.530873	-1.018598	45.190231	2.064176	-2.104213	-18.209436	0.023846	3.393033	-17.448930	-13.368918	-0.252680	43.991627	2.035974	-0.889433	-18.807361	0.135753	3.606330	-17.320333	-13.116247	-1.029497	44.037743	1.658125	-4.748991	-17.676680	-3.722437	3.590598	-17.635381	-12.091840	-0.352087	44.771077	2.394686	-0.269470	-18.188567	0.318242	1.853554	-19.149747	-14.090999	-0.486984	43.807256	2.361972	-2.775391	-18.140131	-2.190744	3.793033	-21.258111	-13.878305	0.530471	44.404092	3.737950	-0.348537	-16.794420	0.541122	6.933631	-19.339348	-16.908188	1.224998	45.184615	4.729516	-0.771459	-18.185790	1.061657	3.654929	-20.244576	-15.077852	0.875394	46.057700	4.420929	-0.212688	-19.151312	1.521401
	3.373163	-19.960218	-12.227712	0.588289	43.746425	3.568355	0.078014	-17.921778	0.852035	1.871335	-18.775906	-13.483562	0.270215	44.674863	3.473176	-0.779845	-17.599805	-0.590868	2.811293	-16.853450	-12.188710	-1.222663	43.079704	2.210746	-1.982558	-18.458420	-1.732265	3.867286	-18.066854	-12.629669	0.193488	42.785180	3.897728	-1.704518	-17.572638	-0.395179	4.472936	-19.326018	-13.850993	0.198161	43.222510	4.700317	0.536579	-17.667459	2.835230	5.087606	-17.787909	-12.523972	-0.101044	44.104964	2.761142	-0.762018	-15.957507	-0.297096	3.318828	-18.941652	-13.435269	0.375300	44.588194	4.063722	0.970315	-17.169070	0.505685	5.689155	-18.038878	-14.459865	0.658483	44.474010	3.253479	-0.355119	-16.758045	-0.842498	3.064216	-21.220917	-12.650209	1.404435	43.712768	4.995610	0.505059	-17.141594	-1.336512	2.359901	-22.360271	-13.129059	1.749847	44.044838	5.323538	2.574711	-15.348769	0.340862	3.308646	-20.587888	-13.427176	2.234584	43.704421	6.427274	3.110740	-17.024255	0.570267	5.588286	-20.255855	-12.686441	0.258905	43.950087	3.392979	-0.541157	-16.670688	0.953466	5.904540	-22.190401	-15.346409	3.653910	43.176007	7.318475	-0.365651	-16.199530	0.339276	3.085377	-21.638294	-16.931901	3.119111	43.109081	8.175846	4.119126	-16.820504	2.333647	3.123418	-22.584619	-16.589302	1.116886	44.058349	4.848323	3.100379	-16.927889	3.749411	2.226990	-20.208592	-14.573208	-0.285876	44.708200	3.351260	-0.092266	-17.628152	1.260253	2.980501	-18.399033	-13.620241	0.728488	44.093486	3.449049	0.521399	-18.516082	0.939250	3.165559	-17.829279	-12.947304	-0.515587	43.820060	2.598583	-3.276011	-17.370754	-2.734862	3.077944	-18.357922	-12.252350	0.535068	44.921268	3.817392	1.173438	-17.905839	1.201337	1.381011	-19.987239	-14.097610	0.311259	43.613599	3.618808	-0.915324	-17.659088	-1.043402	3.294760	-21.796935	-14.017711	1.233508	44.254193	5.268406	1.076510	-16.238252	1.216421	6.571459	-19.600902	-17.151466	2.089626	45.000347	6.625657	0.685178	-17.672980	1.654664	3.160915	-20.625630	-15.273113	1.829990	45.894021	6.140722	1.427616	-18.827694	2.226675
	2.754965	-20.357538	-12.591119	1.668562	43.581973	5.391054	1.772309	-17.344414	1.377940	1.283970	-19.229156	-13.695490	1.183059	44.477203	5.021649	1.169064	-17.134226	0.105091	2.324746	-17.399072	-12.214850	-0.497606	42.688477	3.440351	-0.079654	-18.077893	-0.773352	3.620557	-19.153231	-12.756118	0.939196	42.722061	5.560153	0.125995	-16.940163	0.242770	4.178734	-20.144457	-14.351616	1.311614	43.086868	6.853474	1.943750	-17.111109	2.972343	4.862051	-18.211605	-12.642992	0.761674	43.992489	4.307721	0.972127	-15.311010	0.613276	2.907194	-19.717319	-13.694583	1.376359	44.499430	5.796576	2.573685	-16.601427	0.991522	5.324935	-19.145430	-14.517595	1.481077	44.485886	4.638154	1.220937	-16.208205	0.191303	2.661963	-22.201357	-12.894940	2.286530	43.685331	6.615118	2.140652	-16.485461	-0.715968	1.910317	-23.085790	-13.562191	2.843639	43.632915	7.332909	3.870580	-14.331616	0.543793	2.811981	-21.286568	-13.960831	3.336582	43.351175	8.481822	4.372754	-16.128254	0.423212	5.228581	-21.076034	-12.927903	1.240211	43.847379	5.205084	0.794484	-16.076847	1.797099	5.447045	-22.820540	-15.592008	4.609368	43.088022	9.239086	0.597988	-15.691739	0.706232	2.663695	-22.375167	-17.463969	4.274753	42.673584	10.530868	5.260395	-16.100358	2.228988	2.554408	-23.012362	-17.186996	2.369075	43.460343	7.095436	4.442973	-16.187333	3.843671	1.755562	-21.067429	-14.774637	0.611615	44.173892	5.003447	1.822049	-16.934295	2.163964	2.566810	-19.483142	-14.062251	1.936558	44.059855	5.232692	1.745703	-18.002643	1.415734	2.709458	-18.413008	-12.892015	0.139227	43.495823	3.804509	-1.618194	-17.009974	-1.612640	2.544945	-19.135447	-12.597329	1.622504	44.917305	5.600496	2.444787	-17.454603	1.709169	0.897397	-20.918985	-14.282015	1.285698	43.289462	5.190102	0.873121	-17.009545	-0.100883	2.748236	-22.368026	-14.356644	2.158221	43.946254	7.201854	2.372318	-15.525730	1.412312	6.136895	-19.842048	-17.529591	3.128526	44.560743	8.839751	1.936674	-17.028347	1.741642	2.670880	-21.047272	-15.689235	2.998980	45.502862	8.279831	2.839388	-18.322780	2.472480
	2.143365	-20.772390	-13.163621	2.969924	43.248508	7.600667	3.148009	-16.716735	1.346528	0.732094	-19.843410	-14.135588	2.342149	44.123128	6.961163	2.885235	-16.548271	0.378014	1.897655	-18.126240	-12.477043	0.428549	42.234458	5.078656	1.737173	-17.515090	-0.076616	3.337077	-20.170506	-13.091023	1.860007	42.546395	7.571286	1.824917	-16.180159	0.430713	3.840974	-20.835299	-15.067893	2.644007	42.720182	9.391602	3.011232	-16.415587	2.474751	4.621992	-18.568488	-12.939474	1.783206	43.683647	6.215203	2.590831	-14.590686	1.122803	2.463786	-20.417121	-14.140706	2.542432	44.183806	7.874585	3.867302	-15.837562	0.931956	4.906970	-20.239895	-14.752133	2.449605	44.342652	6.355536	2.635286	-15.463333	0.885417	2.256408	-23.053707	-13.348404	3.321703	43.444766	8.599170	3.522884	-15.676313	-0.535696	1.440723	-23.752666	-14.177294	4.106831	43.103419	9.711579	4.810823	-13.216596	0.145734	2.317403	-21.924928	-14.644979	4.585739	42.789089	10.871205	5.240510	-15.053655	-0.283990	4.820283	-21.849246	-13.405151	2.402813	43.573062	7.408361	1.936661	-15.351972	2.081532	4.954279	-23.360292	-16.059213	5.738245	42.744654	11.533302	1.304970	-15.047494	0.450847	2.205806	-22.943388	-18.176787	5.560796	41.958202	13.239510	5.966092	-15.146504	1.412258	1.972902	-23.411082	-17.946920	3.787644	42.689211	9.692512	5.413134	-15.313286	3.263846	1.275224	-21.898397	-15.157934	1.661277	43.588596	7.037580	3.471520	-16.108468	2.509173	2.166245	-20.621939	-14.707135	3.327559	43.801062	7.414419	2.671557	-17.199606	1.367166	2.247773	-19.056649	-13.008233	0.943683	43.056146	5.334322	0.077322	-16.546864	-0.593080	2.000653	-19.871278	-13.146257	2.876711	44.660148	7.768198	3.440485	-16.769485	1.646913	0.416701	-21.893919	-14.669299	2.418130	42.847000	7.113522	2.413140	-16.148428	0.395810	2.148002	-22.891942	-14.911462	3.303600	43.446571	9.527100	3.401924	-14.667648	0.970758	5.612807	-20.016217	-18.043240	4.318290	43.822213	11.322744	2.871333	-16.224298	1.220535	2.178022	-21.442157	-16.333353	4.345579	44.794983	10.844393	3.899281	-17.562182	2.089209
	1.542083	-21.136893	-13.903247	4.420124	42.742555	10.097859	4.162106	-16.038851	0.761753	0.213931	-20.534283	-14.767674	3.685950	43.651720	9.212880	4.261500	-15.863596	0.188607	1.519700	-18.974974	-12.953796	1.514408	41.767585	7.063163	3.322893	-16.798720	0.219848	3.002537	-21.026150	-13.609660	2.935211	42.252012	9.839374	3.261126	-15.336966	0.114436	3.443969	-21.319628	-15.930686	4.119015	42.111588	12.160385	3.709529	-15.632638	1.442505	4.353889	-18.823398	-13.399111	2.936437	43.214302	8.417481	3.960814	-13.827019	1.124909	1.988723	-20.970292	-14.740060	3.807564	43.636450	10.211946	4.799667	-14.904496	0.336114	4.438036	-21.220441	-15.160605	3.525848	44.010947	8.376963	3.791602	-14.538244	1.098245	1.841413	-23.713705	-13.974284	4.460590	42.972340	10.888515	4.585023	-14.740074	-0.843470	0.940042	-24.282412	-14.909933	5.475343	42.479047	12.340555	5.387211	-12.091900	-0.790523	1.812735	-22.414749	-15.395858	5.883786	42.048527	13.438131	5.751845	-13.910405	-1.423398	4.357346	-22.503901	-14.078135	3.702648	43.121808	9.911575	2.820547	-14.523864	1.770616	4.419630	-23.734430	-16.687002	6.963902	42.148135	14.061250	1.761038	-14.302162	-0.340715	1.697098	-23.272508	-18.972120	6.875108	41.017706	16.105640	6.310420	-14.085158	0.080296	1.384884	-23.719364	-18.800844	5.287257	41.794988	12.509326	6.011247	-14.363618	2.116314	0.773785	-22.621288	-15.697247	2.821067	42.960905	9.378397	4.759656	-15.181079	2.237879	1.785249	-21.701891	-15.504305	4.797531	43.304290	9.913814	3.293049	-16.157508	0.787246	1.791423	-19.724018	-13.305848	1.870488	42.545831	7.166040	1.645049	-15.974435	0.094317	1.450987	-20.466772	-13.850095	4.214905	44.133529	10.234766	4.145697	-15.883196	1.024576	-0.050933	-22.829965	-15.229464	3.655755	42.336916	9.347885	3.600498	-15.125439	0.333675	1.498705	-23.287303	-15.622920	4.609566	42.788636	12.102546	4.118524	-13.756068	-0.021111	5.005764	-20.092028	-18.647413	5.598378	42.849293	13.942781	3.468828	-15.317003	0.191324	1.670174	-21.724012	-17.132909	5.774622	43.779333	13.711767	4.596359	-16.578798	1.131212
	0.948385	-21.374262	-14.757769	5.957710	42.050077	12.792958	4.780234	-15.326560	-0.350817	-0.270362	-21.200334	-15.571857	5.190618	43.063285	11.750730	5.178776	-15.124382	-0.532985	1.185552	-19.872501	-13.639211	2.751027	41.325645	9.373951	4.537900	-15.971560	-0.019864	2.594384	-21.597470	-14.288806	4.160691	41.814983	12.287344	4.314478	-14.489465	-0.726890	2.974093	-21.528304	-16.851967	5.654767	41.266408	15.011198	4.047643	-14.828760	-0.004012	4.038797	-18.922827	-14.008794	4.209992	42.593599	10.862380	4.957557	-13.074001	0.560030	1.472156	-21.280226	-15.454373	5.116110	42.835059	12.746681	5.314425	-13.865792	-0.786847	3.916657	-21.995505	-15.723460	4.674663	43.474493	10.664600	4.628661	-13.486524	0.771108	1.403070	-24.108996	-14.722074	5.655759	42.252222	13.426452	5.290091	-13.723810	-1.646550	0.394751	-24.586385	-15.686528	6.895033	41.773660	15.093220	5.621040	-11.063825	-2.165968	1.285685	-22.666140	-16.130778	7.154089	41.175221	16.040693	5.950137	-12.825239	-2.887348	3.825474	-22.950656	-14.900248	5.109671	42.488055	12.631802	3.390526	-13.651766	0.864316	3.826524	-23.856484	-17.406678	8.221919	41.303322	16.692317	1.975800	-13.520987	-1.576970	1.117700	-23.279531	-19.739958	8.135098	39.919604	18.946118	6.346249	-13.062099	-1.622388	0.793797	-23.868447	-19.661970	6.786928	40.826416	15.410160	6.266825	-13.428287	0.533585	0.238735	-23.156987	-16.346689	4.050675	42.287236	11.934170	5.644219	-14.210060	1.382773	1.420855	-22.610382	-16.389674	6.254582	42.590659	12.639523	3.625471	-14.975311	-0.275689	1.346609	-20.366495	-13.810167	2.921546	41.995009	9.328060	2.937183	-15.289714	0.224851	0.892791	-20.827311	-14.644015	5.565855	43.350509	12.901843	4.557945	-14.877281	-0.099721	-0.505385	-23.622810	-15.911603	4.948194	41.786703	11.832081	4.391060	-14.034664	-0.306937	0.802473	-23.473998	-16.414399	6.016992	42.004541	14.780046	4.513863	-12.898453	-1.437790	4.332043	-20.049661	-19.280618	6.913265	41.746236	16.561691	3.752611	-14.410216	-1.202861	1.131044	-21.798548	-17.999003	7.200434	42.499946	16.744076	4.943156	-15.467927	-0.305104
	0.356179	-21.411249	-15.640210	7.501916	41.173476	15.563399	5.032014	-14.619813	-1.887043	-0.733799	-21.717861	-16.465534	6.787053	42.357195	14.471886	5.666665	-14.405818	-1.702647	0.879673	-20.697774	-14.475931	4.104865	40.911382	11.927890	5.332751	-15.118218	-0.800552	2.091476	-21.766158	-15.068228	5.504897	41.190896	14.814335	4.935615	-13.735540	-2.025205	2.427565	-21.406979	-17.721098	7.151453	40.204208	17.799882	4.071358	-14.064540	-1.747826	3.657559	-18.803070	-14.720514	5.578271	41.822260	13.455798	5.519479	-12.410029	-0.524913	0.907500	-21.279165	-16.203197	6.399230	41.804837	15.369560	5.459949	-12.834194	-2.311349	3.331572	-22.443286	-16.413756	5.863466	42.704794	13.184009	5.087392	-12.395781	-0.139037	0.918335	-24.149947	-15.517791	6.855405	41.276491	16.132329	5.635056	-12.706351	-2.912098	-0.207716	-24.570907	-16.412939	8.307824	40.992874	17.822184	5.568354	-10.241003	-3.860152	0.726841	-22.619448	-16.763924	8.338554	40.233534	18.537828	5.918173	-11.913538	-4.558448	3.214122	-23.104926	-15.786489	6.578115	41.685579	15.442737	3.642132	-12.831122	-0.536973	3.164499	-23.669254	-18.122182	9.443434	40.248939	19.281752	1.995171	-12.783311	-3.124395	0.470605	-22.959083	-20.370564	9.281215	38.772548	21.595019	6.179928	-12.201638	-3.521681	0.205675	-23.793325	-20.425200	8.203532	39.836046	18.246365	6.242568	-12.607479	-1.343528	-0.348031	-23.389433	-17.041159	5.304605	41.537839	14.605802	6.090846	-13.279080	-0.013000	1.058753	-23.231705	-17.275330	7.620945	41.717150	15.465022	3.704342	-13.804193	-1.733361	0.906694	-20.909249	-14.498225	4.089152	41.412065	11.790173	3.873405	-14.526929	-0.276460	0.317356	-20.854811	-15.442434	6.863527	42.345519	15.642442	4.693360	-13.872388	-1.635376	-0.958382	-24.112666	-16.647843	6.242425	41.179696	14.491917	4.752748	-12.993276	-1.527650	0.065248	-23.376572	-17.189546	7.449584	41.111508	17.409343	4.620193	-12.185891	-3.149629	3.612715	-19.868201	-19.863741	8.205775	40.620476	19.033602	3.750324	-13.621091	-2.847730	0.546019	-21.575650	-18.818226	8.544809	41.043404	19.771118	4.981869	-14.375350	-2.093528
	-0.237237	-21.216250	-16.451566	8.962049	40.141805	18.280428	5.023919	-13.950698	-3.686300	-1.194809	-21.946652	-17.344947	8.383067	41.491945	17.267041	5.795507	-13.765083	-3.231210	0.576590	-21.297174	-15.375160	5.517528	40.467255	14.613127	5.731736	-14.326508	-2.045149	1.489924	-21.486246	-15.851205	6.887989	40.339495	17.311663	5.191404	-13.130718	-3.632113	1.829694	-20.999668	-18.447099	8.521547	39.003235	20.425719	3.908326	-13.367751	-3.637946	3.202156	-18.425775	-15.449446	6.985185	40.904469	16.068289	5.706698	-11.884565	-1.982127	0.295077	-20.926560	-16.892073	7.587866	40.590506	17.956094	5.337348	-11.911355	-4.088069	2.688611	-22.537920	-17.151522	7.044547	41.744278	15.813378	5.257192	-11.376838	-1.464571	0.374026	-23.830826	-16.269096	8.010921	40.105933	18.870926	5.724800	-11.774077	-4.482557	-0.859390	-24.236477	-17.008345	9.653205	40.151304	20.400102	5.361824	-9.647120	-5.702662	0.133439	-22.280754	-17.233105	9.405880	39.280249	20.828310	5.764265	-11.222640	-6.323427	2.527435	-22.929624	-16.629217	8.041630	40.745442	18.196924	3.646494	-12.142663	-2.249330	2.445006	-23.191780	-18.739021	10.569614	39.061271	21.710417	1.895024	-12.137723	-4.833403	-0.219846	-22.363105	-20.782487	10.274874	37.677433	23.937872	5.914763	-11.561088	-5.482646	-0.366962	-23.506884	-21.020909	9.484448	38.874301	20.906860	6.067285	-11.939657	-3.344302	-0.986354	-23.295785	-17.687734	6.521105	40.693424	17.255344	6.223801	-12.455253	-1.733551	0.678747	-23.532383	-18.073147	8.866160	40.776747	18.238212	3.631850	-12.781694	-3.414759	0.451192	-21.241147	-15.308780	5.350902	40.759822	14.478391	4.430024	-13.753744	-1.363761	-0.279370	-20.545240	-16.159863	8.065527	41.200051	18.316221	4.644610	-12.970782	-3.407298	-1.430600	-24.230279	-17.343024	7.481734	40.489484	17.180882	4.812699	-12.090838	-3.126594	-0.691904	-23.006623	-17.861117	8.821035	40.138648	19.885157	4.551773	-11.632602	-4.999052	2.887084	-19.580281	-20.334723	9.424219	39.561807	21.279638	3.580760	-12.992012	-4.592618	-0.076980	-21.072386	-19.493341	9.767915	39.545538	22.635818	4.832669	-13.421410	-4.045269
	-0.827373	-20.751248	-17.080848	10.227174	38.969629	20.811451	4.830547	-13.335127	-5.647092	-1.672341	-21.788189	-18.097176	9.863207	40.424881	20.015248	5.689962	-13.214907	-5.005743	0.240774	-21.498133	-16.230058	6.903829	39.886111	17.307685	5.788550	-13.666189	-3.662066	0.784927	-20.678234	-16.518978	8.194763	39.195258	19.663363	5.137231	-12.706226	-5.448980	1.204647	-20.296299	-18.904405	9.643888	37.725923	22.750250	3.634176	-12.768617	-5.586351	2.662662	-17.725268	-16.091385	8.342123	39.813778	18.561182	5.570977	-11.540337	-3.714210	-0.355377	-20.198688	-17.421282	8.612661	39.242507	20.374710	5.048170	-11.169618	-5.993594	1.977080	-22.153448	-17.845784	8.158650	40.577917	18.433615	5.174014	-10.548607	-3.141376	-0.255213	-23.053598	-16.852993	9.055249	38.754835	21.484542	5.610968	-11.030238	-6.272920	-1.551820	-23.526539	-17.356230	10.835524	39.253078	22.664970	5.090911	-9.326000	-7.591606	-0.499610	-21.634223	-17.458710	10.308404	38.351437	22.796001	5.561445	-10.790340	-8.108601	1.768497	-22.359281	-17.303537	9.412485	39.671890	20.736583	3.460166	-11.648268	-4.150091	1.690729	-22.444157	-19.155369	11.530937	37.814926	23.853465	1.723883	-11.614705	-6.612718	-0.915866	-21.562262	-20.915402	11.078547	36.717769	25.887887	5.623997	-11.151743	-7.415685	-0.894667	-22.998532	-21.346599	10.545207	38.001782	23.245229	5.813579	-11.460621	-5.368955	-1.678309	-22.781652	-18.166667	7.613308	39.710196	19.735050	6.093916	-11.806089	-3.670571	0.253267	-23.400181	-18.669323	9.941352	39.818936	20.789070	3.471118	-12.043098	-5.234172	-0.051125	-21.207306	-16.150519	6.656940	39.955741	17.288912	4.617434	-13.051360	-2.949927	-0.900569	-19.830644	-16.685605	9.101942	39.955712	20.761147	4.460830	-12.267043	-5.322472	-1.950459	-23.826734	-17.878673	8.582255	39.653873	19.740390	4.631375	-11.419614	-5.001255	-1.441439	-22.325031	-18.313477	10.018388	39.099460	22.078707	4.378080	-11.261389	-6.900033	2.197196	-19.203981	-20.608387	10.489976	38.655114	23.178038	3.306502	-12.560836	-6.356376	-0.716006	-20.292682	-19.894437	10.805138	38.145828	25.147142	4.561793	-12.715201	-6.042661
	-1.404527	-20.099329	-17.496760	11.266352	37.735258	23.099999	4.569300	-12.757901	-7.642278	-2.175238	-21.235388	-18.628329	11.120751	39.159925	22.599233	5.491385	-12.726182	-6.901341	-0.155617	-21.261523	-16.941196	8.174796	39.105707	19.882766	5.648716	-13.145968	-5.476416	0.024799	-19.487291	-16.997082	9.332636	37.840455	21.808207	4.933475	-12.406808	-7.330756	0.591504	-19.428677	-19.099011	10.520558	36.479841	24.769108	3.348942	-12.250151	-7.502986	2.070781	-16.781029	-16.574870	9.563750	38.606028	20.844661	5.274025	-11.340113	-5.550971	-1.013001	-19.195044	-17.742090	9.452280	37.852347	22.546323	4.712480	-10.602398	-7.906376	1.216846	-21.357242	-18.408853	9.165847	39.269517	20.918855	4.965119	-9.932195	-4.990833	-0.947287	-21.938450	-17.219002	9.966029	37.315405	23.872549	5.418177	-10.466955	-8.126357	-2.250125	-22.576648	-17.462369	11.831198	38.343459	24.604894	4.841888	-9.182227	-9.437995	-1.159979	-20.783524	-17.454912	11.051776	37.462284	24.448350	5.371404	-10.541117	-9.854054	0.978917	-21.495132	-17.754254	10.630372	38.525103	23.000039	3.194712	-11.306738	-6.094387	0.946479	-21.564605	-19.358208	12.322681	36.616136	25.703720	1.537263	-11.186004	-8.379729	-1.578233	-20.676118	-20.799443	11.701328	35.919721	27.476364	5.355019	-10.901673	-9.270421	-1.368587	-22.370454	-21.432605	11.408630	37.238432	25.267999	5.554467	-11.104523	-7.340932	-2.391416	-21.933847	-18.423236	8.536518	38.615840	21.966036	5.838827	-11.308766	-5.665544	-0.218550	-22.926716	-19.050198	10.871498	38.874345	23.062884	3.301264	-11.551485	-7.079358	-0.617584	-20.755751	-16.909194	7.921621	38.954120	20.068481	4.563217	-12.462081	-4.822259	-1.527989	-18.846880	-17.002828	9.972708	38.697745	22.928813	4.234367	-11.735400	-7.256074	-2.518767	-22.981990	-18.196930	9.505444	38.678139	22.059801	4.350420	-10.946526	-6.969885	-2.153820	-21.440713	-18.536818	11.010161	38.045154	23.995481	4.191247	-11.006488	-8.773483	1.570566	-18.798937	-20.681463	11.377357	37.917545	24.745286	3.010948	-12.266737	-8.075987	-1.327589	-19.394196	-20.032781	11.673812	36.936888	27.294381	4.265243	-12.216465	-7.987605
