Time	Hip_Z_1	Hip_X_1	Hip_Y_1	Knee_Z_1	Knee_X_1	Knee_Y_1	Ankle_Z_1	Ankle_X_1	Ankle_Y_1	Hip_Z_2	Hip_X_2	Hip_Y_2	Knee_Z_2	Knee_X_2	Knee_Y_2	Ankle_Z_2	Ankle_X_2	Ankle_Y_2	Hip_Z_3	Hip_X_3	Hip_Y_3	Knee_Z_3	Knee_X_3	Knee_Y_3	Ankle_Z_3	Ankle_X_3	Ankle_Y_3	Hip_Z_4	Hip_X_4	Hip_Y_4	Knee_Z_4	Knee_X_4	Knee_Y_4	Ankle_Z_4	Ankle_X_4	Ankle_Y_4	Hip_Z_5	Hip_X_5	Hip_Y_5	Knee_Z_5	Knee_X_5	Knee_Y_5	Ankle_Z_5	Ankle_X_5	Ankle_Y_5	Hip_Z_6	Hip_X_6	Hip_Y_6	Knee_Z_6	Knee_X_6	Knee_Y_6	Ankle_Z_6	Ankle_X_6	Ankle_Y_6	Hip_Z_7	Hip_X_7	Hip_Y_7	Knee_Z_7	Knee_X_7	Knee_Y_7	Ankle_Z_7	Ankle_X_7	Ankle_Y_7	Hip_Z_8	Hip_X_8	Hip_Y_8	Knee_Z_8	Knee_X_8	Knee_Y_8	Ankle_Z_8	Ankle_X_8	Ankle_Y_8	Hip_Z_9	Hip_X_9	Hip_Y_9	Knee_Z_9	Knee_X_9	Knee_Y_9	Ankle_Z_9	Ankle_X_9	Ankle_Y_9	Hip_Z_10	Hip_X_10	Hip_Y_10	Knee_Z_10	Knee_X_10	Knee_Y_10	Ankle_Z_10	Ankle_X_10	Ankle_Y_10	Hip_Z_11	Hip_X_11	Hip_Y_11	Knee_Z_11	Knee_X_11	Knee_Y_11	Ankle_Z_11	Ankle_X_11	Ankle_Y_11	Hip_Z_12	Hip_X_12	Hip_Y_12	Knee_Z_12	Knee_X_12	Knee_Y_12	Ankle_Z_12	Ankle_X_12	Ankle_Y_12	Hip_Z_13	Hip_X_13	Hip_Y_13	Knee_Z_13	Knee_X_13	Knee_Y_13	Ankle_Z_13	Ankle_X_13	Ankle_Y_13	Hip_Z_14	Hip_X_14	Hip_Y_14	Knee_Z_14	Knee_X_14	Knee_Y_14	Ankle_Z_14	Ankle_X_14	Ankle_Y_14	Hip_Z_15	Hip_X_15	Hip_Y_15	Knee_Z_15	Knee_X_15	Knee_Y_15	Ankle_Z_15	Ankle_X_15	Ankle_Y_15	Hip_Z_16	Hip_X_16	Hip_Y_16	Knee_Z_16	Knee_X_16	Knee_Y_16	Ankle_Z_16	Ankle_X_16	Ankle_Y_16	Hip_Z_17	Hip_X_17	Hip_Y_17	Knee_Z_17	Knee_X_17	Knee_Y_17	Ankle_Z_17	Ankle_X_17	Ankle_Y_17	Hip_Z_18	Hip_X_18	Hip_Y_18	Knee_Z_18	Knee_X_18	Knee_Y_18	Ankle_Z_18	Ankle_X_18	Ankle_Y_18	Hip_Z_19	Hip_X_19	Hip_Y_19	Knee_Z_19	Knee_X_19	Knee_Y_19	Ankle_Z_19	Ankle_X_19	Ankle_Y_19	Hip_Z_20	Hip_X_20	Hip_Y_20	Knee_Z_20	Knee_X_20	Knee_Y_20	Ankle_Z_20	Ankle_X_20	Ankle_Y_20
0	-25.938851	2.337377	-13.08537	7.219256	4.633504	19.646134	-3.700168	-5.276893	-9.734091	-25.647358	3.990543	-8.708622	8.247665	4.820103	16.33758	-3.633728	-4.441036	-8.513844	-25.478401	3.621271	-8.244321	8.887108	5.259927	17.608588	-5.143343	-6.762122	-9.838563	-25.99318	3.355608	-13.351355	8.338224	4.948647	17.619708	-3.23483	-4.811169	-8.879661	-26.775913	2.745363	-12.405513	8.141209	4.5746	18.466912	-4.807302	-6.080658	-9.936706	-27.700879	3.043907	-11.741987	10.486505	4.838522	18.74848	-2.825557	-2.485143	-8.462894	-25.071811	2.693958	-8.449137	8.909159	4.74038	19.468429	-4.597426	-6.224512	-11.19248	-26.433438	3.434742	-9.49293	9.030698	5.114121	18.068439	-4.550788	-5.428654	-9.118804	-25.329385	3.88973	-9.724724	8.122283	4.829408	19.250088	-5.215729	-6.331644	-9.801883	-26.972107	3.203788	-9.726988	9.805176	5.113529	17.731065	-4.300547	-6.322966	-9.964826	-25.235873	2.12361	-9.916941	7.823571	4.751772	20.52975	-5.227567	-6.285173	-10.444442	-26.331	4.303116	-12.250651	9.275416	5.014377	18.068701	-2.155231	-3.577185	-8.245904	-26.340773	2.544676	-13.014122	8.445793	4.314844	18.453894	-0.196396	-2.631875	-8.435348	-26.833069	2.583957	-8.884864	8.137509	4.467818	18.400085	-4.423607	-5.103404	-9.700971	-24.111317	2.949865	-11.95299	8.616742	4.943203	18.709458	-4.839779	-6.98046	-10.543955	-26.626963	1.898024	-13.806394	9.0002	4.962971	19.514056	-4.093074	-4.043003	-8.845706	-23.166622	1.612068	-12.58796	5.369072	3.7648	18.243367	-1.860674	-3.81283	-8.238744	-24.020014	3.122068	-10.207163	8.725809	4.769613	18.565825	-5.751132	-5.459142	-9.254745	-26.713219	3.95218	-9.438971	9.914853	5.163864	19.173867	-3.656214	-5.104024	-9.576143	-26.789266	2.644538	-12.63506	11.374752	5.038859	18.571676	-2.526056	-4.04485	-9.562535
1	-25.586592	1.977432	-14.484397	8.621179	4.864086	19.853635	-2.10956	-3.681022	-8.868547	-25.341152	3.900245	-10.63211	9.547667	5.16516	17.364856	-2.401404	-3.508331	-8.107185	-25.049978	3.552711	-10.082119	10.065711	5.540851	18.464201	-3.778753	-5.675316	-9.069748	-25.78831	3.155128	-15.011432	9.918491	5.230903	18.457497	-1.902251	-3.578378	-8.426463	-26.448036	2.662001	-14.183339	9.460497	4.732398	19.532276	-3.406323	-4.59892	-9.31666	-27.304497	2.63967	-13.300982	11.675631	5.077736	19.052722	-1.304327	-0.265226	-7.405474	-24.782592	2.4173	-10.245115	10.063995	5.081945	20.230303	-3.651839	-4.648789	-10.516229	-26.012643	3.341588	-11.344799	10.146736	5.318225	18.846765	-3.138963	-4.235554	-8.3977	-24.969848	3.400191	-11.058117	8.979404	5.141028	20.019867	-4.120951	-5.421653	-9.548789	-26.519475	3.111348	-11.156773	10.695416	5.363599	18.761434	-3.051245	-5.214686	-9.386339	-24.870068	2.022672	-11.410591	8.934087	4.999356	21.195218	-4.139638	-5.075005	-9.83405	-26.039203	4.184162	-13.892726	10.86749	5.250684	18.6827	-0.831326	-2.34907	-7.470049	-26.216747	2.280399	-14.748737	10.574146	4.624904	18.910965	0.953136	-1.02953	-7.447581	-26.593905	2.547487	-10.608079	9.332246	4.773666	19.457152	-3.148018	-3.497445	-9.032421	-23.84393	2.754958	-13.284951	9.950539	5.090078	19.208643	-3.445251	-5.734803	-9.845012	-26.390767	1.595357	-15.084268	10.092879	5.181795	20.046562	-2.548936	-2.449487	-8.202901	-23.192491	1.518003	-14.400545	7.449679	4.069203	19.000768	-0.659096	-2.366769	-7.494297	-23.662834	2.805222	-11.771816	9.795815	5.100479	19.53453	-4.582956	-4.398528	-8.696633	-26.292384	3.61377	-10.91467	10.974241	5.358249	20.073108	-2.203253	-3.677362	-8.945647	-26.487895	2.338501	-14.095296	12.837607	5.201492	19.022149	-1.170423	-2.232447	-8.731439
2	-25.351659	1.566245	-15.731326	10.460125	4.999265	19.476101	-0.554038	-1.802859	-7.594022	-25.143154	3.721471	-12.496771	11.261576	5.467125	17.968419	-1.146501	-2.340884	-7.391961	-24.702147	3.364842	-11.895903	11.658621	5.763538	18.781568	-2.326188	-4.311101	-7.924734	-25.744518	2.858753	-16.513588	11.983218	5.462351	18.738664	-0.721804	-2.132003	-7.613989	-26.229154	2.441809	-15.787113	11.190599	4.837882	20.020564	-1.926172	-2.766018	-8.335108	-27.06596	2.139294	-14.7302	13.403445	5.274669	18.923988	-0.071969	2.082573	-6.074353	-24.573906	2.040182	-11.962602	11.542797	5.351086	20.448355	-2.61809	-2.791814	-9.417636	-25.671546	3.145148	-13.083351	11.700267	5.434011	19.189017	-1.642157	-2.777546	-7.395112	-24.688641	2.840794	-12.343295	10.148341	5.393633	20.257711	-2.748261	-4.12082	-8.94224	-26.17028	2.932148	-12.553258	12.012505	5.578174	19.468512	-1.677523	-3.808136	-8.623522	-24.524636	1.821504	-12.789333	10.321392	5.172379	21.348075	-2.763182	-3.47108	-8.832863	-25.90188	3.92761	-15.35241	12.938018	5.437951	18.780225	0.247249	-1.015624	-6.450012	-26.248559	1.881517	-16.292978	13.228032	4.867265	18.800037	1.596175	0.584438	-6.137454	-26.449033	2.417372	-12.339479	10.973612	5.075294	20.090693	-1.814349	-1.667409	-8.04713	-23.69518	2.474206	-14.545354	11.674561	5.14989	19.28432	-1.974227	-4.152767	-8.804156	-26.217459	1.191573	-16.247046	11.634912	5.387564	19.998543	-1.086997	-0.598848	-7.212128	-23.380477	1.338981	-16.06958	9.992989	4.314284	19.374854	0.382814	-0.743949	-6.467871	-23.444095	2.400986	-13.266491	11.271762	5.397843	20.086059	-3.266916	-3.069386	-7.877374	-26.00031	3.141944	-12.348091	12.527077	5.533569	20.436404	-0.895721	-2.019657	-8.012118	-26.358852	1.909162	-15.384487	14.828596	5.313896	18.918163	-0.115896	-0.26747	-7.549437
3	-25.259621	1.06701	-16.752245	12.778777	4.988	18.471966	0.599502	0.181887	-5.913842	-25.081837	3.407382	-14.183296	13.444485	5.67869	17.976029	-0.195215	-1.035058	-6.294212	-24.475365	3.019843	-13.585267	13.711579	5.87828	18.43766	-1.11183	-2.778886	-6.347125	-25.876909	2.418808	-17.76433	14.561468	5.593768	18.318364	-0.038197	-0.620047	-6.370394	-26.142711	2.027313	-17.119343	13.360326	4.845368	19.75311	-0.689767	-0.705492	-6.921399	-27.009019	1.497359	-15.916236	15.693979	5.391818	18.224413	0.577104	4.325847	-4.400803	-24.443711	1.515342	-13.530701	13.371031	5.502723	19.941002	-1.764427	-0.806779	-7.774876	-25.438141	2.796407	-14.598155	13.744468	5.431536	18.981582	-0.408433	-1.160545	-6.094789	-24.486216	2.178455	-13.532008	11.694196	5.539724	19.796212	-1.382789	-2.488026	-7.858992	-25.934442	2.624015	-13.811521	13.805269	5.72303	19.647962	-0.486141	-2.188804	-7.601024	-24.212604	1.470301	-14.005605	12.018904	5.24057	20.855927	-1.371349	-1.554969	-7.391625	-25.94987	3.484019	-16.529364	15.513584	5.544049	18.272919	0.756886	0.284578	-5.167182	-26.432932	1.286749	-17.485142	16.346511	4.975934	18.006985	1.543596	2.058159	-4.47453	-26.396034	2.143903	-13.977737	13.068831	5.320807	20.096901	-0.733872	0.216117	-6.657131	-23.691124	2.061008	-15.689249	13.828419	5.093993	18.831914	-0.781842	-2.337644	-7.394442	-26.120601	0.638547	-17.223237	13.674807	5.539366	19.22405	-0.061362	1.307565	-5.775852	-23.715702	1.030899	-17.46695	12.971212	4.470213	19.245412	0.970697	0.896845	-5.165384	-23.391477	1.86857	-14.60122	13.201237	5.617332	20.045961	-2.115466	-1.572408	-6.741671	-25.871256	2.50049	-13.650088	14.646857	5.638893	20.078943	-0.075473	-0.299025	-6.667698	-26.392642	1.316511	-16.411696	17.315456	5.337725	18.153175	0.360262	1.649436	-5.95678
4	-25.305499	0.437426	-17.488207	15.532593	4.817203	16.979715	1.065129	2.045857	-3.945816	-25.165838	2.924237	-15.583846	16.074923	5.765562	17.371804	0.153276	0.246952	-4.8284	-24.405978	2.498085	-15.05212	16.221132	5.83854	17.476323	-0.477762	-1.248164	-4.372813	-26.153685	1.794566	-18.697802	17.566483	5.586131	17.239475	-0.056981	0.779423	-4.727829	-26.193389	1.378706	-18.111655	15.925427	4.723744	18.747892	0.003697	1.368364	-5.110659	-27.099677	0.678588	-16.764707	18.431336	5.394871	16.972543	0.525052	6.25655	-2.415999	-24.387528	0.812991	-14.913549	15.513312	5.525679	18.760511	-1.351029	1.069551	-5.632762	-25.335529	2.253473	-15.798955	16.259021	5.308093	18.255925	0.220399	0.443024	-4.552765	-24.372147	1.38928	-14.601393	13.644574	5.555759	18.67201	-0.418282	-0.729988	-6.296131	-25.808177	2.146611	-14.843852	16.072626	5.771146	19.198772	0.165571	-0.538043	-6.261884	-23.974671	0.921513	-15.022498	14.064325	5.192472	19.725731	-0.373841	0.442921	-5.543959	-26.162218	2.818965	-17.351719	18.498581	5.552047	17.234206	0.547143	1.4174	-3.678852	-26.699647	0.46247	-18.21557	19.723485	4.917536	16.618184	0.832366	3.278083	-2.552276	-26.436403	1.667998	-15.410992	15.583117	5.456871	19.375783	-0.209628	1.948047	-4.826779	-23.831255	1.465452	-16.659394	16.381848	4.916253	17.856656	-0.181756	-0.484277	-5.648473	-26.101255	-0.089253	-17.969847	16.169066	5.592656	17.786866	0.271604	3.026669	-3.906265	-24.153249	0.527212	-18.453019	16.293409	4.533853	18.566322	0.894524	2.369761	-3.651086	-23.514288	1.169575	-15.688539	15.577285	5.720684	19.369624	-1.473964	-0.085865	-5.297753	-25.904857	1.678913	-14.728677	17.272758	5.619717	19.028775	0.067581	1.291039	-4.917736	-26.547935	0.522074	-17.110612	20.183638	5.240236	16.761073	0.117004	3.315579	-3.973139
5	-25.457396	-0.349766	-17.902619	18.627106	4.515161	15.187767	0.781075	3.641943	-1.846239	-25.377456	2.261548	-16.634979	19.075067	5.718507	16.261203	-0.18393	1.386554	-3.083795	-24.482654	1.810358	-16.248083	19.091474	5.642999	16.11005	-0.514063	0.160086	-2.153866	-26.515562	0.966142	-19.275791	20.858442	5.423285	15.643323	-0.757707	1.969991	-2.792406	-26.360981	0.484623	-18.725999	18.807046	4.475283	17.151929	0.044848	3.282503	-3.010039	-27.266264	-0.330708	-17.224278	21.444841	5.273398	15.294995	-0.167821	7.784308	-0.242914	-24.402129	-0.079731	-16.081841	17.927286	5.432998	17.071292	-1.49531	2.673059	-3.1303	-25.35595	1.502404	-16.639588	19.147982	5.090752	17.143359	0.153217	1.907579	-2.869632	-24.363435	0.457627	-15.532476	16.006015	5.441922	17.034298	-0.08854	0.963194	-4.329411	-25.767613	1.487543	-15.614794	18.720736	5.718001	18.203419	0.163273	0.991264	-4.635958	-23.845266	0.167809	-15.829942	16.444597	5.05429	18.146138	0.00582	2.301024	-3.421274	-26.474596	1.917621	-17.778979	21.738867	5.469206	15.80276	-0.325127	2.32236	-2.094185	-26.959576	-0.600673	-18.440657	23.157287	4.704986	14.790225	-0.425221	4.197301	-0.514194	-26.551558	0.975049	-16.567783	18.399524	5.465259	18.05646	-0.302421	3.415916	-2.658633	-24.079452	0.662505	-17.408682	19.238953	4.639714	16.459783	-0.235968	1.247713	-3.651652	-26.144161	-0.990476	-18.455123	19.01613	5.523967	15.878434	-0.118256	4.422581	-1.73201	-24.629041	-0.213174	-18.963808	19.824731	4.533351	17.402768	0.177271	3.573785	-2.034674	-23.783149	0.290669	-16.473841	18.324181	5.698876	18.160781	-1.468865	1.25525	-3.619681	-26.068906	0.671092	-15.498106	20.290129	5.444162	17.417064	-0.476582	2.638064	-2.863538	-26.748166	-0.472077	-17.480888	23.246399	5.029714	14.949893	-0.73086	4.654128	-1.763442
6	-25.655971	-1.339895	-17.903866	21.943159	4.13119	13.282055	-0.295645	4.818836	0.174047	-25.674725	1.387977	-17.218728	22.34616	5.523629	14.749373	-1.250402	2.271999	-1.186707	-24.680758	0.927243	-17.05227	22.23918	5.297864	14.525601	-1.299776	1.328761	0.116592	-26.870872	-0.106552	-19.407232	24.266196	5.087937	13.663652	-2.099766	2.864233	-0.707732	-26.598231	-0.691722	-18.857102	21.917274	4.125004	15.121696	-0.66227	4.846836	-0.789542	-27.402129	-1.553814	-17.208451	24.530974	5.028493	13.345327	-1.44827	8.816383	1.931794	-24.472203	-1.177876	-16.950948	20.562477	5.251534	15.097675	-2.259028	3.868792	-0.510168	-25.479736	0.478617	-16.961504	22.327994	4.8116	15.705696	-0.70476	3.092989	-1.171981	-24.474206	-0.634763	-16.258084	18.77135	5.213928	15.110877	-0.550526	2.396704	-2.12845	-25.783345	0.597677	-16.022214	21.672116	5.550375	16.715452	-0.580254	2.247411	-2.783487	-23.867528	-0.830166	-16.351153	19.176205	4.867491	16.309163	-0.430666	3.792514	-1.19867	-26.77684	0.731095	-17.6993	25.031103	5.308785	14.082551	-1.784082	2.953908	-0.557389	-27.098298	-1.898026	-18.130629	26.40793	4.394196	12.732883	-2.102593	4.791887	1.430829	-26.709754	0.02384	-17.321133	21.415416	5.332361	16.264199	-1.065918	4.507937	-0.301881	-24.376892	-0.422963	-17.808512	22.305831	4.298144	14.704828	-1.018553	2.680009	-1.516348	-26.213744	-2.075518	-18.584971	22.085394	5.317954	13.726724	-1.234859	5.376203	0.524215	-25.057624	-1.271455	-18.85516	23.42687	4.5021	15.767848	-1.17024	4.406983	-0.449987	-24.155179	-0.82226	-16.810371	21.384987	5.537632	16.482548	-2.234462	2.301772	-1.812616	-26.28724	-0.548634	-15.827026	23.525236	5.113937	15.423582	-1.66318	3.649846	-0.709499	-26.901871	-1.686388	-17.463539	26.326898	4.727168	12.906503	-2.103284	5.594747	0.46233
7	-25.802722	-2.49801	-17.539871	25.254377	3.749113	11.442765	-1.90541	5.613503	1.938909	-25.956992	0.334463	-17.366281	25.667916	5.228764	13.046153	-2.809261	2.920288	0.680732	-24.901288	-0.137925	-17.433936	25.457474	4.893471	12.931263	-2.625454	2.236476	2.199324	-27.117647	-1.372789	-19.158086	27.568645	4.65174	11.56037	-3.82913	3.500538	1.315888	-26.807957	-2.091809	-18.549933	25.062865	3.765762	12.947158	-1.913771	6.034492	1.294887	-27.413905	-2.918991	-16.820317	27.468542	4.728404	11.379173	-3.081949	9.451454	3.915647	-24.547918	-2.436224	-17.489652	23.286502	5.039991	13.105059	-3.484968	4.699721	1.940601	-25.610951	-0.794234	-16.770434	25.570751	4.537737	14.065042	-2.100506	3.995655	0.399492	-24.654257	-1.857425	-16.734915	21.785437	4.930907	13.168826	-1.6509	3.513312	0.03926	-25.781944	-0.510271	-16.042619	24.723716	5.302606	14.93782	-1.859955	3.203826	-0.890341	-24.002585	-2.041924	-16.550458	22.122155	4.695025	14.448137	-1.52886	4.861667	0.878931	-26.945828	-0.688441	-17.17082	28.141366	5.11544	12.234845	-3.566333	3.378695	0.823775	-27.053143	-3.330985	-17.435661	29.319392	4.08082	10.705489	-3.987619	5.146753	3.120104	-26.835885	-1.161781	-17.632728	24.438754	5.119318	14.290669	-2.343188	5.234831	1.955166	-24.615733	-1.76023	-17.838341	25.380542	3.974936	12.797587	-2.300204	3.783389	0.53511	-26.240748	-3.287379	-18.386952	25.142103	5.031459	11.617948	-2.821051	5.967528	2.605425	-25.342588	-2.612746	-18.183538	26.901376	4.487586	13.839272	-2.912249	4.921599	0.962231	-24.516619	-2.141457	-16.70328	24.550139	5.296718	14.564361	-3.555592	3.056944	-0.073339	-26.450701	-1.949307	-15.715814	26.736378	4.720702	13.300649	-3.260001	4.365662	1.297877	-26.914191	-3.067606	-17.100463	29.220864	4.408466	10.898511	-3.788745	6.19417	2.455215
8	-25.785656	-3.785077	-16.828387	28.31771	3.437442	9.817838	-3.886734	6.031237	3.285318	-26.106127	-0.895566	-17.044497	28.811298	4.88485	11.292088	-4.719061	3.330254	2.349591	-25.045048	-1.379669	-17.355895	28.554715	4.522534	11.437662	-4.333521	2.871919	3.914682	-27.143575	-2.792646	-18.551337	30.533311	4.198531	9.565243	-5.789347	3.887867	3.067786	-26.877777	-3.675122	-17.790759	28.031856	3.492513	10.844229	-3.584123	6.807573	2.992117	-27.216832	-4.345018	-16.143013	30.041003	4.444773	9.644674	-4.932385	9.72256	5.513198	-24.552006	-3.824974	-17.599388	25.927292	4.862138	11.321476	-5.082587	5.167553	3.911566	-25.643438	-2.319361	-16.01127	28.662839	4.322414	12.253114	-3.886719	4.600553	1.732328	-24.818687	-3.198338	-16.850057	24.874507	4.646349	11.398872	-3.308982	4.251815	1.907812	-25.6834	-1.830841	-15.639827	27.694925	5.009918	13.0002	-3.529636	3.861135	0.89655	-24.181103	-3.446875	-16.373297	25.127125	4.571318	12.669219	-3.147129	5.50371	2.645314	-26.849528	-2.293564	-16.216536	30.820587	4.93579	10.403394	-5.512368	3.619134	1.933496	-26.747159	-4.784548	-16.483413	31.68718	3.845718	8.96691	-5.938512	5.303206	4.385964	-26.853582	-2.539432	-17.507248	27.297999	4.903985	12.364623	-3.980637	5.645097	3.886103	-24.683923	-3.329933	-17.445824	28.275219	3.751219	10.898152	-3.956711	4.527782	2.28649	-26.136091	-4.570768	-17.874835	27.938948	4.718596	9.790352	-4.721104	6.23834	4.294068	-25.39192	-4.182136	-17.007575	30.066524	4.520225	11.768757	-4.888363	5.167394	2.097875	-24.750406	-3.656008	-16.111743	27.623896	5.03578	12.554758	-5.305939	3.516716	1.414653	-26.428206	-3.509148	-15.112833	29.665415	4.378969	11.250177	-5.122254	4.7854	2.893745	-26.726866	-4.538433	-16.468084	31.777934	4.141229	9.127828	-5.631072	6.522649	4.061982
9	-25.53476	-5.082246	-15.934939	30.932277	3.220559	8.495143	-5.991749	6.188015	4.220432	-26.028059	-2.222787	-16.374864	31.560115	4.58604	9.666248	-6.750579	3.560637	3.689521	-25.00012	-2.746023	-16.847933	31.296913	4.278761	10.127322	-6.225255	3.259446	5.14186	-26.900375	-4.245347	-17.745923	33.001033	3.824755	7.903542	-7.780435	4.106198	4.425238	-26.725042	-5.304181	-16.736789	30.623753	3.347581	8.98988	-5.439087	7.26125	4.217724	-26.804373	-5.693325	-15.38928	32.128254	4.227207	8.332579	-6.823143	9.758047	6.672065	-24.417856	-5.239392	-17.362762	28.301144	4.760113	9.868934	-6.83825	5.396533	5.314418	-25.468678	-4.006856	-14.777499	31.371688	4.195714	10.351174	-5.840373	4.957983	2.772413	-24.861721	-4.58229	-16.638444	27.785041	4.403051	9.880026	-5.241421	4.713302	3.371553	-25.391989	-3.306851	-14.843771	30.357125	4.735114	11.088329	-5.406496	4.253484	2.412545	-24.286729	-4.973321	-15.831003	27.948295	4.510526	11.055985	-5.074454	5.774096	3.992248	-26.443653	-3.930292	-15.035802	32.931837	4.817447	8.783258	-7.446104	3.734403	2.725307	-26.216565	-6.110158	-15.532093	33.503895	3.703888	7.655642	-7.824203	5.355367	5.266729	-26.662604	-4.028281	-16.984365	29.770308	4.7677	10.723157	-5.816362	5.793835	5.286535	-24.490471	-5.01199	-16.704856	30.800573	3.670927	9.193246	-5.792754	4.97689	3.598417	-25.842542	-5.815236	-17.205622	30.273897	4.43787	8.399027	-6.70766	6.315097	5.528674	-25.126785	-5.835965	-15.505817	32.729456	4.611171	9.788607	-6.924964	5.223119	2.890225	-24.741824	-5.275345	-15.121645	30.380027	4.824426	10.633833	-7.267431	3.745626	2.524519	-26.163591	-5.107125	-14.18742	32.164251	4.169082	9.43123	-7.046887	5.010704	4.014469	-26.288785	-5.976613	-15.691584	33.821361	3.975126	7.813501	-7.488139	6.649715	5.167434
