hip_X	hip_Y	hip_Z	knee_X	knee_Y	knee_Z	ankle_X	ankle_Y	ankle_Z
	-0.885959	-6.114386	-15.819053	11.176617	23.229044	13.744414	-4.971165	-20.650724	-3.867807
	-1.182127	-6.672344	-16.269427	11.559327	22.370776	16.374626	-2.823150	-19.711164	-3.662496
	-1.557765	-7.073358	-16.982395	11.959509	21.407029	19.329861	-0.752245	-18.694000	-3.744591
	-2.129034	-7.446256	-17.932506	12.379873	20.316072	22.543770	1.329504	-17.497492	-4.194613
	-2.754413	-7.893420	-19.052763	12.918340	19.230628	26.066675	2.680798	-16.220580	-5.265759
	-3.424790	-8.211778	-20.180758	13.531467	17.978261	29.718827	3.792282	-14.868143	-6.896976
	-4.072147	-8.367166	-21.240769	14.133686	16.840468	33.225694	4.455074	-13.617550	-8.760332
	-4.678685	-8.316430	-22.100490	14.507472	15.749641	36.411235	4.924232	-12.604566	-10.729408
	-5.219616	-8.041505	-22.641431	14.851903	14.643489	39.186744	5.135764	-11.534728	-12.692813
	-5.620208	-7.535176	-22.882454	14.927522	13.637188	41.561926	5.252093	-10.805157	-14.500562
	-5.884454	-6.883436	-22.813869	14.788113	12.811260	43.271368	5.270589	-10.082678	-16.163199
	-6.023607	-6.075361	-22.286914	14.542206	12.160062	44.384539	5.337476	-9.516647	-17.767360
	-6.033633	-5.209204	-21.524449	14.238111	11.909500	44.868117	5.400059	-9.064991	-19.191438
	-5.989759	-4.401748	-20.370674	13.928081	11.846411	44.812237	5.400468	-8.913688	-20.484366
	-5.962160	-3.538037	-18.972231	13.745333	11.969441	44.383226	5.425719	-8.892526	-21.609549
	-5.957926	-2.790310	-17.390389	13.665980	12.307010	43.565565	5.351296	-9.058840	-22.492233
	-5.992731	-2.214572	-15.723430	13.740414	12.667564	42.521598	5.180297	-9.424387	-23.201032
	-6.092147	-1.636618	-13.990067	13.824249	13.220185	41.223539	4.857451	-9.800420	-23.745435
	-6.258280	-1.274722	-12.177471	13.991350	14.001287	39.828346	4.362235	-10.262057	-24.067930
	-6.385269	-0.930648	-10.413053	14.257783	14.718848	38.197325	3.800589	-10.859828	-23.961328
	-6.577694	-0.789092	-8.568343	14.556211	15.533697	36.336881	3.154804	-11.561914	-23.690716
	-6.861078	-0.658758	-6.735912	14.831545	16.397704	34.387106	2.380136	-12.378103	-23.097969
	-6.971252	-0.631331	-4.879429	15.135026	17.226857	32.385500	1.471941	-13.247188	-22.146070
	-7.037628	-0.497009	-2.943267	15.376003	18.056301	30.392750	0.470175	-14.034870	-20.884718
	-6.951556	-0.400172	-0.878653	15.520944	18.889325	28.516330	-0.537989	-14.862378	-19.167343
	-6.786415	-0.158117	1.042182	15.514363	19.576769	26.636955	-1.538742	-15.815669	-17.416325
	-6.572919	0.230626	2.906015	15.451402	20.142164	24.662998	-2.563893	-16.580463	-15.296724
	-6.232142	0.723834	4.690782	15.244708	20.695093	22.917719	-3.555266	-17.391452	-12.775298
	-5.867321	1.562455	6.470234	14.913512	21.141476	21.312542	-4.487182	-18.133279	-9.958164
	-5.305437	2.454967	8.142186	14.534996	21.364143	19.808266	-5.378550	-18.912291	-6.966347
	-4.655127	3.341836	9.817033	14.086561	21.503551	18.505914	-6.159612	-19.850291	-3.903117
	-3.995339	4.359724	11.419214	13.631593	21.535964	17.345335	-6.822205	-20.694049	-0.823986
	-3.293262	5.421712	12.853675	13.257162	21.544580	16.286365	-7.506776	-21.576780	2.221659
	-2.606862	6.405157	14.164053	12.950012	21.369278	15.469180	-8.121081	-22.522272	5.371536
	-1.919727	7.421578	15.300996	12.688566	21.305873	15.005748	-8.730300	-23.385912	8.311842
	-1.296467	8.504666	16.352236	12.571739	20.869278	14.769211	-9.350645	-24.143349	10.904813
	-0.776833	9.234265	17.210777	12.604789	20.421545	14.777218	-9.888586	-24.607104	13.223895
	-0.327717	9.968587	17.842730	12.731329	19.964519	15.090797	-10.479792	-24.839180	15.209113
	-0.115237	10.480553	18.455907	13.023655	19.517289	15.723132	-10.994398	-25.016836	16.956585
	-0.014543	10.783927	18.808243	13.395967	18.904093	16.783387	-11.327467	-24.640746	18.533332
	-0.023974	11.069941	18.887132	13.928682	18.385968	18.141111	-11.795453	-24.103191	20.002465
	-0.146672	11.216563	18.944171	14.660359	17.855507	19.659223	-12.224142	-23.436583	21.404223
	-0.245299	11.294765	18.836724	15.463935	17.346901	21.445679	-12.626670	-22.498117	22.819274
	-0.573400	11.281567	18.534307	16.368718	16.781252	23.487187	-12.939494	-21.563457	23.995523
	-0.925955	11.189643	18.057298	17.379219	16.305140	25.764683	-13.157607	-20.538707	25.175246
	-1.283016	11.080534	17.487715	18.416119	15.739383	28.482695	-13.194531	-19.537601	26.191370
	-1.560410	10.968642	16.816982	19.428568	15.072856	31.423480	-13.273790	-18.685770	27.005577
	-1.787073	10.866266	15.947504	20.371834	14.399468	34.611355	-13.067270	-18.101011	27.511654
	-1.853896	10.843790	14.907983	21.247814	13.574703	37.994493	-12.625720	-17.370250	27.930251
	-1.813162	10.961689	13.812978	21.980454	12.791491	41.436544	-12.063533	-16.622072	28.063926
	-1.570270	10.972641	12.557763	22.645077	11.955488	45.066719	-11.618243	-16.078657	28.012030
	-1.125498	11.035329	11.163498	23.096083	11.098518	48.765022	-11.190555	-15.786597	27.820381
	-0.560657	11.054799	9.651657	23.318345	10.241156	52.551148	-10.753236	-15.401131	27.595156
	0.299516	11.067118	8.012829	23.343465	9.223694	56.382237	-10.367386	-15.120894	27.361887
	1.226314	10.884138	6.190966	23.216132	8.370973	60.214659	-9.708488	-14.934787	27.129006
	2.211855	10.560909	4.195039	22.817641	7.640303	63.931806	-9.271252	-14.826162	26.693504
	3.121713	10.003690	2.196072	22.364718	7.143913	67.544625	-8.732967	-14.828818	26.116065
	3.969394	9.013896	0.093849	21.806779	6.833963	71.249481	-8.408931	-14.836351	25.425515
	4.652412	7.726474	-2.085057	21.106338	6.857025	74.632568	-7.826311	-14.943792	24.860076
	5.237025	6.162179	-4.224002	20.481154	7.117931	77.670945	-7.270115	-15.004027	24.106331
	5.679248	4.316797	-6.342679	19.727923	7.638135	80.511223	-6.729240	-15.124691	23.389063
	6.172975	2.398253	-8.413975	18.855162	8.412302	83.169422	-6.156372	-15.153457	22.475146
	6.631255	0.419307	-10.428865	18.126567	9.315443	85.409487	-5.666765	-15.166344	21.485083
	7.098832	-1.552459	-12.341394	17.434017	10.297482	87.360149	-5.299234	-15.144509	20.443782
	7.703629	-3.330118	-14.172893	16.751733	11.127955	88.920679	-4.923087	-15.124044	19.150541
	8.290528	-4.531730	-16.084504	16.156610	11.956003	90.070422	-4.480254	-14.999534	17.761680
	8.795445	-5.190290	-17.887357	15.559109	12.493281	90.824953	-4.119226	-14.884419	16.378585
	9.256902	-5.856374	-19.474131	14.976382	12.829494	91.226129	-3.648200	-14.684731	14.848088
	9.615245	-5.855116	-21.211306	14.594254	13.020684	91.445537	-3.260843	-14.329020	13.192693
	9.784011	-5.792385	-22.797936	14.259537	13.004991	91.396670	-2.881759	-14.079264	11.309874
	9.765152	-5.710400	-24.373174	14.138147	12.968323	90.850350	-2.374849	-13.879154	9.403577
	9.577592	-5.457284	-25.717811	14.230084	12.833176	90.226894	-1.873132	-13.736549	7.701160
	9.246357	-5.271185	-26.929490	14.487083	12.641659	89.105603	-1.590434	-13.651034	5.989947
	8.723698	-5.201265	-27.987196	14.902544	12.604267	87.758368	-1.463325	-13.549978	4.124518
	8.140893	-5.274661	-28.848283	15.397628	12.681748	86.250216	-1.452287	-13.515004	2.560653
	7.403339	-5.299557	-29.578550	16.032874	12.760003	84.430861	-1.554207	-13.591783	1.288357
	6.680897	-5.203624	-30.213266	16.804194	12.945851	82.141405	-1.721122	-13.623466	0.033709
