PercGcycle	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgfX35	RgfY35	RgfZ35	RhipPow35	RkneePow35	RanklePow35	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgfX35	LgfY35	LgfZ35	LhipPow35	LkneePow35	LanklePow35
0	10.131896	0.681267	48.715873	0.621834	-25.728939	19.849296	10.620442	13.781187	18.914992	0.035701	0.049734	-1.189017	0.005936	0.028202	-0.477181	0.00382	0.02875	0.000828	-0.162752	0.716243	0.019654	1.147458	1.276595	0.053982	10.602915	6.310743	47.277294	3.422288	-32.82808	16.748718	8.926975	13.154822	16.632112	-0.026687	-0.026745	-1.198421	-0.040838	-0.028274	-0.511044	0.025572	-0.014321	0.015943	-0.198402	0.704428	0.025538	1.192878	1.718631	0.066111
1	10.475307	1.759371	48.184607	0.934702	-25.961526	21.142445	9.157813	13.525785	17.640455	0.147257	0.047614	-1.308584	0.055247	0.027227	-0.409268	-0.011001	0.021764	-0.065333	-0.249919	1.942791	0.044966	1.645188	1.377778	-0.230113	11.186926	6.692606	46.829958	3.834794	-32.932788	18.34618	7.52374	12.99663	15.336625	0.131895	-0.046088	-1.316967	0.033442	-0.04122	-0.461458	0.016434	-0.032417	-0.046264	-0.296567	1.880527	0.043409	1.348707	1.919794	-0.20572
2	10.880562	2.615369	47.512791	1.207937	-25.912779	22.731227	7.110012	13.130913	15.804813	0.286456	0.043742	-1.48558	0.130403	0.03558	-0.33361	-0.036373	0.022676	-0.150946	-0.335016	3.781562	0.066907	2.226702	1.290527	-0.811226	11.882414	6.96904	46.300724	4.240824	-32.610231	20.256958	5.44872	12.581845	13.60005	0.315925	-0.075212	-1.4811	0.132911	-0.054539	-0.398164	0.000596	-0.053122	-0.128034	-0.398489	3.651516	0.062718	1.443614	1.912381	-0.780558
3	11.34241	3.134843	46.732973	1.382149	-25.447184	24.585317	4.605085	12.525916	13.61856	0.456622	0.035292	-1.658429	0.227894	0.055772	-0.218924	-0.071981	0.035464	-0.236286	-0.429262	6.171936	0.076125	2.640275	0.904261	-1.444831	12.629042	7.047531	45.713639	4.632214	-31.732261	22.410792	2.898748	11.823091	11.652803	0.515672	-0.114231	-1.634881	0.256651	-0.063067	-0.287949	-0.020085	-0.069048	-0.211162	-0.514061	5.971814	0.073836	1.378934	1.529583	-1.417555
4	11.836973	3.257509	45.916369	1.426221	-24.527673	26.719	1.884232	11.68602	11.443501	0.654107	0.019772	-1.740548	0.338389	0.088332	-0.015944	-0.11512	0.059841	-0.29197	-0.587064	8.905687	0.070656	2.51306	-0.120354	-1.665084	13.348635	6.877486	45.116987	5.033951	-30.267772	24.773839	0.126926	10.695594	9.840687	0.724248	-0.16424	-1.715203	0.404825	-0.062838	-0.092982	-0.041098	-0.075323	-0.266245	-0.682039	8.654163	0.072241	1.038967	0.427211	-1.665188
5	12.333096	2.99996	45.165814	1.346894	-23.258517	29.180519	-0.797418	10.67489	9.695388	0.864341	-0.007075	-1.69986	0.446749	0.126178	0.297251	-0.158539	0.086313	-0.284666	-0.874431	11.620334	0.059428	1.6996	-2.168689	-1.231037	13.966242	6.480307	44.581408	5.499708	-28.333125	27.352713	-2.659902	9.273705	8.524651	0.926776	-0.225565	-1.708075	0.57076	-0.054078	0.197065	-0.058526	-0.073466	-0.262142	-0.946445	11.358114	0.064105	0.448094	-1.713788	-1.329209
6	12.806056	2.453931	44.59188	1.183217	-21.871957	32.025258	-3.240853	9.636128	8.735568	1.053549	-0.043272	-1.602297	0.530238	0.158854	0.695442	-0.195149	0.102037	-0.193079	-1.308194	13.945986	0.043971	0.494512	-5.374225	-0.524109	14.429821	5.951427	44.185236	6.090899	-26.187296	30.177405	-5.327828	7.723307	7.976109	1.086705	-0.291557	-1.664219	0.732372	-0.042003	0.559062	-0.073847	-0.072236	-0.180722	-1.31645	13.739102	0.04944	-0.167478	-4.937798	-0.796066
7	13.244783	1.755894	44.276576	0.985128	-20.654635	35.264117	-5.289803	8.747076	8.773734	1.195526	-0.078514	-1.561234	0.572736	0.180857	1.127332	-0.223601	0.100736	-0.021103	-1.834753	15.709029	0.018532	-0.698618	-9.394932	-0.31415	14.72066	5.419867	43.984816	6.836919	-24.151467	33.252149	-7.748298	6.261481	8.310052	1.182675	-0.34936	-1.652535	0.867674	-0.031514	0.957937	-0.093768	-0.080443	-0.027059	-1.761954	15.642341	0.026514	-0.614248	-8.863158	-0.708677
8	13.652168	1.038796	44.237071	0.785588	-19.84722	38.800451	-6.795542	8.16606	9.804424	1.31267	-0.112584	-1.614555	0.589397	0.191336	1.555926	-0.242664	0.085741	0.205397	-2.358286	17.003743	0.010926	-1.735741	-13.405978	-1.04139	14.854845	4.979546	43.980981	7.696126	-22.486543	36.499215	-9.743605	5.098206	9.479755	1.251744	-0.4007	-1.691381	0.982268	-0.028186	1.365293	-0.118077	-0.102083	0.176737	-2.216315	17.140566	0.027965	-0.868585	-12.679416	-1.358614
9	14.042096	0.390659	44.406397	0.5846	-19.552884	42.412126	-7.636628	7.972346	11.622665	1.437134	-0.16258	-1.695333	0.61196	0.187108	1.967111	-0.244203	0.062957	0.456731	-2.781516	18.055128	0.073675	-2.483742	-16.382172	-2.489978	14.878389	4.641625	44.104653	8.551549	-21.301532	39.748838	-11.128786	4.36773	11.321234	1.343225	-0.462644	-1.749157	1.095129	-0.036946	1.756925	-0.136619	-0.134615	0.408259	-2.582166	18.406347	0.102913	-0.906813	-15.361406	-2.557475
