ankle_X	ankle_Y	ankle_Z
	-30.186791	25.448873	-178.114755
	-28.998846	24.849784	-178.327209
	-27.841960	24.187667	-178.561201
	-26.749422	23.438469	-178.830832
	-25.750199	22.582957	-179.151794
	-24.866854	21.609334	-179.542014
	-24.113653	20.512537	179.978553
	-23.496179	19.291476	179.389368
	-23.012087	17.946054	178.671102
	-29.118480	-128.631578	-110.780566
	-30.004106	-129.167419	-110.705105
	-30.828265	-129.620122	-110.500527
	-31.611136	-129.975392	-110.150439
	-32.373436	-130.222037	-109.641215
	-33.135572	-130.351567	-108.961662
	-33.918137	-130.357137	-108.102098
	-34.742847	-130.230678	-107.052168
	-35.633097	-129.958996	-105.797971
	-36.614003	-129.521665	-104.320529
	-37.712342	-128.890801	-102.595383
	-38.956651	-128.028730	-100.589725
	-40.377025	-126.881791	-98.254860
	-42.003703	-125.372072	-95.515337
	-43.862742	-123.387012	-92.255665
	-45.966614	-120.763218	-88.302539
	-48.296860	-117.261364	-83.400048
	-50.772941	-112.536310	-77.182302
	-53.199694	-106.129648	-69.172420
	-55.196600	-97.570280	-58.895235
	-56.159918	-86.739218	-46.259200
	-55.392299	-74.460844	-32.166708
	-52.474973	-62.537221	-18.561377
	-47.578211	-52.604129	-7.274965
	-41.334895	-45.149319	0.994778
	-34.475115	-39.761916	6.489155
	-27.586247	-35.779044	9.780391
	-21.055107	-32.635329	11.432038
	-15.100146	-29.944987	11.906501
	-9.823267	-27.480714	11.568673
	-5.252431	-25.132195	10.710414
	-1.369657	-22.869299	9.573339
	1.871709	-20.714668	8.367114
	4.535433	-18.725001	7.284490
	6.692555	-16.978970	6.514170
	8.409963	-15.570176	6.254475
	9.735619	-14.604083	6.732218
	10.676728	-14.196244	8.228928
	11.159105	-14.463422	11.110505
	10.955660	-15.483189	15.839657
	9.610601	-17.161829	22.909029
	6.544114	-18.945878	32.565256
	1.779984	-19.665949	44.202669
	-3.194649	-18.833365	55.725782
	-7.169313	-17.972025	64.689445
	-10.180699	-17.546020	70.389529
	-12.362512	-17.710136	72.698502
	-14.020894	-18.689467	71.848074
	-15.491707	-20.286098	68.572383
	-17.226007	-22.507012	63.728516
	-19.420365	-26.156628	57.225115
	-21.147828	-30.691227	48.963260
	-21.735340	-34.621838	39.909865
	-21.317973	-37.167219	31.093939
	-20.480548	-38.235360	23.419177
	-19.839275	-38.327085	17.372468
	-19.695820	-38.093041	12.940570
	-20.074500	-37.991536	9.830698
	-20.896453	-38.267366	7.680757
	-22.075536	-39.035714	6.155952
	-23.540871	-40.346647	4.974309
	-25.231521	-42.220407	3.904161
	-27.085637	-44.664084	2.755546
	-29.031606	-47.677958	1.374062
	-30.983467	-51.253538	-0.359594
	-32.842069	-55.366677	-2.524799
	-34.501790	-59.971622	-5.155731
	-35.861011	-64.995152	-8.237270
	-36.835407	-70.331055	-11.702945
	-37.370789	-75.843254	-15.441657
	-37.450290	-81.380129	-19.315245
	-37.094428	-86.793621	-23.181738
	-36.354457	-91.956973	-26.918902
	-35.300591	-96.777122	-30.440649
	-34.009404	-101.199605	-33.701615
	-32.553483	-105.204916	-36.692339
	-30.994773	-108.798440	-39.428982
	-29.382175	-112.000143	-41.941808
	-27.751962	-114.837280	-44.266206
	-26.129727	-117.339253	-46.436862
	-24.533455	-119.533782	-48.483902
	-22.976371	-121.445395	-50.431046
	-21.468168	-123.097034	-52.296209
	-20.015403	-124.511490	-54.092680
	-18.622446	-125.709376	-55.829017
	-17.292473	-126.706175	-57.509176
	-16.027815	-127.512006	-59.134346
	-14.830158	-128.133678	-60.705372
	-13.700740	-128.576652	-62.224175
	-12.639988	-128.846721	-63.693913
	-11.646347	-128.952028	-65.118895
	-10.715499	-128.904423	-66.504903
	-9.841028	-128.719867	-67.859571
	-9.015962	-128.418113	-69.192254
	-8.234357	-128.021130	-70.513169
	-7.492472	-127.551354	-71.832444
	-6.789371	-127.031298	-73.159759
	-6.127101	-126.483285	-74.504002
	-5.510846	-125.928090	-75.872509
	-4.949352	-125.384021	-77.270822
	-4.455473	-124.867018	-78.703087
	-4.046061	-124.390208	-80.171714
	-3.740330	-123.963538	-81.676388
	-3.557255	-123.595371	-83.214197
	-3.513515	-123.294317	-84.780897
	-3.621900	-123.068731	-86.371428
	-3.889541	-122.925106	-87.979279
	-4.316409	-122.867195	-89.596351
	-4.894290	-122.894457	-91.213805
	-5.606553	-122.999130	-92.822710
	-34.805936	16.398167	174.789656
	-34.601230	17.392245	175.881874
	-34.312477	18.346287	176.949173
	-33.949428	19.266561	177.958413
	-33.520163	20.156247	178.882686
	-33.030158	21.011566	179.701313
	-32.482608	21.819873	-179.599776
	-31.879636	22.559778	-179.028287
	-31.223751	23.202654	-178.586591
	-30.519213	23.715644	-178.272387
	-29.772426	24.065720	-178.079370
	-28.991659	24.223939	-177.998834
	-28.187307	24.169392	-178.021651
	-27.372476	23.891587	-178.139901
	-26.562802	23.390244	-178.348204
	-25.774921	22.673375	-178.644952
	-25.023855	21.754985	-179.033411
	-24.320794	20.652883	-179.522047
	-23.672744	19.386493	179.876892
	-27.596010	-128.881828	-111.269740
	-28.716135	-129.485929	-111.159556
	-29.799429	-130.007185	-110.915662
	-30.843580	-130.430422	-110.538124
	-31.847535	-130.747292	-110.028472
	-32.813099	-130.953700	-109.387927
	-33.746462	-131.047459	-108.615969
	-34.659110	-131.026806	-107.709396
	-35.568106	-130.889811	-106.662226
	-36.495698	-130.633228	-105.465505
	-37.469087	-130.249205	-104.105474
	-38.520861	-129.720887	-102.560237
	-39.689353	-129.018320	-100.795668
	-41.018148	-128.093917	-98.760223
	-42.554469	-126.874925	-96.376612
	-44.345288	-125.249436	-93.526866
	-46.428069	-123.044094	-90.028778
	-48.811344	-119.992407	-85.603456
	-51.437931	-115.694978	-79.837295
	-54.121691	-109.596172	-72.164211
	-56.459785	-101.076937	-61.968486
	-57.779083	-89.886105	-49.031974
	-57.293622	-76.937615	-34.349010
	-54.580457	-64.409039	-20.227763
	-49.935811	-54.213195	-8.732406
	-44.135035	-46.812179	-0.439969
	-37.962970	-41.686802	5.145287
	-31.969934	-38.134444	8.819929
	-26.449262	-35.611555	11.334443
	-21.497375	-33.769876	13.340494
	-17.073665	-32.396757	15.441968
	-13.029426	-31.340029	18.275055
	-9.097485	-30.426677	22.588347
	-4.853754	-29.377065	29.243758
	0.238377	-27.799604	38.826335
	6.304179	-25.548173	50.358175
	12.222684	-23.262896	60.597537
	16.891843	-21.481990	66.726946
	20.695451	-20.071508	67.858728
	24.206058	-18.704993	64.057536
	27.014112	-16.715403	55.736317
	27.998221	-13.658785	44.173808
	26.737950	-10.134715	31.986842
	24.086894	-7.111562	21.642197
	21.133048	-4.983356	13.986786
	18.445146	-3.704288	8.721201
	16.147944	-3.128870	5.260850
	14.167497	-3.134314	3.095359
	12.373092	-3.633086	1.846824
	10.633235	-4.561684	1.243784
	8.836278	-5.868073	1.088994
	6.900819	-7.501193	1.238033
	4.781021	-9.404865	1.587102
	2.465236	-11.517834	2.064235
