Time	Hip_Z	Hip_X	Hip_Y	Knee_Z	Knee_X	Knee_Y	Ankle_Z	Ankle_X	Ankle_Y
0	-20.371201	5.525198	-2.606537	13.960332	3.460119	25.582918	-9.026224	-4.496749	-12.797593
1	-19.764577	5.283185	-2.750991	14.679063	3.485822	25.18928	-8.093746	-2.96119	-12.153408
2	-19.30735	4.93352	-3.036866	15.639065	3.632477	24.84642	-7.045183	-1.242074	-11.378924
3	-19.049873	4.463819	-3.510244	16.878216	3.905779	24.540803	-6.029575	0.526564	-10.481097
4	-19.032696	3.884493	-4.208725	18.437469	4.299829	24.260104	-5.248903	2.170136	-9.464512
5	-19.247454	3.235094	-5.11873	20.316095	4.784647	23.993267	-4.843364	3.569626	-8.33363
6	-19.723573	2.552957	-6.243566	22.591104	5.340265	23.737361	-5.016678	4.566268	-7.065491
7	-20.374152	1.884167	-7.470649	25.170355	5.914769	23.483989	-5.709637	5.172494	-5.712642
8	-21.122198	1.244084	-8.675047	27.964598	6.464677	23.204814	-6.868604	5.395694	-4.345565
9	-21.862237	0.611273	-9.668962	30.831729	6.940363	22.818959	-8.392746	5.29082	-3.064163
10	-22.496944	-0.060794	-10.302941	33.617802	7.3158	22.235355	-10.109877	5.003709	-1.931701
11	-22.910275	-0.828569	-10.35863	36.160699	7.552168	21.311724	-11.926484	4.627293	-1.025066
12	-23.055697	-1.689272	-9.86619	38.368915	7.672619	20.070622	-13.737806	4.253667	-0.343061
13	-22.904909	-2.59917	-8.938106	40.170941	7.710438	18.609479	-15.474115	3.927254	0.124196
14	-22.416518	-3.484186	-7.694728	41.473847	7.681556	17.05335	-17.074203	3.684285	0.378688
15	-21.664342	-4.280718	-6.329316	42.361105	7.602688	15.54159	-18.538732	3.525624	0.49033
16	-20.659894	-4.922877	-4.9614	42.821988	7.466236	14.189165	-19.848119	3.461689	0.486944
17	-19.475076	-5.39076	-3.695356	42.943682	7.273062	13.056848	-21.020697	3.474829	0.421024
18	-18.180402	-5.694337	-2.597342	42.817006	7.030072	12.1623	-22.077808	3.539884	0.336457
19	-16.816612	-5.822537	-1.77005	42.467823	6.743859	11.569637	-22.999465	3.637826	0.265827
20	-15.427895	-5.835088	-1.191293	41.978795	6.441943	11.219856	-23.798702	3.741885	0.217148
21	-14.022276	-5.754592	-0.874792	41.359551	6.147144	11.113537	-24.441865	3.834823	0.179829
22	-12.599014	-5.612395	-0.802963	40.616046	5.886004	11.232546	-24.901919	3.896808	0.12889
23	-11.157279	-5.437533	-0.937571	39.75774	5.672522	11.543828	-25.176022	3.911938	0.044434
24	-9.69054	-5.246795	-1.2986	38.757431	5.526006	12.070773	-25.2084	3.847992	-0.102295
