hip_X	hip_Y	hip_Z
	5.852624	3.698029	-82.801851
	6.348989	2.994833	-83.269530
	6.861699	2.238704	-83.741568
	7.383524	1.430910	-84.205038
	7.893994	0.566511	-84.647691
	8.359671	-0.365597	-85.058457
	8.737923	-1.380441	-85.427901
	8.983851	-2.492499	-85.748802
	9.058694	-3.710710	-86.017924
	8.936909	-5.035353	-86.238978
	8.610587	-6.457513	-86.424188
	8.091515	-7.960204	-86.592910
	7.410420	-9.520187	-86.768639
	6.612325	-11.110353	-86.975937
	5.748587	-12.702649	-87.237179
	4.868730	-14.270923	-87.569151
	4.015006	-15.792930	-87.980730
	3.220118	-17.250884	-88.472083
	2.507579	-18.630627	-89.035232
	1.893777	-19.920573	-89.656003
	1.389056	-21.111476	-89.682349
	0.996617	-22.196955	-88.994253
	0.711842	-23.173600	-88.289959
	0.523895	-24.039946	-87.578333
	0.418057	-24.795159	-86.869505
	0.377696	-25.438517	-86.175384
	0.386213	-25.969641	-85.510170
	0.428573	-26.388780	-84.890586
	0.491672	-26.696670	-84.333254
	0.563909	-26.894194	-83.849535
	0.635084	-26.982439	-83.444133
	0.696881	-26.963350	-83.119848
	0.743611	-26.840377	-82.881916
	0.773318	-26.618446	-82.739078
	0.788614	-26.303538	-82.703730
	0.796123	-25.902761	-82.790366
	0.804769	-25.424587	-83.011010
	0.824164	-24.878381	-83.369879
	0.863495	-24.273963	-83.860258
	0.930445	-23.622103	-84.463597
	1.030446	-22.934896	-85.149868
	1.166594	-22.225277	-85.880250
	1.339390	-21.506414	-86.612247
	1.546330	-20.791219	-87.304941
	1.782528	-20.091666	-87.923019
	2.041860	-19.418434	-88.439462
	2.316947	-18.781242	-88.836411
	2.598168	-18.189326	-89.104722
	2.873729	-17.651501	-89.243758
	3.131742	-17.175722	-89.261134
	3.362792	-16.768423	-89.170961
	3.561095	-16.434235	-88.991219
	3.724037	-16.176324	-88.741483
	3.851406	-15.996785	-88.441089
	3.945240	-15.896716	-88.108257
	4.010138	-15.876303	-87.760379
	4.053797	-15.934940	-87.414737
	4.087580	-16.071375	-87.089426
	4.126357	-16.284024	-86.804065
	4.187021	-16.571141	-86.578678
	4.286085	-16.930552	-86.430268
	4.437690	-17.359138	-86.368717
	4.653104	-17.851702	-86.393525
	4.941660	-18.398627	-86.492889
	5.311310	-18.983740	-86.646268
	5.766995	-19.584072	-86.829397
	6.307698	-20.171000	-87.019495
	6.923446	-20.712168	-87.199503
	7.592344	-21.174433	-87.361221
	8.278769	-21.527045	-87.506825
	8.935061	-21.743974	-87.647430
	9.507990	-21.805580	-87.798681
	9.948949	-21.700003	-87.976575
	10.224539	-21.423854	-88.195450
	10.323497	-20.981769	-88.465814
	10.258393	-20.384602	-88.791438
	10.062709	-19.646570	-89.167902
	9.783347	-18.782745	-89.583492
	9.469482	-17.807906	-89.977807
	9.162140	-16.736217	-89.532516
	8.888812	-15.581001	-89.095016
	8.662628	-14.354636	-88.676261
	8.484107	-13.068547	-88.283132
	8.345070	-11.732961	-87.918610
	8.233817	-10.356584	-87.582829
	8.139396	-8.946489	-87.274190
	8.053689	-7.508302	-86.990434
	7.971558	-6.046660	-86.729917
	7.889828	-4.566030	-86.493122
	7.806312	-3.071423	-86.283993
	7.719371	-1.568516	-86.109806
	7.627294	-0.063483	-85.979350
	7.527548	1.437001	-85.901120
	7.416662	2.925279	-85.882961
	7.290473	4.392301	-85.932380
	7.144438	5.828387	-86.055544
	6.974510	7.224521	-86.255110
	6.778413	8.572568	-86.528955
	6.556179	9.864800	-86.870237
	6.309574	11.093775	-87.267747
	6.041428	12.252545	-87.706533
	5.755756	13.334776	-88.169185
	5.458027	14.334380	-88.637463
	5.154440	15.244997	-89.093603
	4.851030	16.059950	-89.521054
	4.553931	16.772517	-89.904847
	4.270186	17.376226	-89.768507
	4.007874	17.865178	-89.511182
	3.775350	18.234142	-89.333245
	3.580130	18.478288	-89.241572
	3.428074	18.593069	-89.239647
	3.322929	18.574918	-89.328116
	3.265961	18.422342	-89.505223
	3.255655	18.136651	-89.766814
	3.287689	17.722475	-89.893644
	3.355323	17.188033	-89.485077
	3.450292	16.544645	-89.019179
	3.564224	15.805937	-88.510583
	3.690215	14.987334	-87.976503
	3.823617	14.105303	-87.436023
	3.961869	13.175932	-86.909591
	4.104054	12.213607	-86.418503
	4.250643	11.230774	-85.982580
	4.403509	10.238581	-85.616998
	4.565977	9.247378	-85.331499
	4.742873	8.266650	-85.130774
	4.940349	7.304681	-85.013769
	5.165193	6.368140	-84.973917
	5.424229	5.461643	-85.001394
	5.724299	4.587227	-85.085091
	6.071897	3.743671	-85.213761
	6.471372	2.925746	-85.377112
	6.921524	2.123494	-85.565561
	7.411692	1.321470	-85.768695
	7.919012	0.498449	-85.974765
	8.407824	-0.371421	-86.170706
	8.832209	-1.315373	-86.341673
	9.142529	-2.357197	-86.472266
	9.294338	-3.512450	-86.550365
	9.256667	-4.785497	-86.571603
	9.018075	-6.169032	-86.541901
	8.589145	-7.645636	-86.476904
	8.000038	-9.190704	-86.399644
	7.293847	-10.775903	-86.337576
	6.518444	-12.372083	-86.319142
	5.719363	-13.951013	-86.369941
	4.935465	-15.486379	-86.508914
	4.197398	-16.954843	-86.745858
	3.527503	-18.337007	-87.081284
	2.940358	-19.618040	-87.508524
	2.443385	-20.788347	-88.017141
	2.037178	-21.843790	-88.596391
	1.716353	-22.784591	-89.237333
	1.471733	-23.613236	-89.932568
	1.293011	-24.332428	-89.325540
	1.170007	-24.943983	-88.546520
	1.092361	-25.448900	-87.742810
	1.049256	-25.848057	-86.930787
	1.029733	-26.142917	-86.131080
	1.023162	-26.335905	-85.367506
	1.020078	-26.430222	-84.666050
	1.013528	-26.429118	-84.053573
	1.000191	-26.335081	-83.553994
	0.980215	-26.149824	-83.183814
	0.955902	-25.875641	-82.951797
	0.931030	-25.516853	-82.862312
	0.911278	-25.079949	-82.916553
	0.904183	-24.573088	-83.110254
	0.917894	-24.006150	-83.431023
	0.959925	-23.390900	-83.857667
	1.036760	-22.740333	-84.362760
	1.153654	-22.067615	-84.916259
	1.314182	-21.385291	-85.486717
	1.519762	-20.704817	-86.041261
	1.769031	-20.036548	-86.546907
	2.056935	-19.390208	-86.972887
	2.374239	-18.775330	-87.293350
	2.708386	-18.201228	-87.490634
	3.045574	-17.676515	-87.558060
	3.372715	-17.208641	-87.500392
	3.678389	-16.803840	-87.331682
	3.953315	-16.466963	-87.072274
	4.190692	-16.201237	-86.746218
	4.386179	-16.008319	-86.379621
	4.538208	-15.887953	-86.000149
	4.648905	-15.837352	-85.635567
	4.724480	-15.851710	-85.309740
	4.774887	-15.925774	-85.039156
	4.813478	-16.055222	-84.833554
	4.856341	-16.237274	-84.699514
	4.920992	-16.470786	-84.643069
	5.024989	-16.755989	-84.669824
	5.184917	-17.093610	-84.783648
	5.415440	-17.483332	-84.984387
	5.728259	-17.921811	-85.265258
	6.130944	-18.400914	-85.611152
	6.625682	-18.906691	-85.998834
	7.207734	-19.419082	-86.400345
	7.863301	-19.912549	-86.788967
	8.567143	-20.357951	-87.144679
	9.281478	-20.725138	-87.457430
	9.958324	-20.985040	-87.728198
	10.546354	-21.111259	-87.967759
	11.000552	-21.082495	-88.193524
	11.291318	-20.885776	-88.424524
	11.410687	-20.517923	-88.675520
	11.374562	-19.983486	-88.954371
	11.219593	-19.291354	-89.263942
	10.994339	-18.452966	-89.603770
	10.747519	-17.481789	-89.970102
	10.517869	-16.392740	-89.642997
	10.328942	-15.201577	-89.242007
	10.189219	-13.924129	-88.832631
	10.095479	-12.575304	-88.418591
	10.037316	-11.168544	-88.001515
	10.001206	-9.715775	-87.581739
	9.973174	-8.227656	-87.159751
	9.940213	-6.714083	-86.738455
	9.891350	-5.184375	-86.324561
	9.818763	-3.647110	-85.928431
	9.718190	-2.110297	-85.563655
	9.588252	-0.581780	-85.246637
	9.429455	0.930758	-84.995667
	9.243281	2.420201	-84.829352
	9.031587	3.880207	-84.764369
	8.796405	5.304827	-84.813348
	8.539937	6.688049	-84.983833
	8.264490	8.024075	-85.277565
	7.972438	9.307779	-85.689949
	7.666637	10.534375	-86.210755
	7.350884	11.698951	-86.825235
	7.029486	12.796561	-87.514401
	6.706620	13.822022	-88.254904
	6.386700	14.769446	-89.019774
	6.075268	15.632352	-89.780349
	5.779061	16.403967	-89.492187
	5.505090	17.077395	-88.826520
	5.259606	17.646025	-88.250919
	5.047257	18.104017	-87.791590
	4.870624	18.446418	-87.469722
	4.730564	18.669024	-87.298840
	4.626940	18.768360	-87.284032
	4.558838	18.741799	-87.422433
	4.524302	18.587677	-87.703817
	4.520481	18.305677	-88.111682
	4.543986	17.897666	-88.625012
	4.590467	17.368566	-89.220021
	4.654277	16.726871	-89.871373
	4.729424	15.984592	-89.447053
	4.810867	15.156335	-88.761153
	4.894772	14.258023	-88.095331
	4.978099	13.305793	-87.471645
	5.058756	12.315066	-86.909262
	5.136332	11.300134	-86.423811
	5.212522	10.274278	-86.026980
	5.291507	9.249844	-85.725923
	5.380400	8.238247	-85.522072
	5.488722	7.249662	-85.410569
	5.626858	6.292105	-85.381147
	5.804926	5.370361	-85.420479
	6.032744	4.485326	-85.515087
	6.319397	3.633920	-85.652949
	6.670938	2.809184	-85.823230
	7.085961	1.999847	-86.015158
	7.550331	1.189395	-86.216997
	8.034283	0.355860	-86.415542
	8.494300	-0.526486	-86.596519
	8.879232	-1.483257	-86.746299
	9.138936	-2.534977	-86.854865
	9.233144	-3.693111	-86.918929
	9.138189	-4.958558	-86.943874
	8.851005	-6.322298	-86.943518
	8.389896	-7.767150	-86.937719
	7.790538	-9.270172	-86.949389
	7.097970	-10.805415	-87.001900
	6.358273	-12.346628	-87.116630
	5.612594	-13.869613	-87.310924
	4.893988	-15.353539	-87.596689
	4.227350	-16.780765	-87.979545
	3.630944	-18.135984	-88.458584
	3.116861	-19.405854	-89.026532
	2.690371	-20.579498	-89.670650
	2.349959	-21.649025	-89.624333
	2.088936	-22.609220	-88.872729
	1.897541	-23.456803	-88.087473
	1.764086	-24.190128	-87.282077
	1.675648	-24.809294	-86.471676
	1.619562	-25.315874	-85.672896
	1.585229	-25.712062	-84.903555
	1.564498	-26.000279	-84.182388
	1.550318	-26.183898	-83.528198
	1.535675	-26.267999	-82.957474
	1.514172	-26.259033	-82.481156
	1.481302	-26.163961	-82.103789
	1.435627	-25.990030	-81.826905
	1.379712	-25.744962	-81.653537
	1.320324	-25.436452	-81.589539
	1.267525	-25.071295	-81.640659
	1.232785	-24.655505	-81.806730
	1.226833	-24.195316	-82.076658
	1.258404	-23.697836	-82.428435
	1.333487	-23.171102	-82.833071
	1.453712	-22.624126	-83.258829
	1.615270	-22.066781	-83.675111
	1.810502	-21.509010	-84.055795
	2.030777	-20.959868	-84.380656
	2.267955	-20.427285	-84.635093
	2.514163	-19.918575	-84.809932
	2.761270	-19.440847	-84.901631
	3.000684	-19.000907	-84.912016
	3.223518	-18.605009	-84.847652
	3.421838	-18.258460	-84.718989
	3.590502	-17.964961	-84.539029
	3.727897	-17.726218	-84.322043
	3.835866	-17.542418	-84.082356
	3.919929	-17.413174	-83.833525
	3.988574	-17.338072	-83.588839
	4.051101	-17.316739	-83.361981
	4.116959	-17.348651	-83.167193
	4.197381	-17.433197	-83.019733
	4.306102	-17.570570	-82.935293
	4.458095	-17.762739	-82.927678
	4.668072	-18.013225	-83.006683
	4.949042	-18.325851	-83.176807
	5.310654	-18.703059	-83.435702
	5.758031	-19.143833	-83.771976
	6.291506	-19.641222	-84.163608
	6.906328	-20.180201	-84.580264
	7.591293	-20.737039	-84.990580
	8.326664	-21.280504	-85.370259
	9.082374	-21.774341	-85.707496
	9.817407	-22.180500	-86.004584
	10.482712	-22.462794	-86.274904
	11.029242	-22.590473	-86.537942
	11.418789	-22.541390	-86.815562
	11.632907	-22.304225	-87.128573
	11.677058	-21.878273	-87.492466
	11.579861	-21.270293	-87.914586
	11.387206	-20.491042	-88.394520
	11.151508	-19.553898	-88.926113
	10.919672	-18.474932	-89.499154
	10.724853	-17.272857	-89.899184
