knee_X	knee_Y	knee_Z
	55.609304	1.402093	-25.338067
	57.279540	1.499657	-25.197692
	58.988119	1.615517	-25.086659
	60.702992	1.767735	-25.007670
	62.394712	1.972118	-24.958050
	64.036969	2.239141	-24.931243
	65.606573	2.571823	-24.917988
	67.083001	2.964964	-24.906653
	68.447966	3.405323	-24.883845
	69.685390	3.872308	-24.836361
	70.781421	4.339756	-24.753876
	71.724054	4.779103	-24.630693
	72.502266	5.162954	-24.465797
	73.105295	5.467796	-24.262000
	73.522887	5.675652	-24.024892
	73.746205	5.774946	-23.761954
	73.768427	5.760310	-23.482347
	73.584717	5.631484	-23.196566
	73.191916	5.392273	-22.914554
	72.588328	5.050118	-22.643518
	71.773729	4.614922	-22.387480
	70.749576	4.096641	-22.147879
	69.519053	3.504863	-21.924009
	68.086640	2.851504	-21.713284
	66.457503	2.153005	-21.511544
	64.637122	1.430535	-21.314425
	62.631205	0.709560	-21.120011
	60.445732	0.018699	-20.930824
	58.086749	-0.613561	-20.752855
	55.559934	-1.163727	-20.591751
	52.871226	-1.615526	-20.450784
	50.028812	-1.958450	-20.333690
	47.044899	-2.186867	-20.248762
	43.936563	-2.301166	-20.211434
	40.726310	-2.309056	-20.245782
	37.442196	-2.226443	-20.383422
	34.116782	-2.077902	-20.657761
	30.785307	-1.895584	-21.095082
	27.484330	-1.715603	-21.706540
	24.251172	-1.572960	-22.484128
	21.123163	-1.496547	-23.400421
	18.136432	-1.504856	-24.411144
	15.324935	-1.603173	-25.460352
	12.719709	-1.783206	-26.487224
	10.348128	-2.025203	-27.433287
	8.233606	-2.301839	-28.249065
	6.395830	-2.582720	-28.898295
	4.851133	-2.838506	-29.359598
	3.612374	-3.044658	-29.626996
	2.688044	-3.184553	-29.708599
	2.081214	-3.250693	-29.622425
	1.789084	-3.243828	-29.390786
	1.803499	-3.171106	-29.035395
	2.112225	-3.043724	-28.574265
	2.700086	-2.874496	-28.021097
	3.549383	-2.675912	-27.387347
	4.640038	-2.458968	-26.685659
	5.950288	-2.232946	-25.933592
	7.458235	-2.005721	-25.157161
	9.142828	-1.783536	-24.391934
	10.982590	-1.570074	-23.678746
	12.953096	-1.365899	-23.054719
	15.024955	-1.169238	-22.544007
	17.162478	-0.977967	-22.152607
	19.323490	-0.791863	-21.868011
	21.461053	-0.613755	-21.660965
	23.526116	-0.448907	-21.488862
	25.470674	-0.303405	-21.304879
	27.252589	-0.182388	-21.072205
	28.840824	-0.088205	-20.775157
	30.217940	-0.019181	-20.422005
	31.379156	0.030176	-20.040223
	32.329409	0.067848	-19.668231
	33.079747	0.102562	-19.347989
	33.644106	0.141902	-19.117093
	34.036614	0.190668	-18.999072
	34.269664	0.249592	-18.998067
	34.353772	0.314768	-19.101219
	34.298979	0.378630	-19.284391
	34.116073	0.432044	-19.518159
	33.816755	0.466192	-19.774136
	33.413222	0.474064	-20.030854
	32.917510	0.451794	-20.276389
	32.340826	0.399412	-20.506416
	31.693298	0.320486	-20.721245
	30.984204	0.220942	-20.924419
	30.222363	0.107689	-21.120999
	29.416316	-0.012683	-21.314963
	28.574458	-0.135060	-21.507441
	27.705172	-0.256615	-21.696485
	26.816686	-0.376801	-21.877399
	25.916719	-0.496340	-22.042083
	25.012247	-0.616158	-22.178948
	24.109657	-0.737305	-22.275988
	23.215193	-0.861310	-22.324911
	22.335198	-0.989747	-22.322889
	21.476312	-1.123308	-22.272613
